oh , i want a droid x .
i love this phone although it has glitches sometimes  .
i have found that on quick trips this phone can completely replace a travel laptop since it handles internet , email , music , and video so well  .
google navigation has also come in handy many times when i have found myself travelling without a gps , or in a new city looking for something to do  .
i think that the android market could use a little more quality control on the applications , as some (not many) have the tendancy to freeze    up the os or not work , but in general the reviews section of the app market lets people share this information .
bottom    line  .
best phone i've ever had  .
i don't think i will ever stray far from google ever again  .
i cannot wait for the google os for pc or netbooks to come out  .
google does an amazing job  .
easy to use , fun to use , and it does not get boring within the first month like every other phone .
im a owner of two iphones , i love them  .
but  .
the droid became my new cellphone and i love it  .
i dont miss my iphone too much but i get to do alot more stuff in the droid than my iphone yes like vnc , video ringtones , rss in my lockscreen , etc  .
but the droid has as much potential as the iphone does or even more and i belive the android software has a long way to go no more drop calls or no signal  .
if the iphone is in verizon i would probably still have it but the droid its perfect and goes beyond what i expected .
i've had the phone since november 6th , and have loved every minute of it as i said in my headline , it's the only phone i've ever owned that has grown on me , instead of losing its magic it's easy to use once you figure everything out (and there is a lot) ; much easier than my winmo imagio  .
it's so versatile , and you can do so many things at once i is listening to pandora radio , surfing the web , and answering text messages , responding to emails , etc all at once the notification shade made interacting with the phone sooo easy , and actually fun the camera can take good pictures , but it's finicky i think there will be software update for it 12/11  .
hope so video quality is excellent , but i have yet to attempt sending videos and playing them on my laptop i did have a bug where any external sounds (ringer , music , voice nav) would be routed to the earpiece instead of the external speaker if i is using the external speaker when an incoming call is received , etc  .
i removed slacker radio and this problem has only reappeared 2 times since then the feel of the phone in your hand is sophisticated , smooth , quality , and is worth overlooking the gold trip and flimsy volume rocker/camera button it's important to remind everyone that this is the first iteration of hardware , and the first iteration of software for this phone , and all first tries are never perfect (iphone no mms for years after the first intro  .
no multitasking  .
) two other people also bought the droid after interacting with mine it sells itself  .
if you know how to use it , and take the time to learn .
this phone does everything you could ever think of  .
if you cannot find something or how to change a setting , it is there , just might not be as easy to find as a blackberry  .
if you ever need to find out how to do something , google what you are looking for and the motorola forum will have the answer  .
if not , submit a question , and motorola is awesome at getting back with the answer if you are concerned about battery life , give it a week to get the charge fully up to par , and turn off bluetooth and wifi when you're not using them ; very easy to turn on and off with this phone highly recommended  .
i is waiting to buy a new phone from verizon for 6 months , but they didnt have any phones i wanted  .
i almost got an imagio , but i'm glad i waited because the droid is awesome  .
being able to customize it with apps makes it much more useful  .
besides the pros and cons , the battery life could be better but with normal use it lasts for more than a day  .
the bottom line is , the droid is not just the best verizon phone , it is a good phone , period .
i didn't even have the g1 for a year before i got the droid  .
i also didn't even handle the droid before i bought it  .
i seriously have never had a nicer phone and am so glad i didn't buy a mytouch (cause my g1's keyboard crapped out on me) i've never been one to like the iphone , but i do not know why i would need one over this phone  .
i say i because i'm sure there is other reason people want it , but this phone is the bomb diggidy if you ask me  .
if only there is a tweetdeck app for it   /  .
obviously , the droid has delivered much more than i thought i is buying  .
i especially love the battery life and sound quality  .
i mean , it is a phone , first and hopefully foremost i got this on vacation at the family get together , and everyone liked it so much , it became the buzz let's get the straight dope , ask the droid  .
the voice browser seldom missed it's target the navigation we tried several times , and every time , it took us the most direct and expeditious route  .
when we moved it around , it quickly resets and presents the new altered route we did have 1 error on which side of the road the destination is on i moved all my ipod songs off the ipod , into the amazon mp3 folder on the droid , and the droid added all the cover art and plays with slightly better bass than my nano it is a bit of a chore discovering the upper message curtain , and also figuring out that is needed for some basics you would not expect , such as usb discovery , but the web already has plenty of answer pages all in all , a home run  .
import the multi    touch , which reportedly the droid in europe enjoys , and it's very likely a grand slam for big red and motorola on the nits    i got mine via dell    special on    line offers for $119  .
wow  .
cheaper than what i paid for the razor 3xx 3 years ago  .
and the curtain interface , and all , although not entirely first cut or auto intuitive , after you get used to it , it gets fairly easy to start to discover where things are on the phone before you have to look them up  .
since i am doing all that in the first week , with time , i can only expect this part to be even easier i think why everyone is complaining about the camera is due to the low light imaging , and only because the video camera is so superb  .
oh , and one slight correction of another's review , at least on my droid , it gives youtube sharing of video by default  .
big red , add fb sharing of video , it's a no    brainer as for weight , no issue , it feels good to me my port of my service is not complete , but my droid is fully outgoing functional at this time  .
hopefully , this is the issue with the cold boot being very long it's a great phone , even the iphone junkies that have seen it seem to appreciate it  .
i love the iphone (my wife has a iphone 3g) , but i think if i had to pick , and i had to , i chose the droid  .
so far , i'm very happy with the choice and to see full bars at home , instead of the one dot and constant drops of at t in my house , i am very pleased updated  .
on dec 9 , 2009  .
at the end of the day the driod is a very powerful and useful device that matches and surpasses rival devices in many departments  .
if you admire iphone and pre like myself but reluctant to switch carriers for a particular device then that situation has been remedied by the introduction of the motorola droid by vzw .
best phone on the market in my opinion  .
i like this phone cause the price is right with www  .
e    phones  .
com at $149 with a 2yr contract and the features it has are great , i love it  .
will recommend this to anyone  .
like a lot of people hear , i liked the iphone but did not want to go back to crummy at t service  .
it is really bad if you live in a mountainous area like me  .
this phone does everything i want to do , some better than the iphone , some not as well like the music player  .
not a deal breaker for me  .
i still use my phone 50% of the time to actually make phone calls and the phone clarity between this phone , the iphone , and the bb storm , is no comparison  .
texting and emailing which make up probably 40% of my other use are also better and easier , once again , just my opinion .
it is pretty hard for me to find some cons and there is still more pros i wanted to put in but could not  .
i just really like to show some of the iphone people all the stuff i can do with my coverage while theres keep on trying to find the 3g signal  .
its great to have the fastest if it works  .
i cannot really say too much with at t and so i am not going to say too much more bad things with them but i know there are a good amount of people that do wish they had the verizon service and not the at t service  .
i do like the new iphone and at t comercials that are coming out to try to kill the droid verizon comercials that are already out there  .
i think the conection on verizon is fast enough for a phone  .
ping is at 177ms , download is at 838kbps , and upload is 509 kbps  .
which is pretty good for me  .
well that is about all i have to say on the phone hope this is able to help with anyone thinking about buying it .
google and verizon have saved motorola from an impending doom , and i couldn't be any happier  .
i have long been a motorola fan but have disliked verizon and google in the past very much  .
i have become a big verizon fan thanks to their customer service over the last year (seriously  .
now i can say i am a google fan as well this phone does everything i hoped the samsung omnia would do , but could not thanks to windows mobile , and improves it 100 fold  .
the speed is unmatched besides the iphone  .
the google marketplace is fantastic and offers a lot of quality vs  .
the apple quantity  .
the call quality is probably the best i have had since using a regular cell phone the google navigation , although in beta , is excellent  .
it actually saved my hide a few nights ago when i went out to dinner and had to do a quick navigation on the phone  .
and it also saved my butt when we forgot to bring the cd for a young relative  .
i is able to very quickly go to youtube and play the song off of that to summarize , it  .
s not an iphone killer  .
i hate the terminology and frankly i love the iphone too  .
s an unbelievable phone that appeals to non apple fans , non at t fans , or non etf fans  .
i fall into the non etf fan category but this phone makes me forget about that completely .
everything is so easy to use  .
i am an it guy so i need emails sms calanders the easier the better ,  .
onlything i havent tried is vpn as i cant find a decent terminal emulation program for ibm aix systems .
although this device does not have syncing software for pc interface , it does sync very well with google  .
if you are a google user you will absolutely love the availability to sync contacts , email , and calendar wirelessly the device has a solid build with little plastic hardware  .
this goes a long way with users that have been paying hundreds of dollars for devices made entirely out of plastic  .
the look and feel of this device makes you comfortable with the 200  .
00 tag the web browser and voice activated searching is very user friendly and allows users to find what ever they are looking for whenever they need to i have owned all the palm devices , all the blackberries , all the winmo phones , and the iphone  .
this combines the user friendlyness and touch interface of the iphone , the os dependability and speed of the blackberries , and the call quality of other cell phones  .
absolutely my best phone  .
the  .
a great phone  .
if you never had an android device before , give it a try  .
very good multi    tasker  .
i never had an iphone , but i know it's an excellent device  .
forget the phone wars , get what you like  .
just remember you have good choices out there , and the motorola droid is definitely something to look at .
i have had this phone for a week now , and love love love it  .
its a great phone , does more than i imagined it would , and since i did not defect from another smartphone , i dont have any comparison complaints i cant imagine anyone not being happy with this phone , unless they are too impatient to wait for the minor issues like bluetooth dial to be fixed with the coming updates , or folks who are so in love with , and used to thier previous devices that they never should have switched .
like , live it , own it .
i really like this phone  .
its is fast , easy and fun to use , with great graphics .
im very happy with it i love it i love the keyboard just have to get use to it and the phone it self .
i is waiting and waiting for verizon to get the iphone  .
love the verizon network and is willing to wait  .
all of a sudden the droid appeared and is a great match to the iphone i've been wanting  .
there were things about the iphone that weren't so great , dropped calls data clogs so i went with the droid  .
it's down right amazing and now i do not want an iphone  .
get it  .
the browser is really great  .
the full version of the latest flash , i hear , is slated to be added to this phone in early 2010  .
no flash lite stuff , we're getting the real deal i love the barcode scanner app       it's fun this phone lets me access my company network , lets me sync with outlook exchange , and is awesome for social networking i is amazed at how well this phone understands my voice when i'm searching for things  .
the other day , i told it to find a restaurant and within seconds i is looking at a page on yelp with a phone number  .
i pressed and held the number and it popped up with a list of options       one of which is to dial  .
i dialed and ordered for pick up  .
it is so simple and didn't require a high degree of effort       which is great when you're driving and cannot spare the attention i have a friend that speaks with a thick cuban accent and the phone understands him perfectly too  .
i did not realize that voice recognition had become so advanced i cannot even begin to list the things this phone can do  .
when it comes right down to it , whatever you might be able to come up with that's a weakness in the phone's operation , there's probably an app to fix it  .
if there is not an app to fix it , there will be i recommend to everyone to get this phone .
this phone , in my opinion , is the best alternative to a touch style super phone like the iphone  .
in many aspects this phone is superior to the iphone , but there are definitely areas where the iphone still outshines it ; most apparently the apps  .
what apples has a definite advantage in is the sheer number of people with their phone , and therefore the number of people developing apps for them that said , the android platform is taking off , and i suspect that within 6 months the android market will make leaps in bounds in catching up  .
this is the best mobile device i've had the pleasure of owning , and being able to get it on  .
verizon's ample 3g network is great  .
of all the current phone options and their abilities i would still rank iphone fist , but the network tradeoff brought me to verizon , and to the close second of the droid .
the touch screen is extremely intuitive and the device is faster than my home computer    no joke  .
i'm thoroughly impressed  .
besy phone yet for me .
this phone is simply amazing  .
i have had it for over a week now and i am still amazed by the features and functionality that the phone offers for free  .
this phone is made of metal which gives it a very solid construction and feel  .
i have had phones that i simply thought i is going to snap in half if i opened them too quickly , not the case with the droid the thing that makes this phone even more amazing is the support of google with the applications that it offers  .
there are so many applications that you can get but i live by the sentiment that it is not the quantity but it is the quality that matters  .
people have said that the droid has less apps then the iphone , which is true , but the apps that matter are all there and then some furthermore , i have many friends that have iphone's and the droid outshines their phones in operation and applications , whether the iphone is jail    broken or not really it comes down to what are you going to use the phone for , if you need a rugged phone that has great functionality and usability then the droid is for you  .
at first many people were like , ooooh the keyboard is too flat waahhhh but the keyboard works like a charm as totally easy to use  .
then some people complained that the phones touch screen is jittery but it is super smooth and very responsive  .
people just don't want to admit that this is as good as the iphone or better plus the gps is very useful and very accurate with pictures of where you're going and of your destination when you get there what the f  .
why do not other phones have this totally useful feature also there are more than enough droid apps available every app on other phones are just as useful except the droid runs super smooth with google  .
overall , best phone ever  .
i have had every single cell phone carrier had experience with alot of phones  .
sprint / nextel i880 , i870 , i860  .
at t razr , 2 sony ericsson phones , iphone 3gs  .
t    mobile sidekick lx , blackberry curve 8900  .
verizon wireless blackberry storm 2 , env 3 , env touch , glyde , voyager  .
the motorola droid is by farrr the best phone i have ever owned  .
and verizon wireless has the best reception out of all the carriers i have delt with  .
this cell phone is a must buy .
i and 3 family members have had the droid for about a week now , and we all really love it more than we thought we would  .
our contract is up with verizon soon and we thought about the iphone  .
we did side by side testing of the droid and the iphone and in our area the droid ran everything way faster , and we all agreed that the droid touch keyboards were easier to type on  .
very surprised by these results , as well as the fact that at t is very slow and sparse in our area i thought the full querty keyboard would be difficult as other reviews have stated , but within a day we were all used to it , and have had no problem since  .
(hubby has really big fingers , but has mastered the keyboards  .
) i also like the landscape touch keyboard as well  .
i am not much of a touch screen typist , but it is easy to use  .
another thing others mentioned in reviews is the turn on button on top of the phone  .
it is difficult to find sometimes , but that is great as i tend to turn my phone on by accident a lot  .
not one accidental turn on or pocket dial yet  .
i'm sure that is why they made the button so hidden , plus a swipe unlock on the first screen  .
droid is all metal , so i guess i cannot destroy it (i am hard on phones and have cracked many plastic parts  .
this makes it a bit heavy , but i kinda like the weighty feel of it love pretty much all the functions on the droid so far  .
calling is wonderful after all , is not it a phone  .
clear , no drops , phone pad goes dark while at ear and shows up when pulled away from ear nice  .
the net runs great over the phone network , and even better when on wifi  .
so happy with it  .
txting is fast and easy too , keeps each person you are txting seperate , so it is easier to follow a conversation when txting more than one person media music sounds great and is so easy to load off my laptop  .
pandora app works very well  .
video is great and loads great too  .
youtube runs beautifully  .
photos are better than most phones , but not as good as my last phone , the voyager  .
there are some nice photo editing apps you can grab off the google marketplace  .
speaking of the marketplace , i have been able to find every kind of app i needed , as well as some no one needs but are just fun  .
drinking a glass of milk , star wars light saber , foggy screen family agrees that it is addictive finding and playing with the games and apps  .
i love the new york times app , playable guitar chord app , and downloadable books  .
i even made use of the barcode scanner navigation tried the google nav several times , even tried to mess it up by going the wrong way but it worked great  .
wonderful turn by turn and visual help  .
nice car home button with a screen specifically made for use while driving  .
it has big one touch buttons for voice search , contacts , maps , and nav  .
what a great idea instead of searching through your phone for small buttons  .
way to go google  .
the voice search for the net and the nav works really great for me  .
i use it all the time do not quite like cannot organize photos , but i'll bet there is an app for that  .
no speed dial really  .
but , i did find a way to put my speed contacts on one of the home screens , even did separate ones for txting , calling , and mailing  .
different menus for each page or app you are on is kind of confusing at first  .
would have been nice to have a better user guide come with the droid to explain some of these things this is a great fun phone for a regular family of people who love to do everything on their phone  .
we have become droiders  .
if you want a quality phone that will do much more than you expect , you should get the droid  .
you'll be glad you did .
great value and incredible reception .
this phone is incredible the touchscreen is slick and fast  .
it is just as responsive as the iphone (if not better , i have an ipod touch to compare)  .
the resolution and quality of the screen in fantastic  .
i had no trouble viewing the screen in broad sunlight  .
i love having a physical keyboard at my disposal  .
a keyboard that i did get used to very quickly and can hammer out a text or email very fast  .
i perviously had a lg dare which is a dedicated touchscreen phone without a physical keyboard and am much happier to have one again when i need it  .
texting and writing emails with the touchscreen is still very easy , especially with auto    correct/spellcheck , but there are times where i would just much rather have a physical keyboard to type  .
i personally find the phone to be very appeasing to the eye as well the google services provided such as google maps and navigation are incredible  .
i is so sick of the standard verizon navigation system which is absolutely terrible compared to this  .
it is so much easiler to just type in an address or business name without having to find out and punch in it's sate or zipcode every single time as vz    nav requires  .
the incorporation of google street view is a luxury providing the ability to see exactly what your destination and route looks like  .
plus google maps is easily able to provide you quick directions without having to startup a turn    by    turn readout if it is not desired or needed i absolutely love the 2  .
0 operating system  .
the phones runs very smooth and quickly  .
it is quite easy to use (especially after playing around with it for a bit)  .
the web browser is great  .
pages load fast and are displayed very well on especially on such a large screen  .
i love how the phone is able to display what applications are running so you can optimize performance and battery life  .
the application store is very good and it is growing every day  .
i can even get several apps that i already have on my ipod touch and that are offered on the iphone  .
i especially love having an widget that always displays the weather on the home screen and top notification bar if i should choose  .
the ability to search google by voice is incredibly easy and frighteningly accurate (especially funny when you try dirty or odd voice searches to see if it can recognize what you are saying)  .
google skymaps is ridiculously cool  .
customization is easy to do whether it be wallpapers , shortcuts , widgets , or even ringtones  .
especially the ease to make custom and free ringtones  .
i also is thrilled to be able to put all of my music on the phone without having any playback issues  .
it is also very cool to be able to link your contacts with your facebook account so a person's facebook picture and profile    link are merged with their contact information  .
i could go on for a while more about the operating system and the things it does , but simply put 2  .
0 rocks from what i can gather the light sensor for the phone is on the back located next to the camera flash  .
this is used to detect brightness for the camera and to auto adjust screen and (qwerty) key brightness  .
i have noticed this at times because of the way i tend to hold the phone which can lead to the screen auto adjusting for a dark setting because my thumb or finger may be blocking the sensor which can be semi annoying but easily and quickly fixable  .
the camera is a little slow to load and review pictures but it is not as bad as people are making it out to be  .
battery life is okay , but this is my first smartphone so i have a skewed idea of what to expect when it comes to judging that  .
and it is a new phone that i do not want to put down  .
i would also like to see some adjustments to the music player luckily most of these cons can and probably will be fixed in a software update  .
including the camera speed overall i would highly recommend this phone to anyone  .
especially to any customer on the verizon network  .
i am a phone enthusiast  .
i have been waiting for a phone like this with all these features , \ to come about for some time now and i can happily say that this is well worth the investment updated  .
on nov 15 , 2009  .
first and foremost , the service is great  .
i had an iphone for a month and had tons of drop calls  .
if i is in a dense area of people i just could not make a call  .
i would go 5+ hrs sometimes before i could even make a call something that i did not realize when i first got the phone is value of the slide out keyboard  .
having used an iphone for a few weeks , i actually thought the keyboard is going to be a problem  .
but after using the droid's keyboard , i fell in love with it  .
it allows you to have a full size horizontal screen which is great for browsing the web along with everything else i never thought a phone would be able to compete with the iphone , but motorola has stepped up to the plate in a big way .
i've used so many phones for more than a decade now ; this is clearly the best for clear clean sound which is first and foremost for me in a phone  .
verizon system has great coverage  .
unlike iphone/att combo , i have not dropped a call since i got it a week ago and i'm on it all day  .
appreciate long call time , appreciate fact that it takes batteries ; appreciate that i can use mini    sd card for music and not face palm problem of filling up the memory over and over ; appreciate ease of emailing with big keyboard for big fingers ; appreciate gps maps cause on and off airplanes all the time and need quick mapping    this thing is right there , right away , showing me where i am and directions to next place  .
synching with google calendar , and with all my contacts in outlook and on gmail really huge  .
i is afraid this phone would be too much like a toy with music and games as its main event  .
clearly it does all that if that's what you want  .
but if you just need a real workhorse that does it all and does it excellently , this is the main event  .
makes the iphone feel like a toy to me now , a fun toy no doubt , but just a game machine next to this mean machine .
good bye iphone hello future this product is the bomb the future compared to iphone better screen way way better resolutions  .
better interface (widgets)  .
better network (i hate vz but they do have superior network to att) voice nav  .
and voice searches car mode full turn by turn nav open platform vs  .
closed who do you think will win google always been more ethical and user oriented iphone more apps ya right wait just a year you will see as a developer i would rather develop for android anyday rather than for steve job apple fan boys sorry you will be always boys time to grow up and get an droid android not necessarily a moto .
you need this phone  .
i like the droid quite a bit more than the iphone (and i had previously owned a 3gs) because its primary job of being a phone is done way better on verizon  .
i love the added keyboard and the openess of android  .
that coupled with the power of google is wildly awesome  .
i know most people gripe about it being non    gsm , but honestly , i don't have any plans of leaving american soil in the next 5    8 years  .
all that being said , i did not mind a fully touch phone , so i might have been able to save 100$ by going with the droid eris .
it's really hard to find cons with this phone  .
before i buy cell phones cnet is the first place i go to look for reviews  .
so i waited two weeks before i bought the droid  .
if you are thinking about purchasing this phone dont base it off of these reviews go play with it yourself  .
people complain about the keyboard , the camera , and the browser , well i absolutely love the virtual and physical keyboard , the camera takes great pics so far , and i have no complaints about the browser  .
one of my friends has a g1 and another has an iphone we all compared phones and my g1 friend is going to switch to verizon and my iphone friend (whom is a freakin mac lover) actually loves my phone especially when i showed him my vzw monthly bill  .
to sum it all up i love this phone i have never been excited by a phone , but i cannot keep my hands off this one im constantly downloading music and apps and backgrounds there's even an app that keeps track of all my bills and banks accounts im in love  .
it's pretty awesome  .
love the droid  .
it is a gift from my husband  .
i am the hit of the office it is so easy to use .
this is a good phone  .
keep up the work motorola  .
