if you can get a reasonably priced used one , go for it       it's definitely worth it .
macro shots are great , but i use the optical viewfinder for better shots , it's very hard to frame what you're going to take correctly  .
zoom shots look great and allow you to really capture detailed shots  .
the digital zoom is functional as the digic ii processing does a good job of smoothing out the picture for a usable and printable shot  .
i recently had a chance to capture some recent fireworks , and they also turned out amazing  .
the color swap feature is pretty cheesy , but i've actually had a lot of fun with it and have gotten some really good shots with that function you'd be hard    pressed to tell the difference between a video from a low    end camcorder and this digital camera  .
there's no lagging on action shots  .
a complaint is that only the digital zoom is functional when in movie mode  .
this works fine , but it'd be nicer to zoom in with the canon optics to avoid the noise when you utilize the zoom  .
it looks okay up until 4x playback on the screen is much more enjoyable than my previous sd110  .
the screen is vivid and there are now transitions  .
the screen also automatically rotates the picture depeneding on your orientation of the camera  .
so now when you take a portait shot , all you have to do is turn the camera and you can see the entire picture on the entire screen as it is meant to be seen  .
the tv    out function is also nice allowing you to watch those movies , which really look like a camcorder shot the video the speed of this camera is also very nice  .
you can take several pictures at once without worrying about the camera being able to process in time  .
i've also yet to miss a shot as the camera turns on immediately prints turned out great on this camera with my multifunction printer  .
incredibly crisp and even looks better than chemical developing at the stores i found that the camera is very affordable as there were a number of rebates available for it at a local store , but with all the discounts online , this is still a very affordable camera especially since it should not be outdated for at least another 5 years overall , it's a great camera , although the optical viewfinder could have been better placed to avoid smudging the screen as well as bigger  .
if you have the money , spring for the sd630 .
i love this camera  .
i is struggling between this one and the sony t    9 , and although i like sony's lcd better (seems smoother and sharper to me than canon's) , sony's issue with excessive red eye and dust spots from the flash , plus the smaller lens and $100 more made me go with this one  .
an image stabilizer would have been nice , but not a deal breaker  .
i recommend this camera for its outstanding photos once you see them on your pc/mac or in print  .
i picked up this sd600 after checking out my friend's sd450 liking it  .
i is familiar with the nice picture quality of the canons since i own an a80  .
the a80 is nice but very bulky (it is ok in the begining)  .
the sd600 slips into a pocket with ease  .
this thing is so compact it's hard to tell you have something in your pocket    well i like the large lcd screen  .
the pictures are razor sharp in the right mode  .
the built in video camera is great comes in handy at times  .
the array of functions like macro settings , color settings , attaching audio notes , etc  .
are all pluses now the not so good   the buttons can be a pain being so small  .
i know they cannot be gigantic but they could be easier on the fingers i do not even have large fingers  .
you can sometimes hit the wrong function by accident  .
knowing how much battery is available would be nice  .
hello canon , where is the battery meter  .
a simple (pleather) case would have been nice touch to protect your new toy  .
last thing the bs memory card  .
canon could have included at least a 64mb card    which is still not much  .
however 16mb holds about 8 picturs at good quality overall though , you cannot go wrong with this camera  .
if you're still shopping you can stop now get the sd600  .
canon has done it again with its sd600  .
it is truly one of the better top of the line compact cameras with a multitude of functions and settings and sharp , crisp image quality  .
got best buy to price match down to $300 3 days before i left for portugal , spain , france , england , morocco because i could not decided between the 600 the 630  .
played with both cameras twice in best buy and finally decided on the 600 as the resolution of the screens is identical    the 630's lcd seemed less sharp compared to the 600 extremely pleased with the 600  .
also bought a canon accessory pack containing leather case , metal neck lanyard , and spare battery for $55 bucks  .
neck lanyard is godsend    i hate carrying large purse/stuff on trips    feel way too touristy  .
leather case fit camera while on neck lanyard    very sturdy i don't know much about digital photography except that i had an old olympus 2 mp and refused to take that    it still takes great pictures but it's heavy , large , and the aa batteries are constantly falling out of the compartment besides using exposure compensation , macro , infinity , and reading 90% of the advanced user manual , steve's digicams and dcresource i have virtually no knowledge of digital cameras this camera is extremely easy to use  .
switching modes from presets to manual , very intuitive    i had the hang of the camera in under a day i'm still a little befuddled by iso other than basics of high vs  .
low    for low light pictures i found turning the flash off , setting the shot mode on continuous , and taking a series of 3    7 pictures typically presented 2/3 sharp pictures (i don't like the look of flash pictures in cathedrals , etc  .
) , and then i'd erase the blurred ones later on i realized later on , that'd i'd seriously underestimated the number of pictures i'd be taking (rather idiotic of me since i'd taken a 3 week class in egypt 1 year ago but also had my computer to dump photos) and filled up my 1 gb 80x transcend card less than 10 days into the trip    579 pictures on 6 mp fine (medium) detail setting  .
bought another 512 card and filled that one with 3 days remaining    (put it on superfine for the louvre) camera ran wonderfully    battery life probably around 1  .
5    2 days for intermittent use , longer if you turn the lcd off and aren't constantly reviewing your pictures (i'm anal)  .
movie mode is spectacular    i took one of the eiffel tower in light seizure mode (very rapid blinking) and it looks amazing (320x240 30 fps , 11 secs @ 7 mb) but it also filled the remainder of the 512 several other people had sony cameras and camcorders    there were constantly having trouble getting them working correctly (one refused to turn on every so often , even if battery is freshly charged , one camecorder could not delete individual pictures)  .
my canon worked so refreshinly easy and it syncs perfectly with my mac i did note one problem when try trying to import pictures onto my mother's intelmac    about 75% of the photos refused to import and gave a file corrupt error , whereas i had no problem on my 17 powerbook 1 ghz  .
also , the canon software would not install on the intelmac    i didn't see a notice on their website but i didn't look too hard    i'm guessing it's not univeral binary yet so one would have to rely on iphoto canon software works fine on my computer , only thing i have not gotten around to doing yet is the imagestich software    for combining pictures to make a panoramic overall , i'm glad i got the 600 instead of the 630    i cannot image battery life being nearly as long it is on the 600 , and for those few shots were it's so ungodly bright you cannot see the lcd , the viewfinder is the perfect safety  .
i still cannot get over how sharp the lcd on the 600 looks next to the 630    another  .
5 really does make a large impact on resolution i would not recommend any other camera    i spent months researching the aforementioned sites and quickly decided against the casio z850 when i read about it's deplorable movie mode , the sony t9 looks pretty but i cannot stand how aggravating they can be to use  .
canon is a perfect fit for me and i cannot see anyone not being satisfied with this camera just be very careful with the a/v out , usb door    i noticed this on other reviews but since i tend to treat my electronics better than my boyfriends , i'm not worried .
i bought this great little camera almost two weeks ago and have enjoyed every minute of use  .
i bought it to sort of replace my 3 year    old canon a80 , which is getting left home more and more because of its bulk  .
i travel a lot and wanted a quality ultracompact that would take pictures of the same caliber (or better) as my a80 , but be much more pocket    friendly  .
i considered a number of cameras   canon sd4xx/5xx/6xx , sony's t series , casio's z series , and panasonic's fx01  .
i went with the sd600 for its photo quality , build , optical viewfinder , and being the goldilocks for size   not too big , not too small , just right thoughts so far    .
the sd600 is has a nice little heft to it but is not too heavy , and felts like it's been machined out one piece of metal  .
for such a small device it feels nice and solid in hand  .
one    handed operation is fairly comfortable ; though the case is a little on the slippery side  .
i see i'll have to be careful with battery/card cover   it's the one thing that feels delicate  .
the buttons are large enough for my average    sized male hands the camera starts up very quickly , and shutter lag is negligible under most conditions  .
turning off the nine    point autofocus (aifa) , which leaves on the centered af , speeds things up a little  .
flash is strong in the center of the shot , but regardless of zoom , weak on the sides  .
fleshtones on the whole are rendered warm and natural , but again , it can be a little harsh in the center  .
redeye is present as often as not , but it's better than i expected  .
the flash cycles fairly quickly with a charged battery  .
battery life is ok   about 140 shots in fine mode , some flash use , and heavy lcd use  .
thank you canon for making a small flat charger whose prongs fold flat  .
while this elph's lcd is not stunning like some of its competitors , resolution and brightness are satisfactory in all but the harshest sunlight  .
bearing in mind this is an ultracompact , the viewfinder is decent and a reason why i chose this over the sd630 , casios , and sonys i am very pleased with the photos this little guy is delivering  .
there're enough scene modes , and the automatic settings produce consistent results  .
the camera's manual controls are somewhat limited , but it is a point    and    shoot after all  .
still , there's enough manual control to improve on the some of the auto modes and get more shots  .
i've found the white balance modes rather useless but surprisingly have had better and even more natural results using the special color modes  .
in the auto modes , colors are nicely saturated and accurately rendered  .
focus time seems about average  .
autofocus with or without aiaf is precise , so images are crisp without looking 'hard  .
' contrast and detail are very good  .
in the 4x6's and 5x7's i've printed out , i'm sure a trained eye would see some issues , but what counts is that my eye is delighted with the results  .
in making up my mind , video quality is not a consideration  .
after playing around with it though , i like what i see on the lcd , but i do not have enough experience with video to comment one way or another this canon is the best compromise for me   excellent photos , solid construction , and very pocket    and travel    friendly  .
battery life could be better  .
that's true of alot of electronic products , but i can live with it because the battery charger is very compact  .
all in all , this camera has met my expectations and has not disappointed me at all  .
in fact , it's been a lot of fun to use and play around with , which i think is much of the point of this class of camera .
its a reallly great camera , and u'll do great with it  .
i was not sure what to expect with the canon sd600  .
i had been using an olympus 3030z purchased in the year 2001  .
i used to carry around the big case full of spare batteries , extra memory cards and rca cords  .
i is ready for a compact  .
i bought the canon based on the size , specs and its popularity  .
it has not disappointed the most surpising feature of the sd600 is the video  .
amazing  .
i'm not sure if the technology has improved that much since i last shopped for a camera (admittedly 5 years ago) , or if canon does an exceptional job , but it is a joy to use  .
i almost use the video more than the stills my only complaint after two months of use involves the flash  .
it seems i wish it would fire more often in the automatic program mode  .
i know , the high iso is supposed to compensate , and does  .
this will take some getting used to  .
and even when the flash does fire , i end up wishing it is a little stronger  .
again , i realize that the compact form factor does not lend itself to a monster flash , so this will take some getting used to lastly , i enjoy the software included with sd600 and recommend you get at least a 1gb sd memory card  .
(i bought a 2gb and love it  .
it reads my 4 gb sd card and allows 1500 to 10 , 000 phots on it  .
i also have the wd    dc4 waterproof case for it and works amazingly well  .
cant wait to use it in 3 weeks in the dominican republic  .
i bought it for 236 dollars on preferredphoto  .
com  .
if you dont mind a little sales call (dont buy anything they offer , its over priced) they have the best prices .
now this is a great point and shoot digital camera  .
it provides truly exceptional image quality with crisp , sharp images , vivid and true colors with superior zoom and macro features  .
it is fast too  .
start up is quick and lag between shots is unnoticeable  .
it is simple to use and the price is very reasonable  .
i did a great deal of research before buying this camera (after having been 'burned' with the hp photosmart r717)  .
the expert and consumer reviews for this camera have been very positive , across the board  .
if image quality is important to you    buy this camera  .
i just bought my ixus 60 one month ago  .
found that it is really perfect and stylish  .
with the metal casing feel very solid when holding it  .
the camera can take good photo with good quality and good color without any problem when bright  .
but the problem for it is the flash , the flash is still not good and strong enough  .
another problem is the camera do not have is  .
it will be problematic when take photo at night or when dark without using the flash  .
the photo will become blur when the higher iso is using  .
overall it is a great camera with the compact size for me as well .
i bought this camera after a fiasco with the kodak v570  .
love the simplicity along with great picture quality  .
really like the viewfinder for bright sunny days  .
very compact and fits into my pocket .
this camera is bought to replace our canon a70 which is our 1st digital camera  .
it feels like we made the transition from dinosaur to speed racer  .
the sd600 is very fast , during start    up , pic    to    pic , and during focusing  .
with the digic processor it's difficult to take a bad picture  .
the rechargable battery has worked great , lasting a long time even with extensive photo sessions  .
definitely buy on    line for the price break we are so impressed that we bought one for our friend that is graduating from college  .
i paid 280  .
00 for the camera and had no complain at all  .
a lot of features and the macro were great  .
i tested macro function on a postcard portrait and every one seen the picture thought it is taken from a live model  .
the size is so compact that i could just carry the camera in my pocket all day long without even thought about it  .
i rated a 9 due to only 3x optical zoom  .
if it has a 4x or 5x optical zoom then it would be a perfect 10  .
definitely recommended for any one wanted a compact camera for great picture .
i replaced my older canon s230 with the sd600  .
more options for movies , and nifty extras like changing colors make it more versatile  .
overall a great little camera .
i just purchased this camera a month ago for a vacation to nyc  .
i wanted to get a camera that could take good indoor pictures in musuems that didn't allow the use of a flash , and something compact this camera did not disappoint , with the iso settings , and also the stitch function , which allowed me to get a great panorama view of the manhattan skyline the camera feels sturdy , and the lcd screen seems to have a coating that makes it hard to scratch  .
ergonomics are great , and i never had it fall out of my hand while grabbing for it in my pocket the only thing i did not expect is a high    pitched mechanical whirring noise when you power on the camera , and when you focus  .
this noise is in addition to the mechanical zoom in/out sound  .
the previous models did not have it , and i almost returned the camera because of this  .
i had to go down to fry's to hear the floor model do the same thing , and also the sd630  .
i guess the new models all have this sound  .
just a heads    up .
well i had the sd450 and that is also a good camera saw this in best buy liked it and bought it home amazing quality  .
love canon products would buy another camera soon maybe their rebel  .
but buy this  .
the key to great pictures is having the camera with you when opportunities arise  .
how many times do you not have the dslr when a great shot is available  .
for those of us who do not have time to go looking for photo ops , the key is to have a camera thats always with you this one takes great shots in every kind of light (has iso 800 , is every bit as versatile as anyone but a pro could possibly need , and is one of the few in this size range to keep an optical viewfinder  .
that means that a single battery can last through an entire vacation if you use the optical viewfinder for daytime shots  .
i carry one spare battery , a 1 gig sd card , and can travel anywhere , taking hundreds of perfect shots , because the camera is always in a shirt pocket or on my belt , and i can go days without the need to recharge a battery replaced a canon s400 which is also a great little camera  .
i never touch the dslr .
if you are in the market for one , this is it  .
have a fun with it  .
great little camera  .
use my nikon d70 when picture speed and quality a must  .
but i wanted something to carry around or put in the video camera bag  .
made a good choice and canon did well with making the choice easier  .
very compact , good images , screen and options  .
battery lasts quite a while and additional batteries not that expensive  .
again not the perfections of a dslr but when you want to have a camera with you at all times and will preserve the moments this is a very good option .
the photo quality is excellent and video is good considering the weak zoom capabilities  .
the small camera kicks big @#$  .
sorry , i disagree on the hard to download photos if you have a multifunction printer hooked up to windows xp  .
i have no problem  .
i use adobe elements 2 to download very quickly  .
i also got a much better deal than the $599  .
54 price  .
i've had this camera for about a year now , and i am impressed with its value  .
i've shot about 3000 pics through it cause it is small enough to carry everywhere  .
it makes taking tons of pics easy wherever you are  .
i took it to spain and took almost 400 pics in one day on one charge  .
had it in my pocket here in iraq for about 4 months now , and this camera is a trooper  .
had a nikon 4300 and it did not hold up for a month with the fine sand in the desert  .
taking alot of pictures of daytime cloudless blue skies revealed some minor vignetting  .
nothing serious though  .
if you want an awesome camera for less than 250 dollars , i highly recommend this one , and despite the editors review , it has more features then they lead on  .
took me awhile to discover them , but very impressed .
i'm glad canon chose this camera to replace my old ixus v3 [for free  .
having no image stabilization sucks [i have shaky hands , and there are a lot of times when i want to shoot without flash indoors] , everything else is great  .
camera design , software , and of course photo quality       perfect .
overall , i really enjoyed using the sd600  .
it is cute and convient  .
the first few days i had it , i didn't like it but once i find the perfect setting  .
i fell in love with it  .
it takes thee most gorgeous black and white pictures and i absolutely love black and white pictures  .
the colors came out decent as well  .
my only compliant would be that the color accent feature did not really work well and that is one of the things that had initally attracted me to the camera and sometimes it over emphasized things  .
like once all of a sudden my camera become so detailed that when you zoomed in you could see every indiviual strand of your clothes  .
i would totally recommand this camera .
this is my first digital camera and i made an excellent choice  .
i did alot of research on digital cameras and found that the canon powershot sd600 is easy to use and very compact , fast startup and the images are great  .
i'm still learning to use the canon powershot and i love the idea of seeing the picture right away  .
the only thing is even with the red eye reduction on i still get alot of red eyes , i know it is made to reduce red eye and not eliminate it totally but 90% of my photos people had red eyes , maybe this is my fault , like i said i'm still learning , but all in all this is the best camera for me  .
i bought this camera about 4 months ago , after having my old cannon stolen at a dodgers game  .
i wanted to stick w/ cannon because i liked their interface , quality , and generally ease of use  .
for the price , this is an easy pic for a simple point and shoot  .
it doesn't promise anything huge but that's ok  .
it does exactly what it's supposed to do  .
take good quick pictures  .
my girlfriend uses it for more point and shoot and i've used it for slightly more advanced photography  .
while it doesn't have tons of features (no aperture setting) you can use it in manual mode to set iso speed and shutter speed  .
like most compact digitals , it doesn't handle low light all that well , but it does at least try  .
when shooting in automatic mode there are quick access buttons that you can set to no flash and another to high iso if you want my biggest complaint with cannon point and shoot it the flash is way too bright  .
you can adjust it but it basically goes from super bright to still really frikin' bright  .
id you're taking pics at anything less then 15 feet in , say , a bar environment you get your subject really washed out  .
i've actually taken to putting a little piece of white paper over the flash when i'm snapping pics to soften it a bit all this said , i love this camera  .
it's small , it feels very well made and i haven't had any trouble with it so far (i would not expect any in only 3 months)  .
also i forgot to mention that its start    up time is incredible and same for the processing time in between shots  .
if you're looking for a quality camera at a good price , get this .
as i have a life , i'll only write a short review    i got rid of a panasonic fx07 which took very poor pictures ; especially compared to the canon sd600 no , this is not the best or perfect like those other headlines would like you to think , but if you want a small digital camera for all around use , you won't go wrong with this camera and no , i wo not complain about the small memory card included get over it , they all come with small cards .
this camera is fantastic , thanks to all the reviews , it is exactly what i is looking for in a digital camera , however , there is no zoom/trim option on the camera itself  .
i had a sony cybershot before and this is one of the best features that you can take a picture , then zoom and crop it on the fly on the camera itself , not so with the sd600  .
but , the computer software will allow it , although i had to figure this out on my own , canon's tech support said it couldn't be done  .
they also said there is no zoom/trim on the camera itself , but i'm going to keep looking  .
i am going to be getting the canon 6700d printer to print out the photos and even though they said there's no zoom/trim on the printer , i will look to double    check , they do not seem to know too much about their own products .
found it for around $215 via a search on froogle for canon sd600 and several stores on the net for below $250 .
excellent snap shot point shoot  .
i bought the sd600 to replace a 3 year old , but perfectly functional sony 3  .
2 megapixel sony cyber    shot  .
the sony worked but its images never seemed as sharp as those taken by friends and family , at the same events , with newer 5 to 7 megapixel point and shoots  .
when i hold both cameras in my hand the sony feels like a brick  .
the canon is half as thick , and third less wide (right to left) , the same height , and considerably lighter  .
canons sleek build did not come at the expense of a small or cheap lens , both cameras have f2  .
8 lenses that open up just as wide to let in the same amount of light one great but rarely mentioned feature of the canon is its superb battery and charger  .
on the sony the battery is not replaceable , you simply plug the camera into the charger  .
the sony charger is a big brick with one long cord running into the wall and another long cord running to the camera  .
the canon battery is about the size of three quarters stacked on top of each other , and it slides out of the camera , and into a small supplied charger (canon product cb    2lv) that is the size of a closed flip    phone cellular  .
so what if the canon does not have a battery meter , for $15  .
00 you can buy a second battery and have a charged spare ready this is camera is not perfect  .
display and control of shutter speeds and aperture would be a nice addition to the sd600  .
i use a nikon d70 for my serious photography , and the sd600 for when i do not want to lug around a bag full of photo gear  .
for users who want best of class image quality , shirt pocket portability , and design that would make ipod and subzero proud , this (or the sd700is) is the camera to buy .
well , canon has done it again  .
canon's new line of cameras is probably the best combination of aesthetics and functionality on the camera market today  .
it's like they put together sony (who only focuses on looks and doesn't care if the pictures it takes are crap) and their older canon models (which were the fattest , ugliest things ever , but took great pictures) into one slick product line this camera is great , but it's not perfect like many make it out to be pros   this thing looks sexy  .
large 2  .
5 screen that you have to see to believe  .
bright and brilliant , it makes you wish they implimented this kind of lcd technology in everything digital  .
it boots up in about a second , which is great for those who like to turn it on just to snap a picture , and then keep it off to conserve battery  .
the pictures it takes are great , and there are a myriad of different features , which include several different kinds of presets for point    and    shoot photography in all sorts of situations  .
there are also manual features which can be tweaked to liking , such as white balance , color , exposure (contrast) , iso speed , etc  .
there is also a high    iso mode for 800+iso pictures , which can be handy for many situations  .
also one neat feature is time and date input and time zones  .
basically when you first boot the camera for the first time , you enter in the date and time and your time zone  .
then , if you go traveling , you can set the camera into travel mode and select the time zone of your travel locale for instant time switching cons   no battery meter  .
is it just me , or do no digital cameras these days have battery meters  .
sheesh , at least make it a menu item where you can check the battery levels  .
the camera also lacks some advanced manual features like aperture and shutter speed  .
on top of this , the camera requires battery power to operate usb transfers and does not draw usb bus power  .
the software bundle comes with canon's eos utility (which allows some nifty features like remote capturing of pictures straight to the pc) , but there's no support for the sd600  .
it kind of gets your hopes up when they bundle that software in there , and then it does not even work with your camera model  .
also , the 3x optical zoom leaves much to be desired conclusion   this camera is great , and if you can get over its few shortcomings , then it's for you  .
if not , then you can try checking out the canon a    series which i imagine would have a few more features , but slightly poorer picture quality  .
overall , great camera , and another success for canon .
so i lost my canon elph s230 and had to buy a new one  .
it is a no brainer to pick up another elph , because i loved my last one so much  .
low and behold my lost camera showed up on my doorstep and gave me a chance to compare the two  .
this new model is substantially thinner and a bit shorter (~1/8 )  .
the shot is not that much better though  .
i thought 6 megapixel would blow away a 3  .
2 megapixel camera , but when you zoom in on photoshop , the quality is hard to discern  .
nice video options and i like the high iso800 feature  .
if you do not have a camera yet , this is a sweet deal  .
if your looking to upgrade , i would hold off .
i found this camera in the street one day  .
it is wet and pretty muddy  .
i also noticed that it had most likely been run over by a car because it's body has been crushed and deformed  .
the screen is cracked and unusable  .
i took some pictures with it at a basketball game through the view finder , which is pretty small  .
the the pictures came out fine  .
i also took a few videos and they also came out fine and with decent quality but one of them did not record any audio  .
overall , i'm extremely pleased with it's durability and i'm looking for a charger so i can use it as an everyday camera instead of my phone camera or nikon d200 this site lists this camera to cost about $549 ; that's outrageous  .
it's not worth that much as a point and shoot camera  .
i found this same camera for about $250 on another website  .
and considering it's durability , i would not be afraid to buy used .
this is a great camera , and it managed to last a year longer than its warranty guaranteed  .
then eventually flash stopped working and so did it's tolerance for low light the only issues that i had with it were the ones listed next to the cons above such as the picture quality   flash is okay , but sometimes it adds too much contrast into a picture , but it's hardly ever blurry  .
flash also delays for about three seconds       maybe longer       before it actually takes a picture , which is undoubtedly frustrating  .
without flash on , the pictures can come out blurry unless you have it on the proper iso setting  .
make sure you have a steady hand the problem with the videos is pretty minor  .
it doesn't take up too much space as long as it's a minute or less and the battery does not wear out too much faster  .
the video con is really just a warning other than those things , the camera is great  .
the quality is good when i could get it to work , and it lasted two years it's a good camera , especially for not being one of jthe latest models .
i have owned this camera for about 1 year  .
overall , i am pleased , but i would have preferred a camera with stabilization after using it a while  .
pictures can be fuzzy without them as any camera this small is also impossible to hold perfectly still outdoor picture quality is stunning , colors vibrant , good contrast ratio would recommend for the price (now much cheaper @ $230) , but if you can afford better , do it .
this is a good all    around camera , with a somewhat basic feature set  .
it would work well as possibly a first camera , or for someone who does not need a lot of complicated features found in high    end cameras  .
it fits easily into pockets , but forms a noticeable weight so you know its there  .
it sometimes struggles with pictures in low    light , but usually when the flash is switched off  .
when it is turned on , it takes good pictures in low    light  .
a neat feature i saw is when i went to an aquarium , it too pictures in windows without taking the reflection , heavily reducing glare  .
the one major pain i have with this camera is the battery  .
it is made by canon , and is product    specific , making it hard to replace  .
also , if you lose the charger , you're out of luck  .
it would probably be simpler if it used aaa or aa batteries , but perhaps it needs more power than that and the size of the camera is a major constraint in terms of that .
i purchased this because i needed a good point and shoot camera to take pictures of my daughter playing soccer , swimming , family vacation photos , around the house , blah blah etc and found this camera rocks  .
great clear quality photos , small in size and easy to use  .
when i need a quick photo and do not want to miss the moment , this camera does the trick .
very good camera , beautiful pictures , very quick and responsive  .
i just have one problem with lcd screen  .
when in the dark and pointing at the light source , i get those vertical blue lines on the screen  .
they do not show up on the picture , but they are there right before you shoot the picture  .
maybe somebody can tell me what these lines are .
i picked this camera to carry when i do not want to lug my canon eos 2d on travel yet still want the option of taking photos  .
overall the quality is good , you just have to remember you're shooting without image stabilization otherwise you end up with a bunch of unusable photos  .
basic modes are acceptable    auto , manual , macro , portrait , night , and a kids/pets shoot  .
the lack of a fast mode is somewhat lacking for action shots  .
the menus are intutive and offer help text automatically  .
the larger screen is a great improvement  .
thumbs up canon , no regrets on the purchase .
i have been using this camera for almost a year and am mostly pleased  .
my biggest gripe is when the protective anti    glare coating on the lcd screen peeled    off after a few months' use  .
it has an optical viewfinder to use outdoors when the lcd screen gets washed    out  .
unfortunately , when using the optical viewfinder , the snapshots come out way off    center  .
what should be in the center of the photo shows    up at the very bottom or even gets cut    off  .
no crossbars are included  .
it must have something to do with parallax  .
as a result , i have to use the lcd screen even in bright sunlight  .
i am also not pleased that there's no way to check the battery strength so you do not know when the battery is weak until when an indicator finally appears  .
i have run    out of power as a result  .
i lost taking photos of the landing of the first airbus a380 as a result  .
now , i often carry a spare  .
i also wish that the iso is higher than it is  .
the shutter lag seems to be slower than advertised  .
the auto white balance often must be adjusted manually  .
a backlight compensation switch would be nice , too  .
overall , i am pleased with the camera although i fear that the battery cover and top toggle switch will one    day break    off .
do not get me wrong , this camera takes very good photos  .
i've had it for a few days now , but will be returning it today for the following reasons 1) build quality is not good like cnet says , i feel like i'll break it within a month 2)battery cover will be broke within a year without question  .
horrible quality 3)i bite my nails , to open the a/v cover to download photos is a nightmare  .
4)i have to take the battery out and plug it into the wall , why no other option is available is beyond me 5)menu system is horrible  .
to get to all the good custom scenes take too long 6)the screen is so large that its impossible to hold with one hand without putting your fingers all over it  .
7)the camera is slippery , feel like i'm going to drop it 8)the lcd screen has the same pixel count as the 2  .
5 screen , making it pretty washed out in daylight if you can live with all these things , you've got your self a camera that takes very good photos  .
i just cannot put up with all these cons  .
probably the biggest one being that i feel like it is very cheaply made .
nothing is built to last anymore .
i purchased this camera because i needed i wanted a model i could place in my pocket and because canon always receives the best praise  .
i had previously used a canon powershot s50 and is delighted by its feature set and image quality even though it is a relatively old camera  .
but i must say i is disappointed with the sd600  .
the pictures just were not that good  .
the camera is way too prone to blur  .
the flash left everything washed out , noticeably moreso than other canons i've used  .
on the bright side , the camera is small , stylish , and boasts a large lcd and canon's easy    to    navigate controls  .
i suggest purchasing this camera only if you want to have a camera that fits in a pocket and can be handy at all times  .
otherwise , i'd look for another model (or consider one of the new sd's that uses image stabilization) .
i have only owned the camera for a few months , and for most of the time , it has been in canon's repair centre  .
a few weeks after buying the camera , i noticed that there were blue lines and blocks around light sources (lights , candles , windows)  .
it shows up on the screen and in videos , but not in photos  .
the blue lines and streaks are quite noticeable  .
i wanted to return or exchange it , but bhphoto wouldn't accept it after 2 weeks i decided to get it fixed through canon  .
i dropped it off at a canon repair centre  .
the customer service representative took a look at it , and seemed to think it is a problem they could fix  .
they took 3 weeks to get it back to me  .
when i received it , the problem is still there  .
the repair form said that they replaced a defective part in the optical unit  .
after calling and asking them about this , i is told to send it back to them  .
after waiting another 4 weeks , they returned the camera to me without having fixed anything  .
the repair form said that there is nothing wrong with the camera  .
they compared it to other sd600 cameras , and wrote that it's normal to see such blue lines i have used the canon sd550 and other digital cameras (pentax) and i never noticed this problem  .
is this normal  .
or is there something defective about the sd600  .
i'm very disappointed about this , especially since it shows up on videos  .
i'm also very annoyed with canon right now  .
i have barely used this camera , and i was not able to use it on my trip or on a few special occasions because it has spent so much time in their repair centre  .
if it's something they could not fix , i wish they had told me that a lot sooner .
i got this camera as a pocket size , on    the    go camera and i chose it over the sony in the same size class  .
at the time there were no user reviews so i made a gut choice but since i have had three months of use and the list of cons keep growing larger it's great for taking portrait photos of people in dark places as long as you're not more than 10 feet away  .
however , even the night portrait mode at moderate light is very sub    par and often blurry when viewed on a large screen  .
the optical zoom is decent and you can usually snap a few clean shots but if you use the digital zoom forget about it , it's going to be blurry even in the best of light another reason i got this camera is its abilities to take high res videos  .
at 30 fps and 640x480 on a 512 mb card you may be able to get 5 20 second videos  .
i have to take it all the way down to 15 fps 320x240 to be able to actually use the video and take pics , but the videos come out ok if you're at the right distance and lighting  .
another cool feature is the ability to zoom while recording but if you do , the camera does not auto    focus so you get a crisp image at first and it goes blurry as you start to zoom  .
also the audio on the camera seems to be way too amplified and while it is good for indoor personal home video recording , if you are at a concert , club , or any other venue where there's bass , the audio comes out terrible unless you're far away from the stage  .
it would have been far too logical for canon to provide you a way to turn the mic down on the audio all in all , if you are going to be using this camera to snap photos of friends that are close in proximity then this is a great buy  .
but if you want to take videos of events , distant photos that require zoom , or if you cannot hold a camera perfectly still while snapping then you might want to think about another camera .
so i just bought my canon sd600 , used it , liked it , dont love it  .
my nikon 5  .
1 megapixel camera seems better then this  .
first of all , its farely slim , thats the reason why i bought it , but what is i thinking , everytime i take a picture without the flash , it blurs up , it shows all the pixels , its like its on the lowest quaility but i donno how to change it  .
but when you take a picture with the flash on the quality is amazing  .
im not sure if its like this to all sd600's or just mine but its really getting me mad  .
im using my nikon until i figure this out .
this is a fun camera to use , it's very compact , but i is disappointed with the image quality .
poor documentation manuals and poor online pre    printed materials  .
this is a technological marvel and takes good pictures , but i spend too much time figuring out how to do things  .
navigation is poor with obscure functions at top .
while i think this    and other canon cameras as well    is a very good camera overall , it is well behind other cameras in many aspects    .
lcd resolution   while the 175 , 000 pixels is much better than previous canon elph models which features just 118 , 000 pixels , it's still way behind other cameras which offer 230 , 000 pixels (kodak , pentax , sony , and others)  .
(and they still use the lower 115 , 000 pixel lcd on other cameras , s80 , a700 , etc  .
video is captured in uncompressed avi format    which will allow for a mere 8 minute high quality video on a 1 gb card    while other cameras use compressed formats (mpeg or quicktime) which allow up to 1 hour of high quality video 3  .
optical zoom is disabled during video recording , only digital zoom is allowed  .
other cameras (but not many) would let you zoom in out optical during video recording  .
the digital zoom is really bad and is not worth to try 4  .
the camera is pretty fast , but some other cameras (especially the casio exilim ex    z750 i recetnly tested) is much faster 5  .
battery life is only adequate  .
the casio models are much better 6  .
controls are very tiny even for small hands , leave alone bigger hands  .
again , the above    mentioned casio has controls which is much superior to the canon's  .
