very good looking fast phone that would satisfy pro needs .
it is an amazing little phone  .
even if/when verizon gets an iphone , this device will make an iphone on big red seem like an squirt in the bucket here is the skinny  .
in need of a new smart phone/business device  .
get this phone now  .
you will not be disappointed .
the best phone on the market  .
having used both phones it out iphones the iphone  .
its lighter , quicker , and it just does more than the iphone while doing it on the best network .
i have had this phone since launch day and am extremely impressed  .
i have used many phones in the past , including the coveted iphone , but this blows them all out of the water  .
i am a long    standing mac user , and love all apple products , but when something is better you just have to accept it  .
this phone is incredibly fast , fun and easy    to    use  .
the sense ui is such a pleasure to use , and is much better than the standard google experience in my opinion  .
the speed of this phone is just unparalleled  .
it just flies  .
the battery life is actually much better than i expected , as i use apps all day from pandora playing in the background while i use navigation to find my way around , to watching a movie while i work out , or listening to my tunes while i play a game  .
it has so far lasted me a whole day's worth of content and i am pleased with that  .
the htc flash add    on is great for using some flash content , but unfortunately not all  .
the new leap feature is very handy and reminds me of expose on my macs , which i use frequently  .
it has just been an extremely pleasant experience so far and i look forward to holding onto this phone for some time  .
especially with how unimpressive iphone os 4 is looking so far  .
i also tested the 3g speed here in central mn , where there is no at t 3g , and a spring mifi is pulling 1  .
4 mbps and this beast is getting 2  .
4 mbps in the exact same spot  .
cannot complain  .
if you are on verizon , or even if you are with another provider , and want the best phone to date , get out and get yourself an htc droid incredible , you wo not be disappointed .
for those complaining about low battery life , i bet you have opened several apps and did not fully close out of them  .
mine had all my apps running at once (unknowingly) and battery life is 4 hrs  .
if you run advanced task killer , you can close your instances of apps read the manual  .
batt life is much better now .
great phone , definitely the best on verizon and maybe the best period love it  .
i love this phone  .
i walked into vzw to get my girfriend a new phone , and i walked out with a new one too  .
the droid incredible is one of those products that you must experience .
i have sat on the sidelines for years waiting for a phone that would be a pocket size computer  .
this is it  .
in a matter of minutes i had set up my google calendar on my pc  .
i checked my calendar on the incredible and it's all there  .
i have multiple email accounts and with the multiple home pages i can check email with ease  .
my old phone is was an htc and i is very happy with it , very reliable  .
i downloaded the user guide very helpful .
it's by far the best phone you can get on verizon  .
a friend of mine has a moto droid , he loves it but he certainly has some phone envy  .
htc's widgets and other wonderful work just make vanilla android seem well vanilla  .
the touchscreen is ultra responsive , visibility outside leaves something to be desired  .
but nothing you cannot turn your back against to slightly improve sight still on the fence  .
go to the store and play with one , the display phone really set into stone that i is buying it .
truly an iphone killer  .
this phone does it all  .
android at its best , running the latest , seamlessly smooth sense ui  .
i is a previous motorola droid owner and i loved it , but this phone simply blew it out of the water for me  .
the hardware and software shine when compared to others  .
it is truly incredible .
i dont think the issues noted by other users are as big a deal as the drama queens make them out to be  .
ive had the phone for 6 hours now and have been thinkering way more than i probably should since its a new phone and its a sick phone i mite add  .
and after six hours of texting , youtube , web and app surfing not constant i do have a life and other things that snatch my attention  .
but a good chunk of the last 6 hours , and its still on factory charge that it came out of the box with also ive noticed it showing 1 bar of service at times , but i picked it up and called my buddy , , clicked over to youtube sent texts with one bar and had no issues im not in a basement thats notorious for being a deadspot for some of the lesser cellphone providers and i have full use of my incredible i bought this phone because to me other than typical phone usage the most important functions to me are the camera and texting and both are incredible 8mp with a more than generous selection of editing options and the texting ive been using the voice texting , where you push the microphone and say whatever you want to say wait half a second and there it is in plain text word for word what you just said and you can say question mark or period for punctuation its invaluable for responding to texts while driving makes it much simpler , quicker , and safer and surprisingly 99  .
9% of what i said came out flawless in text and the other times it actually had ####### to hide my swearing and it changed this to these but i kinda mumbled go to the verizon store play with the incredible they have on display as i did the moto droid is a sweet phone too but texting , and camera were two areas it is unimpressive its all up to personal prefferance  .
also check videos on youtube  .
ive seen head to head videos putting iphone 3g , and moto droid up agains htc incredible in two seperate videos , and in both incredible is faster than both but dont take my word for it  .
go to youtube , or google and check it out .
love this phone , at first thought it felt flimsey but when i put the back on and held it in my hand , best feeling ever , love android os , love this phone .
i cannot say enough that this phone is great and truly the best smartphone in america  .
for those complaining of reception problems there are none that i have seen  .
the bars on the phone appear to be incorrectly reporting the signal  .
i've talked on the phone and used 3g and had no drops or problems even with one bar  .
i came from t    mobile and had not only voice but data drops that simply have not occurred with me going the exact same places with the incredible  .
i'm sure there will probably be an update to correct the bars .
near perfect phone with amazing features and a superb browsing experience  .
this phone works perfectly as a business and a pleasure phone  .
i cannot say enough about it .
everything else suck .
the bottom line is simple  .
its been a long time coming but verizon finally got the best phone out  .
go big red .
buy this phone guys , it's really fast and responsive , best smartphone i've ever had my hands on  .
serious competition to the iphone and a worthy successor to the successful droid .
i got the droid incredible after having a blackberry tour and motorola droid  .
this is the best by far  .
if only for the processing speed alone , it's worth the money  .
no lag or slowdowns , even with multiple apps running  .
the camera is at least as good as the motorola droid  .
the screen is awesome  .
responsive and bright  .
i is at first very worried about typing without a keyboard (especially after coming from a blackberry) , but this screen is so big that i'm not finding it to be a problem  .
android is a great os  .
i loved it on the motorola droid and i love it on the droid incredible  .
once you get used to it you really see how outdated the blackberry os is battery life is pretty good  .
in my test day i is streaming music from pandora , browsing the interent , and texting  .
i got a full day of use and that will probably increase once the battery cycles a few times  .
yes , i would love a smartphone that could go five days without a charge , but really the droid incredible's battery life is on par with what your going to find in smartphone these days  .
battery tech is still catching up to smartphone energy demands  .
that being said , is it really that hard to plug in a phone every night  .
overall , great smartphone  .
if you want a touch screen only smartphone with android , there ar not any better (for now) .
honestly this phone is amazing , i cannot believe how far smartphones have come  .
i've had a iphone 2g , and a bb bold 9000 before this and i've never had a phone this fast and seamless between everything  .
now i just got this phone in and have messing around with it all day  .
i've heard the battery needs a couple cycles to improve  .
but as of now the only downside i see is battery life  .
but i mean seriously  .
with this kind of speed and power what do you expect  .
updated  .
on may 28 , 2010  .
this phone is incredible  .
its super fast and easy to use  .
web browsing is almost as good as on a computer  .
linking all of your contacts from all of your accounts is easy and centralizes all messages and updates from them  .
browsing through pictures on facebook is so fast its crazy  .
its faster than browsing photo albums that were stored on my old phone's sd card almost everything about this phone seems just about perfect to me so far  .
the only downside so far is the battery life  .
i have a feeling that its going to be sitting on its charger a lot .
throw away your motorola droid and your the iphone this is the best updated  .
on apr 29 , 2010  .
incredibly great  .
what else can i say  .
better as it is not on at t  .
this phone came 2 days early due to a glitch at vzw i love this phone this phone is it  .
much better than the iphone  .
i have the ipodtouch mp3 player and have had since launch  .
this is just as sensitive as the iphone , same weight , bigger screen , soooooooo much faster than my neighbors i love it to death  .
i have had 1 samsung , 2 lg , and 1 droid and returned all of them because the phone itself is just horrible trust me    just trust me this is the phone to get .
buy this phone if your on verizon and have wanted a world class top quality smart phone , you wo not be disappointed .
i have the droid from verizon  .
it is a great phone but it is missing a few features such as a great camera and the storage is certainly lacking  .
i know you can add a microsd but you cannot use it to store apps  .
that is where the incredible comes in  .
it has storage upon storage for all your app needs  .
the ui is also htc sense with android which makes for a very sleek experience  .
i tested the phone at a verizon store and i have to say i'm really impressed with the ui being a touch only phone , they made it really easy to navigate around  .
grouping contacts , moving from screen to screen etc  .
i is able to get it on pre    order and will get it the day or day after it is available  .
android is really going places  .
this is my first smartphone ; i've never had a blackberry , iphone , droid , etc  .
; never had a pda , itouch , etc  .
either  .
my wife and i had samsung flip    phones from verizon for a few years ; i couldn't justify the $30/month data charge per phone , so when verizon changed their pricing structure , we decided to get smartphones i had been researching them over the past 6 months , and had narrowed it down to the incredible , droid x , and droid 2  .
the droid x is just too big ; the droid 2's slide out keyboard worried me ; so we decided to go with the incredible it's awesome  .
like i said , i've never had a smartphone , so i have nothing to compare it to  .
but , we've had them for around 2 weeks , haven't had any problems  .
voice is fine  .
camera/video works well  .
we've been using the calendar app  .
music is ok  .
very easy to click and drag files between phone and laptop as far as those complaining about battery issues  .
i noticed the battery going down the first week or so  .
however , one thing that seems to help , is to turn off the wifi , 3g , gps , etc  .
when you're not using it  .
i don't use this phone for work , it's strictly personal , so i don't need to be connected all day every day  .
if i want to check email quickly , i just turn on wifi or 3g depending on where i am  .
and , i use the phone as my alarm clock now , so i just charge it every night anyway  .
i have not had any battery issues since i started manually turning wifi and 3g on and off , vs keeping them on all day anyway , i love this phone and recommend it .
i researched this phone to death and finally bought it  .
i am so glad i did  .
amazing smartphone  .
i don't understand some reviews that say worst phone are you kidding  .
they must have received a reject because this phone lives up to it's name for sure  .
starting with turning it on , a simple push  .
you don't have to hold anything down  .
you can do everything from this phone  .
i love how easy it is to use it  .
just a push of a button gets you on the web , facebook , gps , wherever you want and whatever you want  .
and it's super fast and super smooth  .
customizing the 7 home screens is awesome and fun  .
the droid market is amazing with thousands of free apps  .
link up your contacts to email , voice mail , facebook , twitter , whatever you want  .
great backgrounds , and the list goes on  .
i don't have any trouble seeing my screen in daylight or in the sun  .
sensative to the light so your home keys come on only when the ambient lighting is down  .
i use the phone alot and the battery needs charging by late evening and i start it up around 7am  .
so the battery is not that bad  .
i'm going to get an extended battery anyway  .
if you are considering this phone , don't hesitate  .
the greatest phone out there  .
the cool thing , is that i am still getting surprised by all the things this incredible phone can do  .
do not listen to the naysayers out there  .
it's truely incredible  .
like i said when you have android , a manufacturer like htc , a 1 gigahertz processor , a amazing screen (even if it's not as good as the galzxy s) , and little goodies like a 8mp camera dual led flash and htc sense simplyfying a sometimes confusing android os , theres no reason to not love this phone , except one if i ever go abroad on a vacation or a business trip than i wont be able to use this phone and even if i shell out 500 dollars for a phone in the new country without a contract (i'll probably have to buy a different one for everywhere i theres different carriers) it will still be different and probably inferior to this phone and that in itself is a big problem  .
i am the female equivalent to a cell phone geek  .
i usually get bored with my phone after about 6 months and am ready for the next newest and greatest device  .
i am also an apple junkie  .
i have a macbook , the ipad , and of course , the ipod touch , but could not be sold on the iphone  .
i bought the very first one , and gave it to my husband after 2 months of being frustrated with its simple missing functions and att's shoddy service  .
for me , you can throw any freakin feature you want to on a phone , but if it cannot make and hold a phone call , then its absolutely worthless to me , the incredible gives you all the great features of the iphone and then some , but includes solid phone service with verizon  .
the speed of browsing still blows me away  .
all the free apps blow me away  .
its functionality is near flawless  .
ive been a crackberry addict ever since i passed on the iphone , and desperately wanted the new torch , but refused to return to att  .
i stopped at verizon to see what they had instead  .
ive never played with a droid , but after 10 min with the incredible , i is sold  .
this is just an all round amazing phone  .
the first 3    4 days , i did have issues with the battery life , and thought i may have to return it  .
but it seems that after 3 or 4 cycles , the battery seems to work just fine now  .
i've been using the phone all day , texting , browsing , etc (about 12 hours) and i still have about 60% battery life left , so i'm a happy camper  .
you wont regret getting this one  .
its definitely a keeper  .
step 1   go to your local verizon dealer  .
step 2   try this phone  .
step 3   buy this phone  .
just that easy  .
i have had a variety of devices from the most basic to some of the most complex , including the motorola droid  .
the droid incredible really does live up to the hype that is built  .
to start , the phone is fast , which is the result of the 1ghz processor and this translates to other functions from apps to the camera  .
the camera's resolution is crisp and the detail contained within the pictures that i have taken is full (from about 75    100yds away , individual leaves of a tree still show with distinction)  .
the video recording capabilities are also outstanding , but there are times in which the recording hangs briefly while playing , but this rare  .
the navigator function on the phone is amazing and coupled with voice search , by pressing the microphone icon , you can ask the phone to navigate to a certain location and not have to touch the phone again , which is very convenient for travel  .
google marketplace is also a great feature , which offers over 68k apps , many relevant apps being free such as google earth and various background/ringtone/game apps  .
i am also pretty current with multimedia technology , possessing a newer ipod touch and the incredible has made it rather obsolete , which is a drag because i have probably thrown down several hundred dollars in music and videos  .
my primary complaint is that the battery life is not the best around , even regarding pda devices , which is one of the reasons behind the recent change of displays on the incredible it lives up to the hype and offers great capabilities , with more versatility than most other devices out there .
the incredible has been just that for me  .
though this is my first smartphone i have used other brands and still believe that hands down the incredible beats them all  .
i may sound like a fan boy but who is not when they like the product they use  .
anyway , call quality is excellent , app selection is excellent (more apps then i know what to do with) , camera takes quality photos and easily rivals most point and shoots  .
i have not had any problems with battery life since i uninstalled atk you just have to back out of the app to have android close it down like it should  .
at any rate , this is certainly the best smartphone available in my opinion and i would definitely recommend this product and also would upgrade to the next incredible if there is one .
love the phone  .
i can hardly set it down  .
glad i went with the incredible and not the x  .
the incredible is plenty big .
the phone is better than any other phone i have ever owned  .
it is light    weight and has a great screen (not in bright sunlight) , but feels a little cheap with the lightness and the plastic of the body  .
optical joystick is unique and very useful for some games (especially arcade games) , but no dedicated camera button on the side  .
buttons under the screen are responsive with vibrating feedback when you press them  .
the camera is sharper than my parents' sony camera and video is hgih quality (not 720p , but android 2  .
2 froyo might come with 720p video recording and led lights for recording video)  .
the led flash is surprisingly bright  .
auto focus and tapping the screen on a target to focus on are almost digital    camera quality  .
extremely short picture delay from the time you press the button to take the picture (you would have to swing the phone around on purpose to blur the picture)  .
the volume rocker is a little too flush with the side  .
the phone speaker for speakerphone and music playing is louder than an ipod touch , and actually has some bass which is a first for me on a phone  .
the 3  .
5mm headphone jack is always good instead of having to buy a cheap proprietary pair of headphones or buying an adapter  .
the charging/data transfer port is micro    usb (which is not as common for devices) , so do not loose the cable  .
the wall    charger can charge anything that uses usb (not just this phone) so you can use it for your other devices as well (if you have their usb charging cable with you)  .
it comes with 8gb of internal memory and a free 2gb micro sd card came with mine  .
this is a great phone and with htc sense ui i think this might make it better than the droid x , but just barely  .
great phone  .
5 stars  .
i just switched from iphone and could not be happier  .
blazing fast , tons of apps , and most importantly , it makes phone calls without dropping them  .
doubles as an excellent gps/ navigation system finally the phone which can stand up and beat the iphone @ its game  .
very happy with verizon .
i waited months for this phone to come out and i have not yet been disapointed  .
the cons can easily be fixed if you do not mind changing a couple things now and then to fit your enviornment and use of the phone , it only takes seconds  .
android is fantastic and has more free apps than apple  .
plus , its on the best network in the nw  .
the phone has performed flawlessly  .
i did go and take a look at the droid x last week when it is released since i'm still in my 30 day window  .
after running it through its paces for 15 minutes i decided it is an impressive piece of hardware , but it is a little too large  .
the incredible just feels more comfortable to hold and i do not really see the 720p video capture as something i would use all that often  .
i'm very pleased with the phone and can see myself using it for the next 18    24 months  .
swiftkey beta is awesome  .
i tried swype and while i can see how it could be very good after you get through the learning curve , i think swiftkey is a great keyboard anyone can start using right away .
i absolutely love this phone  .
it has actually exceeded my expectations  .
htc and big red (verizon) did a great job making sure this phone is the quality smartphone customers wanted  .
yes battery life doesn't last 2 or 3 days like simple feature media phones can , but smartphones like the incredible are practically mini computers  .
battery life will eventually catch up to our ridiculous demands from our technology , and by that time i'm sure we will have some other crazy expectations from our cell phone manufacturers i have really enjoyed using the android os  .
it's exciting to see another company step up to the plate against apple  .
the incredible is a perfect storm combining htc's sleek design , sense ui , and android os great phone , would not trade it in for any other on the market .
i want to make sure everyone knows that this phone is only $150 at amazon    .
a href   http  //www  .
amazon  .
com/gp/product/b003hc8nuw  .
ie  utf8 tag  wedwicom    20 linkcode  as2 camp  1789 creative  390957 creativeasin  b003hc8nuw amazon htc droid incredible android phone (verizon wireless) /a  .
cheers  .
nothing beats a phone that works amazingly with multimedia , social networking , and work  .
a real work and play phone that will satisfy most , if not all , of your needs .
buy it forget the sluggish droid x this incredible is the one to beat better research your prices amazon is selling the phone cover for $3  .
90 , not the entire phone  .
i wish i could have purchased mine for that price .
idk  .
here's how i fixed my incredible's battery life   http  //shadrach  .
posterous  .
com/htc    incredible    battery    fix  .
as stated above , this is my first smartphone i've ever had  .
i'm not a techie , so i don't have a lot of technical responses to give for this phone  .
i guess , ignorance is bliss  .
if i knew more about this stuff , i'd have plenty of bad things to say , as i've seen in more technical reviews  .
i have found plenty of free games to play , free ringtones to get , and i've synced my mp3's to it , replacing my mp3 player  .
i have not had any signal issues with phone calls  .
the phone sounds clear , and sounds clear on the other end , according to my callers  .
i like the speaker phone  .
my mom said i sounded clear as a bell when the phone is set to speaker , an issue i've had with flipphones in the past  .
i'm sure as soon as i'm done playing with the thing 24/7 , the battery life will come around  .
my logic is this on that regard   older phones had better battery life because all you did with them is make phone calls and text  .
now you have a phone that you can have in your hands all the time , finding things to do  .
as soon as everyone's done fiddling with it , battery life will seem better as far as the construction of the phone goes , i'm slightly concerned with the sturdiness of it  .
i'm not a pencil    pusher , doctor , lawyer , executive , etc  .
i'm a maintenance worker who works with his hands , so i'm trying my best not to have my phone on me while working , because i think one false move could be the phone's demise  .
i will be investing in a case for it the free yellow pages app is pretty sweet  .
that eliminates the use of 411 for finding a number , which costed me extra minutes/charges whenever i used to use it  .
there's a ton of free apps that are great to have  .
my suggestion is to go at this phone with an open mind , not be too critical of all the little things , and you'll have fun with it my last 3 phones i've upgraded earlier than the 2 years , because i is bored with them  .
i'm figuring that i'll have this phone for the complete 2 year interval this time  .
hope i helped , take care everyone .
overall i love the functions phone's os , the apps like locale , etc  .
but none of that means anything if i am sitting at my desk or at home and all my calls are going straight to vm  .
this issue is well documented on the htc and other forums  .
htc says  .
we are currently aware of this issue and working to address this is in the next mr (rom update)  .
like all rom updates , we cannot provide the exact date for an expected release , as there may be delays that are out of htc  .
s control .
i've had mine for about 2 weeks now and it stands up to its name  .
the battery is fine  .
for those of you that complain about it get a life  .
i use mine quite a bit and even on days of heavy use it lasts at least one full day what more could you want  .
it performs amazing no regrets  .
everything about this phone is way above average battery , camera , keyboard , touchscreen , processor , all good to go updated  .
on jun 5 , 2010  .
i tried the moto droid and brought it back to the store  .
then tried this one and love it  .
so much better  .
easy breezy beautiful  .
the good    .
design is nice with red accents reminds me of i'm professional and wild attitude  .
black dress with a red scarf    yes , it's a plus  .
there's an idea for webisode fantastic amoled (active matrix organic led) screen    very bright and vivid phone quality and reception is great  .
a couple of people who didn't know that i got a new phone asked if i did because of sound quality  .
speaker phone is not as loud but great  .
anne's mom hates it when i put her on the speaker phone because she cannot hear me well  .
i called her , put her on the speaker phone and carried on a conversation without her complaining once about the fact she is on the speaker phone love the vip widget where you can do one touch call to a anyone in the vip list  .
i only call less than 10 people on a regular basis so it works well not having to go through all my business contacts to find these contacts i've heard a lot of gripe about exchange email integration and android  .
frankly , i is a bit worried  .
to my surprise , it is a breeze , it functions extremely well  .
watch out blackberry , this frankly is a better email client with again a vip list , one touch email filtering by conversation , flagged etc browser is fast and to my surprise just as good as the webkit iphone browser  .
flash plug    in works ok and i felt it is a great addition to the mobile browsers camera is very good and takes great pictures  .
center metering mode works best  .
the video camera is also stunning for a phone camera , there is no hd option , but i don't think i'd need it , obviously these wont replace still cameras and hd video cameras the best thing about the phone is the ui and performance  .
the mix of the android ui with sense ui by htc makes this phone one of the best in the market  .
i think sense picks up where android lacks  .
i'd say this by far is the best contender to the iphone ui  .
(shhhhh i think it maybe better , but i cannot call it because i don't use an iphone on a day to day basis) it is extremely fast and responsive , i've ran multiple apps , 3d games without even a hiccup  .
with all these open i tried google wave on it , which is not really made to run on a mobile phone , yes , then , it choked the other surprising thing is this phone makes most of the tasks like composing a message , looking up information and navigation a breeze    you don't have to type it just say it  .
voice to text works extremely well even with my sri lankan accent  .
the bluetooth audio seems to sound stronger and better , i listen to pandora on the way to work and i used to have to turn up the volume on my car stereo to hear it decent  .
with the incredible i do not have to turn the radio up so much the bad    .
i miss convenience keys on the side for voice prompt and the camera  .
the track pad works well but is useless because the touch screen does most of what the track pad does the battery life is poor , but i expected that and i'm used to it  .
when you have bluetooth and wifi off it is a bit better .
i is a little concerned after reading the reviews about signal strength , and battery life  .
after using this phone for three weeks now , i have had absolutely no problems with signal strength  .
internet and google maps traffic are both fast enough that i am never annoyed waiting for data to load i noticed that the first week i had the phone that i is frequently running out of battery after about 10 hours  .
after a week , the battery started lasting a few hours more  .
probably because i was not constantly playing with it  .
htc includes a really cool widget for power control that allows you to turn off battery draining components that you are not using , such as bluetooth , wi    fi , gps , sync , and also adjust the light level bottom line is that all the complaints that i have read on the user reviews can be remedied with an app i got sick of waiting for the iphone to come out on verizon , and i'm glad i did  .
i love this phone  .
i had a blackberry tour prior to purchasing this phone , and i have owned several smart phones going back to the q  .
i enjoyed the blackberry tour much like some folks enjoy their i    phones    they are simple to use with little learning curve  .
however , if you wish to do more , then the android os is more satisfying , and the htc sense interface makes the android phone accessible  .
as a productivity tool , this phone excels   i can read websites without getting a headache , i can use the speaker phone and actually hear and be heard , and i can play games during long time    wasting meetings instead of faking a seizure my big stubby fingers can use the touch screen typing pad without much retyping , and it fits in my pocket  .
much has been made of the battery life , but with a free application , called advanced task killer , i can extend my battery life fairly easily  .
(thanks to the verizon clerk who told me about it)  .
what blows me away is how fast this phone is when running various tasks  .
the gps works well , and i like that it is a free application  .
as a simple phone , it works really well  .
i'm middle    aged , and my hearing is not what it once was , but i have no problems with this phone .
this phone will do it all  .
the negative reviews seem to have a common theme , comparisons to iphone or blackberry  .
well this is not an iphone or blackberry so get over it  .
those of us who choose this phone for its flexibility , customization , features , and potential are enjoying it  .
the web is actually usable and the ability of the android platform is great , plus with the memory and performance of the phone i can leave the laptop in the office for most meetings  .
purchase of the slim line seidio 1750 mah battery (does not change thickness of phone) has helped but i is getting a solid 13 to 14 hours a day with normal use and stock battery with exchange and gmail sync using task killer regularly  .
this phone is an advanced device that performs as advertised and more  .
the reception is great and call quality is exceptional (bars of service mean nothing , signal meter is what you should check) and since the phone is on the vz 3g network you can actually get the use of your phone when you need it .
overall , the incredible is great for my purposes , as i have upgraded to an ipad , sold the iphone for the cost of the incredible , and have subsequently realized how much better web videos are on a larger screen  .
for my preferences , i'm probably not going to miss much for streaming video , but a patch or update for the reception and a bigger batter would make this the best phone out  .
is going to wait for iphone 4g/hd , but opted to break from the confines of apple and i'm lovin' it  .
when i play nes/snes roms on my phone , i realize now what people have been saying about the android platform and its open    source benefits  .
do not pay more that $199 for this phone , and even then , try to get an sd card thrown in , as that is what happened for the launch  .
verizon has wiggle room and their reps work on commission  .
use that knowledge to your advantage when purchasing plans and phones .
great phone  .
must invest in a new micro sd card .
i think this is an amazing phone  .
the only reason that i will not give this phone 5 stars is because i don ; t like the fact that you need to kill applications in a roundabout way through a task killer or going into settings  .
i personally think it is a major pain in the butt  .
a task killer is recommended though the phone does come with an application manager though i find it tedious and confusing to use  .
also until any battery is put into a phone that can last at least 48 whole hours of heavy use of music play , constant apps running etc without being charged will i give any phone 5 stars  .
battery life is not too terrible however if we are going to keep making more and more advanced devices that can do just about anything , i think that there should be a battery revolution to accommodate them to bring on full potential i do miss physical send and end keys .
currently , the incredible is the best of the best (i'm partial to the android phones)  .
it is not perfect , but it is darn good  .
after my moto droid locked up for the 4 or 5th time (btw , it is not due to buggy apps) , i traded it in for the droid incredible on the 29th (so glad i is still within the 30 trial period  .
the incredible is light weight , yet has a solid , well made feel  .
it is much faster and smarter than the moto droid all around and especially so for downloading emails with lots of graphics  .
my moto droid would literally go for minutes trying to download a graphics intensive email  .
the incredible down loads a portion of the email , then with just a click i can get the remainder in a few seconds or delete it straight away  .
there is no waiting for long a download before deleting or having to delete before seeing the entire email       just to avoid the long wait  .
plus , the email icon has a dynamic display of the current number of new/unread emails  .
more comparisons of the two   it has 7 screen panels vice 3 , 512 ram vice 256 , 8 gbyte onboard flash memory vice 0  .
however , you only get a 2 gbyte micro sd card (or $30 toward a larger card) vice a 16 gbyte micro sd card for the moto droidsense adds a ton of features and extra integration ; however , they do come at a price  .
as one should expect with software , more power means more to learn  .
however , the extra power , integration and capabilities are well worth it  .
also , i love the fact that android is an open source o/s  .
being based upon linux , that is a given  .
the ipod being from apple is quite the opposite       hope you ipod users like what apple wants you to have because that is what you will get  .
the flexibility , power , upgradability       and thanks to the integration provided by google       and the many apps already available , these devices are far more than smart phones       really , they are personal life devices (plds)  .
my incredible has replaced my need for a separate vehicle gps , hand    held hiking type gps , camera , camcorder , portable alarm clock , marine weather radio , micro tv , mp3 player , pda , satelite radio (via pandora internet radio) etc  .
and done so in an improved fashion and provided so much more at the same time  .
for instance , the google navigation app has provided me with recreational boater's maps that tell me where i am on the map       this is big for lakes lacking mile markers  .
of course , where ever i am , i can do an internet search , get weather updates , do a quick search for a phrase or word in bible , check my calendar , check news headlines (usa today , etc  .
etc  .
) , view and share photos , etc  .
, etc  .
, etc  .
, personal life device yes it integrates everything i do and makes keeping up fast and easy  .
i get instant access to email and new email notifications , text and photo messaging , etc  .
with no access to personal email at work , once home , i used to find time only a couple of times a week to check personal email ; facebook status notes , messages , etc  .
just this is a big help and headache saver  .
also , the accessories are much better for the incredible  .
i like the incredible's window mount much better as it brings the phone closer and releases from the window with the press of a button  .
the verizon branded holster is nice looking , perfectly engineered and has a non slip surface  .
the back cover is a slide and snap rather than a snap    on with clips  .
hence you can remove and install often (such as to use the window mount) with no worry of breaking clips  .
the back cover slides into the other half of the holster (the half with the wide , smooth , low profile belt clip) with the screen facing your hip to protect the screen  .
plus , this half has a baby soft liner to protect the screen from scratches  .
there are several moto droid holsters and none are as smartly done as verizon's incredible holster i held off for a month or two from getting a smart phone after i is eligible for a phone upgrade due to the $30/month unlimited data charge ; however , one day of use made that an easy pill to swallow  .
i'll gladly cut my expenses elsewhere if i need to  .
if you are on the fence       go for it  .
smart phones (more like personal life devices ) bring so much integration , efficiency , power and new capabilities that you will not count the cost  .
certainly , competition will bring that price down soon enough anyway .
i've had my droid incredible for a week , and when i first got it , i is overwhelmed  .
kind of like a motorcycle rider , who starts up a 1100cc bike too much bike for me  .
, but now that i have gotten used to it , i'm just amazed  .
who needs an iphone  .
frickin 8 meg camera , voice to text , live wallpaper , pinch zoom , great sound , 7 desktops , i'm so impressed  .
bonus    i used to have lg dare , my dare power cord/usb worx on my incredible  .
it is a sexy , solid reliable phone that has a swiss    army like set of features  .
it will attract everyone's attention  .
this is truly the first serious contender i've seen to the iphone , and it blows all of the other verizon phones out of the water entirely  .
the pros of this phone outweigh the cons by a long shot , and most of the cons can be easily fixed through some research if you paid $200 when the storm came out or $300+ for the iphone , the $200 tag on the incredible gives you much more bang for the buck .
i love this phone  .
i upgraded to the incredible from my blackberry tour , which is maddening  .
it couldn't handle any kind of heavy app usage , the trackball is really finnicky , and the browser is lackluster in the week that i've had the incredible , i haven't had a single problem  .
it took me a full day to get used to the touch screen , but it is very intuitive , and i find myself wanting to pinch my computer screen to zoom in    ha  .
the browser is fast and the pages are easy to view  .
the optical mouse is easy to use , but i find that i do not often need it  .
i still have a lot to learn about setting up my screens , but i've loved all the functions that i've seen the battery life also is not as bad as some people are reporting  .
i recharge every night , and that's been fine if you're eligible for your upgrade from vzw , go for this phone  .
i would never get an iphone because of the reports of dropped calls and general reliability concerns , so i feel like this is the best substitution for me .
htc you have done it  .
bt your very one sided when it comes down to the fight  .
everything the iphone has , this phone does it better  .
better network , better 3 g , faster , multitasking and the pictures ohh the pictures 8mega pixel camera , bt you forgot that too  .
droid just does it better  .
i really like this phone  .
it has worked flawlessly and has countless options  .
the app store for android is growing and it is great for work or pleasure  .
especially with the sence ui  .
you can set different scenes to fit your needs  .
like i stated in the cons the only negative i have found is the battery life  .
you will need to look into an extended battery or keep a charger handy  .
there is rumor and update is coming to improve this issue , but nothing yet .
for anybody looking for a smartphone , i extremely recommend the htc    incredible in the nations largest 3g verizon network  .
it is incredibly fast  .
very impressive phone , everything works the way you would expect it to and it has a very nice feel to it  .
if this phone had a better battery life i would say that there is no competitor but battery life just plain sucks  .
i admit that i use my phone quite a bit but this is just wrong  .
it will not last a whole day in a charge  .
even turning everything off and dimming the screen (or using the auto feature)  .
the exact same things that i is doing using my htc vogue (with a android rom) , but the vogue lasted longer  .
