i always listen to music with this device day and night  .
i just replaced the battery on my zen second caveat   i hate absolutely anything , and everything ipod  .
i hate apple , mac , all of it  .
while i think a lot of their mp3 players are the bomb looks    wise , their crappy sound and even worse , their proprietary everything just annoys the crap out of me  .
i loved the look of the new nanos and if they worked with music subscription sites like napster    to    go or rhapsody i might have broken down and bought one  .
but no this is a three pronged approach to this purchase  .
i is finally jumping on the subscription music bandwagon and is looking for a new mp3 player  .
i always come here for unbiased professional and    even more important    your reviews  .
i eagerly awaited the new 16gb version and have had it a couple days now  .
i haven't done video with it    and i don't know if i ever will  .
i'm into the music so that's what i use it for  .
so let's go there first up , impressions out of the box  .
i like the look and the layout  .
i'm not crazy about the look and feel of the buttons though  .
they seem cheap  .
one guy here had both of his fail a few days after getting it , the left dial one  .
for some reason , all the buttons when pressed to the left seem to feel like they are rubbing on something    it's not a smooth click  .
it actually feels like it's going to break sooner rather than later  .
obviously only time will tell on that  .
i also don't really like the super    shiny cover that ecompasses the entire top  .
with the black color , fingerprints are the order of the day with this and i worry also about scratches in the future  .
but it cleans up real nice with some of those pre    moistened lens wipes  .
i do like the black look and really like the brushed aluminum back  .
i would prefer the whole thing be like that except for the screen  .
maybe next time  .
but cnet is right    it does look classy the screen color and resolution is great  .
pictures pop nicely and i really like the ability to change the backgrounds , although the selections are a little limited  .
of course you can always set any picture as the backgroud wallpaper so that opens things up  .
the menus were pretty easy to learn to use but i went into the online documentation to read up on things and it is well written and imformative software installation is easy as usual and pretty quick  .
i did go onto the creative site and look for upgraded firmware (done automatically as part of installation) and sure enough there is already two 'critical' updates to install  .
but those went on quickly also and two reboots later i is up and running the first order of business for me is seeing how well this player functioned with my new napster    to    go subscription  .
napster and creative normally work very well together and this unit is no different  .
napster immediately recognised my player and within a few seconds i is downloading several hundred songs and playlists to the zen  .
i'm also planning on doing a user review on the napster    to    go so look for that if you're thinking of trying it out  .
i for one , love it  .
5 million songs to choose from and more every day i bought the 16gb version straight from creative the day they got them  .
the earbuds suck but i'm used to that and had other plans anyway    the previously mentioned third prong of this music attack  .
i did buy along with the zen the leather case they offered  .
it is only $25 and looked pretty good but i is dissapointed with it  .
truth be told , i'll carry the zen in my shirt pocket anyway , without the leather case  .
i might try some of those temporary protectors they sell if i start to notice the screen getting scratched up a little  .
i tend to take pretty good care of my stuff but this player does not seem or feel as stout as my zen micro so i downloaded a bunch of songs from napster and then a bunch more already ripped from my private collection on my computer  .
i also loaded up a few family pictures  .
the zen media software works very well and is very easy to use  .
but it's just a simple to go into explorer and drag and drop or copy and paste stuff in too  .
pretty basic and simple stuff the player also came with a really short usb cable for both charging and transferring data  .
i actually like the short cable but i'm sure there are going to be a few that do not  .
i also prefer a dedicated charger and for the price think they could have and should have included one  .
fortunately for me , i got one way back with my zen micro and it has always worked with every zen i've owned    something i am very grateful for  .
kudo's to creative for keeping the same power/transfer connectors on all their models now on to where the zen really shines    the music  .
creative always get's high marks for it's audio quality and this one does not disappoint  .
the sound quality is amazing  .
this is helped somewhat by my third prong attack    i bought some nice bose full ear cup headphones  .
i've already reviewed those at the proper place on this site  .
the combination of those two are nothing short of astounding  .
i'll never wear earbuds again  .
you don't even need any eq  .
it's quite amazing  .
i bought the bose headphones at best buy for $139  .
pricey but worth every penny and you can spend a whole lot more there's plenty of neat features on this player too  .
most i won't ever use but it's nice that they are there  .
the sd expansion slot might come in handy some day if i every do decide to do video but with the napster    to    go subscription i'm pretty sure my music will be rotating a lot  .
and with 16gb , i won't need to move too many  .
i understand that some people are upset that the sd slot memory is not added to the existing memory and i think that's probably a valid point  .
but it's not a big deal to me because quite frankly i don't plan to carry around more than 4000 songs at any one time probably my biggest thing i like about this player is the smart volume feature  .
one of my pet peeves is the different levels of loudness between older cd's and new cd's  .
constantly having to bump up the volume for one song and then have to bump it back down (especially after it hurts your ears) for the next is annoying on so many levels  .
the smart volume when turned on automatically levels the playing field increasing and decreasing volume where necessary to keep the level comfortably the same  .
this is a god    send to someone like me , an old guy who could be listening to some jim croce one moment and then have nickelback blaring the next  .
i tend to play the songs on shuffle a lot so this can happen frequently  .
my music tastes run the gammut so this feature is the bomb in summary , i love the player    so far  .
if the screen doesn't scratch easily , and the buttons do not fail , and all keeps working as it does now , i'll be very happy  .
i gave the player an 8  .
had the buttons felt better i'd have given it a 9 and had the cover been all brushed aluminum , it would have gotten a full 10  .
rest assured i'll keep you posted and you'll be the first to know if something does go wrong  .
okay , you'll be the second as creative will be the first  .
but for all intents and purposes as of this writing    creative has another winner on their hands  .
i is so excited about this player when i heard it is coming out  .
so much so , that i waited an extra 6 months before buying a new mp3 player (my previous player is a creative zen micro)  .
everything i read about this player sounded fantastic , and after receiving it yesterday , i completely agree almost  .
the one glaring problem with this player when compared to my zen micro is the lack of ability to record fm radio  .
i know that other creative players came under attack a while ago by the riaa , but i thought those issues got resolved and that newer firmware updates re    instated fm recording  .
why the newest addition to the zen family has to go without this crucial functionality is a mystery to me other than that , this is a great player and i'm just hoping that future firmware upgrades will revise this problem .
i have a question why do people consider the creative zen better than the ipod touch  .
isnt the ipod touch suppose to be better with wifi  .
ipod touch seems like a good deal with good battery life and an amazingly slim body with a larger screen  .
so just wondering why would this be better  .
as well as the screen is just ample it wouldnt it be hard to watch a movie  .
as well as wouldnt archos be a better deal with a good hard drive , a large screen , and with wifi that uses opera  .
please comment basically why would creative be a better deal that the 604 wifi archos and the ipod touch  .
the new creative zen builds up the already nice features i found in the v plus series   ease of use , straight    forward procedures to move files from the pc to the zen , a nice but not too flashy gui , and overall a nice feeling of a nicely built and engineered user experience this zen has also got a few nice adds   a crispy video , able to get you through idle times (tube strikes included  .
) watching some favs , which you can also have stored into an sd / sdhc card , which is the other plus the creative zen is boasting  .
spending your money over the 4gb model will not hinder your storage and media playing capability after all  .
a strong player and a great contender to the usual suspect (s)  .
more at http  //88days  .
wordpress  .
com/2007/10/16/creative    got    it/  .
this product is not available for purchasing yet , so am not sure what most of the reviews are about , besides impressions from commercials or website reviews  .
but there is no doubt that from the info available and the specs this product is right on target for those who   1) care for the best sound quality (creative is top of the market on that) ; 2) for sound customization (custom eq) ; 3) for portablity (credit card size) ; 4) simple interface and connectivity (usb port) ; 5) do not need over 16 gb of space  .
i cannot wait to try one of these babies  .
unfortunately it appears that the media you put in the card cannot be transferred to the flash drive , nor is it merged with flash drive contents (to search , etc  .
that's a pity , but we all hope on creative firmware updates to make these features available .
well i think that this is a great competitor for the new ipod touch  .
it has the same amount of memory , but waaaaaaaaaaaay cheaper  .
and it comes with an sd slot  .
but i have a feeling there will be an ipod touch with one soon  .
and this has an fm radio and a radio  .
but this does not have a touch screen , which is not really needed at all , this has no wi    fi , but that is not really important either .
but i plan on getting one soon because it's drool    worthy .
this is an excellent pmp  .
and i've tried lots  .
cowon d2 and i7  .
meizu m6  .
archos 605  .
this beats them all except perhaps the new sony nwz    a800 series which i love thanks to its native video podcast (h  .
264) support creative have done a really nice job with the user interface  .
slick and pretty responsive  .
i like the dj function , great for quick hits  .
the sd card however is treated as a separate storage unit and is not integrated with rest of the media  .
hopefully this will change in a future firmware update i also like the standard mini usb cable , the shortcut key that is customizable (nice  .
) , and the vibrant screen overall excellent  .
highly recommended  .
for those looking for video podcast compatibility    albeit smaller screen    check out the new sony nwz    a800 series .
although not as touchy as ipod zen has a very good video sound quality which is why i bought the zen vision  m instead of the ipod 5g  .
i just like its beautiful screen and it made me so happy with its bass boost , excellent sound quality  .
sd slot is a very good and wise move why doesn't it have the a/v    out port  .
man  .
i did enjoy alot addin , watchin films in dvd    rip avi (good quality) in my big screen tv  .
plus they could've included a touchpad instead of that controlpad on the side , and also a volume controller  .
tough touch has all those features and the touch screen , i still like alot the new zen , a bit disappointed , but its v/s quality damn  .
i still did not decide which one to empty my pockets on , ipod touch or creative zen  .
zens' pros are ipodtouchs' cons and vice    versa , its a difficult choice .
really good music player , light small with good sized screen  .
i love creative products .
i need more time with it and i will update this .
the size is perfect for on the go , and watching something on the screen is not uncomfortable , even for long periods of time  .
with the exception of needing to reset the player three times it has been pretty robust  .
i reloaded the newest firmware and i have not had to reset it since the interface is really intuitive  .
love the calendar and contact sync with outlook i love that my itunes library can be essentially copied right to the player , but in order to listen to the podcasts i listen to i have to download in itunes then convert to aac and then put it on the player  .
so , the extra step is a hassle  .
and you must create a playlist to exclude podcasts and audiobooks from the music  .
zencast is far from offering the same number of podcasts as itunes , but hopefully that will change with time for creative to truly compete with the ipod it must come up with an itunes alternative , or a third developer needs to come up with a solution that supports all the major mp3 players  .
there's just too many steps for the non    geek to get what they want on the player , but for those who are tech    savy the expansion slot makes this a perfect alternative to the ipod i find the included earbuds to be a little subpar from a comfort and sound perspective , and a little short in length  .
fm recording would be nice , like my muvo .
i've only had my zen for a few days , so i have not used the video function yet  .
the audio , though , is very , very good  .
it did take me a couple days to get used to the controls , but once you figure out what does what , it's a breeze  .
overall , the zen itself appears to be very well    designed unfortunately , i cannot say the same for the headphones    the sound is ok , but they're really uncomfortable and tend to fall out  .
a bad design that is curious considering the player itself    it's sort of like putting cheap retreads on a high    performance car overall , i like the zen a lot but it looks like i'll have to shell out some bucks for new headphones .
having looked at other mp3 devices and their power output which is freely available , i emailed creative to request the output on this player in mw's  .
i is a little puzzled by their response  .
it is interesting that it is not quoted anywhere even in the cnet review     .
thank you for contacting us at creative technical support  .
we do appreciate the chance to assist you in any way possible with regard to the question that you are having , we understand that you wish to know the mw power output for our latest zen players may we know why do you require such information  .
from what we can understand it , such information are confidential please do not hesitate to contact creative customer support services again should you require any further clarifications or issues to resolve in the near future creative customer support services  .
creative labs europe  .
i don't own this product  .
but i do have something to say about it  .
since it has the same amount of storage as the ipod touch , they're comparable  .
this player is 100 dollars cheaper than the 16gb touch , but that does not mean its worth it  .
the amount of features present in the touch , from the accelerometer , to the multitouch user interface , to the wifi , to the internet browser and the fact that the touch is thinner than this product lead me to conclude , except for the expandable memory , this product blows  .
you'd be an idiot to not spend the extra 100 bucks and get yourself a 16gb ipod touch  .
or even , for the same price , and 8gb touch that can do so much more than this product its quite disgusting .
i bought the 4 gb model a year or so ago because my old 16 gb zen touch is crapping out , but i couldn't afford the 16 gb model on this one  .
i figured i would just upgrade when i had the dough  .
i finally picked up a 16 gb sd card yesterday , took it home and crammed most of my music onto the new card  .
imagine my dismay when i discovered that i now have to access all that music via the memory card section , separate from music , and that none of the menus or modes available in the music section are available in the memory card section  .
no random play and no continuous play (i  .
, once an album finishes the music stops)  .
if you have just one song by an artist , once that song ends the music stops , and you have to manually select the next artist or song  .
if you turn it off you have to start all over the next time you turn it on  .
this is a gigantic pain in the ass  .
why even have the capacity for extra memory if the hardware does not allow you to manage it  .
after bad experiences with two different creative models i think i am done with creative .
this is a good product  .
sharp display will make you feel like you're in cinema or theater  .
the sound  .
perfect  .
but i must warn that if you decide to get this device , automatically you are agreeing company's one hidden policy that said reset everytime it freeze  .
if the one you get is not freezing , then you're lucky  .
buy some loterry before you decide buying anything , get as much information as you can get first  .
like , go to their website , then check what are the possible problems this player has  .
this is my suggest after facing the same problem as i changed two zen player for freezing reason .
being highly interested in purchasing this player i did some more research  .
i find out that the sd expansion slot is designed poorly  .
consumer beware  .
you think you are going to just pop in an sd card and jack up the memory of this unit sort of all data stored on the sd is kept separate from the main on    board memory  .
so all those extra songs you put on the sd will be hidden away in their own lists pray for a firmware update to make the data on the sd expansion seamlessly integrated with all your other data .
i'am an apple ipod user  .
although i have used and i do like the creative zen mp3 players  .
i still prefer apple ipods , but this one does look promising  .
nothing wrong with either choice  .
just my two cents .
my first mp3 player is an original 30gb zune that i thought is bad since it had a few problems with it from time to time  .
and as soon as i heard of the zen , it looked very appealing  .
little did i know that the zune looks like a saint compared to the zen the first thing i didn't like is that it doesn't really have any software  .
with an ipod you have itunes , with zune you have zune software  .
the zen just has a program you use to rip music/pictures/movies onto the device that's it , that's all it does the next issue is the zen comes with a really short usb cable that is highly unpredictable and way too short  .
a lot of the time you will be ripping music and it cuts off and you have to close everything and re    open it and it's a major hassle and probably the main problem with it is that it dies so easily  .
i had it less then a year , and a good part of that time i just had it in the corner , not doing anything  .
maybe that's what killed it  .
i don't know  .
but i will say , i was not very sad that it is dead the only really positive note i can give for the zen is that it does work  .
it's a hassle to get to work just the way you want it to , but it can work and function fine in short , do not get the zen  .
there are way too many problems with it .
unless you want a small player i cannot see why anyone would want this  .
creative has a history of relinquishing support after a few years  .
i have a jukebox no support  .
archos seems to be the best thing out there .
i had the old zen vision  m 30gb before (which got stolen on a bloddy train of all places) so when i is gonna replace it this seemed like the obvious choice  .
i cannot say i'm very happy with it though  .
did not include and charger , it can only be charged via usb which i find a hassle  .
also , all video files need to be converted which takes forever  .
all in all , i'd go with a different player  .
/phil803  .
read my blog about giving up smoking at a href   http  //www  .
tobaccosmokeless  .
net/ http  //www  .
tobaccosmokeless  .
net/ /a  .
i looked around for weeks to find the right mp3 player (partially because it is for christmas) now the spftware to use the player is annoing , hard to update , cant be used as an external drive , need id3 tags on all songs (took forever to find a program to put those on (program called tag scanner)) , radio is a bit iffy , no flac , sd card slot is only good for photos , mic has no gain control , it is a real pain to get movies on it in the right form (but i can guess other mp3 players have the same problemas well , have to buy a wall charger case plus screen protector , and to the better battery life while listing to music you have to put on the hold switch and in doing that it will turn of the screen note   i have the 16gb  .
wish i got a cowon iaudio 7  .
i bought this new product based upon the reputation of creative , the amount of flash memory and various versatile features  .
what i got is a creative labs beta product for testing at the expense of customers who bought it  .
when it works it is great but it frequently freezes or shuts off  .
however the biggest disappointment is the pathetic short battery life  .
i use it to workout and would be lucky to get 2 two hour workouts before the battery dies  .
i have not been so lucky  .
i expected more from such an expensive unit .
creative really dropped the ball on this one  .
to replace their already stellar mass capacity hard    drive player with this nimble device disappoints me  .
it is too soon to replace hard drive players with flash based  .
16 gb may suit many people , but with the zune , toshiba gigabeat and ipod at the same price with 5x as much space , it seems like i could have spent my money a bit better  .
i do however like how pocketable this device is  .
very small unlike the zune (which is , however , my new choice of player)  .
when i bought this off of amazon , i received a player with a broken left directional pad button , which frustrated me a lot  .
i could not move left through any of the menus , making the device very difficult to manage  .
i returned it 2 weeks later , took the refund and bought myself the new zune  .
after playing with one of these at best buy , i would much rather buy 4    5 other players than this one  .
that includes 3 ipods  .
seriously , creative is on a losing streak coolnesswise , and will have a hard time now with microsoft in the business  .
i do not see them catching and momentum in this crowded field .
the first thing i thought about this mp3 is that i'd finally found a reason to not buy an ipod  .
sound quality is better than ipod's , it is much more beautiful than the new nano series and has a lot more extras (voice recording , radio and so on) but , 2 hours later , the 5 ways touch pad has broken up  .
impossible to use the left button  .
my mother's zen totaly stopped working  .
so we are both returning the product there is a lot of returns for this mp3 by now (look at amazons store reviews for the same mp3)  .
my suggestion is to wait a bit so that creative can fix up the problem  .
when it'll be done , it will be an amazing mp3 .
had a very bad experience with creative where my player froze  .
after contacting the customer service eight times and getting the wrong answer every time (despite being given a tracking number) the eventually sent me an email with a docket attached so i could return the device  .
i returned it and they replaced it with a second hand device that broke after a few weeks  .
i had the same problem again with incompetent staff , not being given contact details and not being allowed to return the device  .
the worst customer care experience of my life and it put me off buying on line for months  .
avoid creative like the plague  .
you  .
ve been warned  .
i heard a lot of similar stories since  .
i wish i  .
d been more aware of this company  .
s terrible reputation  .
never again  .
after that i bought a much cheaper device that has worked like a charm for the last year and a half  .
i wish i'd gone with apple but avoided them due to favoring the underdog .
go to the store and stay away from the online retailing of this stuff , at least you can walk in a get a problem sorted  .
no phone numbers on the website  .
no reference to bookmark troubleshooting on the website  .
lost the $35 bux paid for an overnight shipment as well as suffered a compromised return credit for the asscessory skins and screen protector that were removedfrom packing and applied to the broken device arguing w/ amazon over a product by creative is a serious fruitless nightmare .
so i is excited to find something that would replace both my ipod shuffle and 20gb ipod  .
got this as a gift for christmas , guess santa thought i is good  .
but nope , turned out to be worth less than a lump of coal it constantly freezes up while playing audio files  .
you'll have to carry a paperclip with the player in order to reset  .
and trust me , you'll use it often  .
it even freezes up when trying to rebuild i've tried everything , firmware upgrade , reformatting , using the recovery tool , draining out the battery , all to no avail  .
trying to return this sucker is a pain in the butt  .
creative's site is a maze that brings you back to the same page everytime you want to contact customer support  .
by the time you finally find the magic link    you're only allowed to send out an e    mail  .
this wild goose chase only gets you more frustrated it would have been an amazing mp3 player if it only worked smoothly  .
no ipod has sd expandability  .
i would definitely wait until creative has worked out all the bugs before considering the zen unless you're up for a gamble .
ill start by saying that i have issues with things that dont work as described right out of the box  .
whenever i have to spend my time and effort to bring an item to its advertised features and functions , i question the validity of the product  .
the zen has a strong feature set but some dont work without substantial tinkering  .
a complete description of what might be available can be found in the product listing here or on the creative site  .
below is my experience my first adventure started with the a/v being out of sync  .
the included software (the latest and using the most current firmware for the player) resulted in a painfully slow conversion process to wmv that yielded a progressively out of sync video  .
as the video ran , the sound would increasingly lag  .
this led to my first workaround consisting of many hours of reading posts all over the place and downloading a half    dozen different progs  .
i found one with a modest learning curve and about six hours of experimentation converting clips that addressed that issue with success   research and related time invested , about 20 hours the device did not recognize sub    folders for playback purposes nor existing  .
mu3 play lists  .
i could , however , create sub    folders but for personal organization , only  .
i loaded my music through the mandated , included software and had to rebuild play lists that already existed  .
please note that this player keys to id tags so , if you , like i , have ripped a lot of old vinyl albums , youll have to spend hours building id tags on the computer as you cant do it once the track is on the device  .
thus , if not done , album tracks will be out of sequence as the player re    sorts everything regardless of how you drop it into its storage  .
time invested in building id tags , sorting tracks into sub    folders , creating new play lists from re    sorted sub    sub    folders , etc  .
, about 6 hours i is unable to move files once on the zen  .
i could delete them , only  .
if i wanted to change the location , i had to delete and upload , again  .
that proved to be an annoying inconvenience  .
the files were regular mp3s and i can think of no reason why they were not allowed to migrate  .
this , also , disallowed backing up the contents of the player when i had to reformat it seemed random  .
i wasnt aware that they were corrupted until i is searching for a track that i knew is there but wouldnt play  .
i had to browse all 800 or so tracks , delete , upload , rebuild play lists , etc theres quite a bit more that resulted in my returning the zen for a refund  .
i had read the reviews and noted all the praise  .
where did i go wrong  .
well , i didnt read those four and five star reviews well enough  .
they seem to have a an implied asterisk attached ; works great once you jump through this hoop and that fire    ring  .
wow , how can you give something high praise when you have to spend so much time fixing it or conceding that half its functions dont work  .
perhaps its all relative  .
if so , about everything else must really suck and this sucks less because of its beautiful screen and great sound quality  .
ill wait before further investments and hang in with my three year old , 1gb mp3/4 player from god    only    knows where but has never caused me a lick trouble and the conversion software is fast and efficient enough to produce in    sync video  .
go figure .
creative does not stand behind their products , you'll pay and pay to have them fix problems (that re    occur) .
cnet should do a better job looking at user issues and customer support before they recommend a product  .
i have had nothing but problems with my device  .
a web search will show the issues i have mentioned are not infrequent  .
it should be better than this  .
and creative customer support is non    existent  .
the only response to to reformat device  .
no acknowledgment of the inherent problems  .
do not beleive me    do a google search for creative zen customer support  .
bottom line    spend your money some where else    its not just the initial $    it's is the wasted time spent trying to load and keep the thing working  .
frustrating .
avoid at all cost  .
the creative labs company should offer to buy back these bug ridden mp3 players this player is less reliable than the first generation zune (which also has software issues)  .
the ipod classic works very well but , the old zen xtra (with beefed up headphone jack) is by far my favorite mp3 player .
this could be a wonderful product , but for the fact that the sd slot is not integrated like it is in some sandisk players and the cowan d2  .
do not buy this product if the sd slot is what you find attractive about it , becase it is not integrated  .
this means that you cannot access file on the sd slot from the normal interface  .
you have to to the sd folder , and choose the file there  .
your will not be able to search your music in the normal video library , and you will lose your place in the music if you turn the player off or hit the back button  .
also , you will not be able to see any album art or other cool stuff like that on the sd card  .
for a just a little more money , you can get the cowan d2 and have a mp3 player that is able to grow with your library without the integration , this product is just another could have been  .
spend your money on something else .
i am on my 3rd creative zen v 2gb mp3 player , in less than 1 year  .
the 1st is stolen  .
the 2nd froze and no longer responded to the reset button  .
i am now experiencing the same problem with #3  .
i'd recommend a different brand  .
bottom line    .
creative just does not care about it's customers , just the bottom line  .
so i can imagine if a creative player had some hardware issue or malfunction , and you had to contact customer support , you may just get the sales team again instead .
i charged the player wednesday night and thursdaywhen i went to load some files , the screen is black and it would not turn off  .
i found the customer service phone number on an amazon review and called    but of course they close at 6 pm  .
i found the customer service website (no link to it from the site where you can purchase the player  .
) there is nothing in the knowledge base so i e mailed support  .
1 positive    i had a response the next morning  .
unfortunately the response is cryptic at best  .
it gave me a link and told me to select certain options , but of course , they were no where to be found  .
i really am sad that this one did not turn out well because i love my little 2 gig zen .
i is very impressed with the look , feel and display of this player       much better that the ipods in my view  .
the unit continually hands on me during start    up and while playing music and videos       which requires you to constantly reload the firmware in order to recover the devise  .
if you choose to ignore this posting just be sure that you have a paper clip and computer handy so you can continually reload firmware .
i bought creative zen pmc in november 2005  .
it stops working last month because of the battery swelling up  .
i have to break the battery door to get it out  .
i am afraid that it will explode and contact the company response from creative    .
unfortunately , your zen pmc is no longer in warranty  .
this product is ending it's service life and has been replaced with newer and more feature rich products  .
we are no longer maintaining pmc stock or accessories stock in either retail or repair channels the most that i'm going to be able to offer to you is a 20% discount on the purchase of a new product .
i have been awiaiting the arrival of the new zen players  .
all i can say is what a cheaply made , piece of trash  .
everytime creative makes a new player , they ruin it with either the handles/buttons or controller  .
this new player feels like a pack of chicklets  .
i would not waste $50  .
00 on this player  .
the website makes it look good  .
i could not believe the cheaply made look and feel of this player  .
it looks like if i sit down the wrong way , the headphone jack will snap in half  .
i am disappointed and will start looking into other players  .
get out of the mp3 race  .
i owned 2 previous creative players that are years old  .
they are a lot better made  .
i am going to try to send a letter to the corporate office  .
this player needs to be encased in something stronger than a chicklet box signed  .
disappointed again .
