their is nothing to say but the iphone 4 is the best phone in the world  .
it does take some getting used to but it is not hard to learn the commands since they are passing you by on the screen  .
the earphones control has been changed a bit as it adds a contour in the middle of up and down volume click so the user can click commands and activate voice control by holding down for several seconds  .
i have found the speed increase to be the best feature by far  .
having the ability to speed through opening and closing apps makes the phone a lot easier to take advantage of in moments where you need to get info as quick as possible  .
despite at ts lack of mms support upon launch i feel that new iphone adopters or those eligible for an upgrade will make the easy choice of choosing the 3gs .
worth every penny  .
go get it .
i'd buy another in a heartbeat  .
it is delivered at 10 am on day one and activated by 11 am  .
i've never seen so many whiners about the new 3gs  .
i wonder if they actually own and use one .
i have to say that regardless the lateness from at t to make available picture messaging , the iphone has been by far the best phone and many other things that i've had  .
i'ts been a week since i bought it and i love it  .
everything works smoothly and perfect  .
the best part is that if you need something else , you can get it from an application somewhere  .
this is the best piece of engineering i've had so far  .
great  .
amazing  .
nice toy  .
many years ago , bill gates talked about a wallet pc (http  //www  .
hpcfactor  .
com/reviews/editorial/walletpc/) and today much of his vision has been realized , ironically not by microsoft but by apple this phone does almost everything i need  .
i say almost because it cannot run apps in the background unless the user jailbreaks the phone , which i absolutely will not do  .
(apple needs to let the user decide which apps , if any , they want to allow to run in the background , by simply asking them the same way the android does) it's fast , the call quality is great , the apps are great , the games run much more smoothly on the 3gs than they did on the 3g (for example the sims 3 , hero of sparta and underworlds were almost unplayable on the 3g but run smoothly on the 3gs) , and the load times on everything , across the board are 2    3 times faster the video quality is much better than i expected , with a steady framerate and decent resolution  .
it would be nice if i could tap to focus during video recording instead of just before the recording , but it's amazing that i can tap to focus in the first place so i don't want to complain the bluetooth headphones work much better on the 3gs than they did on my 3g , which introduced too much of a buffer or something because the audio and video would be a little out of sync  .
no problems like that on the 3gs though in all , i'd say apple knocked it out of the park with this device  .
is it phenomenally better than the 3g  .
no , but considering how great the 3g already is i do not think that's a big deal  .
they addressed all the concerns i had with the 3g except the battery life , which is slightly better but not enough (here's hoping for some nanotech breakthrough in battery life in the next 12    24 months  .
the snappiness of this phone is tremendous , and the software enhancements for this phone are fabulous  .
my calls are very clear  .
this is my primary business phone , and every call i've been on in the last week i've asked , can you hear me ok , how do i sound  .
i chuckle and shake my head when i see people give this one or two stars do these people have a sense of their own past  .
like i said above , what would they think if this product is dropped in their lap 10 years ago  .
its simply unfathomably innovative and perfectly executed  .
i also laughed when i read the comment that said apple doesn't listen to their customers  .
i do not even know what that means , but i assure you , i'm glad creative right brained people are driving this boat at apple , and not opinionated lemmings    because customers on their own cannot possibly conceive and execute a product roadmap the way apple is doing    they are executing and making themselves a strong and healthy franchise in the process updated  .
on jun 28 , 2009  .
this is the jesus phone suped up on steroids i love this phone so much that i brought it all the way from the states to china cause this phone just makes everything soo much easier all those one stars reviews are just trolls  .
honestly i am a gadget geek and even tho i love apple products i is thinking about getting a pre until i actually borrowed my friends phone for the day and played with the new 3gs and realized the pre is the bastard child of the iphone .
user experience is unparalled  .
love the seamless integration of phone , ipod , handheld game console and the internet cannot wait to see what developers will concoct up with the new apis introduced such as the peer to peer function and the use of the dock connector for external goodies  .
if you don't know your phone the 3gs will be the same as the 3g it is not even close the processor and ram set it far apart  .
enough said pros  .
cut , copy and paste make internet , email and apps count  .
the search function allows me to find what i want without wasting time  .
needless to say that the faster processor and ram make the phone the best phone i have owned  .
speed is the word the compass helps function in the gps  .
finally landscape email and sms  .
voice memos are outstanding to have if you are trying to take notes on the fly the video with editing makes certain task the easiest that i have been able to accomplish and now i don't wish i had my camcorder  .
youtube is has much more to offer on the iphone and i can even sign into my account  .
i can better keep track of stocks and the landscape feature makes it much more tolerable to follow using the app  .
the phone features have changed a little  .
i do like how i can tell if my friends are calling me by mobile or home or where ever i have them listed  .
i also like how states from no caller id is displayed eleven pages to store apps is great and i like how if the eleven do not work you can find the app by going to the search page there is too much to list .
definite buy  .
do not buy the anti    hype  .
this is the hub of my virtual life  .
every major developer has concurred that as far as this platform is concerned , iphone is the start and finish of every conversation .
[url]http  //www  .
dkons  .
vn [/url]  .
[url]http  //www  .
dressup9x  .
com[/url]  .
[url]http  //www  .
dressup24h  .
com[/url]  .
[url]http  //www  .
protectyourhealth  .
biz[/url]  .
[url]http  //www  .
smiles24h  .
com[/url]  .
[url]http  //www  .
yasoftware  .
net[/url]  .
i play on a 56 inch 3d gaming tv , so i'm only predicting this for the young kids  .
not for 40 year old farts like myself  .
well maybe , new leader boards 2 own  .
this iphone is the best phone i have ever owned  .
the only thing is i feel mms should have been available on the very first phone and at t should have been ready for this powerful device when it first hit the market  .
i am a long time customer of at t and i have no other complaints about them except not being ready for the mms or tethering  .
i have never had any problems with calls droping or making phone calls  .
the only time i experience no coverage or some dead zones is in the country (southern states) and that is some years ago now since more towers have been put in place i have not experienced that problem updated  .
on jul 1 , 2009  .
i cannot believe how this phone could get low reviews  .
they seem unjustifiable and misinformed  .
yes , this phone integrates fine with ms outlook , yes you can easily use this device as a wireless drive with an app called (files or air sharing) the available 3rd party software (apps) and hardware (cases , speakers , headphones) make this device the most supported device by far  .
i've owned the ipod touch for 9 months and have been waiting for apple to release a 32gb iphone since initial launch  .
finally  .
it appears this iphone is considerably faster than before with twice as much ram , faster graphics processor , and a much faster processor the software works seamlessly and typing on the virtual screen is easier than any other device thanks to useful auto correction and feedback the new features work as advertised , this device is much faster than my touch  .
even moving apps around on the device is improved considerably  .
voice quality is great itunes is excellent at integration and the added security of mobile me (ability to find your phone if stolen and wipe your data from a laptop) make this device the only device i do not leave home without .
bottom line is that the new iphone 3g    s is the absolute best device in the mobile industry hands down both in software and in hardware  .
i have no problem with at t service as it is more than acceptable for me i think whoever gets this phone will be absolutely amazed also i opted for the mobileme this way i get instant email just like on my blackberry although the iphone shows html emails muuuuuuuch better than my storm ever could .
i am a verizon customer who jumped ship to at t  .
i had a terrible time with poor call quality and signal strength at home with verizon  .
the difference with the iphone and at t is truly astonishing  .
i cannot agree with the poor call quality assessmsent certainly not true in my case and my signal strength and speed have been consistently excellent  .
i have only had a positve experience with at t so far and would not give my iphone up for anything  .
color me a iphone/at t convert .
i got this phone on its release and is using it to its full potential in less than 3 hours  .
its fast and looks great  .
just sucks when i go thru the battery in one day  .
the best phone ever , and despite seemingly minor updates , the 3gs outperforms the 3g by leaps and bounds  .
everything is in the cnet review  .
watch out for all the apple    bashers putting up low ratings even before this phone came out .
i just love it  .
all these reviews and a lot of them do not even own the phone  .
out of all the phones i've had this has been the best  .
before this i had a blackberry pearl and i hated it , that had a bad interface that using that center scroll ball  .
this iphone just like the original i had is easy to learn and syncs with all my apps , calendar , notes , and mail (at not extra charge unlike my blackberry)  .
my only real complaint is that i've now upgraded from the original iphone plan of 20 per month to 30 per month and mms is not available right now and there is no 3g in this area of michigan (plans have been prepped to upgrade but not till the end of the year from what i have heard)  .
why should i pay extra for a more advanced phone that can only do what my original did  .
we should be compensated until all services are available  .
again bad at t for not being prepared  .
if your looking for a phone with awesome capabilities , tons of free apps , and a carrier with great costumer service this iphone is for you  .
i've had sprint and verizon they still cannot compare in service nor phones like at t .
this is my first iphone , however my friend has the 3g , and i have had both ipod touches  .
starts up way faster than both of them (10 seconds faster) , launches  .
topple 2 10 seconds faster , faster internet (even before at t upgrades their network  .
if you have the 3g and are eligible for the lower price that new at t customers get , go for it  .
if you are not eligible for an upgrade , skip it and wait for the next model , where there will be huge upgrades .
apple continues to be the best phone out there  .
i had the blackberry storm and i hated it with its click screen  .
there is no comparison and with over 30000 applications to download , you cant beat how this item performs  .
simply the best electronic item to come along in 10 years  .
1)flash player support  .
2)quick back option without going to home screen while switching between apps 3)file browsing and storing  .
4)option to attach images , file etc from email app itself 5)multiple signature options  .
6)manual rotate gesture option  .
7)notes app should be more powerful word process (fonts , text size etc)  .
8)all grouping of contacts for test message e  .
friend and family groups 9)app for grouping key social networking sites (for posting universal photos , text to all social networking sites together 10) auto spell check in safari browser (like mozilla) when adding text in twitter , facebook leaving comments at blog etc 11)build in flash in camera for night photo shot  .
12) front facing camera for video chat  .
13) use cover flow for using multitasking third party apps (limit to 5 apps , not to drain the battery life)  .
14)thin quick time player app to run video downloaded from web 15)group notification alert or not attended tasks (missed mms , sms , phone , chat message , meeting , event etc)on single screen roger kent  .
every one like this revolutionary device .
cannot go wrong with this version of the iphone  .
there really is no other phone as good .
let's be frank , iphone 1  .
0 is still the best smartphone (non    business user) on the market  .
3g s propels iphone so far above the competition , there is no good comparison  .
there may be phones that do more , but it's not what you do , but the way you do it .
my iphone is 2 years old , and works great , battery keeps holding plenty of hours of energy , att service so far so good  .
very happy with mine .
it is the best smartphone out there at the moment  .
blows me away  .
could not even imagine a cell phone product so advanced .
up until january of this year , i lived in north carolina and at t is my cell phone service provider  .
i always desired an iphone , but i never got one because the phone i had worked just fine  .
the call quality is decent , but i mostly used it for text messaging anyway  .
now i live in germany , and i have an iphone 3g with t    mobile  .
the customer service is great , along with the network and call quality  .
i recently shattered the top of my iphone screen , but i will definitely be upgrading to a 3g s soon  .
thanks for the in    depth look at another promising product (    .
the iphone 3g s is a great improvement to the iphone line by reducing the price on the 16gb models and introducing the 32gb version  .
apple has done a great job in listening to its customers and adding common smartphone features       regarding mms and internet tethering , do not blame apple or at t  .
the reason that it is not being offered at the moment is because the at t network is being updated to the 7  .
2 mbps speed .
it amazes me that this phone has hundreds of reviews before its actually released  .
do yourself a favor and make sure you listen to people that actually have the phone not iphone fanboys or haters  .
if you've got the money then buy it  .
i like it especially for the squirecon agility and the new broscono unit being built into the speaker  .
from what i under stand the speakers will be able to put out 1000 amps comparatively to a bose speaker system  .
i also like the new add on keyboard that will be shipping with it  .
fromt what i understand there is a slot to slide the iphone in , with the screen still visible  .
absolutely rocks  .
and the integration into windows 7 is far out of this world  .
i can barely wait  .
love the first generation , the one i've had since the beginning and cannot wait to indulge in the new one  .
it's such a great toy .
there may be lot's to write about when the phone is shipped , for now there is nothing to talk about  .
updated  .
on jun 13 , 2009  .
updated  .
on jun 20 , 2009  .
apple is a true patriot  .
it proves that us products are still the best  .
while other companies are lowering american standards  .
with cheap undone stuff updated  .
on jun 19 , 2009  .
you cannot review the phone for the lack of improvements first of all no one should be reviewing as no one actually has this phone , and secondly the phone itself is spectacular    better than any other .
none of you own this phone yet  .
stop leaving bad reviews when you have never even laid eyes on the 3g s  .
and the reviews are supposed to be about the product , not the service provider , so please quit with the 1/2 star ratings just because it is an at t phone  .
reviews should be about how functional the product is in a reasonable context .
how are there reviews before the product has been in the hands of the public  .
its kinda dumb that people are rating it based on their positive or negative bias towards the iphone .
the new iphone 3gs has incredible new features and speed , however , many of those new bells and whistles are held back by the poor network .
the bottom line is the iphone 3g s has features and user friendly environment that is un    matched by any other mobile device out there  .
i am a current iphone 3g owner i will defenately be getting the 3g s and selling my 3g mainly because im eligable for the upgrade so it wont brake the bank but even more so with the new features that are coming out which the current 3g is defenately lacking  .
all in all way to go apple on giving us some of what we want but yet leaving more room for growth (by growth i mean more profits for apple by realising yet another model in another year .
cannot wait to upgrade from my original iphone .
