i deliberated for a year and read everything available  .
i suppose one should not complain after paying only $799 for 32' hdtv but only a year and few months after casual use meaning 7  00pm to 10  00pm 4 or 5 nights a week this pile just stoped working after speaking with the manufacture well you know what their responce was  .
i only with they imprited in the floor models were their purchased to expect a little over a year of use , conviniently after their 12 month warranty .
worst tv    buying experience in my life  .
bought it from online retailer       one for myself and one for my parents  .
i is ecstatic with the picture quality  .
then the remote started acting up for both tvs       not responding until the batteries were removed , all the buttons pressed , and batteries replaced  .
then the buttons on my parents' console panel stopped responding  .
i is able to order them a replacement unit because it is w/in 30 days  .
then my tuner fried after emitting a loud squeal and the screen went blue  .
the retailer's warranty is over and i have to deal w/vizio who is putting me thru the mill because i did not buy directly from them  .
two defective units in one family       it must be genetic  .
you take a chance if you buy a vizio .
cheap crap  .
spend the extra 200 and get a name brand  .
i cannot afford a new tv , i spent 700 on this one , saying the lcd should last up to 20 years  .
up to 20 years  .
get a different tv  .
the 3 technicians that have come out to date , said it is a common problem and that they would never buy one  .
and to boot , the customer service reps had horrible attitudes when i have spoken to them  .
do not recommend .
our vizeo tv is 1 year old this month ( the date on back says it is made in nov 2007 ) there is sound but no picture , we have contacted the company in california , in october and were expecting a call back  .
our tv is still under warrenty then and now it is not  .
there is no bad connections at all it worked one day ; then it did not the next  .
just wondering what can be done  .
i live in canada , bought the tv in calais maine ( wal mart )  .
2006 purchase of vizio p42hdtv  .
my previous happy ownership recommendation of vizio has gone down the drain tonight as i look at what is apparently a very expensive paperweight hanging on the wall of my living room my vizio flickered on off a few times on it's own the last few days , then today it simply would not turn on at all  .
the amber light is on , but it will not turn on , nothing , zip  .
we tried power cycling it , by disconnecting the power for 3 min  .
ect  .
, and still nothing  .
then cae the realization that we , like probably millions of other consumers had been had  .
the joy of finding a flat , plasma or lcd television at such a reasonable cost , came with a very heavy price  .
while the initial purchase is less expensive than other brands , what you don't know when you buy it is that you will be buying another one in 2 years or so instead of 5 or 6 with most brands  .
my problem is not a lone one , in a hopes of finding a solution online i typed vizio won't turn on into google  .
the resulting 43 , 100 web pages confirmed my fears  .
it is a common known vizio problem , and there is no fix , it appears to be terminal  .
for roughly the cost of a new television , one consumer that had the same problem , he posted on hdguru  .
com in april 08    vizio offered to send a repair man within 10 days for the low , low price of $895 , if the repair man could not fix the problem , they would only charge him $285 to tell him it is broken vizio won't even offer an answer as to what the problem is , if they would tell us it's a bad main board or another component , maybe we would have a chance , but even most television repair shops wo not work on a vizio  .
as i write this post on vizio's website discussion board , my husband reminds me that it will likely be deleted before any sees it  .
he believes this because he reviewed 76 pages of discussions there , and this problem is not mentioned once , not once on vizio's page , but over 43 , 100 times on the first search enine employed to find a solution  .
as i have copied this post and intend to place it on as many consumer websites as i can , i sincerely hope that maybe vizio , as they review the post , will at least acknowledge the problem in a strait forward and professional manner  .
we have have been duped into buying disposable televisions from them once , but surely they cannot think that in the information age we would do so a second time without an appropriate customer service response to an obviously growing problem .
