the best mp3 player ever  .
99 each well i searched and searched for a software that is freeware and finally found one videora ipod converter this freeware allows you to convert the videos into ipod format it worked this converter worked very simply overall this product is an excellent audio player with video on the side this is not a pvp the video quality is good and the audio is excellent steve jobs called it an added bonus thats excatly what it is if you are looking for a pvp that is for mainly videos i would go with somthing like the archos or the iriver those are good pvp's well apple surprised me i love my beautiful , easy to use ipod its and audio player with the video as icing on the cake go for it its a great product the scratch factor is a problem but make sure u buy a tough skin protective case thats it hope i helped everyone out with this review plz comment i would like to hear what you have to say ipod video 9 out of 10  .
mg none biased reviews .
im tired of seeing all of these reviews people wrote before the product is even released  .
this is an amazing mp3 player and i love using it  .
its hard for me to believe some one would actally haul around one of those bricks made by other companies  .
i give apple another year or so , thats when they will have 100 % marketshare .
this is the best ipod they have made yet  .
many websites have given it 5 stars  .
now you can get 30 gig video ipods for free  .
its really easy all you have to do is type all of the link into your address bar and go to the site and they will guide you through the quick process step by step www  .
ipods  .
freepay  .
com/  .
r  23762675  .
this is completely legitimate  .
their site is backed by cnn , wired magazine , g4tech tv , msnbc and fox news  .
they have already shipped over 20 , 000 absolutely free  .
do not miss out  .
i have never owned a ipod nor any other hard drive mp3 player  .
i searched for at least 4 weeks through all the reviews on cnet to find the best possible mp3 player  .
i had decided to get the creative labs zen micro 6gb for 199  .
99 until i found out that the headphone jack broke  .
which i found out that it did when i went to a store and started listing to it as soon as i jiggled the headphone jack it broke well i have always been a advocate for any type of mp3 player except for apple  .
but after much hesitation i decided that for the price you cant get anything better 1st of all its a 30gb player which holds 7500 songs , second it plays the music nice and loud not soft like some of the lower end mp3 players  .
but most of all everyone is complaining about the video and how small it is  .
remember this is not a video player first  .
this ipod is designed to play music  .
watching a podcast video or downloading an abc episode is just a perk over all the ipod 30gb for 300 bucks is a great deal , plays the music great and thats what it is designed for  .
forget the fm tuners that others offer because you can get talk radio through podcasts and if you really want to mix up the music just use the ipods shuffle feature  .
and remember it has the longest warranty out of all mp3 player companies and you know what since its the most sold mp3 player ever theres not to many complaints about it  .
except from the idoits that think its water proof or something i give the ipod video a 9 out of 10 forget the rest and come on over  .
its eniveatable that you will eventually own one  .
i thought i wouldnt but here i am .
i bought the ipod 5g (30 gb) about two weeks ago  .
it has been great  .
i is able to get all my music uploaded and playing within an hour  .
video is a different story  .
you have to get a software that would convert dvd to mp4 and at first i tried a few demos and they did not work but when i finally found one , it has been nothing but a dream  .
true the screen is small but it is very bright and has been great to show off  .
battery life is my only gripe  .
it would last close to two hours and that is barely enough to watch a full movie  .
so if you got a long commute on a train or light rail , you might drain out the battery if you are watching movies  .
i have been able to rip stars wars iii and the transporter and i am so impress with the sound and clarity of the screen  .
video has played flawlessly  .
i have really tested this product to its fullest and it has been everything that i thought it could be and more  .
i even got my sister to buy one  .
oh , only reason i did not give it a perfect score is because of the battery life  .
if it could double its life to like 4 hours , this product is for sure perfect  .
thanks  .
after owning a creative mp3 player and getting the new ipod , i must say it is easier to use  .
i like the way videos play .
overall , this is a great ipod i upgraded from the 3g version  .
the 5g is much sleeker  .
the screen is beautiful and you can actually watch video without size being problematic  .
there is some delay when scrolling/selecting must have comprimised some processing speed for size (a fair trade if you ask me)  .
scratches easy  .
just got this and i must say , i am most impressed  .
i never is a huge fan of the ipod ; never got used to the click wheel , it always seemed big compared to other mp3 players and i never needed more than 1 gb worth of songs  .
but all of that changed with the ipod video  .
it's just amazing  .
the screen is suprisingly good  .
the picture's crisp and videos are very watchable  .
it looks great with all the glossy finish and sheer sleekness  .
now i see a proper use of all the storage space   i can use it to store videos and movies , and i'll probably be able to fit almost anything on this with the large capactiy , something that the psp does not offer on the downside , i think itunes should put up more videos on their website  .
but even if they do , purchasing videos regularly is not my peice of cake  .
i'd rather convert my dvd collection to  .
mov format and watch them while commuting to work  .
the player is also scratch prone , so remember not to take off the protective filming that the player comes packed in  .
i am also concerned with the battery life  .
have not been able to test that really well , but judging by previous ipods , playing videos could get really heavy on an already short    lived battery on the whole , i think this player is worth every penny  .
if you're looking for having a portable video and audio player in your pocket whenever you go to work , this is definitely your cup of tea  .
it fits in your pocket easily enough and it's most convenient to take almost any where .
i got my 30gb black ipod about two weeks ago and it is great  .
this is my first ipod ; i have owned three zen micros in the past and all have had the same problem , headphone jack issues  .
any way all my freinds think it is the best thing ever and people always want to hold and touch it  .
on top of great looks the ipod has great sound quality and it holds pictures and video  .
it comes with a nice case to prevent cuts and scrapes on the body but i still got one smaall but deep scratch on the screen  .
over all this is an awsome player that everone should buy  .
ps   i found this web site that with customize any ipod for $94  .
heres the link , check this out    .
http  //www  .
colorwarepc  .
com/  .
i've been reading a lot of reviews of people dissing the ipod video  .
firstly i'd like to say who the hell would want to listen to a fm radio when they have a whole 2 days worth of high quality songs  .
also what's all this hype about the archos  .
these players may have superior video capabilities but they're massive  .
you cannot pop one in your pocket and walk around listening to music which is mostly what your ipod should be used for  .
also videos for ipod are easy to get  .
just put all your dvds on your harddrive (temperarily) or gather all your downloads and get a video type convertor  .
you don't need to pay 2 bucks for videos  .
i strongly recommend videora free ipod video convertor  .
search for it on google  .
it provides quick idiot proof conversion of your videos into mpeg    4's that can be put directly on your ipod note   if you use this videora know that it sends the converted videos to a file noted in setup   video output  .
go to this file and simply drag the videos into itunes  .
(i had a bit of trouble finding my converted videos for a while  .
the bottom line    .
the best mp3 player out there with an new extra video feature  .
you'll be listening to more music than watching videos so do not panic about the video battery life get videora for puting video on your ipod , works like a charm  if you're a student be sure to check out the student discounts on apple  .
com/ca  .
saved me a bundle  .
first the good a clear 9  .
i really didn't know what i is missing  .
i seriously did not see the value in owning another mp3 player , after owning multiple models and makes i just didn't see shelling out that much money for an over hyped product , i could not have been more wrong  .
even when the g5 came out i thought the same thing as before why  .
that is until i received one for my birthday 3 days ago  .
i is floored when started to play around  .
yes it is my first ipod and i'm sure anyone who owns a g4 might not see the value in buying another ipod i would agree  .
sounds is rich and clear , even with the standard ear buds , but if you really want to experience it try using the bose noise canceling headsets , youre in for a treat  .
slimmer and lighter than previous models  .
now the bad news    .
yes the back is chromed and shows the slightest smudge and scratches so dont even think about not getting a real case for it  .
look for the hard case with the clear face and the opening for the click wheel made by contour  .
other cases will cut off the screen and are useless even though it's the video ipod don't expect to start putting your movies and video on it right away , you're going to first need quick time pro and convert and compress them to  .
mov  .
apple wants to make it as hard as possible for you to start ripping your massive dvd collection and putting it on their product  .
i'm sure their worried about piracy as annoyingly noted on the plastic cover do not steal music  .
battery life could be an issue while playing video however in my book it is not a concern considering my portable dvd players battery only last for about the same amount of time so this isnt an issue for me , just make sure you buy your power adapter all in all i am very satisfied and am planning to have a very long relationship with ipod and apple .
i had been looking at upgrading from a mini to a ipod , and as i is looking , all of a sudden apple introduced this ipod , so i decided i had to get that one  .
i have had it for a week now have explored all the capabilities  .
i upgraded from a mini , and i must say i'm glad i did  .
the color screen is great , and the video playback is pretty good  .
and unlike all the reviews , i get very good battery time for my playback of videos , tv shows , and music videos  .
oh and although most of the older accessories don't have video ipod as being capatable with , most are (not all  .
) , car charger and players , cable for stereo , etc  .
oh and if you are a student at a college and have a college id (which these days what college doesn't require one  .
) , use it  .
online or in the apple store you can get a discount  .
you get 10% off , which is $40 for the 30gb  .
oh and putting your own videos on are not to hard  .
they say you have to use quicktime pro ($30) , but if you are a college student (like me) , psp video is a great app that converts the video into the right file so it can be put on the ipod (ipods and psp both use same format)  .
i definately recommend this  .
i've had my ipod for about a week now and i'm very happy with it  .
i bought it primarily as an mp3 player but the video capabilities is a nice add on  .
i is actually more impressed with the quality of the video than i expected  .
i love the color screen and find the menus easy to read  .
also very happy with itunes 6  .
this is a well designed player  .
apple does it again  .
finally thinner finally cheaper finally time to buy  .
i almost bought the nano , good thing it is sold out this is not that much bigger yet the storage is over 7 times that of the nano 4gb and only $50 more , wow  .
i do not see this as a pvp , i would not recommend someone to buy it as one  .
although the screen is big enough and very clear , the battery life is very poor (2 hours if lucky)  .
since i wanted the nano anyway , i figured i would buy this simply for the 26 extra gb for only $50  .
if you want a pvp then buy an archos  .
but if you want music only , this is by far the best mp3 out there  .
there is no extras at all but all you really need is the usb power adapter , and you can buy a generic one for about 10 bucks  .
bottom line is buy this for the audio and amazing portability .
after reading through heaps of reviews for the ipod 5g i finally decided to buy it  .
i placed an order on friday and received on wednesday which i thought is quite fast this is my first ipod , my rca lyra actually just broke down 3 weeks ago  .
i'm so happy i didnt rush and buy the nano its quite a bit larger than my previous mp3 player but the sound quality and picture quality is awesome  .
the only issues i have with it so far is that when scrolling through the menus it lags a bit (is this normal  .
) and my ipod's click wheel is a little off centre (barely but quite annoying) .
the ipod is , and has been for a number of years , the epitome of a great music player  .
it has great sound quality , great controls , and the sexyness that no other music player can compare to the newest edition to the ipod family is no different  .
it has great sound quality , and an incredible display and now , it plays video  .
the new ipod is a great device  .
let's talk first about the newest feature , which is video of course  .
something that really bothers me about other reviews is that all of them are judging the ipod soley on it's video quality  .
keep in mind that steve jobs said , the ipod is all about the music  .
he also said when he announced the new ipod that video is a bonus , not a main focus  .
so , as you can expect , video is not exactly great  .
the quality is fantastic , mind you , but the screen is really to small to watch a large amount of videos comfortably  .
the good thing is , you can store your videos , and then watch them on a tv via the a/v cables (not included)  .
i've tested the video myself  .
the quality is quite nice , and for short films , it is rather enjoyable  .
but i'de suggest not buying it as your only means of bringing video on the go  .
so make sure you do not base your purchase on how good video looks on this thing  .
remember , it's all about the music speaking of music , lets get down to the main focus   the audio  .
this thing has amazing sound quality  .
it sounds just as good as a cd  .
imagine being able to bring about 700 cd's with ou wherever you go  .
that's about what you get with the 30gb ipod  .
now , couple that with the generous display (generous among audio players) , and you've got yourself an amazing device  .
oh , and did i mention that it's thin  .
well , look at it this way , it's over 30% thinner than it's 20gb predecessor  .
the 60gb model is actually 12% thinner than the old 20gb model  .
it' truely a thing of beauty  .
by the way , if you think it looks wider than previous ipods , your wrong  .
it's the same width , but the larger screen creates the illusion that it's wider  .
it really does look beautiful when you actually hold it yourself the ipod is a beautiful audio player  .
and with video as a bonus , it's definitely a good buy  .
you may think that $299 is pricey , but believe me , it's well worth it  .
this is definatly the best ipod yet , and i garuntee that if you buy one , you'll not be dissapointed .
it's an ipod for sure  .
despite the fact that it does not have the charger , a dock , or any of the other extras , it is the best out of all three ipod's i've had (3g , 4g photo , 5g  .
the h  .
264 feature makes videos look great (it made everyone's jaw dropped when i showed them the one i had from 2advanced studios  .
the navigation , as usual , is simple and lets you do more with less effort  .
music is a joy to look and watch , as are pictures  .
although many complain about the size of the screen , i believe that it is a nice improvement from where the ipod has come the 5g ipod certainly meets my standards , and lives up to the apple ipod name .
this is an absolutly awsome product  .
i love it i got it the second day it came out at the store by me  .
i is just wondering if anyone is having a screen delay  .
i know with my mini and nano whenever i push menu it goes to the previous page really fast  .
im noticing on my video one that its a bit slower  .
anyone else have this problem  .
i'm honestly shocked at the lack of enthusiasm in these reviews  .
this ipod is by far the coolest gadget i've ever owned background    i is finally in the market (meaning that i finally had $300 to plunk down) and searched endlessly for the right one  .
i have never owned an mp3 player of my own , though i have played with the older ipod's and a few other brands i purchased this ipod within hours of it going public (i almost settled for the color 20gb until i heard the rumors about the video one coming soon) and i have been playing with it for one week , today present    although i'm disappointed with the lack of accessories (specifically a case to keep my beautiful black ipod in pristine shape , but i'm very careful with it and so far so good) i would have to say that this ipod far exceeded my expectations  .
the sound on the included earbuds are great  .
i'm no audiophile , but i know what sounds good , and these things have wonderful clear low and high tones , and crisp and clear during acoustics  .
album art simply awesome  .
after you spend many hours (my mp3 collection is somewhere around 50gb or so) jamming the album art into the tags , the ipod shows a pic of the cd cover right on the screen when the songs are playing so let's recap , so far amazing sound , amazing storage capability , amazing navigation (honestly , who does it better  .
) and album art during the songs  .
even if it didn't do pics and vid , i'm sold but wait  .
the color screen is amazing for pics i'm always feeling guilty about not carrying around current pics of my little guy , but now i get to carry around as many as i want and play an awesome slide show on my new ipod honestly , i could care less about the video capability at this point , a couple of the videos that i've downloaded were grainy , but they were free so i was not expecting much  .
i don't ever expect to pay to download tv shows , but i will figure out how to convert my home movies and dump them on as well as how to put other movies of mine on there so , a quick recap awesome (tried and true) music player with a huge screen for displaying pics , and it does video as well , in case you ever wanted to it's worth the money , if you can afford it (and your wife wo not kill you for it) go and buy one right now  .
oh , and steve j  .
, in case you're wondering why not a 10 on this how 'bout next time offering a case during a product launch the little sleeve it comes with is nice , but i want leather  .
nice job though  .
when will people understand that this is not a personal video player , you cant set this like a tivo like those archos things , this is just and ipod , remember last month  .
there wasnt even an mp3 player this size that is mainly audio that also supported video , just like a 4gb flash player , apple came up with all this stuff and its really inovative so if u dont like all this new stuff that probably would take a while to exist if it wasnt for apple , you apple haters should go somewhere else  .
peace  .
i just love it when people rate things they've never used (see above comments)  .
take it from a real user this thing rocks  .
great video , great music , great photos all completely integrated with my software plus it looks great and is the easiest to use .
i love this ipod the best       i have a white 60gb and it's a geat value because of its added battery life  .
i swear this one sounds better than the 4g .
just got my black one today  .
let's do the music player first as expected everything you love about the ipod is here best    in    class interface , great sound (though those earbuds still are not up to par)  .
the new screen is a stunner  .
bright and big  .
photos are better than ever  .
it's the best small    format screen i've seen but let's face it the sell here is the video component  .
here's what nay    sayers are missing   quality , content , and ease    of    use  .
no other player delivers on quality the way this player does  .
it plays at 30 frames    per    second  .
many other players will only do 15  .
the codec is clean and playback smooth  .
desperate housewives looks fantastic on the screen  .
it's not blocky or blotchy at all  .
motion is fluid  .
compare with other players before you think you know what you're talking about now the most important point that everyone who dislikes this ipod is missing   content  .
yes , $2 bucks for a music video is silly , unless it's a concert performance  .
but apple has put together a delivery system that makes sense , and the implications should not be missed imagine missing your team's ball game or a favorite t  .
show and downloading it the next day for $2 bucks for playback on a t  .
or checking out over a lunch break  .
that's the future  .
and you do all of this legally , and you own the video  .
the long    term implications of all of this are pretty amazing  .
how about downloading a video of the green day concert you went to last night again they have a delivery path that makes sense the last part of my argument is ease    of    use  .
ever try and encode/decode/compress a video for a music player  .
not simple even in it's kindest form  .
the apple way  .
push a button and it's yours  .
just copy it to the ipod  .
simple , easy and fun  .
you cannot do this with other players  .
this is an impressive display of technology  .
apple has done always perfect designs for all of its products and i particularly like the design of ipod  .
i currently own an ipod shuffle and an ipod photo and i would like to use i cant wait till i get one of these ipod video  .
it's so elegant , light , easy to use as every apple's product .
go get yours i'm getting mine with the new imac lol  .
this is a great product for anyone who wants the latest and greatest (even though most of you already went out to buy the nano)  .
if your not looking for the newest gadgets i would wait to buy this one  .
its a great product but its just a small step to what is to come for the next ipod  .
right now there is only 5 tv shows available on itunes 6 but comeon , give apple a break  .
it took years to build up the music library so dont expect all your favorite shows to be available right away  .
right now there is a large music video library but the price for them ($1  .
99) compared to the price of tv shows ($1  .
99) doesnt really seem reasonable .
its nothing new , thats a given , but so what  .
better late then never  .
i'm glad they released it , its beautiful , and has a great apple touch  .
i love the itunes movie integration .
i find it funny people all ready hate the video ipod so soon  .
news flash nobody has it yet  .
obviously this won't appeal to everyone because of the hassle of buying tv programs or music videos  .
so my response to the people who are rating the ipod video so low is , don't hate the video ipod just because you were over anxious and bought the color ipod  .
if you want an honest opinion on the video ipod here it is  .
if you love the ability to carry all your picture and be able to listen to quality music and don't mind paying a little more i think video ipod is for you  .
my question is why would not they make it so you can put your dvd collection on it  .
every body is jealous because they bought there crappy irock last month and they wont be able to buy this one  .
everbody is just bad mouthing this one because they do not have it .
the new ipod vidoe looks great  .
i wo not buy one (too much $$$) , but i definitely recommend it  .
great job apple  .
it , s an amazing ipod in ipod history  .
which is full with the features and larger color screen  .
overall sound quality is realy clean  .
bass is deep and clean  .
anybody who will own it  .
who will realy enjoy it , s sound quality .
well , since it's so easy to write a review before the product has been released , i'll give it a go so far , everything seems to be another great ipod  .
the expanded features , including the newest itunes , is the start of a new way of thinking  .
i've had other mp3 players from other comapnies and nothing is even close to the ipod (and the universe of peripherals) see how easy that was making a review before i actually have one in my hand  .
bottom line i'm getting the 60 gig .
looks great , added bonuses to previous models , i have not but an ipod for the main reason of having no video capability , now i have no excuse , does anyone know if you already have tv shows and movies on your desktop if there is any conversion software to make it capabile to play on the ipod  .
want an ipod worth the cost of admission  .
take a very good gen4 ipod , make the screen bigger and add video support and 10gb of space  .
i think i'm on board for this one i've used other players and the bottom line is this   itunes is better than anything else out there at keeping you organized and syncing your files seamlessly the only thing that would make this deal sweeter is an included all    in    one a/v adapter , charger , dock ; but i have a feeling that you'll be able to find a pretty good aftermarket one before too long .
from the minute i heard about the new ipod , i is blown away with the all    round greatness it seems to offer  .
video playback is a massive plus but the screen just dose not seem to be big enough to watch videos on , which i will really decide on when i see the thing out in the wild  .
and the shows that are being offered are only being offered in the us at the moment , as i live in europe , the video content on itunes leaves much to be desired with music videos and movie shorts on offer overall , this ipod looks like its going to become the best ever  .
cnet does a great job with reviews , but the specs are not right on this one  .
the ipod video (5g) support video rates of up to 1 , 000 kbps not the 768 kbs that cnet said  .
the 30 fps and video formats are correct  .
although if you do go up to 1 , 000 , in my experience i've lost the sight of the volume and the seeking , but you can still skip and change the volume .
the ipod is a great mp3 player  .
perfect for audio with good extras such as games , utilities , and locking by the way , what is up with all the microsoft fan boys coming here to mess up the score of the ipod  .
i'm no microsoft hater (i'm running the platform now) , but it's getting out of hand  .
if you wanna talk about how great the archos player is , go and review the archos  .
people who come to mess up product scores truly do not have a life .
christmas 2005 , i finally gave in and asked for an ipod  .
sure , i is about 5 generations late but i like to get things when i think they're at their best i loved this thing from the moment i recieved it  .
it is my first mp3 player so i went to the top from the very start it did everything i thought it would do and more and i basically used it about every day a few times , slowness and freezing did occur which got pretty damn annoying and made me want to chuck this thing into a nice hard cement wall but i held back i no longer own this ipod because i bought got fed up with carrying a lot of technology in my pockets so i bought a nice music/video capable pda phone and sold this ipod  .
i still loved the thing though and actually do plan on buying the 6g ipod when it hits the streets  .
either that or the iphone  .
apple has done an amazing job with the ipod line and i doubt they will disappoint in the future  .
here's the lowdown  .
i've had 2 apple ipods  .
a 20 gig 4th gen and a 30 gig 5th gen  .
both died within a month after the warranty expired  .
on my first , the battery died and the battery replacement fee is $69  .
so i said nah and sold it on ebay  .
then i purchased my sleek new 5th gen last april  .
my 2nd ipod died exactly 2 weeks after the apple warranty expired  .
do not get me wrong  .
it's an amazing mp3 player when it works  .
incredibly simple controls although the scroll wheel can overshoot files when looking through a large songlist  .
it has tons of aftermarket accessories like cases , skins , cables etc  .
the screen is super    scratchable , same with the back plate  .
i is disappointed with the battery life  .
i rushed out to the store and i is saying to myself whoa  .
12 hour battery  .
that's half a dayy  .
when i tried it for the first time , it might have been a max of 5 hours  .
personally , i love macs and apple products but the ipod is the first product that made me think of what else i could buy instead of a 3rd classy new ipod .
very nice product  .
holds ton of music and video  .
however , i do wish i had bought the 60bg model  .
i like the quality of the audio and video playback  .
also displays pictures sharply but wish i could zoom in on them  .
great integration with itunes  .
my dad thinks mine is so good he wants his own  .
wish the price is lower (dont we all  .
overall , love the product  .
love my ipod , works great as always .
i got my 30gig white ipod video for christmas  .
i have used ipods before and they have always been easy to use  .
itunes only makes it easier  .
it froze for 4 hours until i could get home to check the forums to fix it  .
i held down select and menu and it started up again and went on working  .
i have videos , pictures , music , and podcasts and it works great  .
i highly recommend  .
support apple , not microsoft  .
lol i also recommend the ac charger  .
not being able to charge an ipod away from your computer is unacceptable .
the 5th generation ipod is clearly one of the best ones  .
as me owning a 30gb white ipod video , i have experienced no problems yet  .
although i am just a novice consumer for this product from apple , i seem to know a lot about this mini handheld mp3 player  .
i really enjoy taking this around , but i have noticed that my friend's ipod has gotten lots of scratches on the screen , so i bought a screen protector from apple  .
it works fine , and it protects the ipod  .
the ipod can hold 7 , 500 songs , lots of photos , and numerous hours of video  .
i love this mp3 player , and it is great in my opinion , there is not much to talk about , but the screen for this is kind of small , and it is hard to focus on videos  .
also the battery life is low , it runs out in a matter of hours  .
other than that , this is a really good piece of machinery .
after looking around for a month i decided to get the ipod  .
after i got the zen vision m which i was not able to get to work on my computer , something to do with wmp  .
i is going to get a gigabeat but i couldn't find it anywhere and where i could it is an extra 50 bucks which i did not want to pay  .
the ipod may have some minor errors that people make to much of a big deal out of but overall i think it's outstanding .
i've had my ipod for about three days now  .
and to ensure that i find out if there is something seriously wrong w/ it before my 14 day return period , i've taken it everywhere  .
the screen on this machine is a lot bigger than i expected    i is shocked at the clarity and detail that is provided  .
perhaps my opinion of the screen size and image is favorable because i have no basis to compare it i just recently purchased an 20'' imac w/ the core duo processor  .
my dell pocketdj would not work on the new machine  .
i avoided the ipod in the past , because only the snob    like kids around campus seemed to own them  .
now , the ipod is ubiquitous here  .
anyway , the ipod outshines my previous player by leaps and bounds the main problem i have with this player are the stupid ear    buds   when walking to class , i must keep my head in the forward position , or the earbuds begin to slip out of my ears  .
this is an easy fix , however just buy new headgear overall , i'm satisfied (so far) with the machine .
i really like my ipod .
i finally broke down and got one of these things to put my music into to listen while riding the bus to work  .
and it lives up to the challenge  .
i use it strictly for music i do not need to watch videos or photos on such a small screen  .
everything on it so far has been great  .
but i use a pair of sony studio monitor headphones because the earplugs that come with the thing are crap  .
no bass , no balance to the sound , and you have to turn the thing way up to hear the music good  .
and if you play it like that too long , your ears will be ringing for hours so i say , get one  .
just use some different headphones .
i had this before my nano  .
it is good but i had many problems with video  .
so for those who are looking to watch movies and shows regularly , the ipod video is not for you  .
but as always , it is an awesome music player .
first the pros   i'm not sure why people complain about itunes  .
a lot of them do so there must be something to it but i love it  .
it's easy to use , easy to update the ipod  .
i like the tight integration of itunes and the ipod  .
the itunes music store is another positive sound quality is very good , i like the included earbud headphones  .
ipod navigation is so incredibly easy cons   apple rates battery life at 14 hours  .
this is a joke  .
maybe if you lay it there with no volume and no backlight and just let it play you'd get some battery life  .
but i don't listen to music that way , i skip around sometimes within my playlists you must get some kind of screen protector and/or case  .
apple should keep the included one , it's useless  .
the ipod scratches easily and shows smudges  .
i got a nice leather case for mine and i'm very satisfied i do not personally mind not having a wall charger , the usb charger is not inconvenient for me but i can see where it would be for some  .
i did buy a car charger which i use once in a while , due to the very short battery life bottom line   this is not my first mp3 player but it is my first ipod  .
i highly recommend it  .
i like the quality and ease of use very much  .
the cons i've listed here are not to steer anyone away , but just to point out some areas of concern  .
get an ipod , it's worth it .
this is the best ipod todate  .
however , most previous ipod accesories have now become obsolete which really sucks  .
also battery life is not that great when it comes to playing videos  .
i absolutely love this ipod  .
i got it for my birthday about 3 months ago and i'm very pleased  .
only a couple of things it can improve  .
apple should make it more of a video ipod instead of just having video capabilities because the battery only lasts for 2 hours  .
also there's no radio instead you have to by an attachment plus o voice recorder unlike the iriver  .
but the content in itunes is excellent  .
the variety is too good infact i bought a language audiobook in hebrew  .
that's how vast it is  .
overall , a great gift to have .
had this neat product for nearly 2 months and i can honestly say i love this little babe .
i bought the black version of this right when it came out and for the most part i am very pleased with it  .
i bought it to replace a dell dj that i owned that is good in its own right , but just looked dated and didn't have a color display  .
the gen5 ipod is beautiful to look at and works great as a music player and video player  .
i can also say that the way itunes integrates with it makes me wish i traded in for my dj long ago there are only two problems with the player but they are big enough that it could make some reconsider buying it  .
number one is the high price of accessories  .
for instance , the ipod comes with a usb charger that you use to sync and charge the ipod  .
it's neat that it can charge through usb , however , since it is very likely that you will need to charge this when a computer is not available you pretty much have to buy the power adapter if you want to ever take the ipod with you on a trip  .
the power adapter is $30  .
i mean come on apple  .
now lets say you buy a dock kit so you can play it on your stereo while it's charging in the dock , etc  .
well , the dock is $39  .
00 but comes with absolutely no cables  .
so , if you want it to charge while it's playing you'd need to spend an additional $30  .
00 for the power adapter , another $19  .
00 for an additional usb cable (unless you want to unplug it from your computer all the time) and say $5 for a y adapter to plug into your stereo  .
oh yeah , and if you want to be able to control your dock remotely , the remote is another $29  .
total , $122 the second negative is the battery life is not as advertised  .
the battery life apple quotes is assuming you were to turn it on with a play list and never hit anymore buttons  .
but who really does that  .
if you play and fast forward to other the songs , the battery will usually be out in 4 hrs or less  .
ok , if you are listening it to it on your commute ; bad if you're listening to it on an overseas flight  .
and if you play video , battery time is 2hrs tops do not get me wrong , if i had to make the purchase over again i would  .
but the price of accessories is infuriating and the battery life can be a serious issue depending on how you use the ipod .
first off , like they say buy this rpoduct for is audio , not video  .
when i opend the box i is excited , it is so shiny and new lol  .
i couldnt wait to turn it on , and add all my songs , a nd check out what the video looked like  .
(flaw when trasfering video to ipod format with quicktunes , i found it very slow with a measly 5 minuite music video)  .
but this is an amazing device , i dont think i will use the video on it i mean thats what my laptop is for  .
but it is nice to know its there  .
and you will most lilkly come to the same conclusion  .
if you thinking of buying a mps player with aroudn 20    30 gigs , then also check out the icowon , and any other , you will find that others will ahve longer battery life , but there will not be as many acceseries for it then there is for the ipod  .
now i know that every mac thing is over priced , its just a smart comapny  .
but that does not mean you can get descent priced gadgets for it , if you look at other brand names not on the ipod store then you will probally be happier when it comes to reviewing a product you have to think of it more then wow it has flaws because nothing is perfect  .
this device to me is perfect in many ways , and if you want a sexy and sleek mp3 player , which has nice features and is simple to use to a certin extent then this is perefect (of you have the money for it , that is)  .
oh and i forgot the thing i dont like is that with itunes you cant do certin things , but there are ways around them , but unless you overthink things like me its fine  .
good job apple , you doubled your stocks and made a good product , i no i lvoe mine  .
everyone who complains about the ipod video having no battery life to support the video usage is forgetting that this is actually the 5th generation of ipod  .
which means , it's still music first people  .
15 hours of music is not bad  .
i own the archos gmini 400 (same as 402 just has a compact flash) and the biggest annoyances about it are the short battery life , 10 hours and that in order to use it you need to use two hands  .
ipod is still supposed to be an mp3 player  .
in other words , it's made to make listening to mp3s as smooth as possible  .
for those who would rather use a mp3 player to listen to the radio , just go buy a satalite radio  .
though i would like to see line in recording on ipods because i believe that's a great feature , the rest really do not matter  .
this player still does what it's supposed to do , play mp3s  .
those who say this is not a video player , you're right it is not  .
it's just a mp3 player  .
if you want a video player go get the creative zen vision or an archos  .
those are probably still the best two pvp choices out there  .
ipod obviously is not listed under that title for a reason  .
it's still just a mp3 player , through and through  .
i recently ordered my own after testing out a nano and video of my friends  .
i should be adding more to this review after i get it .
the new 5g ipod is an awesome music player and video is also a neat addition though it is never to replace pvp's (portable video players)  .
i do not have any huge complaints except that my first ipod video had a couple dead pixels and the battery life is horrible .
i bought this for my daughter , who has been resisting mp3 players because of the hassle for years  .
on the plus side , she has been able to transfer photos and videos easily and very quickly    and it does pass the cool test negatives    apple has nerfed this thing  .
there are no accessories to fit it out on the market anywhere  .
it is the wrong size for current cases  .
they have done away with the extra intelligent circuit at the headphone attachement , so none of the current accesories (fm tuners , fm transmitters , etc  .
) will work with it  .
it does not even come with a charger    you have to leave your computer on all night to recharge the battery (which runs down in maybe six hours on just audio using the equalizer and dimmed album cover pictures)  .
as far as video    without special software (not included) , you cannot even make your own  .
you have to buy from apple at $1  .
99 a pop i did give it an 8 because my daughter is having a good time with it    although the battery issue and horrible scratches (even babying it) might change her mind when the newness wears off .
well when my 5g ipod arrived at my door , i is very excited to open it and immediately installed itunes to test it out aesthetics   if you have an older gen ipod the size is about the same but significantly thinner  .
i have the black verison and it looks amazing , but is prone to scratches and fingerprints  .
(i will probably invest in an agent18 case or the invisibleshield) the screen is magnificient with vibrant colors , but this easily drains the battery (more info about that later on)  .
oh yeah apple included a soft sleeve/pouch thing to cover the ipod , but it doesn't exactly prevent it from scratches because you need to take it out to use it functions   well you probably already know about the ipods mp3 capabilities and the click wheel , so i'll just get on to the video features  .
first of all , i should let you know i bought my ipod for its music features , and video is just an extra  .
i think if you have the same mindset as me , then this ipod will have a higher rating for you  .
those looking for a portable video player should look elsewhere  .
although the screen is great and movies/tv shows look great on it , the battery life basically kills this feature  .
i is able to watch anchorman , but the battery is at red by the end of the movie  .
(knights of columbus  .
) people complain about $1  .
