i am a bricklayer in minnesota  .
so far , very pleased , upgraded from rumor (had for 5 years) pleased with sprint been with them for years .
i still chose it over the hero because of the flash and keyboard , but the hero has more home screens , multi touch (although still nowhere near as nice as the pre or iphone) , and a much better ui  .
i would give it a 5 star rating if it had the 2  .
1 update and multi touch as good as the pre or iphone  .
i want to root it to get rid of all the sprint crap that's loaded on it though .
a lot of people have had complaints on battery life  .
i either got lucky or they are leaving gps and wifi on at all times  .
i can use my phone pretty extensively (games , web browsing , texting , etc  .
) and have it last the whole day without any trouble  .
without extensive use the phone will last 2 days  .
the display is great and so is the physical keyboard  .
if you do not care about the keyboard then the hero would probably be a good choice  .
powerful hardware and the android platform while outdated has everything you need  .
but for me , sprint's data plan is what should sell this phone  .
if you want unlimited texting prepare to pay $30 more a month for the droid for the exact same service and essentially the same phone with a worse physical keyboard but a newer version of android  .
i still think the iphone is better overall in terms of seamless integration of hardware and software and has a way better app store , but for me it was not even close to being worth the extra $20 a month  .
and once again iphone lacks physical keyboard but i realize that's a matter of personal preference  .
i tried out the palm pre which has a very nice os but the phone feels cheap and the keyboard is so small it defeats the purpose of a physical keyboard  .
it's app store lags behind even androids as well  .
not familiar with the blackberry line so cannot comment there .
this is an awesome phone which is very customizable  .
i like the fact that there are numorous free apps for download in the android market  .
the slide out keyboard is also a plus , but i do find myself using the onscreen keyboard more and more often  .
i've heard issues of battery life , but so far i've been satisfied with how long it lasts  .
i do agree and recommend though charging the phone nightly updated  .
on mar 10 , 2010  .
upgraded from a blackberry curve and could not be happier .
it's only my first day of having the moment but after weeks of deliberation (between hero , pre , moment and blackberry) i have made my decision and i have to say i am very happy (so far)  .
love the beautiful bright screen , the backlit keyboard , the quick buttons (back , home , menu) and especially how fast it is  .
i use my phone mostly for texting and web  .
i have a feeling this phone will open up the door to so much more  .
came from the palm centro , which is a great phone , but since i is used to keyboard and touch screen , i could not give either up  .
i have heard very good things about the android op system , so i know i was not going to go wrong with it  .
at day one , i am very happy   ) will keep you posted  .
thanks to all for your reviews and helping me make my decision .
perfect for people who can set up the phone and customize it to their liking , takes time  .
i took the time and it really is your phone  .
coming from an iphone the customization is unbelievable  .
you can completely change the homes screen  .
the only thing i do not like is the missing voice search , that samsung removed , terrible .
well one of the fist things i noticed is i had to go onto market and get a backup program this is not a good thing  .
it should come with one  .
also you cannot outright delete some things like an email account without a reset  .
had to go to market again to get a program to toggle security settings because there is no way to go back to default after you draw your pattern in security  .
not enough system memory when you have to get programs just for basic functions like backup , toggling security and silent mode  .
i don't care about pic editing because i can download an app for that  .
it's a phone after all not a camera and i can upload the pics to my pc if i need to , but i put picture editing in the non    essential category  .
i think the lack of a back up app and the ability to create a restore point is big  .
you need one or the other , preferably both and having to download them means you use internal memory space  .
it also does not follow links in emails very well i do however really enjoy the phone .
this is great phone that can meet the gadget    guy/gal's needs easily  .
i would highly recommend this phone to new sprint users and even others that want to switch carriers  .
i came over to sprint from verizon due to everything plan and with this phone it did not disappoint .
honestly , iv researched android phones for the longest time  .
iphone is good , but only because its been there for a while but honestly , customization wise , the iphone blows  .
if you want a phone that you can have fun with , make it your own , and brag about , the moment is the way too go  .
sense ui on the hero is over rated and the 7 screens arent necessary  .
i thought i might be able to deal with the onscreen keyboard , but it gets really annoying at times especially during long texts or emails , i find the physical keyboard is very handy the flash on the camera is great , that the hero definitely def doesnt have its a little bulky , but not bad at all , i think the size is great again the display is amazing iv read through forums and forums and iv concluded on the moment  .
new androids are coming out soon , but i dont think any of them have a nice physical keyboard too  .
if u want a slim phone that isnt as fast as the moment and u just want something flashy flashy flashy , go for the hero  .
it will be slower , die quicker and lag more , but hey it looks sleek and if you are cool with a worse on screen keyboard , go for it  .
iphone cant compete with android  .
my friend has the iphone and he says android is better  .
worth every dollar  .
my only real complaint about this phone is the battery life  .
i run an app manager and a task killer and still only get about 8 hours of playtime on the phone before having to recharge  .
problem is when you get down to 15% , you cannot use the camera and then it auto dims which makes it virtually impossible to see when out in bright light  .
i am considering buying another battery just to have a spare and also one with better rating (the one installed is 1440 mah , have seen one rated at 1600mah)  .
the apps are great and plentiful , i love the features and the sound quality is excellent imho  .
i use a bluetooth most of the time but the phone volume is very good and the speaker phone is great but you have to remember it is behind the phone so do not set it on a table or blanket and you can hear it fine  .
another pet peeve right now is the lack of accessories , i have had my phone almost 2 months now and still there are no designated moment accessories except for a few shells to clamp on  .
the iphone has about 10 , 000 accessories , why so few for the moment  .
anyway , i love the slide out keyboard since my wife has a instinct s30 i tried to use the touch pad and it is difficult  .
the keyboard is small but even with my fat fingers i can type relatively fast  .
also , just a warning , if considering the invisishield , please know i is so elated they had one for the moment i installed it and then realized how much it affects the touch screen usage  .
gets frustrating sometimes , i would recommend against it if you plan to use the touch screen a lot (ie to play games , etc)  .
overall , this is a great phone with a few little quirks .
this is my first touch phone and data phone  .
i ushered in the 21st century by upgrading to sprints data package and after an extensive investigation on different phones i decided on the samsung moment  .
the pull out keyboard is the only way to go as it makes typing very easy  .
i'm a fast typer so being able to type with a finger from each hand on this phone makes quick work at typing messages  .
the rotating screen is very i    phone like  .
it is thicker than an i    phone but handling the moment is not bad given i have small hands  .
i would recommend buying the phone through sprint as i believe you are more likely to get a new phone with all the updates right off  .
i've only had the phone a week but time will tell how good the phone really is .
if you don't mind experimenting with apps to find the ones that suit you best , this phone is superb  .
(i'm trying to find the best to    do list , for example   gtasks , astrid , rtm all have their pluses and minuses  .
) the keyboard is great       i can almost , but not quite , see how people live without a physical keyboard  .
the drawback in having a keyboard is extra girth , of course , and this phone is a biggish wedge in the pocket  .
(i can type well using the onscreen keyboard in landscape mode , but then there's almost no screen available  .
) it's good    looking , though android 1  .
5 seems just fine to me , though i'm looking forward to the update  .
i don't see any holes in the app store offerings  .
(something people do not mention is that android apps are mostly free right now , unlike iphone apps       maybe that's in hopes the os will catch on  .
i gather samsung is updating the lock screen , because the current one makes it too easy to dial 911  .
(you'll see why if you look at one  .
) i'm using a lock app in the meantime , but it's inconsistent you should consult an android site for tips on conserving the battery  .
following those , i get a solid day out of it i is unable to figure out how to manually load music in so that albums would be recognized as albums (especially with classical music) , but the free doubletwist program solves that , if you use playlists i like the money you save with sprint and have not had problems with their service in the past ; this is the best sprint phone , i think .
the moment is basically sprint's equivalent of verizon's droid  .
the form factor and most of the features are very comparable  .
voice and sound quality are very good  .
the speakerphone is very loud and works with the media player so the moment can act as a sort of portable radio  .
coupled with an app like iheartradio , this is a killer app for me  .
especially like the gps app    plug it into an fm modulator and suddenly your car speakers are the gps voice  .
also works very well for playing media or streaming internet radio in the car (no more local radio and no satellite fees  .
) and if a call comes in , the music pauses and lets you take the call  .
the camera is very good in low light  .
wish it had manual zoom  .
the moment runs os 1  .
5 which is no longer the latest thing  .
but sprint is promising to bring out updates to bring it up to the current release  .
that should solve many of the issues like the battery meter i've been experimenting lately with leaving my laptop at home and just seeing if i can rely on the moment , and for the most part , it has been easy  .
also been able to leave my gps at home and just rely on the gps app in the phone  .
this works very well  .
when you want to find a place , the phone looks it up online to find the address and then does the routing  .
this is effectively like having live updated maps  .
compare to static gpss which often do not have poi or the latest streets  .
no wonder the gps companies are scared .
i've had the moment since christmas , and so far i have only found a few flaws  .
because i have internet on my phone for now , the phone tends to die quickly  .
i can make it about 18 hours without a charge  .
this actually is not too bad , i'm just used to my lg rumor lasting 3 days on one charge  .
the other flaw is that applications , like the internet and games , sometimes crash without warning  .
the phone is easy to figure out  .
the camera takes decent quality pictures  .
my texts go through and the call quality is very good  .
overall , i love the phone .
great phone sicker than the iphone battery life sucks but overall the phone is not that bad  .
big fan of android and it may take a while to convert me to something else .
if the battery were able to hold a longer charge , i would have absolutely zero complaints with this phone .
after two weeks of use compared it with hero (tested one week)  .
the dust accumulation on the hero screen is a deal breaker for me  .
the screen in sharper than the hero but i would expect better battery life given the amoled screen , although battery life on the hero is just as bad  .
glad to have the keyboard because my flat    tip fingers were just bad for vertical virtual keyboard , horizontal is a bit better but takes getting used to it  .
reception issues inside home is resolved by retentions dept at sprint providing me a free airave with no monthly fee , at home i use wi    fi  .
call quality is very good , loud and clear , speakerphone much better than hero  .
picture quality is good but the shutter button is extremely slow , image stabilization feature would be nice  .
although hero has 5mp camera the moment's pics looked better  .
user interface in hero is much nicer but i have learned to customize moment's screens and i came to conclusion that i can have everything i really use in 3 screens  .
most of these new smartphones do very poorly in terms of battery life and both htc hero and samsung moment add to this list  .
the moment has some glitches in power management that are a bit annoying and here are examples  .
after reading reviews i went through 3    4 cycles of fully charging/discharging phone and not much difference is noticed because battery indicator is crazy estimating battery life  .
after a few hours of normal use (4    5 hrs) the battery meter suddenly drops to indicate 15% and screen in dimmed  .
it remains at 15% for the next 3    4 hrs before going into red indicating less than 15%  .
at this point you cannot use certain energy hungry devices such as camera/camcorder  .
in another instance i is charging phone through usb cable and when i took it off it kept indicating that it is charging  .
problem is that phone is not managing energy use at this point and towards the end of the day it just indicated battery low , phone shutdown and i is left without communication at that point  .
hopefully these glitches will be resolved in the next software update (please  .
so why in the world would i keep this phone  .
well honestly sprint has been very supportive (unbelievable right  .
) , have addressed all my main concerns of home reception (out of home phone works great) , sprint tv keeps kids (and adults) entertained , sprint navigation is excellent , watched nfl network game last thu (an otherwise $10 add    on to my cable bill) and the android platform is awesome , so i only had to choose between hero and moment  .
although i use phone with one hand , i found the keyboard easier to use than virtual one , although the hero virtual keyboard is a bit better than the moment's  .
the moment is faster than the hero (much less lag) , the amoled screen is far better than the hero lcd , especially viewing angle (when both kids want to see spongebob on sprint tv impossible in the hero)  .
but the choice is clear when i confirmed the fact that the hero does tend to accumulate dust on the corners inside the screen hero needs very special care to prevent this  .
i got used to the bulkier phone type (stepping up from a centro) although i still try to reach for a stylus at times (hardest habit to break)  .
just wish these phones would either allow install of apps into sd card or have larger memory space to install these  .
overall i like the moment on sprint's network  .
highly recommend this phone , put my blackberry down for this one where blackberry cannot touch this phone in many ways  .
this is my first smartphone  .
i set my metropcs samsung messager aside  .
however , i'm a fan of how samsung phones are built  .
they are strong and durable  .
i am also a fan of the touchscreen response  .
according to the cnet review , they said it is sometime unresponsive  .
but , i think it's a good thing to put some pressure when opening an icon or flipping pages  .
some phones open apps if you breathe on them  .
i like the the slide    out keyboard feature , and it having 4 rows (dedicated numbers row) vs 3 rows , is part of the reason i chose this phone over the motorola cliq  .
i do wish it is easier to zoom  .
maybe i need to read the manual  .
lol , but besides that i think it's a great phone  .
not an iphone competitor , but a solid phone for anyone looking to get into the smartphone game .
i'm really happy with this phone  .
i think its one of the best phones on the market right now , and i do not think you'll regret getting it  .
for me the biggest probs   wish the battery lasted longer and i wish i could find a better tethering solution (this will probably be fixed in time) .
alright , i have to get this out of the way first  .
the whole battery issue thing  .
the battery in this phones borders on stellar  .
it would get at least 4 out of 5 stars  .
i know there are many people out there complaining about it  .
there is nothing wrong with the battery  .
there is , however  .
something wrong with the battery meter on the phone  .
i would imagine it is a software issue  .
what happens is that the battery meter will show a relatively rapid decrease/discharge in the battery  .
you will be down around 15% by the late afternon  .
but you can operate the phone below 15% for hours on end  .
i challenge anybody with this phone to try to run it until it turns off/dies  .
you will be awake all night trying i guarantee you  .
is this an issue  .
yes it is  .
it would be nice to have an accurate reading of actual battery life remaining  .
another annoyance associated with this is that once the battery does go below 15% , the screen goes into a power saving made and automatically dims and you cannot brighten it until you recharge  .
so the people that freak out when it says you have 15% remaining don't  .
you still have literally hours of use potentially well into the next day if used lightly  .
if you would like to read a 10 page thread on this issue , visit this website (i have no interest) http  //androidforums  .
com/samsung    moment/13783    possible    battery    quirk  .
html  .
that link will give the potential buyer of this phone something to go on instead of just the battery sucks another issue is pandora does not run smoothly on this phone  .
may have something to do with the buffer setting or the sampling speed but this is also a known issue  .
i am willing to bet this will get worked out because this is probably the second biggest issue next to the battery meter  .
people love their pandora good stuff   best thing about this phone is the speed  .
i had the hero for 3 weeks and that phone absolutely drove me crazy  .
you would have to wait about a second for each touch to register  .
the hero fans will say , gosh , you sure are impatient if you cannot spare a second  .
it is a second per touch  .
so if you have to go thru menus that require 10 selections , you are there for at least 10 seconds  .
this phone is just pop pop pop pop you can probably navogate that same menu in half the time and maybe even a third of the time on the moment  .
the phone app on that phone (hero) is so slow and laggy  .
for people that are looking for a good telephoning eperience this phone is the best cellphone i have ever used  .
speaker volume (both interior and exterior) is excellent  .
call quality is excellent  .
and i have yet to drop a call which is unheard of  .
i am sure it will happen , but i am still amazed  .
it is an excellent phone  .
it is an above average internet device  .
the native browser is decent and faster than any other native browser i have ever seen  .
opera mini is not yet supported on this phone  .
so that is a bit of a disappointment i do not use my phone as a business tool so take all of that into consideration when you weigh my opinion so i really don't care much about syncing issues that others have had  .
google is definitely trying to bring you into their loop  .
they are a forced to be reckoned with , that is for sure i have found the virtual keyboard to be excellent as well  .
i don't really use the hard keyboard much which surprises me  .
the virtual keyboard looks very plain and the size and look of the keys do not inspire confidence at all  .
but when you go to typing , you hit all the correct keys somehow  .
anyway , i am surprised at how well it works in summary , if you are looking for a phone on the sprint network and are considering this one , i wouldn't let the battery meter issue turn you away  .
it is somewhat of an annoyance , but the phone will last you at least a whole day of regular use  .
there is a lot of noise out there about this and i don't think samsung can turn a deaf ear to it  .
i would be willing to bet it will be fixed before xmas but that is just a wag  .
this is the best offering sprint has and it ai not too shabby  .
ok here we go as objective as i can be , up front and honest i gave it 4 stars because its a good phone , but i will list the things that i personally did not like and have motivated me to get a pre i have been a long time palm person and went out to buy the pre recently and walked out with the moment  .
im open minded and always willing to try something new this is my first android and right off the bat i gotta admit i didnt like the mandatory gmail account you have to get , and the constant syncing notifications that never stop popping up  .
i think it is great that you can work with gmail if you want to , i just dont use gmail and dont want to have to switch everything up , but still a great feature if that doesnt bother you but everytime you go to add something to the calendar be prepared for continual screens to pop up confirming your sync that got old real fast , and it seems as though the preferences just dont provide enough choices for how to customize your experience ( i could care less at this point about customizing the look , just want to have control over the experience) screen is great , in the dark or low light i read a bunch of stuff saying this new screen the moment has is amazing , which it is , but when they say its great outside , thats bs my crappy palm centro is waaay better in direct sunlight i had real difficulty seeing anything outside or in the car big downer the keys on the keyboard are awkward as well (although this can be overcome by simply getting used to it) in order to get the dedicated number row , they had to get creative not my preference but oh well i like the security feature of drawing the little design , actually i love that feature however i dialed 911 emergency four times by accident , luckily i is aware and hung up before call went through , but this shouldnt be such an easy accident the 911 button is right next to where u are doodling your design to unlock phone not a well thought out situation i also didnt like the fact that you had to download an app just to effectively close your other apps shutting down an app is a hassle without it , and if you leave them running your batt life is horrible very weird how after i killed all my apps , and put the phone down for 3 hours , when i picked it back up and checked the app killer screen , a half a dozen apps had started up and were running on their own  .
that is a huge turn off if you like to use 1 hand this is not the phone for you  .
very heavy making 2 hands a must even when texting with 2 hands it felt very top heavy and is constantly feeling as if it is about to magically fall from my hands  .
i did like the fact that there are truely limitless apps out there to get the speakerphone and sound were loud which i like loved the feature that dims the screen when talking on the phone so ur face doesnt hang up on somebody or answer the call waiting after treos and the centro this feature had me seeing heart shaped candy lol great idea the internet is amazing super fast , google maps is fast and accurate the navigation is great some cool stuff didnt like that there is no multi touch for increasing screen magnification as far as video quality i went to youtube with this phone and the palm pre put them side by side loaded the same video (in the moment you have to manually select high defintion otherwise youtube default is blurry) and watched the video the moment is a smoother image , with the pixels very very subtly being visible on the pre but the screen size almost identical , the the pre is brighter both in contrast and color not something you hear by reading reviews even the guy in the sprint store came over to see what i is up to and he is shocked overall , my issues are small , but they added up to me not liking the phone oh , and everybody is hating on the phone's battery life just be smart with how you use it people and be sure to get the 3rd party app killer  .
i received my moment a day before it's official release and i must say it is a great phone  .
i have handled the phone for approx 9 hours now and i am getting used to it  .
first , i must state that this phone has a blazing internet connection and download speed  .
the browser supports video and full pages instead of , the mobile view  .
i have downloaded as many as 5 android apps at one time w/ no disruption in connection or download speed  .
the full keyboard is easier to use instead of the on screen keyboard  .
i would recommend downloading handcent in order to take full advantage of texting capabilities  .
the battery life is pretty good considering the applications i accessed  .
for example , on a full charge i is able to surf the web , download apps and talk on the phone for 9 hours before the battery got exteremely low  .
i do not like the fact that the bluetooth feature has a countdown of 2 mins before the device is not visible anymore  .
as a result , you have to restart the timer in order to make the phone visible again  .
the phone has visual voicemail which is a plus  .
the phone comes loaded with its fair share of android apps such as , facebook  .
however , there are plenty of free ones available i wish you could customize each screen with a different background however , you are able to customize the background with one picture  .
i also wish the quick button for texting is available on the home screen  .
i'm suite sure there is a way to do so but like i said i have the phone for 9 hours i will report again after a day or two with updated information .
great  .
i have to point out a typo in the review though  .
a single song costs about 89 cnets cnet must not be worth that much then .
apparently my phone is not flawed like some others are  .
it has never kicked into airplane mode , never lags , and reception is amazing  .
some of my college classes are in a basement and i am the only person out of hundreds that get reception down there  .
people are shocked i can use any phone down there it is super quick    i can search the web and get a result faster than my friend's iphone  .
the battery life is fine too  .
i have to charge it every night or every other night  .
you just get the app called app killer and i randomly hit it throughout the day and it will kill all the apps that obnoxiously run in the background  .
when a bunch of apps are not running the battery life is pretty average running navigation does kill the battery super fast but thats why they invented car chargers   )  .
the only complaint i have is that whenever i am talking on the phone my ear or face make the phone do random crap  .
the other day i took the phone away from my ear (i is just making a phone call) and there is a foot ball game playing  .
i have tried every setting and no matter what or how and where i hold it , it dials numbers , opens apps , surfs the web , etc  .
when i try to make a phone call  .
i usually now just hold it an inch away from my face which is annoying as no one can here me then  .
i have a baby and would love to be able to talk on it with no hands (use my shoulder and ear to hold it) but it i do that i'll end up deleting my call log or something with my ear other than that (which is really obnoxious i must say) my particular phone is perfect  .
this is a high    quality android phone  .
i like the keyboard on other phones more , but overall the phone is very functional , and does everything i want it to .
this is a very very good phone  .
i have purchased just about every hot phone out there , palm pre , blackberry storm 2 , droid , blackberry bold and the 9700 and the iphone  .
if you can get past the weight of the phone and the space bar on the keyboard , this phone has it all , just wished it had a 5 mp camera  .
this phone really shines with the 2  .
0 update , my only complaint i wished it had more than three screens especially with all of the widgets  .
if you can get good coverage with sprint in your city it's the network to have  .
the have the best plans in price by far and will be dropping at t as soon as evo comes out  .
this phone does everything well , there is no major flaws in the phone except for the weight .
overall this is a beautiful phone , the goods outweigh the bad's however the bad's are definitely need more discussion    .
applications start on their own , draining battery life (i wish someone would develop an app that prevents them from starting up without your approval)    although some people have stated the phone goes into a screen off mode when you are using it as a phone to your ear i have not noticed that and i have had calls drop or answered calls that were coming in without trying to or had it randomly dial on me all without pressing a button    i have yet to get more than 3 bars on my phone which is sad considering cricket had better reception and when you put a case on the phone it gets so bad it some times wont get any reception at all  .
i live in a main city so this should not be happening updated  .
on apr 6 , 2010  .
this is my first smartphone purchase , and as such , i love it       however i did some thorough research via friends who have other phones  .
i use e    mail heavily for work , but this phone is not a replacement for say , a blackberry for those who are work task    oriented  .
i am able to text and e    mail very effectively , but for me this phone will remain for personal use as i cannot connect to the corporate e    mail server without going through my company's it team (a fact for most smartphones       just throwing it out there for those who may be searching for something for work alone)  .
thankfully , the browser is so great that i am easily able to access a fully    functional version of our e    mail web portal  .
i much prefer it from a texting/productivity standpoint to the iphone due to the presence of the physical keyboard  .
it's a great compromise between the two the load times are blazingly fast  .
i have yet to use wifi on this phone for any extended period of time , simply because entire websites load within a few seconds even when outside 3g coverage it's a heavy phone , which is not a turn    off for me  .
its sturdiness is a definite selling    point the keyboard is quite nice , my only nitpicks are that the keys are a bit 'far' from one another (compared with the droid itself where the keys are perfectly flush with one another) and thus smaller than you might expect  .
from a personal standpoint , the buttons could use a more satisfying 'click' as half the time i feel like i'm having to press too hard , slowing the typing process  .
i'm a girl with smallish hands , and could imagine that someone with bigger fingers may have problems between this and the small key size there is some interface lag , primarily when bringing the phone out of hibernate mode       for example the touchscreen will sometimes become unresponsive when my alarm goes off in the morning       minor annoyance as i'm trying to turn the alarm off  .
aim and browser applications (facebook) sometimes hang for a couple of seconds when the phone landscapes/rotates after coming out of hibernate (i have it set to automatically do so without waiting for the keyboard slider , so turning that off would probably eliminate this) , as you can somewhat expect i do run a task killer application to manage things  .
it seems almost required to keep things from remaining open and running while you aren't using them (as in , there is no explicit 'exit' menu option available for them)  .
that's an android thing , really as mentioned by others , battery life meter is unreliable       i keep mine plugged in whenever i'm near an outlet , don't plan to be able to use the phone for browsing/apps for several hours without charging one glaring thing which i'm hoping will be fixed with a firmware update       as of the time of this interview (march 2010) there is a huge error when wifi is enabled that will force the phone into airplane mode seemingly at random  .
it seems to happen (according to error log dumps) when transitioning either in/out of wifi signals or 3g coverage range  .
what this means is that you could be in the middle of a call , and suddenly lose all signal  .
the phone hangs for a bit , attempting to terminate the call (~10 minutes)  .
if you don't immediately pull the battery (a hard reset does not work) , you will see that airplane mode has come on , but you are unable to turn it of and therefore have to pull the battery anyway       pretty counterproductive if you are making an emergency call  .
the solution is to turn wifi off unless you know you're within range of a reliable signal  .
for the casual user the 3g data speeds are sufficient , but if you're planning to browse and download hardcore , you'll need to be vigilant about this until it is fixed despite this errata , i am very happy with this phone since , as said , i do not find myself needing to use wifi all that often , but i can understand if that's a dealbreaker for smartphone buffs .
evrything about the phone is great  .
but the battery is so bad i had to return it for the htc hero hopefully that has better life  .
dont but unless next to a charger all the time .
i just got this phone as a replacement for the touch pro 2 (read my review on that phone to find out why)  .
overall i like the phone  .
display is very vivid , and android is significantly better than windows mobile  .
i want to detail a few dislikes , but don't get the impression they outweigh my overall favorable view of this phone because they don't  .
to me though they're significant issues that i haven't seen anyone else dicuss , so here goes first , because it's android , sprint wireless backup doesn't work if you're subscribed  .
for other phones , wireless backup (a feature for $2/month that saves your phone contacts online for easy export and backup) automatically populates a new phone with your contacts once you activate it    saving the hassle of going to a sprint store  .
with this phone however , that doesn't work so you're forced to go to the store now , the way the contacts work in terms of syncing with e    mail is that they only sync to gmail    not outlook  .
i'll digress and tell you how to get them from outlook to gmail    in outlook export all your contacts as a windows csv file (creates a spreadsheet file of your contacts)  .
in gmail you can import the csv file and you will see your contacts appear  .
when you set up your syncing feature on the phone , it will automatically retrieve all your contacts and populate your phone but (can you sense my first dislike coming  .
google does this bs thing with their contact syncing in gmail where if you 'un    sync' your device , all of your sync'd contacts disappear  .
meaning    contacts that are in your phone through gmail syncing are only there as long as there is syncing that's active  .
i don't like the fact that my contacts aren't 'hard    saved' to the phone , and as of yet , my understanding is that there's no work    around    undoubtedly a weasel tactic by google to force perpetual interaction with their service  .
i'm assuming that contacts you manually enter in the phone are saved , but keep in mind that when you're sync'd , everything you do either in the phone or in your gmail affects the other  .
you may not want certain contacts you enter to populate your gmail list , but they will anyway my second peeve is the battery life    which is horrendous  .
it seems like simply looking at the phone funny causes a 40% reduction before you know it  .
there are a few patches i've read about (like turning off the gps sensor and weather app) , but they're only fingers in the   (no pun intended san franciscans)  .
it allegedly has 4 or 5 hours of talk time , but i find that hard to believe  .
this is seriously a horrendous oversight , and they should have reverse    engineered a blackberry to find out how to make a battery that can take the daily abuses of a power user final quirk is the on    screen keyboard    not it's functionality (it's awkward , but responsive)    but certain occassions when it won't appear  .
first , and worst , is when you go to your contacts  .
on a normal phone , you type the first few letters of the person's name and the phone jumps to contacts beginning with those letters , making selection a quick process  .
but    in this case , the damn on    screen keyboard doesn't even appear  .
you're forced to scroll through all , or slide the keyboard open , switch it to horizontal , find the contact , then close the phone and dial  .
this is a big flaw which they need to fix  .
there's one more situation i found that an on    screen keyboard appearance would be nice , but doesn't happen but i forgot  .
anyway , you get the picture finally , if you're not already with sprint , don't start now    they seriously ssssuuuccckkk    do not have enough hours in the day to tell you the problems i've had  .
but , if you're stuck with them for the time being like me , you should generally be happy with this phone updated  .
on dec 4 , 2009  .
great phone , but gets no where near the battery time of 5  .
5 hours of talking , by any means .
the best thing about this phone is all of its features fron the qwerty keyboard , to the apps , and direct emails to the phone  .
even though some of the apps are useful , there is much less of a selection compared to that of the iphone  .
i do not like that sometimes i see that i have a low signal or my phone begins roaming and as soon as i restart the phone i have full signal .
for the $45 i paid for the phone , and my inexpensive $69 (which after taxes comes out to about $80) plan  .
the moment is a nice phone for the money , i would like to later switch to the htc evo , which is much more expensive the one thing i don't like about sprint in general is their service  .
although sprint has the cheapest everything data plan , verizon (of which i switched to sprint from) has the best service in my area , unfortunately verizon has to be the most expensive another problem i've been having with my moment is the usb connection to my pc  .
i live in a rural area where the phone company doesn't offer high speed internet so i downloaded pdanet from the android market and tether my moment's internet connection (which in order to get any at all i have to place my phone on the windowsill) and i get my internet that way  .
it's basically like having dial    up  .
to get to what i'm trying to explain is , sometimes my usb connection will cut out even though my usb is still plugged in  .
i've tried making sure the plugs were securely in the slots and everything , and it continues to do it even when i have full service  .
i cannot tell if it's my phone or my usb cable has a loose wire other than those problems , i love my moment and i've dropped it a few times without cracking the glass touchscreen (and hopefully that wo not happen)  .
phone #2   touch screen is losing sensitivity  .
when i click on messaging and weather opens (both by desktop icon and by start menu)  .
the sensor (to turn off touch screen when on a call) does not work i end up hanging up on people , muting them , or putting them on speaker phone  .
my notification of text messages stopped working within the last week , and the app i downloaded has stopped as well  .
email is no longer being pushed from my yahoo account to the phone (i have to manually go in and retrieve the emails) over all , i give this phone 3 stars because it is an amazing phone  .
ve had two duds , but hope three  .
s a charm  .
m waiting for sprint to drop    ship it to me perks of this phone   amazing free droid apps to be downloaded  .
the  .
base model  .
(as it ships) has some things to be desired (text notification consists of putting an icon on the task bar no notification sounds , no flashing signs , etc)  .
but again , the apps totally make up for what  .
s it lacking .
if the phone had better battery life , the phone would be almost perfect .
as stated above i am a proud owner of a tom tom rider 2nd edition motorcycle gps which is also a cellphone with a motorcycle helmet bluetooth that came from the factory committed together , i later purchased this samsung moment phone from sprint and is advised that the device would work with the gps , well it does but in the process it cancels out the gps capabilities making only one device operation at a time  .
this defeats the purpose of having a gps with bluetooth which gives me turn by turn directions via speakers in my helmet and a samsung moment phone that's bluetooth capable also  .
they both will not compliment each other  .
one cancels out the other and the operator has to pull the motorcycle over in order to pair one of the two to work  .
can you all develop along with tom tom an application that would get the job done and remedy this very inconvienient problem  .
thanks for your attention in this matter .
you would be better off with the htc hero  .
samsung did not integrate much software into the phone , and the little software they did integrate spikes the cpu , which translates to shorter battery life  .
with the lack of quality software integration , this power    house of a phone is almost completely wasted and the poor battery life is almost makes this phone not worth it  .
in fact , i have seen the hero perform smoother than my moment  .
at the end of the day , this phone leaves me with mixed feelings , but at least it is cheap .
this is a good messaging and media phone  .
sprint tv and music playback have awesome sound , facebook interface and internet look great  .
i couldn't be happier with email management  .
i have five email accounts pulling into this device  .
all is well the phone feels heavy and a little unbalance when typing on the slideout qwerty keyboard  .
it's really noticeable when typing a long message/email  .
also , the keyboard backlight turns off in an unreasonably short time  .
if you pause for only a few seconds , the light goes away , and you have to click a key , one that you cannot see , to make it come back on  .
it is not adjustable in the phone's settings if you use your phone heavily as a phone , keep looking  .
i am satisfied with every other aspect and could live with the oddities , but because i have to dial on the go often , this is a subpar device  .
the voice dialing rarely recognizes what i'm saying  .
(i've got a plain midwest non    accent) it does not even understand yes and no most of the time  .
also for dialing , there is not customizable one touch speed dials  .
instead you can save your contacts to a favorites list , but accessing and dialing a favorite contact requires at least four key strokes and glances at the phone  .
unacceptable to this business phone user  .
i am swapping it out for an htc touch pro2 tomorrow  .
this phone could have been everything i wanted , but someone dropped the ball and overlooked basic phone functionality and made it harder for the end user  .
is it too much to ask that a phone actually works efficiently as a phone  .
i'm so disappointed  .
i love the android and its apps  .
i will miss thee .
cool looking  .
once you get used to how the phone works , it's okay    not user friendly  .
i wanted to trash it the first month , tolerated the second month , and now i look forward to a new phone in 22 months  .
i will not let my wife get one .
the moment will deliver everything you need it to from gps , to wifi , to an excellent marketplace and support for the android it does lack docking and a easy to use backup features  .
it also won't allow you to remove programs from your phone such as amazon mp3 , bejeweled , moxier mail , etc  .
