10 years of flip phones this is my first touch phone  .
my plan does not include apps , and mythic doesn't allow me to exclude them from the widget list  .
the lockscreen , cycling wallpapers are a nuisance , when you set shortcuts on the touchscreen ; so if you try to use the touch shortcuts , then the wallpaper starts scrolling to the next one and the next one  .
samsung , you tried to put too many features on this phone and several do not work the way you would expect for the price of $150 with a 2    year contract  .
i'll be exchanging the mythic for another model .
if your eligible for an upgrade through at t and want a touchscreen phone the iphone and some htc's offer a superior experience to the mythic or  .
if you want a phone similar to a smart phone without the pda plan chose a phone not using samsung's abysmal proprietary software and better build quality such as the motorola karma .
cannot seem to master the art of scrolling through the widgets w/o inadvertently selecting widgets pc studio for the mythic does not support download of contacts  .
is advised by 1 support person to use pc studio for solstice but the next support person said i cannot do that and that he is going to report the previous one for telling me that  .
i did get my contacts from outlook to mythic using pc studio for solstice  .
media transfer using pc studio has been terrible  .
i see today that there is a faq that describes using other tools , which i will try because i'll never get my paltry 800 titles on the phone with pc studio  .
phone doesn't connect to pc most of the time  .
it has never been recognized by pc as a device , only occasionally by pc studio (i'll try another pc sometime)  .
made 5 calls to support to get it connected and they never helped  .
i accidently got it to connect and have occasionally been able to do so since  .
when copying music i get an error at least 50% of the time (pc studio)  .
hopefully the alternative methods will work but they depend on the phone being recognized by the pc support personnel are very nice but i think they are hamstrung by a poor phone and poor tools  .
i is advised to uninstall/install pc studio several times  .
pc studio puts 14 rows in win xp programs list and the provided uninstall removes 1 of them internet access works but hardly anything is readable and you have to click with a fingernail because list are crammed together  .
very difficult to effectively use email works    that is my primary purpose for the phone other than calls  .
i can connect to hotmail , gmail and i have set up another account that is supported through my consulting business web site provider  .
this seems to work well  .
do not bother with the emails with graphics , though  .
great for normal personal or business text emails bite the bullet and get an iphone  .
i tried one and even with it's difficiencies it blows away this phone , even with the moderate extra cost (it looks like i'll be paying $20/month for data and email with this phone and it is $30 for iphone) .
save yourself the trouble buy a different phone or use another service  .
i am going to go to another provider when this contract is up  .
at t does not stand behind their products  .
this phone is good for women in their 40s who want a touch screen phone but are too cheap to buy an iphone .
i loathe this phone and cannot wait to get one that works  .
very disappointed in this phone .
if you lose your password or forget it you are screwed  .
your phone is rendered inoperable (unlike all other samsungs and every other brand on the market)  .
if some smart ass borrows your phone they can easily sabotage it in a few keystrokes so that next time you power it off your phone basically becomes a brick  .
buy a different samsung but not this one  .
do not purchase this phone , ever  .
it blows my mind that this phone managed to get approved for consumption by the general public  .
i honestly wonder if anyone actually works at samsung , as this phone appears to have been designed by monkeys  .
furthermore , i cannot believe it has a score as high as it does on cnet  .
pure trash  .
anyone who had a part in the design of this phone   pat yourself on the back , you are truly inept .
if i could , i would have given 0 stars  .
i do not understand why nicole did not address seriously about how slow the menu was  .
in fact , the touch screen response is so slow while i is changing menu pages  .
this is a serious problem for phone like this because this is a touch screen phone  .
the menu transition from one to another also showed a lag  .
when i say lag , i really mean it  .
the price of this phone is 199  .
99 dollars with 2 year contract after 50 dollars mail and rebate  .
i am not willing to overlook all of these issues with a high price tag like this  .
when you can get blackberry curve or iphone for around 100 dollars , this is just absurd  .
if you worry about data package , then fine  .
go for samsung impression with texting , or go for samsung solstice for porting  .
this phone is most unresponsive phone i have ever played with .
