great product very satisfied  .
i have spend many hundreds of dollars to get here , not to mention the $1200 for the camera , and on the morning of palm sunday , i try to turn on my almost new camera and it does not work my previous panasonic camera worked flawlessly for four years before it is stolen  .
it even continued to work after i dropped it from a ferris wheel in india obviously , the fact that the hv20 is unreliable should be enough to disuade anyone from buying one of this camera but i will point out sone other things first , admittedly the picture quality is wonderful , the best of any camera i have used , and i have been using video cameras for over 25 years on the other hand the controls are terrible , the worst on any camera i have ever used to begin with , canon has decided to eliminate the projecting viewfinder  .
because of this i find that everytime i start the shot , my finger bumps into my nose and i get a jump at the begining and end of every shot  .
(i am forced to view with my eft eye  .
the zoom wheel is small and located in a spot where i always had to search around to find it again , often spoiling the shot  .
hiow much better to have had a small bar near the shooting button which could be raised and lowerede by the thumb  .
instead they choose to place the menu button there , a button that is hardly ever moved thirdly , the on    off button is quite idfficult to manipulate and i suspect it is the cause of my camera's problem  .
it seems to be very badly designed and difficult to use , particularly for a westerner with large fingers i suspect that the camera makers never really tested the camera with actual users i recommend that you avoid buying this camera , at least till canon makes some serious changes to bring the mechanical quality of this camera up the its picture quality .
is it possible to actually capture something , anything with this camera  .
i cannot successfully capture with hdvsplit which is what is recommended , i have tried premiere and that wo not work either .
