i love the slingbox  .
it is difficult to nail the exact second to hit the play button on the tivo after fast    forwarding through commercials , as there is an unavoidable delay sending the remote signal over the net  .
otherwise , no complaints  .
a must for frequent travelers .
i have the device hooked up to my tivo  .
when on the road , hotel internet speed is the key  .
very cool and weird to control your tivo box from a different state  .
the latest build improves on video quality , plus you now can set up quick launch channels  .
as internet provider upload speeds increase , the quality of the video will get better and better  .
as far as full screen , unless your expecting dvd quality , it works well  .
setup is easy (real easy with a unpnp router)  .
overall i highly recommend for the person who is on the road and wants to get the most from the $75 monthly cable bill they pay for .
excelente equipo y una de las mejores inversiones que e hecho hasta ahora  .
necesita mas ajustes en el sistema ya que deberia de haber una manera de que funcione sin tener que buscar una conexion de banda ancha de internet si es que estoy en un area donde no hay internet disponible , sugiero satelite .
really nice when you travel far from home  .
worth every penny don't expect the same quality picture as in your living room i watched my local cable channels from hong kong and mainland china last month  .
i could not believe the content made it through the chinese internet police due to my connect speed       the slingbox is not good for action movies , but is great for local news and regular non    high    action shows it is amazing to change channels from half way around the world       and it only took seconds found the picture clarity better when i used a tv as a monitor (rather than on my laptop screen) .
go run to the store    this box is worth getting it  .
it will only take half an hour to setup    after that it will entertain you wild they should have released it a year ago (thats when it 1st hit the news) so that now we would have second version with hdtv , wireless multiple input device support .
for us we only really use it to stream sports from the palm centro , and for setting up the dvr to record if you've forgotten something  .
but if you travel , are a tv or sports junkie , you have to try this product , you'll love it  .
this product allows me to access live television at my office where cable and satelite is not an option  .
one little thing most people don't know is it has a built in tv tuner so you do not need to connect it to your existing components  .
i just plugged straight cable into it and then plugged it into my home network and i is broadcasting .
this gadget would be better if multiple clients could connect simultaneously .
this is a good product  .
however , it still needs a little work and with it i think that it would be really great  .
great product when it works but the worst technical support ever  .
its once thing to have horrible support but these guys want to charge you extra now for horrible support  .
i got my device which is not cheap (pro) last year and used thier own turbolink for network connection  .
i sent then emails and called them that it would freeze and then stop working from the sling catcher but would work fine on the sling player from a pc  .
they said we will look into it and will get back to me  .
3 months later after followups , nothing  .
so the device slingcatcher which is not cheap either is a paper weight since december till today  .
i call them and they say sorry we didnt get back to you before and we will look into it but for this call you will need to pay x amount to get support or extend warrenty i can understand if you are buying a $10 device to support like this but to pay $200 + and only give 90 day support is just ridculous if you buy this your on your own .
one of the most talked about gadgets this year has to be the slingbox which is produced by sling media  .
i have been familiar with slinbox for quite some time and have found it very intriguing  .
slingbox claims that it transforms windows xp based pcs and laptops into personal on the go digital tvs  .
it then allows individuals anywhere at any time to access their own television experience with no additional monthly service fee  .
this enables consumers to watch their cable , satellite or dvr programming from wherever they are  .
when i first heard about the product i is very skeptic about the picture quality as it is streamed from over the internet i decided to give slinbox a try as i do find there device very intriguing  .
unfortunately , the slinbox did not turn out as great as i thought it would be  .
usually i am skeptic about new technology because they have not worked out all the kinks yet  .
cars are usually infamous for this as first year models are always advised against purchasing because you dont know what you are getting yourself into  .
i find it useful to let new technology pan out for a while to make sure you are not making a mistake in a new purchase  .
in addition , there are usually numerous problems and kinks they did not catch the first time around  .
i believe the slingbox can work on there idea and product and turn it into something really useful and cool , but until then i do not believe it is worth purchasing unless you do not mind watching tv with poor quality that you are used to viewing on the internet .
product does what it says it will do  .
only issue is the channel changing conflict  .
but overall the product is okay  .
if you have any knowledge at all about networking you can do all these features with a standard pc instead of wasting your money on this , i have my setup with mce and it works like a chizarm topmoo  .
i hope to be able to edit this review someday soon to up my rating from a 6 to something higher  .
however , right now i am experiencing some problems maintaing a solid connection to my slingbox  .
initially everything just worked  .
after setup , i is able to watch my tivo on my laptop from anywhere in my house  .
unfortunely , it seems that i loose my video stream fairly regularly now whether i am connected to my home network via wireless , or wired in to my router directly over ethernet  .
i am pretty experienced with networking so i am confident that i have properly configured the slingbox and my home network  .
nonetheless , i cannot rule out the possibility that the problem is related to my router  .
this seems unlikely however because i have managed to find a work around i rolled back the firmware on the slingbox (by holding the reset button down for 5 seconds) and reverted my pc software to the version that shipped with the unit on a cdrom  .
since this rollback i seem to be getting a far more reliable connection , although it still occasionally goes out  .
after talking to the very helpful help desk at slingbox , i is told that some slingboxes are having problems like this and they offered to send me a new unit  .
actually i am going to check if the retail store i bought it from will exchange mine first  .
i believe that any slingbox you are likely to find in stores now will not be from the bad batch that i apparently got  .
check the sling media website for info on this (i think you can tell if your unit is suspect by the serrial number)  .
anyway , it seems like the network card in my slingbox might be the culprit , but as i said above i can not rule out my own router/home network setup  .
despite this issue , i still highly recomend the slingbox , because even if you have problems , the company is really helpful and seems willing to send you a new unit with out any hassle good luck to all .
first , kudos to a product that actually works  .
i had my doubts but after the lengthy set    up process , it actually works as stated  .
however , i think for the money , this product should be better  .
the set    up is quite complicated if you do not have a plug    n    play router for remote viewing  .
the screen size is quite smaller than a normal size screen (you can make it larger with very bad video reproduction being the result) the video is a bit jerky depending on the stream bit rate  .
it's a cool concept , but if you are thinking you will get a good cable tv picture quality  .
do not buy this product  .
the video quality is not worth it .
setup is easy and it works as advertised , but if you want to use it while somebody is watching tv at home i hope you both want to watch the same program locationfreetv does not have this downfall and it includes wireless connectivity over your network that provides a better picture  .
i've got both products and use them both , but prefer the sony product .
i bought the unit beginning of june '05 right after it came out  .
when i installed it i is disappointed that it is missing the remote control codes for most of my equipment  .
for the few devices that were in the list , the codes didn't work  .
the technical support is not able to give me any hints another problem is that you can only watch the stream on one computer at the time and you need to install their software  .
i am asking myself why there is no browser plug    in a major flaw in the design is that the box has 3 inputs , but the software does not let you switch them on the fly  .
how stupid is that  .
in my opinion the software sucks  .
they need to have a broser plug    in that allows you to have a interface to control multiple devices and switch the inputs .
i keeep having to get someone at the home computer to reset the thing from its beggining installation  .
i would have to say it would not be wise to think this will work every time you want to watch tv far from home  .
i travel on business fairly often and find hotel    room tvs usually pretty mediocre , both in terms of channel lineup and picture quality  .
so the slingbox promise of being able to access the hd digital cable programming i have at home from anywhere on the internet really appealed to me  .
in other words , i bought the slingbox pro solely for its remote viewing feature , and in that i've been disappointed  .
it's a great idea that  almost  works the first problem i encountered is getting the slingplayer app on my laptop (a dell inspiron e1505) , which is what i take on the road with me , to be able to see the slingbox back at home  .
this involved some fairly low    level configuration of my home wireless access point/router and my dsl modem/router (i didn't even know my dsl moden  was  a router) having to do with port forwarding and a lot of other network arcana  .
i will concede that everything one needs to know to do this is on the slingbox support website , but the instructions are poorly organized ; they're scattered around under various hyperlinked topics and hard to find but once i is able to get slingplayer to communicate with the slingbox , i is pleasantly surprised by the quality of the picture streamed over the internet from the latter to the former  .
the picture was not hi def by any means , but is nevertheless eminently watchable   motion is smoothly rendered , color is good , and picture sharpness and detail were acceptable unfortunately       and this is my biggest complaint       the connection between slingplayer and the slingbox has proven to be extremely tenuous       it breaks every five minutes or so  .
in other words , about every five minutes , the picture displayed by slingplayer either freezes or goes blank (and the audio cuts out too)  .
it's easy enough to get it going again       one simply has to stop and restart slingplayer  .
but there's a 15 or 20 second delay before streaming resumes (it takes that long to re    establish the connection and fill up the video buffer) , which obviously makes for a choppy and unsatisfying viewing experience a similar problem occurs when i try to use slingplayer to remotely control the video source back at home       a tivo series 3 dvr in my case  .
frequently (but not always) , sending a remote control command will also cause the connection to hang , requiring a slingplayer restart to get it going again as above naturally i tried contacting slingbox tech support , first by email and subsequently by phone  .
the various tech support people i spoke to seemed genuinely concerned and sorry for my troubles , but for all that were unable to diagnose or fix the problem       even though they could easily reproduce it by connecting to my slingbox from their offices , which i gather are in oregon (i'm in new jersey)  .
the best they could do is offer to exchange the unit , which i'm loath to do simply because it's such a hassle packing it up , schlepping it to the ups store , and shipping it back to them  .
also , i'm not entirely convinced the fault is in the slingbox itself , since everything works flawlessly when both the slingplayer and the slingbox are on the same local area network (i  .
, my home network)  .
i suspect there's some subtle incompatibility between the slingbox and one or more of the myriad network devices that shuttle the packets between the unit in my living room at home and the slingplayer in a hotel room when i'm on the road the tech support people implied my problem is rare (first they'd ever heard of it)  .
frankly i fouund this a bit disingenuous since the slingbox user forums (which i stupidly did not think to check out until  after  i bought the gadget) are replete with similar complaints so , my advice to anyone enamored of the remote viewing concept who may be thinking of buying a slingbox , is to hold off for a few months , keep an eye on the user forums , and wait until the bugs are worked out , as i'm sure they eventually will be .
very good resolution in samall aspect ratio  .
but poor picture quality in full screen option .
i is impressed that they replaced the adapter out of warranty  .
i is less imressed when the second one also failed  .
although the problem is identical , they claim that since it's not one of the serial numbers they acknowledged , they refuse to replace it and they are not interested in researching to see if this is another bad unit (i  .
, more of them are bad than they admit , and they don't care)  .
they want me to buy another for $20  .
but if they do not acknowledge that the problem is more widespread , how can i believe that the replacement is any good  .
i'm concerned that it could've caused a fire , and since it's intended to run unattended , it could burn down my house while i'm out of town  .
the plastic is hot to touch ; unplugged it and the metal is too hot to touch  .
after i gave them several chances to make good , i reported them to the consumer product safety commission (sure seems like a fire hazard to me) i'm about to replace one of the units with a hava ; i hear it's better , and i'll see .
i have not experienced reliability without which the product has little value at this time  .
i cool concept but not ready for primetime .
sling media took a winner of a product and enhanced it by encrypting the media stream  .
this nifty feature is a hidden consequence of a firmware upgrade they pushed on owners last month  .
as a result , the ability to record a media stream for later playback is now taken away this seems to be the first time i've known a supplier to downgrade a customers service and product capability after the device is purchased  .
that they did it in such a sneaky manner says much about the companies committment to the customer i'd advise you look at the monsoon hava instead  .
astrobuf  .
my con says it all when i heard of the sling box , i thought i could put together the perfect media center , once apple put front row on on the macmini  .
i have the 30 display , and all i wanted to do now is to have the ability to put tv to it  .
i'm sure that they will come with a product for a mac like this soon , and i will be patient until then  .
this is not worth ten bucks , never mind the hundreds of dollars that they are asking for this product do not waste your time  .
if you try to use it from a wireless network that has any kind of security (like almost all hotels or other public places) , it will not work  .
if you phone them , they will tell you that's why it does not work  .
it also does not work with broadband cards  .
so , effectively , it does not work any place you might really want to use it .
i have been hearing that slingbox now works well with mac  .
i tried to install it and the system did not crash it even recognized the box on the network , however when i went to configure it , it says it cannot find it  .
i called sling media  .
they say it does not matter that they could not get it to work the first time  .
since it is over 90 days , i have to pay $30 to get them to help be set up the product way to win back a customer  .
you know i is not mad when it did not work the first time , i just chalked it up to new tech and waited for it to bake now i am angry  .
i bought a product from these guys that did not work and they really want be to pay them to find out if they can make it work now  .
not really great customer service  .
all i can say is buyer beware .
used it 5 times in 5 years  .
actually getting it to work takes many hours every time i have tried it  .
usually after hours of troublshooting , it works , then the next time i come back , all the same old problems  .
worst product i have ever wasted money on .
certain antivirus software conflict with slingplayer software  .
company does not view this as their problem , but yours  .
you may get an antivirus update in 3 months or 6 months that conflicts and then you'll lose $300 investment in product  .
it is a great product for the 3 months it worked .
i purchased a sligbox player recently , and could not wait to be able to go away for work , and never miss my home sports teams on tv again  .
and best of all , i could put it on my bedroom tv so my viewing would not disturb my family when away wrong  .
my first problem is that the unit lacks a tuner , as do most devices today  .
luckily most vcrs have built in tuners thanks to the way they could record shows when you program them  .
after trying both a toshiba and samsung vcr , i is very disturbed to find that both units were completely incompatible  .
even my new zenith dvd/vcr combo is not compatible  .
the only things in my house that are compatible are my scientific atlanta cable box and my tivo  .
both are connected to the family tv , and to put the slingbox on that television defeats part of my purpose in buying it  .
if i connect it to those , my viewing while away could disturb my family who is still at home i'm now left with a decision , either return this product , or go out and buy another unit with a tuner that is compatible , unfortunately nothing my local retailers carry seems to even be compatable with slingbox  .
even at the best buy where i purchased it  .
so now it's either i return it , or buy something that is on the compatability list over the internet my advice is to just get a dvr/tivo , record your shows , and wait to get home to watch them .
the cnet reviewer forgot to mention anything about if it has closed captioning required by the americans disability act as it applies to all telecommunications devices (not just tv's)  .
nothing new here  .
hearing people just do not think of older people with poor hearing or totally deaf  .
how rude cnet is  .
the heck with them .
i hooked up the slingbox in minutes and the directions are excellent  .
however , it is impossible to activate remote viewing (only reason one would use this product) and called tech support at 6  40pm pst and finally reached a person at 7  10pst and we were on the phone until 8  15pmpst and it never worked    he really is a nice guy but is unsure what the heck he is doing , how to deactivate the firewall , confirm i  .
address he tried a bunch of different things and eventually he gave up and it is too late to speak with another tech as they were all leaving  .
the quality of the tech support is disappointing and to wait so long to reach someone makes it worse  .
what a huge waste of time .
being able to watch your tv from anywhere in the world is a cool idea , but do not get so caught up with the idea that you forget to actually look at what you're watching slingbox will give you something that sort of looks like your tv , but it cannot deliver the quality with all the raving reviews about this box , i'm surprised no one has said anything about tv2me the one product that does deliver tv quality .
it made me furious to find out that the slingbox that i just bought is not compatible with direct tv  .
if you have a d10    200 one of the new boxes you are out of luck  .
customer svc states update is in the works , however that does me no good .
i use this to watch my us cable subscription from overseas where i live  .
this is not practicle as it takes so much resetting of the system in the us that you had better have someone there to accomplish this  .
maybe it's a problem specific to me , but i would not bet on it  .
this is a fairly expensive product and it should work a lot better  .
you can not get any help from tech support unless you are at the spot where the slingbox is all in all i am very dissapointed with this  .
it takes forever to set up , every week there is a new error  .
the customer support does not exist at all  .
you call , they make you pay $29 for each support call , they will not respond at the time but they send you a support email , which is supposed to contain information for help  .
it never does  .
then you call back and they want you to pay $29 again , they do not understand their own system and they shoot you back and forth between departments  .
i would not wish this product on anyone  .
don't bother getting the warranty , it is the biggest scam of all  .
it really is the worst company i have ever worked with , getting support from them makes you feel insane  .
honestly do not buy it .
think again about buying  .
someday someone will have a more reliable system  .
tech support is in costa rica  .
i moved my slingbox to a different location and needed support with internet viewing  .
after 90 days they charge you $29  .
i paid and after they connected it told me that i would need to pay them an additional $29 to set up the remote  .
i assumed that configuring the remote is a natural step in establishing remote viewing  .
in the eyes of slingbox , i is wrong  .
save yourself the time and money and watch tv and download movies online  .
sling box is not worth it .
i received a sling box pro hd player christmas 2008  .
i is able to activate my account in january  .
however , i have not been able to successfully hook it up ever  .
last week i bought a sling link , thinking that would solve my problem  .
still it does not work  .
i called tech support and they wanted to charge me for making the product work  .
$376 has already spent on this company and there is nothing to show for it  .
they want more  .
i explained my situation to mayling , august 4 , shortly before 7pm pacific time , id# 2715503  .
she would not transfer me to someone who i could escalate the issue with  .
i told her i would complain to bbb if no one would help me  .
its gotten to the point where i am upset enough to start telling my friends this product is worthless  .
i am also going to begin posting this complaint on websites  .
the company does not seem to care about their customers .
they want me to pay $30 to help fix the box after they broke with their update .
this is a terrible product in my opinion  .
the documentation is poor and it doesn't work at all for me  .
tech support is horrible  .
long wait times and always looking to blame it on your operating system , router or firewall they really don't care that you spent 200    300 dollars on something that doesn't work i am pretty computer savy , but after following their instruction and opening ports in the router , it still did not work  .
i am tired of waiting over an hour for tech support or having someone poking around my computer  .
have a read for yourself regarding sling media and os x support    .
http  //www  .
i4u  .
com/article6882  .
html  .
let me start by saying i don't normally write reviews especially bad ones but this needed to be said  .
this is not as simple as it is made out to be  .
i have been here about 10 hours trying to set this thing up and the closest have gotten is a picture and sound on my laptop that is connected to the same router  .
what they don't tell you on all of the oh how simple and great this is reviews is if you use voip or more than one router , you are screwed  .
i have destroyed and rebuilt my network 2    3 times just trying to get this thing to do what is supposed to do (transmit my television over the internet  .
) as of right now i ham putting it down 10 hours is enough and the patronizing help menu they have only adds to the frustration  .
i would suggest that sling media 1  .
make the product set up a little easier , or 2 give better documentation so people can follow what is going wrong 3  .
offer more customer service or 4  .
mark this product for the extremely computer and network savvy because if you do not know how to open and close the specific ports needed and forward the ip addresses and alter all of that stop you might end up like me 10 hours and nothing to show but frustration .
i have been asking local stores and searching for info on websites to see if i , being part of a deaf family , should purchase the slingbox  .
it is a very cool idea but if it does not support closed captioning i cant use it .
i do not recommend to buy it since there is no closed caption for deaf and hard hearing customers  .
i'm not able to understand what tv said because i cannot hear and no closed caption  .
i did call the tech support and they said this product does not offer it  .
so , deaf and hard hearing should not buy this .
Excelente para uso en la oficina; Si no hay DSL o Superior en el area no tiene uso
Great Audio/Video - Fantastic Features - Favorites; Can Only Use Device On One Computer At A Time
no-brainer installation; literally takes 5 minutes; delayed remote response with my Tivo
That it lasted at least 4 months before it broke.; Terrible customer service, poorly designed software.
Not much. Worthless 99% of the time; See the pros.
Use your TiVo, cable or satellite remotely; None that I can think of.
Can watch daytime baseball from work!; Will drop connection on occasion
Watch TV ANYWHERE!, No monthly fees!; Monopolizes Audio/Video source.
Just a good idea; Spend too much time reconfiguring
Remotes mirror actual remote; no monthly fees; easy set-up.; No built-in wireless adapter.
TV anywhere, reasonable price, easy setup; quality poor during low bandwidh.
It works just as they say it should.; Price, Purpose &#38; Function
Everything you'd need; only one viewer at a time
Easy set-up; Guide not available via co-axel on cable;
Great Video Quality; Requires some tinkering, no built in wireless
It delivers what it promises; No wireless support
It's a great idea....; Not compatible with most tuners
TV or DVR access anywhere there's broadband; Program Guide / Menu viewing for Digital Cable Boxes?
No monthly charges. No satellite dishes. No duty fees.; Spastic island DSL connection crashes the video stream.
TV anywhere!!!; not being able to save...
Easy to use; Cant use it!
Easy Set-up/good customer service/tech support; No Mac version as of now
Works great when it works.; Networked using TurboLink is horrible. Buy Power Network from Netgear if needed.
Wicked Easy Setup; Only as good as your internet connection
It's inexpensive, and a novelty gadget; Poor quality video
picture looks good and no crappy.; No Closed Caption decoder
Excellent Documentation for Set up, PROMPT &#38; Helpful Support staff!!; You need DSL, ISDN, Broadband or Cable on the road.
Watch Tv Anywhere and I do mean Anywhere.; Can be tricky in setting up. Tech Support Very Helpful.
Setup was easy if you upgrade your router's firmware first; If your UPLOAD speed is less than 100kbs, forget it
It's amazing how well it works.; The set-up isn't a complete "no-brainer" but you can do it.
none of redeeming value to deaf; It appears to have no CC ability
Does exactly what they say with simple installation; Agreed - stupid that you can't change inputs remotely; good, but limited video quality.
when it works it works well; Not compatible with new Direct TV sat receivers
Easy Configuration and Great Picture; No Recording Ability
Easy setup, good pic quality, free Dynamic DNS; No software for MAC or Linux yet
Good Video Quality and Easy Setup; Nothing really at this point
You can watch tv from any tv and many smart phones; No built in WIFI
not much at all; Slingbox pro-HD works only about 10% of the time
Works well with LANs.; Does not work over the internet from most locations.
My Direct TV Tivo anywhere I want it; Setup a bit dicey with 2 routers
Does exactly what it is advertised to do.; Difficulty setting up before using Sling Link adaptors
Live TV anywhere in the world.; Slow broadband connection = lower picture quality
Its TV everywhere!!!; No List button yet (u know the 1 for saved shows on DVR)
Easy setup with my wireless router (54g); A long wait for the product
Product works perfectly, easy to setup; Cannot think of a single "Con"
Good technology to be in touch with tv; needs new program to run on pc
product does what it says. Nothing more but nothing less; don't add your future dreams/wish list to this product
Control your TV anywhere you go!; No HD imput &#38; Streams in TCP not UDP?
Reliability. Good Picture Quality. Easy Set Up.; Picture quality could be better but the picture is completely watchable.
Small, compact, neat and simple to use; Could be better at slower bandwidth
Easy setup, Great Video and Audo Quality; none at this time
Ease of use and simple to customize using multiple inputs; Video Quality fades when using FULL SCREEN MODE
Take your Tivo with you anywhere in the world; Average video quality, occasional lag
Price. Does what it claims to do... watch TV,DVD,Tivo, whatever wherever.; Periodic loss of connection, even on home network...
Easy Set Up, Good Software; Bad Tech Support, Hard to Set up with multiple networks, No Built In Wireless
Watch your TV shows anywhere you have access to high speed internet; limited connections
Easy set-up, surprisingly good picture, definite conversation piece; Needs to be available for viewing on Palm/Pocket PCs
resonable price, great video quality, great hardware; no browser plug-in, only 1 stream at the time, only one of the 3 available inputs can be used, way too few remote codes
Amazon has an easy no-hassle return policy; Waited more than 30 minutes to reach a person and they didn't know what they were doing
website has excellent help for setting it up; gets knocked offline once in a while due to interruptions in internet data
It Works unlike other products (Sony Location Free Player Pack).; Changing the channel on your laptop also changes the channel of the T.V. that it streams from. Vice versa, if someone changes the channel from the T.V. the channel your're watching changes.
easy to use, watch your local TV anywhere; don't expect a perfect picture
EASY setup, local and remote clients work great; Only works with one client at a time
It works as advertised; LocationFreeTV is better and doesn't interfere with TV watchers at home
Works equally well on DSL and cable broadband.; no provisions to minimize screen to just the picture.
Easy setup. Love the ability to view my TV from the road; A little grainy
The ability to watch television anytime from anywhere on your computer; The picture quality is poor
Easy to set up and use; They encrypted the stream - recoding now impossible
Perfect Picture Quality, takes very little room , does its job right and very easy to setup; Wireless Connectivity would be great, How about real a remote control
Works as advertised. I have been using it for several days with no problems.; Instalation is a little complicated.
They are working on the OS X support at this time which is a good thing; They do not infact support OS X at this stage. False adverting on their part
good idea if it worked correctly; it has terrible documentation and way to complicated of a setup
this is junk; customer service is from mars. couldn't tie their shoes. this is a junk product for the money - don't waste your time...best buy should be ashamed of carrying this junk
Easy set up, Great interface, and super simple to use; None that I can think of
This thing is simple to install, works as advertised and has surprisingly good quality.; It has to be hard wired to your router...oh well
Easy Setup, Works as Advertised; Must have a fast connection for it to work
Can watch taped programs from anywhere in the country.; Depending on where you are located, if wireless signal not strong, then your slingbox streaming is poor.
Watch live or recorded TV from anywhere in the world, easy to setup; Price is $250 (although worth every penny)
Great video quality, no subscription required, easy to set up.; Ugly physical design, somewhat limited control at times. Otherwise, perfect for what it is used for.
Can watch and control AV devices from anywhere in the world with a broadband connection.; Must have a decent broadband connection
Great for the wireless pc on the go and in home Media pc; a slap in the face to mac owners everywhere
Easy to instal software. Works with any TV set-up.; Will need to buy a wifi adapter or need it near your router to connect it to your network.
When the Slingbox is connected, the remote is configured, and your internet speed is great, the picture is adequate enough to enjoy your home cable at remote locations.; Tech support is non-existent. After 90 days, forget about tech support and you will need it.
When it works, it's great but........; It is TOTALLY unreliable. I am in France now (June 2009) and was counting on watching the NBA Finals with Slingbox. It worked when I left home, worked in another part of France and now I can't control the Slingbox despite great internet conection.
Now I could watch my favorite tv shows while surfing the net with my wireless laptop anywhere in my house.; Only one device could watch at a time. Could not use my PSP to watch.
Latest build improves video stream quality. Works as advertised; For use on the road, limited by your internet upload speed and the quality of the hotel network (which is questionable as to what they claim is hi-speed)
Package looks sleek and smooth; Could not get it to work, tech support wanted to charge me to make it work after I had already spent $376 for their product. I ended up filing a complaint with the Better Business Bureau, where it turns out they already had a grade of an F.
Great Product if it works. Mine worked for 3 months and the software died, not the hardware. There software conflicts with some Antivirus softwares. If it does, it won't connect. There online help chat couldnt even get through firewall.; You run risk of losing $300 investment. They only support software for 3 months. Software died 3 months to the day while downloading an update from them. Waived support fee, but couldn't fix. I lose $300.
works great with Dirctv had it for about 6months now; WILL NOT WORK IF YOU HAVE AOL. I went over and over with the techs at slingmedia and aol and linkses,for about 2 months. You have to either have dsl or a browser that is always open.
Easy to set up with newer routers; Watch recorded shows or live TV away from home; Great for travelers; Requires a boradband connection at BOTH ends, at home and away.
We plan to set this up in Chicago so we can stream Chicago sports from New York and abroad.; Doesn't work completely with our Time Warner Scientific Atlanta. Either the tv has to be on or we have to unplug the HDMI cable in order to stream it remotely. It's not Sling Media's fault but more an issue on the cable box side.
When it works it is fine but; Lots of problems and not a good system setup. Works intermittently! Can't get iphone to work on it. Don't buy from third party since you won't have a warranty and slingbox people will charge you big time every time you call with a question.
none, the design looks sleek but who cares because it is not a good product.; most of all everything. there is no customer support, there is no value in the product, you will want to throw it out the window by the time you make your first miserable IT call. It has the worst customer support I have ever experienced.
Great concept, I've been using it for 3 years. I have two units, bought within a month of each other. I use it in the house and on the road.; One major flaw outweighs all. The quality of the power adapters is junk, and possibly a fire hazard. BOTH units had the adapters fail. start buzzing, and get dangerously hot. The first one the replaced. The second one they refuse to acknowledge.
A very simple and easy install. This device comes with all the cables you will need. I should be up and going within 30 to 40 minutes. The connection from remote locations is very quick.; Although the picture quality is excellent, it is a little dark.
Works great on my wireless connection! Slingbox has software updates, and FIRMWARE updates, Easy SetUp, All Cables Included to get you going. SetUp Manual is minimal and straightforward.; I don't expect anything from the product, other than what it claims it will do. Few quirks in the installation setup, that I am sure will be updated soon.
I hear great things about it. Unfortunately I have not gotten it to work.; We tried to install it with customer support about 18 months to 2 years ago on a Mac network. It crashed the network and we had to replace the router. They said at the time they were working on fixes for Mac. We put it in the closet.
