i read a lot of reviews and did a ton of research on gps's  .
everything else is extra fluff , but very nice fluff i have a bluetooth gps that works with my notebook and palm , but it doesn't provide the bird's eye 3d view and the hassle of loading maps and routes is too time consuming for spur of the momment trips the blue tooth is great for my hands free cellphone , no headset anymore while driving sharing photos is nice , but the viewing angle limited the number people being able to view the photos at the same time the best thing is the portability  .
which is why i chose this over the c550  .
i can take this and program my next route , or use it for any of the additional features the screen is bright and looking straight on , it's not a problem , but if you have a passenger assisting or wanting to use , it will be hard to share the view  .
c550 screen is much better , not sure why they did not use the same screen initially , i thought the maps might be outdated as some of the roads appear to not to be there , but zooming in solved this problem likes   no moving parts , all flash  .
i like sd format as everything i have is sd (camera , palm , etc)  .
i've seen units with hard drives  .
one more thing that could break  .
hands free blue tooth speaker , no more headsets  .
like being able to save personal pois and being able to re    route to them with just a few key strokes  .
like being able to make calls to pois including my personal pois  .
the preview route feature is nice if you want to review the route prior to driving dislikes   my biggest complaint is the difficulty removing the unit from the holder which needs to be done in order to retract the antenna if you wish to take with you  .
my fear is the tourque will at some point crack the case or worse , the screen wish list   video support , better screen similar to garmin c550 , built in traffic antenna , built in fm transmitter , easier to remove holder , pouch with a belt clip  .
retry times for punching in your security code  .
speed control for route preview  .
hard cover to protect the screen would be nice  .
increase range of motion for the holder (has a small arm with limited movement options) overall , great first impressions  .
cannot wait to try the traffic features , need to get the antenna first .
by far  .
this is the best portable gps system i've ever used  .
a snap out of the box setup and you are ready to hit the streets  .
acquires stalites in a flash and calculates your rout in a second and you are off  .
finds everything you'll ever need and more  .
light and portable so you can navigate while you walk  .
mp3 player , currency/measurement converter  .
all in a compact and stylish design well done garmin .
okay , the one thing i gotta ask , does this support downloadable world maps or just the us/canada/and some parts of mexico  .
this would be the ultimate travel gadget if you can take it around the world  .
okay , at least any other countries so you don't get lost  .
if anyone knows about a world gps , please post , still wondering about this one i'm taking a guess here , but my guess for not suggesting using it on a bike is due to a micro hard drive  .
this is my guess so do not quote me on it  .
it's too bad , it would be a perfect match on a mountain bike too as for the price , it looks great , but still too steep for my pocket  .
sd support , very cool  .
i'll wait for the competition to see what's going to top this  .
the competition has a great challenge ahead of them this thing is just cool , and when they get whatever bugs worked out and make it upgradable , then it will really kick more butt  .
then again , it already does  .
santa , i want one for my birthday , or christmas is good too .
after 2 weeks i had the following isues    .
bluetooth pairing with rogers treo 650 had some glitches (unable to send contact phone numbers to nuvi and some phone resets during calls) bike/hike use limited as unit not water resistant and no features like topo maps , backtracking , track recording (trail of breadcrumbs) , in short not much use for mapping or off road use unable to load waypoints (lists of locations of things like speed traps , tourist sites etc  .
available on the net) using garmins free poi loader (get error message) as an in car unit the nuvi is fun and easy to use and accurate  .
location is acquired in about 20 seconds after turn on  .
i cannot wait to use the unit in europe (the europe maps are about $450 cdn though) where the travel features will come in handy (text to voice dictionary and phrases , currency converter etc  .
the display is very readable in daylight the design and ease of use of this unit is exceptional compared to my other tech gadgets and this unit will only enhance garmin's reputation .
i have been waiting and it finally arrived , wow  .
i had it up and running in 20 minutes out of the box  .
i had read the manual on line weeks ago  .
the size and bluetooth feature is what sold me in my research of gps units for my car  .
i have a cingular 8125 and the two synched up with ease  .
yes , the sound is not like having the phone in your hand but its good enough  .
i did get an ear piece as well , the functions are easy and convenient  .
i used the dash mount (stickey pad) with great thought about my new car dash but i wanted it to sit directly in front of my face (no distraction at all) with out obstructing my view  .
when i remove the mount you really do not notice the sticky pad , so i'm happy with that  .
this being my first gps and after researching for 5+months i am very pleased with the nuvi 360  .
i will probably never use the photo or music feature  .
i have lived at the same address for ten years and i am finding out the names of streets that i never knew , something kinda funny  .
i give the nuvi 360 a 9+  .
i have owned the new nuvi 360 for two weeks now  .
previous to this , i had the nuvi 350 , which is also an excellent device  .
since the function is identical in nearly every regard to the 350 , there is little point in covering the basics in much depth , but it's worth re    stating some of them  .
i will go into great detail on the bluetooth functionality below this is such a handy device , and is so well executed , that you would be hard    pressed not to love it  .
the first thing i noticed about the nuvi is its incredibly small size and weight  .
i could not believe how light it was  .
i literally expected it to have at least twice the heft when i went to pick it up the first time    it is like picking up a deck of cards , but lighter the antenna is a flap that is raised from the back , maybe about the size of a matchbook  .
when raised the nuvi immediately starts locking in on satellites , when lowered , the unit knows you are through navigating for a while  .
intuitive and effective navigation on the nuvi is very good , fast , and intuitive  .
it's no different from many of garmin's other offerings in that regard  .
some buildings and businesses that you would expect to be shown as pois are not there , but most are  .
one thing i would suggest   when a route is less than ideal , garmin should allow you to correct it permanently so that it does not re    suggest the non    preferred route each time the screen clarity is good , but i understand that an antiglare screen protector is made which really improves the clarity  .
i will probably be researching and buying one , as direct sun does make the screen very hard to read i had a problem with my nuvi 350 that i have not observed on the new 360  .
sometimes the 350 would not lock onto the satellite signal  .
once it went into this mode of searching for , but not locking in , for over a minute it just never found anything  .
the only way i found to correct this is to push the small reset button under the antenna  .
i notice that another reviewer found that his new 360 had the same problem  .
this must be a bug in some nuvi units that would be worth following up with garmin on  .
i can tell you that my 360 never has required a reboot , and i've been using it continuously i did not test the mp3 functionality beyond verifying that it plays back the songs that are pre    loaded for demo purposes  .
i did not care about this feature ; i'm very happy with my ipod for song management and playback  .
i can verify that you would not want to use the nuvi's internal speaker for song playback , though  .
it's good enough to use as a speakerphone and for voice prompts , but it's not a hi    fi now , for the fun part   bluetooth functionality  .
i have been using it with my blackberry 8700c with excellent results so far  .
i had no problems with the initial discovery and mating process  .
the interface is robust  .
what happens is that once your phone has made the connection with the 360 , a phone icon appears on the nuvi  .
you can now use the 360 to call any poi directly from the screen  .
this is truly amazing ; you are now walking around with the yellow pages in the palm of your hand , sortable by your current location , or any other location you choose  .
i just find the point of interest , and touch the phone number of that poi , and the phone starts dialing it  .
the sound comes out through the speaker of the nuvi , and conversations have been natural so far  .
it's working like an absolute charm , and this single feature moves the device beyond anything else available right now when you select the phone icon from the main screen , several phone    related icons appear  .
from the phone screen , you can make a call manually , access your address book , call a poi , etceteras  .
the manual dial function works fine from the touchscreen  .
the really cool news   nuvi automatically downloads your phone's address book to its database when it makes the initial bluetooth link  .
so , if your phone supports this functionality , you can use it for all dialing functions , since the display is so much nicer than most phones , and the touchscreen works really well  .
you can always break the bt connection once you get the number dialed if you want a private , non    speakerphoned conversation  .
i have done that many times already  .
once your call ends , the connection to the nuvi is reestablished automatically  .
one word of warning   blackberry does not support sending its addresses to the nuvi , so i is unable to test the download feature , but this does not surprise me given blackberry's security obsession  .
i am confident that it would work fine with other supported phones overall , the device is a joy to operate  .
the battery life is good , although i would not call it excellent  .
the menus are very intuitive  .
the accuracy is very high  .
even the windshield mount earns my praise  .
i did a lot of research on the nuvi , comparing it in excruciating detail to the latest tom tom 910 , the magellan roadmate 800 , etceteras  .
the 350 is a great unit , the 360's bluetooth functionality makes it even better , and worth the extra money for me note   i just returned from a 4 day trip to banff , canada during which i logged another 20 hours of driving  .
the unit continues to perform perfectly , including comprehensive pois in the banff/lake louise area  .
i also discovered an amazing feature i had not noticed before  .
i is unfamiliar with the lake louise area and had three hungry kids in the car  .
i pressed where to , then restaurants , and the list appeared , in order of proximity to my moving vehicle  .
each listing showed the distance to that restaurant , with a little arrow next to it showing the exact direction to that restaurant  .
i just left it on this page and drove around , following the arrows , which moved as i did , until i found a restaurant that looked good  .
what an amazing device  .
i also have nothing but praise for the window mount  .
seems like a small thing , but it's so solid and well    designed i had to make special mention of it  .
it has a lever to easily create a large suction force , the ball joints are very solid , and the method of attachment to the nuvi is just extremely well designed .
my 1st gps is (still have it) a garmin streetpilot 330  .
i struggled following directions in very tight intersections and many times i took the wrong street so i got a nuvi 360 mostly for its tts capability and secondary because the screen in the 330 is difficult to see in bright sunlight  .
i've had the nuvi for a couple of days and it's addressed this two issues very nicely  .
but i am additionally pleased with how fast it acquires satellites , it's accuracy and the fact that touching on the screen on poi gives you address and phone of the place , and more pleased on how it integrates all that with my bt phone , i have a bt headset and it is now going to be used only when i'm not in my car  .
i have an ipod connected directly to my stereo , so the mp3 player is of no value for me  .
the only reason i do not give it a 10 is that occasionally when i turn it on it hangs with a message that it is updating the bt firmware and i have to reset it  .
i'm contacting garmin to figure out why it does that .
i'm throughly happy with this product after first power up , within 30 minutes i is able to use all the functions of the device  .
very easy to integrate and use .
for everyone who is asking , they are available at some retailers now  .
just do a little searching and you'll find it  .
and , if nothing else , you can get it on ebay too i've had mine for a week and this is the first gps unit i have ever owned or used , so i may not be as insightful as others could be  .
i did a lot of searching online and what attracted me to this unit is the bluetooth and the size and garmin's reputation  .
plus , the positive reviews for the nuvi 350 almost made me purchase that one despite no bluetooth , so when i saw this one i knew it is the one for me the routes have been great , it gives me routes that i would normally take  .
it does a great job of recalculating when you go off    route  .
the bird's eye view is great and the user interface is pretty intuitive  .
i had it working pretty easily right out of the box  .
there are a variety of voices to choose from as well , which is nice  .
plus , one really nice thing is , mine came completely charged  .
thank you garmin for not making me wait to use my new toy while it charges for 3 hours like every other piece of tech i've ever purchased  .
the pois seem to be pretty good , it has found everything i've looked for in the last few days , including a small neighborhood restaurant  .
being able to dial the pois is a great feature as well  .
i haven't tested it too extensively , but searching for maybe 10 things , it has been able to locate all of them for me the bluetooth has been pretty decent  .
i paired it with a blackberry 7100g (cingular) and didn't have any problems pairing  .
i've had a few conversations that worked pretty well  .
my sister said that it sounded fine on her except that it is obvious she is on speaker phone  .
i wish the phone book transfer is available with the blackberry , but it is not  .
i have a friend who has cingular as well and trying to call him a few times ends up not working  .
it shows that it is dialing , but it never rings and never disconnects  .
but , if he calls me , it rings right through and i can answer it on the nuvi i haven't used any of the travel guide/language/currency converter stuff  .
the audio books things would be nice if i travelled distances  .
the mp3 player is not anything fancy , the speaker on the nuvi distorts with too loud of music , but i suppose you could use an fm transmitter or hook it directy to your stereo if you have the input  .
i synced a song to the nuvi using windows media player , but i couldn't find it on the device with the mp3 player  .
i searched it on my computer when i got back home and it had created a folder for the song , but all of the other music (sample tunes) were in a different folder , so i transfered the song to that folder manually  .
the mp3 player still couldn't find the file  .
i haven't played around with it since then , as it was not a pressing matter , but perhaps i'm just missing something right now  .
the sample songs played just fine on the unit though the garmin lock feature seems nice , but if it gets stolen , it's gone  .
the lock feature wo not do much good then  .
i thought it sounded like a neat idea , but what's the point the lock now that i have it  .
i suppose if you use the nuvi as a harddrive and put sensitive documents on there it comes with a windshield mount , a plastic disk with adhesive to create your own mounting space , a car/cigaratte lighter charger , a household outlet charger , a nice leather case to protect the screen (i throw it in my pocket or in my wife's purse when not in the car to keep it from getting stolen) and instuction booklets/quick start guides in several languages that's about all i can think of right now  .
if you ask questions , i'll check back periodically to see if i can answer them .
this is the best gps system i have used  .
it is better than tomtom go 910 by far .
owned it for less than a week  .
love it , but it could use improvements  .
for example , if you're driving down a dark street and looking for a house , it tells you approximately where it is , not exactly where it is  .
you then have to guess the house number if the lights are not on or the number is not visible on the curbside i wish there is software to attach the nuvi to your computer and type in everything on the keyboard instead of on the nuvi keyboard screen would be nice if you could create separate folders for your favorites  .
ie   restaurants , clubs , etc  .
poi files are like that , but i mean your own customized folders in where to , my locations hopefully the next series of firmware upgrades will address some of these issues otherwise , for $249  .
99 at costco , it's very hard to beat , especially since the costlier one with the 4  .
3 screen does not have bluetooth capability .
i used a gps for the first time this summer when my daughter and i were visiting colleges down south  .
we rented the garmin street pilot and without it , probably wouldn't have made it to most of our appointments on time  .
i also rented the street pilot on a recent trip to ca  .
after that , i decided i had to have a gps and have been researching several garmin models ever since i is thrilled when my family got me the nuvi 360 for christmas  .
it's everything i wanted and more  .
i love that it announces the street names rather than saying turn left or right (like the one i had in ca)  .
it is compact , easy to connect and disconnect from the mount , and the display is bright  .
the maps are accurate , and although it does take the long way around on occasion , it gets the job done  .
i haven't decided whether the faster or shorter trip setting is best i had some challenges trying to setup the bluetooth with my blackberry 8830  .
the nuvi keeps disconnecting from the phone and i have had to delete the device setups on both the gps and phone several times  .
there doesn't seem to be much about this problem online ; however , i did find a recommendation that you connect to the gps from your phone  .
i tried that and it seems better , although it stills disconnects for no apparent reason i specifically wanted bluetooth capability as i will be getting hearing aids and will no longer be able to use a headset  .
i keep keep the volume at maximum ; however , when i use the bluetooth hands free , there seems to be some feedback for the person on the other end  .
due to the lack of external volume controls , i find it difficult to use the menu to adjust the volume , not to mention it is not safe while driving overall , i'm very happy with the nuvi and feel that garmin puts out a superior product  .
if i were buying one for myself , i would probably lean towards the street pilot  .
i think i would trade in the smaller unit for a larger one with external volume controls  .
however , it all comes down to personal preference and i would not hesitate to recommend the nuvi 360  .
oh yeah , the battery could last a little longer too  .
i recently bought the 360 from newegg for about $350 plus tax and shipping  .
i played around with it in north jersey for a few days then tested it out in vegas and arizona for a week  .
after spending years the night before a trip printing out maps and reveiwing aaa tour books it is nice to be able to just grab my nuvi and head out the door  .
it is such a great little device  .
it is hard initially to trust it but it proved itself well  .
there were a few instances where it did not have the correct exit numbers on i    15 near the strip but with since it said both the street name and exit , i is able to figure it out  .
i am sure it would have confused someone that is totally unaware of the area so that could have been a real problem  .
i drove out to the grand canyon from vegas and it pretty much got me to the hotel exactly  .
it is about a block off but i figured it out  .
there is one point where the 360 just shut off on me after a full charge and two hours of driving  .
i really wish it had a low battery warning  .
it actually shut off right when i made a wrong turn and needed a correction  .
luckly my wife grabbed the car charger and got it up and running  .
all in all this is a really great  .
if they would fix the battery issue and make corrections on the maps and let you update them for free it would be even better  .
also be prepared that the price seems to just keep dropping just make sure to bring a map  .
you may never need it but you should never let yourself be too dependent on an electronic device  .
you never know what might happen .
the gps directions work great  .
the voice indicate exit numbers and street names not just left and right  .
the maps are good enough in my area  .
the number of feet to a turn is a little too high (50ft) , but i got used to it  .
the screen is big enough to see where you are going the bluetooth connection with my blackberry works great  .
often the bb is in the trunk of my car and it still connects  .
the call quality is not too bad either i use the mp3 functionality every day  .
the sound quality is decent and good enough for me  .
i have to put the volume at the max and would have liked it a little louder more people compained about the car charger delivered with the unit  .
the first one only lasted 3 months and the second is lasting longer  .
the suction cup doesn't like the texas heat  .
i do not like to take it down every day  .
after 1 week in the sun it is almost impossible to remove it from the window  .
i bought the bean bag and that works great for me this unit is not perfect  .
i can live with the short comings and i would buy this unit again .
i am probably the worst driver in the world (not accident    prone , but always get lost)  .
nuvi has been a god    send  .
i bought it a year ago to replace my stolen quest , another garmin product but lower    end  .
i have been very satisfied w/ garmin , and rely on it daily when driving  .
i still get lost (by day dreaming and not listening) but nuvi got me back on track in no    time  .
pronounciation of street names a big big plus  .
without it i get off    route a lot more  .
my biggest complaint is the volumn for voice prompt  .
i set it at maximum and on high way it's barely enough  .
meanwhile if a phone comes in through the bluetooth it will blast my ears off  .
adjusting the volumn takes your eyes off the road so i just try to live with the flaw  .
another downside   it's great for driving from a to b  .
if you are planning your trip as a tourist , you may still need a good old fashioned tour book or map  .
they are better and a lot cheaper (often free at welcome centers) than garmin's own travel guides  .
also , don't expect the places of interests are totally up    to    date  .
luckily phone numbers are included , so to be sure , call it before heading to the location  .
another downside is that due to the small screen and large text , some descriptions are trunctaed  .
for example , last year my gf and i drove to florida for sight    seeing  .
we decided to see the kennedy space center and entered it in the search box  .
i pressed the first match that appeared on the screen , which says kennedy space center  .
we followed the directions and eventually ended up in the kennedy space center credit union in the middle of a city  .
we laughted our stomach sore but also wasted couple of precious hours  .
what happened is that there were many matches for kennedy space center but the rest of hte descriptions were all truncated off  .
you need to click each match to see the full description  .
i is in a hurry and did not look careful at the next screen  .
besides i assume there is only one kennedy space center  .
for my next navigator i will buy the wide    screen one .
i strongly recommend this product  .
i had a built    in gps in my 2000 sedan ; however , the maps are now outdated and the expense of getting updated cd maps are almost as much as the nuvi  .
also , i can use the nuvi in my other cars  .
admittedly , the car gps has better accuracy and features ; but , the nuvi does a very good job of navigating and has a lot of personal features  .
the bluetooth function works great with my samsung a    920 cell phone  .
the nuvi is very easy to use  .
i did not have to read the instruction manual for basic operation  .
in fact , a lot of my friends are thinking about buying one , too , because of how easy it is to learn and use  .
my biggest complaint is that the speaker is not loud enough  .
also , given the cost of the unit , garmin should go ahead and give you a full version of the foreign dictionary and phrase book  .
also , you need to go to the garmin website regularly to ensure that you have the latest software updates  .
notwithstanding these relatively minor irritations , i would highly recommend this unit .
i purchased the nuvi 360 primaraly to have while traveling for work  .
i'm often in cities i'm not familiar with and the 360 has proven to be great in providing point to point directions  .
the crisp display/touch interface is very intuitive for experienced gps users as well as techno    phobes  .
entering destinations and way    points can be accomplished by either providing the address or in the case of businesses the name or type of operation (i  .
kam han , chinese restaurant)  .
it is quick to acquire satellites and determine your current position even after powering up in a new location thousands of miles from the last the bluetooth functionality is decent but like most hands free devices there tends to be a problem in callers hearing you while driving  .
it's mp3 player is by no means stereo quality but is a nice option to listen to your music or podcasts in a city where you're not familiar with the local radio options  .
other features like the calculator , language translator (which is only useful if you purchase the additional language package) , converter are nice but frankly aren't the reasons most people purchase a compact gps as someone who travels a fair bit and is a self    admitted gadget freak i'm always annoyed when i need to carry an additional power supply or synch cable (don't need the added weight or bulk in my briefcase)  .
to its credit , the nuvi 360 uses a standard usb    mini b connector and you can charge though your pc's usb port it does not accept a standard 12v cigarette lighter charger used for cell's/blackberry's another added feature of any garmin product is the availability of extras and replacement parts  .
its always easy to find a local supply of the disposable adhesive mounting discs or brackets all in all a very solid product , well priced and better value then similar tom    tom or mio .
i debated and tried many so    called portable gps units until finally buying (and keeping) this one  .
this is the one to get  .
the best ones on market are the garmin nuvi line and the tomtom go line  .
within the nuvi line , the 660 and 360 are identical , except that the 660 is bigger (negative for portability as compared with smaller 360) and comes with the traffic receiver integrated (plus over the 360)  .
660 is $200 more in list price and $400 more in reality (street price)  .
360 can do traffic , too , but have to buy traffic device       but that purchase includes 15 months of free service , where the 660 only gives you 3 months and then you have to spend $60 for the extra 12 months  .
360 fits in pocket (any pocket) , but 660 is too long to fit in most pockets       would only fit comfortably in purse  .
so , if portability is your driver , get the 360 and not the 660  .
if size and price do not matter , then you may prefer the 660 why nuvi over tomtom  .
well , the 910 is a fantastic model , but it is not very portable , and has maps and poi's that are more outdated than garmin nuvi line  .
on plus side , tomtom 910 has 20 gb harddrive , with 12 gb free for your music storage , and its routing software is much better than garmin's  .
but in day to day use , garmin's routing is good enough , and portability means that you will have it with you in all situations , including when you are traveling  .
also , garmin mount is truly clip on/clip off , where tomtom's is difficult i also looked at magellan's new lines , but its routing is not very good (worse than both tomtom and garmin) , and it is much bigger than nuvi       even the new magellan portable lineup of 2200t and crossover models so , in end , if portability is your top goal , go with nuvi 360 (text to speech (says street names) , bluetooth , loud speaker volume (when mounted in car , sound reflects off windshield and sounds like it's in radio or center of car) , and traffic function with add    on cable (i have it , and despite negative comments re tmc accuracy , i have found it to be very accurate in chicago and a lifesaver)) if you search around , you can find it in major chains and locally in reliable stores for $540    $550  .
at that price , it is an unparelleled deal       given that 600 is $900 bucks ($750 at best , lowest , online price) trust me , and enjoy .
the n�vi 360 is an excellent companion  .
on several critical issues it is better than the tomtom 910 , that i had opportunity to try this summer  .
the n�vi is very compact and easy to handle  .
the mount is excellent  .
on the plus    side for tomtom stands a larger poi    database , somehat better graphics and the large disc  .
tomtom's mount , however , is nothing but a catastrophe  .
it is shaky , the unit is tricky to snap on , and often there is bad contact between the unit and the power supply  .
so n�vi easily wins the competition  .
but the poi database should really be larger  .
now , garmin offers the travel guide , which contains more poi's  .
but it will cost you $160 extra  .
i have been waiting months for this unit with the understanding it would have the same bluetooth capability as the 2820       phone pairing plus headset/ext    speaker pairing for directions  .
however , they supposedly changed the design at the last minute to make it only compatible with the phone why would you ever include a bicycle mode and then say it is not recommended to be put on a bike  .
i'm probably going to buy it anyway , but what a shame when they had such a chance at a total home run  .
imagine the size of the target market if it were more friendly to geocaching , bicycle touring , and bt peripherals       they could consolidate half their lineup into one unit .
i am happy with this unit , but am disappointed that it costs so much for new maps  .
they would sell a lot more map updates if they only charged $20    $25  .
as it is , where roads have been reconfigured , i just figure it out another downside is that you cannot put in five addresses and have it route you in the order that makes most sense  .
you can only put in two addresses and do a via with the one you have decided you want to go to first  .
i have been looking at homes though , in an unfamiliar area and it would be nice to be able to put in five or ten addresses and have it take me the most sensible way i only gave a 3  .
5 because there is no arrow on the main map screen and that is a pain in the butt  .
recently bought this one  .
though it is my first gps , i had lot of expectations  .
found 360 as little cheap compared to others and also rich in functionality  .
i had to buy this because of my recent long distance trip , but little disappointed with the accuracy of the destinations  .
and also i am not sure if i have to update the software  .
have not used the mp3 yet .
i is comparing the garmin nuvi 360 ($289)with the magellan 3225 (at $150) , and used both for a little while before finally deciding to keep the magellan 3225 (which ended up costing about half the price of the 360)  .
i like how simple the 3225 is to use  .
i used the 3225 to drive up to gravenhurst ontario (muskoka cottage country) from ottawa using smaller highways and it always tells you which highway you are on and which is the next one you are turning on and the direction you will be turning to prepare yourself well in advance  .
the 3225 gives you clear audible and visual arrow warnings/directions 3km and then 1km before having to make any turns  .
enter the address and the 3225 gives you four options on arriving there using shortest distance , fastest route , most/least use of freeways as well as the option to avoid using toll roads with the garmin , you had to go through a serious of screens to find the main options page every time to select shortest distance or fastest route , which is a pain  .
also , the 3225 intelligently blacks out street names and addresses that do not exist (garmin does not)  .
also the garmin 360 just said turn in i  .
10 km (or whatever distance) but did not tell you in which direction until the very last moment , which left me hanging until the very last moment , when sometimes , it is too late to get into the proper lane  .
the garmin does audibly say left/right turn , as soon as you finish making the previous turn , but by then , it would be too early to remember if the next turn is minutes away and you would have to take your eyes off the road and press the next turn page , which is dangerous  .
the garmin 360 does have partial sample dictionary (which if you want the full version you have to pay more money) , mp3s (which is redundant because which cars dont already have a stereo  .
) and a host of other fluffy items , such as customizing the car view on the map (which wont help you navigate any better) , but misses some good solid features that the magellan 3225 has at half the price  .
the garmin also has an annoying antenna that you have to open and close after each use , while the 3225 does not  .
even if both were the same price , hands down , i would go with the 3225 based on ease of use and functions good job magellan garmin , back to the drawing board  you may want to check out what your competition offers at half the price  .
i have had good success with the unit in general  .
the maps in around toronto and montreal are not 100% accurate for some streets , which kind of surprised me , but there are very few streets that i have had any trouble with  .
otherwise i think this is a great unit , worth the purchase , especially if you want to use it out of the car and carry it with you  .
i tried a street pilot unit before i bought this one and it worked really well on our trip to the us , and liked the garmin make so much i bought this one  .
the size difference is huge and in my mind , worth the cost bluetooth did lock up the unit a couple times , and i think it relates to when my treo 700p is talking to my bt headset , and then i turn on the nuvi and it gets confused that there are two bt devices competing for one phone  .
anyhow , just turn off the headset before you get into car and it works fine .
for a particular source and destination , this device gave me routes    .
least time   it took me on the interstate and other wide roads , in 14 minutes for 12 miles  .
least distance   it took me through all the narrow roads , sharp turns , in 17 minutes , i wonder to save 3 minutes of mine , it took me additional 4 miles (8 miles for the least distance  .
secondly , the maps are outdated , when i is tired , i selected to go to star bucks , but in fact the star bucks is replaced by a comercial center there it does not give you a glimse of the start to end route map i got confused , when i is in listen only mode and two of the turns were just 5 6 meters apart , and you are at 30mph .
pros  .
it is so small i could carry along with me in my pocket can use wherever i want    lcd tft display is very good    the processor seems very fast    recalculates very quickly    it speaks name of the streets  .
if you drove with one which doesn't announce the name of streets , you would realize how helpful it is 4  .
multiple languages accent  .
for ladies , there is a male voice also  .
but i loved that so many females are always ready to talk to me  .
expensive 2  .
speaker is not good  .
it is like speaker is messed up  .
i thought it is my unit , but then i checked with my friend , who owns the same unit  .
he also had the same problem since i bought from walmart , a store with excellent return policy i returned it  .
since i is spending so much money    i could not live with lacklustre speaker  .
apart from speakers , awesome device .
i purchased the nuvi 360 as soon as it became available and my dissappointment has been increasing with every software update that garmin releases as a device that is supposed to be primarily a navigation unit , garmin has decided to leave out or disable some important features in this pricey little gem of theirs  .
the kicker is that these very usable features are found in some of their less expensive models and in just about all their competitor's (also less expensive) units features such as    .
street / roadblock avoidance  .
planning and saving routes  .
multiple via points  .
weighted slider for highway to road preference  .
tracks / breadcrumb function  .
a detour function with more options  .
it's a shame that garmin decided to cripple the star of their gps line up in such a way  .
for about half the price , you can go invest in garmin's ique (pocket pc) bundle and gps features coming out the wazoo .
i shelled out the extra $100 to get the bluetooth functionality , but it caused more problems than it is worth  .
i first linked my wife's lg phone to the unit , but it could not open her phone book so all outgoing call have to be dialed on the phone's keypad  .
however , when i linked my motorolla phone to the unit , the phone book appeared on the 360 and i is able to make calls  .
the first call worked fine , but the second one caused the unit to freeze requiring a hard reset  .
each time i tried using the phone function , it worked for the first call but froze during the second       which is a problem if you are driving in an unfamiliar area and need to rely on the map it would have been nice to have the phone function particularly because when you search any of the millions of points of interest (which came in very handy during vacation in southern cal) , aside from full address info , you get a little phone incon on the screen that allows you to directly place a call to the point of interest without having to whip out your cell aside from the phone glitches , directions provided are perfect and it works well with the fm traffic receiver to rout you around trouble spots if you are in a large metropolitan area (chicago for me)  .
however , the traffic receiver is a separate connection makes for too many wires  .
i'm trying to decide whether to save a few bucks and go with the 350 since the phone function is useless or to spend a bit more when the 660 comes out in a few days which hopefully corrected the bluetooth bugs and already has the traffic receiver built in (only 3 months free though compared to the 15 month deal you get with the separate antenna) .
perhaps the perfect gps doesn't exist , or i just cannot afford it  .
my last gps is a mio , which generally gave surprisingly good directions , but the model did not include street name announcement which at times is frustrating , or downright dangerous  .
also , there technical support is unbelievably awful  .
i is told that garmin gave great directions , and most of the reviews i've read here , affirm that  .
therefore , i have to conclude that it's just a little goofy around where i live (arlington , virginia) because at times just to test it i ve followed it in my neighborhood and i m literally being asked to go beyond the end of dead end streets  .
on the otherhand , i just went to a meeting in a remote section of dc and i arrived earlier than everyone because it directed me so well , so who knows  .
i do wish she spoke a little louder  .
i have to keep the windows closed on highways to hear the directions , and forget about using the radio or audio .
the maps are slightly outdated (a new freeway is constructed two years ago , but is not on the map)  .
the bluetooth hands    free device is difficult to hear and receive (sounds like taking into a box)  .
recommend buying 350 and using headset for your cell phone as well as updating the map at $75  .
00 per garmin  .
the garmin product , however , is of high quality  .
i am very pleased with the product , especially the portability and size , but wish that i had not spent the extra money on the bluetooth .
i am a field engineer in san francisco area  .
i have owned several gps units for the past five years  .
i have used megallan 800 , which the screen is very unreadable in bright light when wearing my polaroid glasses , and took me in wrong directions as well , so i am a garmin guy  .
the garmin 2620 is my first , which had bad reception back then , but the 2720 had been excellent for me  .
i am a gadget guy and always in the look for better  .
i thought nuvi 360 is the best when read basically all the reviews , and compared the ratings  .
not really  .
first of all the bluetooth is annoying , and interfered with the bluetooth ear piece i'd rather use  .
and to switch from phone to the gps bluetooth is another piece to tinker with while driving the travel kit with the nuvi is cute , but not helpful when driving , and most of the items required extra installation and fees  .
i didn't really care for the care kit  .
my treo is good enough for that use the gps system which is the only thing i needed when driving didn't work as good as the 2720  .
the settings for the interface is very limited , the auto zoom is not adjustable , the amount of info on display not adjustable , light needed to be manually adjusted to surroundings very often , in order to read the screen with my glasses , which is not the case with the garmin 2720 , the latter has auto light adjust just perfectly  .
the nuvi did actually have a better reception , but the 2720 work most often anyway with the 360 , when making turns on streets with several branch street , it is an eye sore , and confusing , since the zoom is limited , and the writing is too small , and the sound not as clear , in comparison to the 2720 , which for driving is way more superior another cute items that i did not care for are the vehicle icons  .
if you are driving with track up direction , you only see the rear of the vehicle icon , which is too wide to distinguish street routes  .
the colorful arrow icons available are better icons  .
the 2720 is the keeper for me .
when i bought it and started using it , it is fantastic  .
i is very impressed with all the features that come with it and the maps seem to be pretty up    to    date after about a month , i began to get annoyed with it  .
the maps are so hopelessly outdated ; telling me to take a road that has long ago become more of a hiking trail behind a warehouse  .
the features are actually pretty useless keeping the gps plugged in with the unit off slowly kills the battery's life  .
so what good is having a picture viewer  .
are you going to look at pictures while you're driving  .
the bluetooth oh god the bluetooth  .
i have a jeep grand cherokee so it's not very noisy inside , though it may not be the quietest  .
but the volume is not loud enough for me to hear when i'm on the phone with somebody  .
