the navigon 2100 gps navigator is an exceptional unit for the money  .
once either of these options are selected , a search can be done based on category or sub    categories  .
if  nearby  , it displays a set of choices which can be expanded to include more radius  .
similarly at city (by city name or zip code) or nation    wide hunt of main corp  .
brands  .
further , there's a quick selection of critical categories at immediate availability for searching is possible    max 3  .
for example , parking , restaurants , wcs  .
the search is displayed as a list with up/down buttons and the keypad vertically oriented in the split screen  .
the keybad is abcd format which can not be changed to qwerty  .
auto completion is possible and active  .
the up/down arrows displaying the list are very sluggish and hang quite a lot  .
the actual icon for the brand    name is displayed alongwith the poi name  .
re    tying pois , changing categories/sub    categories , etc  .
are cumbersome and inefficient  .
the database is also very , very limited and does not include almost all major brands but are more inclined to include mom/pop shops  .
the pois can be made to display in the map itself and the types of pois to be shown on the map are configurable , the good part being they appear as icons on the map  .
my observation is it makes the map very cluttered  .
tapping the map provides an option to display immediate pois in vicinity or route and then adding such a poi as an intermittent route point  .
effective but the type of pois available by default (being low) makes this ineffective  .
a critical    ve point being users are not allowed to add their custom pois , or share other users' compilation , etc  .
you can only save the address as a favorite , for your personal use  .
separately ($40) a zagat survey lifetime subscription can be bought    which provides for zagat surveyed pois    an option to review the zagat ratings given for the poi in the system itself  .
i do not have it , thus can not comment pushing the top button causes immediately the product to go into standby mode , thus switching it on is very quick and good (activates the pin # option , for theft deterance)  .
it does not auto detect vehicle switch    off and thus has to be manually switched off the cons lies mostly with the poi database , sluggish search/display/modification options available  .
the next    ve point lies in the routing display  .
many a times , it'll display a rather zig    zag route with weird roads , etc  .
and need to be carefully reviewed (turn    by    turn listing) prior to embarking on the travel  .
on a personal note , users should always use the short route option by route    points are within city limits or short distances and optimal route if interstate travels  .
if route is missed , although re    routing is quick    again can be weird and can really take you on a trip down the highway  .
this is true also for automatic traffic re    calculations  .
there's supposed to be a firmwire update in january 2008 addressing this problem  .
on a lighter note , there's numerous others who have not reported any routing issues ; thus i think it's case    by    case basis and mostly to do with the navteq maps being used  .
a proof in the pudding lies in the fact that many    a    times the system will ask you to take an exit , go couple of miles and then re    join the highway again  .
this normally happens if system detects a portion of the highway to be  missing  in it's database    normally caused due to extreme compression of the maps itself (to fit into the sd card)  .
this is not pronouced much for 2100 , since it has only 48 states of us  .
but for higher models , i  .
5100 , 7100    which has the whole of na    it's more pronounced behaviour  .
also reported , in quite a few cases , the traffic , even if activated    does not work  .
you'll need to talk to support for resolving this  .
there are no media    players , headphone jack , ac adapter , pc update options for software/firmwire , cd/dvd containing help manual , etc navigon support    for me has been quick and good , while others have reported problems  .
again a case    by    case  .
they have quickly responded email queries too (24 hrs  .
turn    around time) .
for a first gps i think it is great  .
i , m sure there are others that work better or worse according with what you want in a gps i got mine at 179  .
00 total w/traffic  .
some got a steal at 99  .
00 the day after thankgiving  .
one suggestion that will help the processer  .
use a stylus or butt end of pen so you hit the icon right each time (icons are small for big fingers) it seemed to speed up things a little  .
the gps has been spot on accurate for me but i have had trouble with it in small towns where the roads/subdivisions are fairly new  .
( 1 to 3 years) in all fairness though the gps got me close enough to find what i is looking for  .
i think it maybe a small town/ who cares issue  .
i live in a medium size city and it has found everything  .
the map does need work though because we all go small now and then lol  .
hope this helps .
this is a great low priced gps system  .
it announces street names although may mispronounce them you should be able to figure out ahead of time , it lets you know where to find your point ie address on the right side of road  .
it recalculates quickly in my opinion  .
so far i think its not a bad sysytem i is able to buy mine for 161 total at staples , yes they have those too lol .
until my cell phone has a decent routing app , this is pretty sweet  .
$79 bucks  .
that's cheaper than two months of data services from at t  .
for now , a dedicated device is better in my book .
i bought this on black friday at staples for $99  .
set up is easy    i is able to put together minutes after leaving the store and use it to drive home  .
i agree with the findings of the other review in terms of the response time and entry of addresses the big problem is    the screen and map freeze up in the middle of most of my trips    annoying to say the least  .
i am planning to call customer service today  .
their resoponse will be a big factor in my decision to keep or return the unit .
i tested the 2100 along with a magellan 2000 and the magellan stayed on the proper course while the navigon 2100 made me get off main roads , take little side streets and then get back on the main road about 10 minutes out of the way  .
also , on a trip starting from my house , there is a very quick and direct way to the expressway  .
my megellan gets me there almost exactly the way i would drive  .
the navigon didnt and i had to go into the turn    by    turn directions and put a red x in some of the directions i didnt want only then did it figure out the way i wanted to go well it started to but then wanted to take me another way  .
the magellan is dead on with the directions i really wanted to like this unit but i think the magellan wins for the routing it takes you on which is dead on correct .
very good design , light weight , accurate , tmc is great since it comes free with the unit  .
reality view is in static mode once activated  .
another downside is search feature is cumbersome and the device keeps on hanging and you will need to reset it which makes it very annoying otherwise overall for the price and features it's good .
if it had not failed me (and i bought one for my father too which failed) it would have been great  .
both units get locked up in the opening menus and navigon wants more money to fix an inherent programming error on there part  .
not the best company procedure , had i known customer service is so poor , i might have reconsidered spending $400 on their products .
i like to shoot pool and it's like they were not even interested in it  .
took me out of the way  .
i actually inputted poi from my tom tom go 700 into it  .
the only reason i got this unit is cause the tom tom is bulky .
it is very unreliable  .
some times it may give you concise directions and other times you don't know what is going on  .
i is in dayton oh and it is giving me directions and street names in indianapolis , in  .
i did the update which took many hours to complete  .
i do not know what it updated , but it is still much the same as before  .
in cincinnait it went on recalculate when i went on a more direct route to my home and never came out of recalculate all in all a fair toy , but you better have a map handy when it goes off the deep end  .
poi pretty hard to access  .
takes me off an interstate to route me back on the next entrance  .
ie   route 35 in dayton , tells me to exit and then when i do , it tells me to enter route 35 .
they have a good system but there features need alot of enhancing  .
they show you the expressway but its not alway available  .
the icons may be in the way when you need to see your turn  .
i bought this sytenm at radio shack and radio shack is not even a poi for navigon  .
i suggest do not buy it  .
the company is still new  .
i read a good review of the 2100 so i went to buy one on black friday for $100 the store is sold out so i bought a mio c220 instead (also $100) i used the mio for about 3 months when i saw the 2100 on sale for $100 again and bought it because i still thought it would be better than the mio  .
what i found is that the 2100 is simply too slow for me to tolerate    even after the current updates were on it you have to wait between entering characters or you have to repeat the poi/address search because the 2100 cpu cannot keep up  .
the 2100 has better , brighter video but no automatic night mode    you have to change it yourself some folks have rightly complained about poor display levels in sunlight and poor power management on the c220    true on both counts    the 2100 is clearly better at both much of the satisfaction with a gps is very subjective so i wish the vendors would put honest simulators on their websites so you could decide for yourself how you feel about the interface  .
this would also give you an idea of whether the poi database is any good for your likely destinations  .
i test it where i live to verify accuracy of poi's and maps and the mio c220 does poorly on both    the 2100 seemed better  .
i reported 3 ridiculous errors to tele atlas but wo not hold my breath    they claim to follow    up with reports but have done nothing in 3 months i think the mio also comes with a better quality windshield mount (made in germany    no less  .
bought this because of the text    to    speech function for a great price  .
took a 70 mile all expressway trip and unit is taking me off the expressway for a three mile in town detour when the exit ramp to change expressways is two miles ahead  .
several other out of the way detours also plagued the trip  .
in town directions were also not direct even after changing settings indicating direct route  .
returned unit after a week  .
have rented a garmin unit in the past and is very pleased , will probably buy one when see a good sale  .
stay away from this unit .
i'm an electrical engineer and i work in software development field  .
i've evaluated numerous portable gps units and i would rate the navigon 2100 at the bottom of my list  .
the routing algorithm in the navigon 2100 is below par  .
there are 4 route settings to chose from   fast route , optimal route , short route and scenic route in my opinion , they should all be called scenic route as none of the settings will route you in the shortest path  .
the points of interest (poi) are also inaccurate  .
for example , in my town , the navigon 2100 displays a schnucks grocery store where one never existed (in the middle of a 50 year old subdivision) by comparison , i also have the tomtom navigator 6 software installed on my at t tilt cell phone  .
tomtom is by far better than the navigon as far as route optimization  .
tomtom navigator 6 does provide voice guided directions , however , it does not have the text    to    speech capabilities (so you do not get the street names announced)  .
i chose to buy the navigon 2100 for its text    to    speech capabilities , but the poor routing negates the text    to    speech feature  .
i would return the navigon 2100 but the compusa only allows for an exchange if the unit is defective bottom line , if you want optimal routing , avoid navigon .
the navigon 2100 is not a simple gps to navigate through  .
the response of the touch screen is very disappointing  .
programs are not simple at all , i compare this with my wife`s garmin nuvi 200  .
easy to operate easy to navigate easy to program  .
i thought most gps would be similar to operate  .
is i wrong  .
here is the email i received when i asked how to get a new car charger for my navigon 2100    .
thank you for your inquiry  .
accessories , map material and content are not available in north america through navigon  .
unfortunately we do not have information concerning the availability of these products at other major retail shops sincerely  .
stephen purdue  .
navigon support team  .
e    mail   support  .
us@navigon  .
com  .
do not waist your time with the scenic options , maryland has one of the oldest scenic rt40 east/west  .
i have tried all the options including the new 1  .
2 software  .
the navigon refuses to see it the product is not delivering what it says  .
i am very disappointed .
after doing some research i bought navigon2100 and when i tried to input my address it didn't find the city (mount prospect , il 60056)then i tried couple of other addresses and it could not find the addresses i called the customer service and the agent said let me try to find the address on the unit here and he could not find the addresses , he said some addresses may not be found and the solutions he gave were (in his own words)    .
try entering the address number of times and some time it might take  .
when i told him i already tried to enter the address many times with out any success he advised me to  .
use it by finding the nearest intersection  .
when i told him it could not find the entire city his suggestion was  .
use the neighboring city  .
i asked him is this the way navigation systems work , he said we can not do any thing and that's the way it is  .
when i told him that is not the solution i is looking for he said we use navtech for the gps software go to their website and update your address and they will update their maps database some time next year and you can use your system then  .
when i asked to speak to his supervisor , he came back and said supervisor has nothing to talk , thats all we can do  .
the final solution he gave me is to return the devise and buy tom tom or some thing else , i couln't believe when he said we are not the only the company selling navigation systems  .
this is the first time i have been suggested by a customer service rep to buy a competetor's product finally it is the thing that does not work and the customer service has no answer to it .
as far as the navigon itself it is fine but the additional feature of updated maps do not spend the money they do not work .
do not buy any navigion product  .
if you do you are stuck  .
it freezes all the time  .
now it wont even turn on  .
and yes the battery is charged  .
it has a mind of its own  .
the reset button works when it feels like it    which is rarely  .
it takes you the longest , craziest routes no matter what you configure (highways or fastest route etc)  .
it just doesn't matter  .
it has told me to get off main highways to take backroads with a gazillion lights , when i already know the area know to stay on the turnpike or main road  .
if i followed it , it would take several hours compared to 20 mins  .
absolutely terrible  .
customer service is the worse in the industry  .
i complained they sent me a new card only    which did nothing  .
they refused to replace my unit  .
this gps has caused me great pain grief  .
i foolishly relied on it have gotten terribly lost at the most inconvenient time  .
now you cant get a live support person on the phone  .
everything is email  .
do not buy this unit  .
you will surely regret it  .
get a garmin  .
i bought 2 of the premium ones for my kids they work great  .
no problems whatsoever  .
i feel like i just flushed my $$$ down the toilet  .
it freezes all the time , or worse it turns off  .
it recalculates at the most inappropriate time you miss your turn because it's so slow  .
it takes forever to start up  .
customer service is horrible  .
their attitude is once you buy it , it's yours  .
it doesn't matter if it does not work  .
they'll send you a new card but that's it because the rep told me there is nothing wrong with your unit  .
updated  .
on jul 16 , 2010  .
i received this item after i brought some tires and i gues it's true 'you get what you pay for' because i have never been able to get it to work  .
i sent the first one back and they sent me a new one which also didn't work i left it outside inorder to see if it would connect with a satelite but it never did  .
it keep talking about an activation key which the company support assured me that i did not need  .
they told me it would work right out of the box but it never did  .
i'm looking into what i can actually buy that will work .
i called support and they sent me a new unit and an updated version of the mapping program with no success  .
the customer service rep told me to return the unit at one point when i told him i is unhappy with it  .
look for something else  .
i received this as a christmas present on christmas day  .
less than 12 hours later , this thing had completely locked up on me and is stuck on the boot screen , if you will  .
i immediately called navigon and is told that they were aware of the problem and that a fix would be issued within 24 hours  .
ok , i can live with that forty    eight hours later i had heard nothing from them  .
i is on vacation so i called them back to let them know of my other phone number that they can use to contact me when they issue a fix  .
i asked about the status and they said the fix would be issued within the week  .
being patient i said ok a week goes by nothing  .
i call them back to check on status , they said that the fix would be issued within the next week  .
i said ok  .
i called them back the very next day and they said the fix would be issued in a couple of days (i know all this because i started recording stuff a while back    you can check my complaint on the bbb if you'd like)  .
i called them back the next day and they said the fix would be issued by the end of the quarter (which would be march)  .
this is where i lost it i asked to speak to a manager  .
the rudest manager in the world gets online  .
she issues a rma and tells me to ship it to some address in indiana , pack it , ship it , insure it , and they'll issue me a new one (one without the software fix i might add)  .
i told that i did not feel i should pay for anything to do with shipping this and her words to me were well , it's only like $20 sir  .
this is where i issued my bbb complaint with them when everything is said and done , they did issue the software fix and it did in fact fix the system  .
however , further researching told me that the mn6 file within the sd card is corrupted  .
if the technical support team would have sent a new mn6 file my unit (and others) would have been fixed  .
instead , they sat on the issue for quite a while until i'm assuming enough people complained the poi listing has much to be desired and i is told that there is no plans to issue regular updates to the unit at this time buy something else .
Accuracy, Lane Guidance, Speed limit display, Voice guidance, Route planning etc.; Windshield mount falls sometimes, we should use dashboard mount
Sleek design, small; Customer support is terrible, technical support is terrible, poor POI listing, poor update scheduel
It is awesome!; Can't find any!
Excellent for it's price; Slow find sattellite
cheap. Nice size; Never worked even after I was sent a second unit.
Graphics, Text-to-Speech, Cost, One-time Payment for Traffic; Mysterious Routing
Bargain, Reality View, Free Lifetime Traffic, Branded icons; no ac plug included, volume could be louder, but its ok
text-to-speech for $149, awesome graphics; route recalculation sluggish at times, keypad very small
Love the reality view; Screen/map freeze frequently - big problem
clear voice; will get you out of the way
3D reality View, Lifetime Traffic, Speed Warning; Brand, new in the market, POI (fire departments, Post Offices)
Nice screen. easy to read.; Not so easy to program
Easy to Use, Text to Speech; Small Screen
Text to Voice; Horrible routing algorithm
Like text to speech feature; Occasionally chose inefficient routes
LifetimeTraffic,Text to Speech,Reality View!!; Processer slow,touch screen small icons,map of lower 48 only
A big bang for the buck!; Not a single con worth mentioning!
Features - TTS, Speed Limit Warnings, Flexibility. Price; Map needs to be Updated
Great sensitivity to sats. Accurate maps. Good TTS.; When I find one I'll let you know.
No need to have the mount on the windshield; Can be pricey
Great screen, volume is good, Reality view is awesome, prive is great for text-to-speech; To add traffic, cost is a little pricey
Good Looking, AutoZoom, Text to Speech, Price; Slow satellite pickup, slow interface
good product for the price; response time a little slow
Text to Speech, Compact &#38; Battery option; Takes too long to recognize typing, keypad is too small
Ease of use; text to speech; Route recalculation is odd
Low price, quick rerouting, text to speech; Poor traffic reception, sometime poor routing. outdated and insufficient poi's
Spoken Street Names, Out of the box ready to go; Delay, slow signal pickup
Low price, Intuitive user interface, clean graphics, reality view, clear screen/text, and the optional lifetime traffic updates are amazing; small screen, mounting bracket a bit clunky, POI's a bit outdated
3D maps with correct lane signs to be in complex intersections, Speed limit signs; A little sluggish but doesnt inhibit performance, less POI's compared to Garmin
Great value and better than $200+ unit; The interface is little different but you will learn it within a day
Text-to-voice ,nice display,all for under 200 dollars; One needs to play with it to get to know a few quirky points
FREE traffic info, simple to use, no unnecessary features; Icons are a little small, sometime slow response
I couldn't use it to find any pros; Did Not find the address and the worst customer service
none compared to the garmin nuvi 200; functions are to complex to move around and the response is very aggravating !!!
Accurate directions text to speech volume sounds fair; no menu icons turns on slow pay for updates
The size of the unit is nice.; Since I purchased the 2100 about 4 months ago I have routinely found that it miscalculates routes, does not get satellite reception and freezes when re-calculating. The voice mis-pronounces the street names more often than not.
text to speach, size, price, muli route function; menu is a little less intuitive, fewer options than more expensive garmins
equipped with reality view and software update available. text to speech equiped indicating the real street name in each turn; slightly sluggish in responding to character entry
Pretty good device, reality view is excellent, text to speech is marvelous, pretty accurate; interface would require some time to learn, no detailed manual so less gizmo savvy people would require some time to learn it
Spectacular graphics; excellent text to voice features; spoken street names a BIG plus!; Buttons on display are a little small, but overall this is a great unit!
Reality View, screen displays next two turns, early warning for turns and lane changes, option to purchase life time traffic rather than subscription; Small screan, volume is not all that loud
Nice screen &#38; graphics, but HA what good is that if it can't direct you or freezes &#38; can't be reset when you're lost in the middle of nowhere &#38; need it the most?!; Freezes all the time. Reset button rarely works. Takes you the longest, most inconvenient route no matter what you configure. EXTREMELY slow! Unreliable. It might get you there, but trust me YOU WILL BE LATE!
nice size screen, free software update, option to add traffic service later, $79 is cheep-cheep! Doesn't seem sluggish to me - takes a sec to calculate a route I guess - doesn't bother me at all.; I guess free traffic service would be nice, but hey these things cost money...
- Text to speech...actually speaks street names and state roads. - Plenty of warning before turn (tells you street to turn on, not just "next L/R"). - Decent screen. - Lifetime traffic update cost less than any other service; - Text to speech makes some street names sound funny. - Battery life seems too short (about 3 hours)
Text to speech and reality view nice screen and good sound; none the gps was great only for 119.00 ya dig
The product works okay but the support is absolutely horrible. See the email below from an actual support rep at Navigon when I asked where to buy a replacement car charger.; Horrible, arrogant support. Basically told me that they do not support anything in North America. See the actual email in the bottom line summary...unbelievable.
has a nice maps of the expressway when available; system runs to slow as a visual, the system tends to freeze up. the icons are in the way of the map and very limited POI
I like everything about it except for the cons mentioned below.; It sometimes takes several minutes to pick up a signal. If the road you are on turns at an intersection yet keeps the same name, it will not give a voice prompt to turn. Once, the road I was on disappeared from the map.
You get updated maps quarterly; You pay $80 for this but you cannot downlaad the maps I requested support and got an answer 3 months later. They tell you the same thing over and over but never give you a solution. They keep telling you to make sure Fresh Maps software is updated
I like the reality mode, the street names, and compact size.; Took me out of the way several times, told me to enter a street with a Do Not Enter sign on 3 occasions. POI suck. They didn't interest me. Don't buy it if you like shooting pool.
Automatically sets to a state (Mass.) so you don't have to keep telling it.. Predictive streets: Suggestions as you type::Ad=Adams,Admore,Adwater. Recalculate is fast. If you miss the street, by the time you look down, "NELLIE" has caught up. AYE!; NO GPS gives direct CROW FLIES directions or knows which route is really the shortest (drive THROUGH the park James!) but this is pretty good for narrowing you down. Know the basic direction and use this when youre few miles away.. LEARN YOUR AREAS.
Gives names of streets and hi ways. Nice visuals. Makes a nice paper weight.; I have had the 2100 for a few months. Gave me directions to go 52 miles for a 29 mile trip. Had me going East 9 miles out of my way when my desitnation was to the West. It still wants me to go East on trips when I know that West is correct.
It does what it says on the box ! - Great price. nice good looking design. Big on usful features and easy to use if you read the instructions !!!!; TTS is a little hit and miss with road names and the inflextion is sometimes off but not really a con as they all do it!.
3D view &#38; good support on the product. I've used this GPS in my travels, it gave me traffic updates, several that routed me around traffic snarls with accurate directions.Various settings with a lot of information. Voice directions loud and clear.; Small key pad for big fingers. The interface has been sluggish on start ups. I've had to push the reset button, sometimes, when downloading new maps.
