this cnet review is based on the old tomtom one  .
it gave me a perfectly acceptable alternate  .
i used it througout the return trip and noticed that it constantly updates the anticipated arrival time depending on how fast or slow you're driving  .
it gave clear visual and audio alerts to upcoming turns and is perfect for someone who does not want to play around with a 'gadget' , but needs a dependable routing guide .
i like it  .
i'm just sorry i waited so long  .
to get one  .
i did alot of research before buying this for my wife (and myself) for christmas  .
also considered the garmin 330 and 550  .
the 330 did not have the new sbdir (spelling) chipset that is supposedly a must for new gps (allows unit to maintain signal in deep valleys or cities with skyscrapers) , and the 550 is alot more money $600    700 i loved the tomtom one's size and operation  .
the online software (tomtomhome)is great and the ability to do planning offline is great too the maps however really stunk  .
tried it out on a trip to manhattan and tomtom took 2    3 long ways instead of the normal directions (which mapquest/navteq maps used)  .
once in nyc the unit got really confused (lost signal) and tried to get me to turn around 2    3 times  .
finally had to shut the thing off after swearing at it the only bad thing on the unit is the maps  .
it would be the best (low cost) unit out there if it only used the navteq maps .
i bought the tom tom one when it went on sale in best buy  .
i is thinking of buying one for sometime now since i am someone that is 'navigationally challenged' but the $199 price in bestbuy is a great one and so bought it  .
i tried it out a few  .
times in san antonio and then when i went for a week long vacation in boston , maine and new hampshire , i relied exclusively  .
on this (though i had aaa maps just in case) and found out a lot about this device  .
here are the pros and cons 1  .
very easy to use right out of the box 2  .
good voice directions even if street names arent included 3  .
usually picks up 5    7 satellites so good coverage 4  .
consumer reports best buy and it is s great device for its price 5  .
it is a no frills , easy to use device 6  .
the auto adjusting navigation feature is very cool  .
i tried folling it several times but it still autimatically calculated a new route 7  .
it lets you avoid toll roads if you choose that option  .
but beware of this option since you might be taken on some scenic route instead 1  .
when you switch it on , it takes close to 4    5 minutes to start picking up signals  .
so if you are in a new city , you have to wait 4    5 minutes after you started the device up before you can drive 2  .
it retains power for only an hour to hour and half without connecting to the car's power supply  .
so you have to switch it off whenever you get off the car and turn it back on when you are ready to drive 3  .
when you enter subways , the signal gets lost and it gives you weird directions 4  .
the itinerary feature is confusing  .
maybe i didnt understand it right but it kinda screwed up my entire itinerary in boston 5  .
the points of interest (poi) database really sucks  .
it wouldnt identify the aquarium in boston or the alamo in san  .
antonio  .
good luck with finding good restaurants  .
it simply is a major weakness  .
if you selected a poi , it will tell you in the middle of nowhere that you have reached your destination and you are left  .
wondering where the heck the poi you were looking for really is  .
for example , we were trying to find a restaurant in maine and it took us to a gas station and announced that we have reached the destination  .
we decided to drive a little bit down that road and after half a mile , we did find that restaurant 7  .
it is confusing when it says 'bear right' or 'turn right'  .
i feel it uses them interchangably sometimes 8  .
it doesnt tell you a turn is ahead until you are kind of very close to the turn  .
again , this is sporadic and not all the time 9  .
i tried putting an sd card into the device but it would mess the gps up 10  .
the bluetooth option didnt really work for me even though i tried it several times 11  .
sometimes , when you switch the gps on , it still thinks that you are at a previous destination and it takes a few minutes to realie that you are at a different destination 12  .
sometimes , it takes you on the fastest route and not necessarily the easiest route  .
when we drove into danvers , ma , it  .
took us thru the city streets even though our hotel is right next to a highway 13  .
one time during the vacation , it asked us to exit the highway and immediately asked us to get on the highway  .
at one point on route 5a in cape cod , it totally didnt know where we were and it is almost funny to see it frantically search for the road in its database  .
we wanted to go to lighthouses on the way in maine and it wouldnt find even one  .
it doesnt list road closures 17  .
in a new place , it takes around 10    15 minutes to analyze all the nearby roads  .
so you cannot jump into the car and drive though i list a lot more cons than pros , i think it is a great value for the cost  .
it is a steal for that price overall , if you want a no frills , easy to use , low cost device , this is a great device  .
if you are totally navigationally  .
challenged like me and cannot live with the cons i noted above , you might want to look for a more expensive option .
rented one of these from avis along with my one    day rental car while in the netherlands  .
is able to program in address in njiemegen ok , but next day when programming return to schiphol airport in amsterdam , i couldn't simply find it under a simple menu option (like airports ) or use the airport code  .
moreover , when i entered schiphol , it gave me several options , but the listings were cut off so i couldn't tell one from another (i  .
, arrivals , vs  .
departures vs  .
rental return , etc  .
) also for some strange reason it is set for miles  .
i tried for 20 minutes to find an option to switch to kilometers , so i could relate directly with the road signs , but to no avail  .
yes this is a big deal to me because i also frequently travel to canada i'll probably buy it , but i wo not like it very much for those few things .
i really like it for my first gps unit  .
being that i cannot compare it very well but it works for me i just wish it had a stay on main road feature  .
i went to a golf course in the middle of no where and it got me there but it did put me on 2 gravel roads and a dirt lane  .
when the golf course is actually only about a half mile off of the main hwy and on a paved road  .
some times the fastest way is not always best .
when i looked into purchasing a gps system for my car , the tomtom one seemed to fit all my requirements  .
i loved the physical design , the way the software is laid out , the options for selecting different routes , waypoints , saving destinations , etc however , now that i own the unit (for 3 days now) , i have yet to take a trip where it hasn't had a problem with the navigation nor route my home sits in a long established neighborhood (over 20 years) in a suburb of a major city  .
tomtom does not have two major roads in it's map database    it tells me i'm driving through a field when i drive down my street it thinks i'm on an adjacent street a 150 yards away (now imagine having your home location not being your actual home  .
) ; in fact tomtom's map seems to be shifted about 150 yards off on half my neighborhood now i could forgive tomtom if that is the only navigation problem  .
when i set my course for work , tomtom gives me literally the 5th best route as the 'fastest route'  .
my workplace is off a major road just off an outer belt and major highway  .
surely tomtom would send me on a similar route that i've been driving for 4    5 years no , actually it took me well out of my way , adding about 3 miles to the trip , on a route that has more roads , more lights , more traffic , and is on average about 10 minutes longer than the way i've been taking for years  .
the way i go takes 13 minutes , tomtom's fastest route reports 21 minutes i had a similar experience with my brother    in    law's house  .
without delving into specifics , tomtom's route made little sense and is about 5    10 minutes longer than the obvious and most efficient route i will likely be returning tomtom for a garmin  .
which is unfortunate , because i do love how that tomtom is designed  .
the menu system is so well designed and easy to use i am a little reluctant to make that decision , but what good is a gps unit if it does not serve it's purpose efficiently and accurately  .
a cute and functional unit has been marred by poor mounting design  .
a bottom    of    the    unit power cord makes it nearly impossible to mount on top of your dashboard since the cord must portrude at least a couple of inches and then bend out of the way  .
to top it off , the windshield mount extends only two inches , putting the unit so far forward on the windshield that it's out of reach for all except , perhaps , a chimpanzee currently no accessories are listed on the tomtom web site that could solve these problems and the power cord location is not capable of being remedied anyway .
i purchased this tomtom about 2 years ago at compusa for $99 , + tax of course and unpacked it as soon as i got in the parking lot  .
i found the layout to be very nice and colorful  .
i'm a visual person , so that is the first thing that got my attention  .
it is an extreme pain to have such a useless keyboard as the input device  .
i find it easier typing on my ipod touch , and that's saying a lot  .
the tomtom gives you plenty of preselected options to choose from as far as destinations such as restaurants , gas stations , hospitals , points of interest , and recent destinations  .
if you are on a screen where you have to enter an address , the only part that is a pain is inputting the actually letters  .
the qwerty keyboard needed to be improved on this unit  .
entering the house number is simple as the number keys are much bigger  .
i have used this unit around town here in fort lauderdale , fl as well as on a business trip when i drove from pittsburgh to nyc  .
as far as my drives around town , there have been several occasions where the tomtom has sent me on a wild goose chase , and the most recent time is when i had to meet someone at the er in the local hospital  .
i is not pleased as the tomtom said i had reached my destination and i is actually at a boat crossing  .
i is probably a good mile from where the hospital is but this is an emergency and the tomtom did not come through for me  .
while in pennsylvania , i fared even worse as we drove through rural areas to get to new york  .
there are virtually no satellites for miles on end  .
the other factor that really annoyed me is that this small little unit burned through battery power like you wouldn't believe  .
i am a stickler for turning down brightness on all my devices to conserve power but it did not make any difference with the tomtom  .
i barely get 90 minutes of usage before having to plug it in the charger  .
the worse part is that the battery dies even when the unit is turned off  .
i have charged the unit and left it in my car for when it is necessary and days later when i am ready to use it , i discover that the battery is dead  .
this is unacceptable  .
needless to say after 2 years of hell , and a horrible trip to miami where the tomtom lead me into some undesirable neighborhoods , i will be selling this on ebay sooner than you can say priority shipping  .
i'm looking into sony gps systems instead  .
sony has yet to disappoint me and i doubt it could be any worse than this nightmare .
i would pick another brand for my next gps based on poor customer service .
car charger did not work during first time use .
my initial impression is that he device is difficult to learn  .
now that the learning curve has been surmounted , after a 22 day road trip into the west and northwest , i can say that the unit performed well , got us to all our destinations without mishap (except for the times we chose to disbelieve its instructions , and is a great assist in finding our lodgings and points of interest  .
my navigator praises its utility , and her greatly lessened dependence on paper maps  .
i enjoy the second by second visual updates of route changes as they approach i recognize two shortfalls of the tomtom one   when road/traffic noise conditions change , adjusting the loudness of the device requires six screen touches , including a slider adjustment ; when daylight turns to night , adjusting the brightness requires three screen touches  .
either of these requires eyes off the road  .
external nob adjustment is much safer for single occupant operation .
the main problem that i have with this system is that first it does not tell you which side of the street your supose to be looking for your destination and second it will often only bring you to the general area of your destination and leaves you wandering around looking for the place  .
the maps have even taken me to the middle of no where miles away from the place i is shooting for in short its nice and simple just not meant for those i would consider lazy drivers who just want to get somewhere quick without the hastle of looking around for your destination .
this review is intended to my canadian fellows  .
hope it helps  .
i've bought the tomtom one unit from an online store in july 2007  .
i've read reviews about that unit before buying it and they were usually great  .
the only thing that i failed to notice is the use of teleatlas maps by tomtom for north america/canada (more on that later) at first , the unit worked like a charm  .
looks nice , feels nice , software (tomtom home) seems nice and well put together  .
i have to admit that the tomtom user interface is very intuitive and the learning curve is short for this kind of gadgets , in my opinion  .
i also had the pleasure to experience the customization of the gps display while driving  .
like many other units , it can display information but in a well organized way compared to others   your speed (km/h or mph) your heading , your estimated time of arrival , a (smooth) moving map (3d/2d) , street names , etc i believe tomtom's got one of the best looking/functional user interface on the market compared to other leading brands (garmin , magellan , navman)  .
also , the unit is powered by usb  .
that means that when you connect the unit to your computer via the provided usb cable , you don't need to have it fully charged before using it (like the magellan roadmate 2200t for example)  .
just plug it , turn it on and use it  .
speaker volume is adequate for the task , provided you're not in a farm tractor trying to find your way in the middle of your field in sask on the bad side now    .
i soon realized that the good reviews about this unit were made by people in us  .
as usual , our friends get a better map coverage and better pois (point    of    interest) and that's too bad for us (but understandable , halas)  .
after playing with the gps , i couldn't find my own address (which had existed for the past 10 years)    nice , neither could i find my mom's 20years old neighborhood    sweet  .
most of the pois don't exist anymore or had moved somewhere else a long time ago , not very practical    ok that's it for me i found the windshield holder to be kind of hard to deal with  .
the suction cup is so sucked on the windshield that i had to use some kind of tool to get it off leaving the windshield full of finger prints , a place rather hard to clean in my case  .
plus the gps is hard to put on and remove of its holder (too tight fit) in summary , the (really outdated) teleatlas maps on the tomtom one is my main disappointment  .
go for a navteq based unit for a better accuracy in canada like a garmin c330 or a magellan roadmate 2200t (in the same price range) even if those units lack in features compared to the tomtom one , you'll be glad to see that your address exists , at least  .
note   i didn't use the traffic feature on the gps since we do not have that service in canada yet .
i thought pois , eh then i used it in a new place    the infousa data is horrible and the taxinomy is not clean  .
while in ft lauderdale , i looked up sheraton and i got one listing , for a sheraton but the wrong hotel after some grumbling , i looked up the name of the hotel crypress creek , and saw cypress creek sheraton  .
egad and the software it is pretty good , but you cannot see the complete name listing address , and/or phone number for a poi    each time i selected something (and if it is wrong    usually 50% of the time , ) i have to start all over  .
great unit    but a pain in the    .
ugh    hald the time , it cannot acquire a signal .
the main problem i have is that i cannot find stores  .
shopping centers , yes , but not individual stores  .
other problems are pois , points of interest  .
they have large icons on the first screen , then they have a drop    down list that you have to scroll through alphabetically  .
it's just hard to get around , not enough features that i need to quickly choose my waypoint  .
my garmin 320 is quick , you find where you want to go , and just go  .
30 seconds and i'm off on the trip  .
the tom tom cannot find any store anywhere  .
there are dozens of other places i can find , ice skating rinks , atms , you name it , but wal    mart , dollar general  .
nope  .
perhaps my machine is broken or something , but i've not been able to get a clear answer from anyone about it  .
tomorrow i'm heading back to the store to turn it in  .
it's a shame , i got it for a steal , too , 150 .
i recently bought the tomtom one based on several great reviews from friends of mine who own the gps  .
while at first it does seem great , as i used it i became less and less happy with it  .
my main problem is the poi database  .
while it has plenty of restaurants you can not lookup a grocery store , or many types of retail stores  .
tomtom has added a poi database of target , wal mart , circuit city , best buy , and a few other stores but if you are looking for a specific store near you , you are out of luck because the tomtom cant find it  .
there is an option for looking up shopping centers , but this is completely worthless as most shopping centers have meaningless names  .
i am a pilot and wanted to use this on the road when i land at airports to find nearby food and shopping , but i is also disappointed at the lack of airports in the database as well  .
three different airports i went to in only a few weeks of owning the gps were not in the database i would highly reccomend this gps to someone looking to use it to go to specific addresses but if you want to use it as a gps that can find you anything out on the road i would recomend the garmin gps's as they hae the database you will want hopefully tomtom will fix this as it is the only thing holding this gps back from being great .
as an electrical contractor i own 7 gps units for all my service vehicles so i have a lot of experience with all the different types of gps's magellan , garmin and now tom tom , i'm sorry but the tom tom is the worst as far as maps and usability , we have adresses that are nearly 8 years old that do not appear on the maps where they did appear with the magellan and the garmin units , the search features on the tom tom are also the worst , and its layout is not that user friendly as compared to the garmin and magellan units , we like the garmin units the best , i cannot afford to purchase a gps unit for 700 dollars that does not have 8 year old addresses in it  .
i checked that we do have the latest version of the maps and we do  .
sorry but the unit goes back to the source store that it is purchased from today and my next stop is at costco to purchase the magellan 800 as i have experience with this unit and find to have all the addresses and more concise map data base , i is hoping that the tom tom plus services would make up for the poor maps but the unit had no success in connecting with my cell phone via blue tooth so much for that  .
the plus features absolutely do not work with me as the process of connecting the cell phone to the unit is just way to cumbersome and required a lot of research & & sorry , you need more work on this product , , , , , , , , product number & & & nj5aj eggpf 9zte2  .
i've had my tomtom one for about three weeks now and i must say i've enjoyed it quite a bit  .
in the breaking in phase i've used it almost everytime i get in the car but haven't taken it on any long trips just yet installation of the included software is easy , but the included documentation mentions a free map upgrade and free one year tomtom plus service  .
once installing the app i didn't see how to get the free map upgrade , though the promotional code i had is good for the free plus services and a free voice  .
a complete map upgrade for the one na version is 119  .
00 , pricey since the device is relatively new i'm holding off on the map upgrade issue , hoping that the one it has is up to date  .
one off putting thing about the map data is that the maps for my area are sorely out of date  .
roads that have been missing for years , created in the past 3 years , or just modified are not in the map database or incorrectly shown  .
it makes you wonder how many years out of date that the maps are one other function that might be related to map data is trip times  .
it seems that my regular commute in the morning is incorrectly stated as taking 40 minutes to complete  .
each day i start out from home with the one telling me i'm going to be 8 minutes late for work  .
it maintains that i'm going to be that late until i get on the highway where in a span of 9 miles it tells me i'm now going to be 2 minutes early  .
i've done the math and can only assume the database shows the speed limit for that highway as being 35 mph , because my vehicle does not go fast enough to make up that much time based on the posted speed limit  .
friends with tomtom tell me it's better at estimating longer distances , and that's likely true the last issue i have with the unit is the windshield mount  .
you'd think for 500  .
00 that a decent mount would have come with it  .
the mount that it comes with is forever falling off the windscreen , even when it's been moistened (something i tried just yesterday)  .
it's entirely too short making you have to mount it on the far left of the windscreen or up around the rearview mirror to just be able to reach it and given it's proclivity to fall the left hand mount is my only option  .
of course tomtom offers a better mount for 50 bucks it would also be nice if you could add poi's to the existing categories , rather than having to create your own overall i'd have to say that the one navigation system has everything i need to get me where i'm going without having to rely on maps while i'm driving  .
it's not going to emliminate maps though since it might break one day when it falls updated  .
on dec 4 , 2008  .
there were times it misdirected me , this is more common then i'd care for  .
i'd test the unit by programming a route that i know , and then see where it would take me  .
about 10% of the time it would be a round about way  .
now the unit cannot see any satellites  .
attempted a number of software fixes , but nothing worked  .
i do not beat things up , it lives an easy life in a glove box  .
now i'm stuck with a gps unit that cannot see satellites  .
time for a garmin , or megellin .
i can not recommend this product  .
received as a college graduation gift and had a chance to thoroughly test this unit on many road trips  .
it always found routes that were much longer than those suggested by google maps or my friend's garmin  .
additionally , the addresses were a block or more off target  .
the price point of this product makes it very attractive , but i suggest spending more money on another brand .
the tom tom is given as a gift and nowhere in the instructions did it tell you how to charge the soon    out    of    juice battery  .
or how to erase previous trip  .
this review is for the one 3rd edition model  .
i really wanted to like the tomtom  .
it's very nice looking and the interface is very friendly  .
there are all sorts of interesting screens that show how many satellites you're receiving and every bit of data i wanted to know about my spped , direction , time to destination , etc  .
the home software allows downloads of map corrections and updates from other users  .
tomtom even throws in a free upgrade to the latest map when you purchase it  .
unfortunately , none of this makes up for the terrible software i'm not sure if it's the maps or the routing algorithm but this unit managed to screw up even the most basic trip  .
i programmed it to drive home from circuit city  .
it's only 3 miles from my house  .
instead of taking a right out of the parking lot , the tomtom sends me across the street to the ring road around the mall across the street  .
then it makes the right turn and takes me the correct way  .
ok , so this is just a minor glitch  .
so i programmed it to find the body shop i'm taking my car to for a repair  .
i enter the address and i'm off  .
the tomtom announces i'm at my destination and the body shop is no place in sight  .
so i pull over and call them  .
i'm 3 miles from their location  .
i went home and entered the address into google maps and mapquest and both found the address easily  .
i tried a garmin nuvi 200 at cc and it had no problem either well , i tried a few more addresses and the garmin did a much better job at finding the addresses and charting a more sensible route  .
i ended up swapping the tomtom for the nuvi 200  .
the tomtom has a lot more features but the flawed mapping of the tomtom made the garmin nuvi 200 an easy choice .
i have been a tomtom gps user for several years , starting with navigator 4 on my palm tungsten e2  .
however , i cannot recommend their products to anyone  .
their maps (which come from teleatlas , when everyone else in the gps world relies on navteq) are horribly outdated and inaccurate  .
in the past month , i've tried navigating to 5 different addresses that are all at least 10 years old  .
tomtom is able to get me close to 2 out of the 5  .
when i recently tried to update the maps on my device , i is told that in order to get new map data , i had to upgrade to navigator 6  .
that's fine       and i is reluctantly willing to pay $150 to get decent maps       except tomtom discontinued support for all palm devices except the treo phones in nav6  .
so , after spending $350 for their software and bluetooth gps receiver , they've left me stranded with 4 year old maps and no support  .
i contacted their customer service department looking for some type of solution  .
can i get a map update that works with navigator 5  .
can i trade in my unsupported hardware and get a price break on a new device  .
is there anything that tomtom is willing to do to keep me as a customer  .
no bottom line       i bought magellan maestro 3100 , just released in april 2007       on sale at bestbuy for $199  .
it does everything i need       great signal acquisition (i is finding 8 satellites from indoors  .
) , great maps (found all of the addresses that befuddled my tomtom) , great interface , and quick routing jimjim says bye    bye to tomtom for good  .
i bought this unit as a present and decided to check it for dead pixels etc  .
before christmas  .
when the unit can find a particular address , it works wonderfully  .
it has the most intuitive design i've seen so far  .
unfortunately , it couldn't find my brother's street  .
i decided to navigate my way back to my apartment  .
no luck  .
it could identify my street easily enough , but it is missing the first 6500 street numbers  .
i tried a handful of other places in various states and found a recurring theme  .
the unit simply does not have a large enough map library it appears that tomtom had to simply cut arbitrary addresses from the database to fit everything on the card  .
for $500 , you'd think they could provide a larger card / map library  .
the included software lets the user update the maps for a ridiculous fee  .
after paying $500 for a unit , i think you should start off with up    to    date maps  .
after getting junk to start off with , how much faith do you have that the expensive updates will actually bring the unit up to speed  .
planned update to crash tom tom ones  .
after updating a regular basis thes past two years or so , mylatest update crashed the unit  .
tom tom said sorry  .
this is not that old so my guess is their update is designed to crash some units  .
nice work  .
i'll spend myu money on another manufacturer  .
who does tom tom think they're kidding  .
check it out folks  .
if it were not for one major ommission the tt one would be excellent  .
however , it does not support the ability to automatically turn on/off when external power is  .
you always have to manually turn it on/off and , making matters worse , you have to hold the power button down for 3 seconds in order to do so  .
for those of us with switched 12v power outlets the ability for the ignition to turn the unit on/off is greatly desired  .
magellan and garmin support this and i cannot imagine why tomtom does not .
this thing has gotten me lost so many times i cannot count  .
it tells me the road i live on is unpaved (which it is not)and i cannot seem to change that fact  .
everytime i am going home and need to use this thing i have to let it know i'll travel on unpaved roads  .
it's hard to zoom out to see where you need to be going if it is sending you in circles and on a longer route than you need to going  .
i am so disappointed in this thing  .
spend a couple of extra dollars to get a nav system with a bigger screen and better maps .
i think this is a very cheap product from the true sense of the word  .
it breaks down so often that it is totaly unreliabel  .
you may be out traveling somewhere and before you knwo it , it is dead and you have no clue where you are  .
also , the custoemr service is terrible , you ask them for a new product to replace the broken one after the second time they break , and they refused  .
i have never had such unreliable product ever berfore  .
i can not believe they are still in the market  .
i think there is a majore defect because the failure mode of both unites has been virtualyl the same  .
which indicates that they have had issues and they do not know how to fix them  .
please do not fall in the trap i did and do yourself a favore and go buy garmin  .
i bought garmin and since then i have been much happier and much more comfortable with it than tomtom .
bought two units          both defective  .
went directly to white screens after powering up  .
reset is a temp  .
fix  .
after two hours with tech support , 1 1/2 hours reformatting and reprogramming i is to there is no fix  .
i is told to pack it up and send to the company for another unit          i demanded an upgraded units for wasting a week of my time and money  .
i is told no way  .
and is told to spend more time and money going to the post office to make a third exchange for the same unit will not stay on window          one customer service rep said to twist it  .
another said there is no fix  .
i believe the second i cannot stand these tomtom people would never buy again i now own a garmin and love it  .
perfect .
looks good , feels good , nice interface and display , totally updatable database , but it gets you lost  .
seriously lost  .
this unit doesnt use same mapping system as garmin and magellan , and it is totally unreliable  .
right off the bat , my own street is mislocated  .
while this is easily updated through their mapshare system , the mapping in my town is so bad , that it would take me months to correct  .
i wanted to give the unit a whirl by inputting an address of my kid's friend , that i didnt know how to get to , but my wife did  .
we got into the car , and my wife kept telling me dont go that way , it's a dead end  .
i insisted , and i ran into a dead end  .
again and again  .
at least we had a good laugh , and for that , it is excellent  .
the unit kept recalculating and sending me into more dead ends , one after the other , and the trip , that should have taken 15 minutes , took 30  .
we finally got to our destination , based upon my wife's directions  .
i got the unit for my wife , and based upon that experience , she's gunshy about using it , based upon it's lack of dependability .
the main reason for purchasing a gps system is to give correct directions , this one does not  .
many times it would tell me to go down an alley or make a turn on a dead end street  .
numerous times it had me exit a freeway just to get right back on  .
i used this for a week and ended up returning it , just not worth the $250 i spent .
the tomtom one is cheap and you get what you pay for  .
overall it is an ok navigation system if it is all you can afford  .
eventually you will wish you had spent a little more to by a better product  .
the tomtom home software that updates the unit is a joke you would think kids developed it  .
to give you an idea of how bad it is they have yet to figure out how to list the prices in dollars  .
the customer service representatives are cold and arrogant they act like americans are beneath them  .
they need to figure out they only work for a non    us company they still live here  .
bottom line is spend more money get something that you will use for a long time and with better customer service .
in the rural setting in texas this stinks  .
it is near worthless  .
it took me to the edge of a lake and said the dam is a road that i could drive over  .
i had it take me to starbucks , which from my home tis four right turns and about 16 miles  .
tomtom one had me turn when two miles from my destination taking me around town and arriving at starbucks from the opposite direction  .
consumer reports should be ashamed making this unit a best buy .
the purpose of a gps system like this is to guide you from point a to point b  .
this does not work very well without an up to date map  .
the tomtom one is preloaded with an outdated map and tomtom will only update it if i pay for it  .
i would be more than willing to pay for future updates but it seems to me the initial map should be the latest .
i travel every week and have used about 7 different nav systems  .
the lowrance iway 500c is by far the best even though its the size of a tank  .
i will start with what i did like since there is only one , it is compact and the battery lasted a while before it needed a charge the list of the things i did not like about the tomtom one is much longer the display is hard to see in the daytime even with the brightness turned up to 100%  .
when you get close to your turn , it tells you the distance to go in yards instead of feet  .
there is no external volume control on the unit  .
you need to adjust the volume through the settings on the lcd display  .
this is annoying especially if you need to turn it up and down frequently for phone calls the suction cup that comes with the mount did not hold the unit to the windshield , it came off so frequently that i stuck the unit in the cup holder  .
a bottom    of    the    unit power cord makes it nearly impossible to mount on top of your dashboard since the cord must protrude at least a couple of inches and then bend out of the way  .
to top it off , the windshield mount extends only two inches , putting the unit so far forward on the windshield that it's out of reach the zoom in function will not allow you to zoom in and remain in , it zooms out automatically  .
the poi database is weak  .
the tomtom ones ability to get you to the poi is about within a block  .
if you could not see the poi from the point the device told you where it is supposed to be , you were screwed  .
as an example   it told me i is at a movie theatre while i is in the middle of a highway  .
i had to stop and ask for directions  .
i needed to get off the highway at the next exit and turn into a huge shopping mall  .
the movie theatre is tucked in the back of the shopping mall right next to the highway  .
however it took another � mile of driving to actually arrive there you could not search for points that were on your existing route  .
i had to cancel my old route and then perform a search  .
it does not have text 2 speech capability  .
this means it tells you when to turn but not the name of the street or the hwy number i returned it after 4 days of use and would not recommend it for a person who travels all the time .
i have owned the tomtom one for about 9 months and i keep giving it one more chance to prove itself  .
yet it continues to let me down  .
this past weekend in pittsburgh , it couldn't find my hotel (a marriott) , could not find a church where i is going to attend a wedding and when i plugged in the local golf course , it brought me to a truck stop instead  .
this is not an isolated incident and i've now given up defending it to my friends and coworkers who have a great time making fun of it  .
tomtom refuses to acknowledge this is a defective unit  .
i'm really disappointed with the unit and their service and recommend readers consider any other make besides tomtom .
i purchased a refurbished tomtom one on    line from futureshop  .
according to the enclosed literature it is refurbed by tomtom  .
it never worked    it never got past a screen that says please wait in several languages  .
according to tomtom tech support the unit is shipped with the wrong map version and it is defective  .
tech support walked me through the re    set procedure and clearing the flash memory  .
neither of these solutions worked  .
future shop wil take it back at a local store and provide a full refund  .
i'll buy a brand new one at the store and will post a new review when i've had a chance to use the new one  .
tomtom tech support is very helpful , but they have limited hours  .
their tech support web site is very limited  .
i did find the re    set and clear flash procedures on their web site , but only via links from other gps forums , so i is reluctants to try the procedures without calling tomtom first .
i cut my hand prying and slicing open the ridiculous bubble packaging on the tt one  .
the thing cost $300 bucks and i felt like i is stealing it  .
the reward is when the ttom unit flies out of the plastic and (lucky for me and ttom that it didn't) smacks onto the ground  .
i hate the thing and i have not even turned it on yet .
easy to use right out of the box , but is very erratic  .
with no text    to    speech all you get is instructions when to turn , but not the street names  .
paid $299 , additional $25 for home charger and $30 for a case  .
returned it , bought the garmin nuvi 350 for $398    came with home charger , case and battery life of 4 to 8 hours  .
no comparison    very accurate , can just put it on seat and listen to your instructions    calls out every street name , highway ramps , etc  .
pay a little more    get a lot more .
the newer version of us/canada maps is very poor with the software showing that i is driving beside the highway that i is on and in cities in alberta , it had my location 1/2 block out from where i actually was , causing the gps to get confused and often telling me to turn around before i reached the actual street i is supposed to be on  .
terrible mapping , terrible service from tomtom .
crashed on a regular basis and stopped working after i downloaded the first software update  .
customer service is non    existent and truly appaling when reachable  .
should not have distributed to the us without adequate support  .
online help site is laughable by us standards  .
running into problems using the updater software (home) is easy  .
the mac version of the software seems to be unstable , which has meant (for me) having the software shut down in mid    update on several occasions  .
restoring from backup , whiling seemingly easy , can often result in incomplete restores  .
starting over is not an available option  .
finding solutions to problems on tomtom's web site is difficult and getting through to telephone support is impossible  .
so if you use tomtom one right out of the box , you'll be all right  .
using the software updater , however , is risky business .
i bought tom tom almost 2 months ago  .
it did not give any problems until last week whilst driving the screen is all jumpy from the map screen to menu choices  .
i had to pull off on shoulder and re    set the unit and still it behaved pretty much same  .
the voice guidance worked and with that it is enough help to reach my destination  .
and now    a week later the lcd does not respond to the commands  .
i called tech    support and the person is not keen to help much by excusing himself since it is end of the day and advised me to call back another time so that senior tech can try to resolve  .
apart from that the windshield mount is not designed for use in us  .
tomtom one drops when the heat is on  .
very disappointed by the quality of the product .
had it for 3 days taking it back does not satisfy a long trip where you need more info distance/miles traveled/distance to rest areas (rolling distance) speed/avg speed/elapsed time/cannot scale out and hold it/cumbersome to use when trying to drive too many backs and dones plus there is no user manual to help explain anything the documentation in the box is useless and the support desk is double useless .
i have a garmin 330 , screen could be brighter but it still works great , simple and intuitive , love the detour feature  .
later models address the glare , etc  .
we use it all the time , my wife can use it (i  .
, easy user interface) the tomtom one , is not nearly as intuitive , the default screens are a mess where you have to keep telling it things like toll roads , etc  .
perhaps there is a way to set it different , but i am not bothering we have already found that the newly purchased unit does not have streets on it that my 330 has  .
but the killer in all this is there is no external volume control  .
just like an mp3 player , you need one , depending on conditions  .
i just took mine back after 2 weeks completely possible that the tomtom one has lots under the hood that make it great , but the default , simple stuff they turned into a complicated cluster .
my hundred and some dollar product is now garbage  .
i cannot even pay for a repair (company does not do that)  .
customer service recommended that i buy an upgrade  .
and i advised that i wont ever buy another tom    tom product  .
they were no help and told me that i had no recourse in getting the unit fixed because i had no receipt  .
i told them they sent this unit to me  .
they said i needed the orgional receipt for the first unit  .
they are nothing but crooks in my book and i plan to let everyone know how i feel  .
i am also reporting them to the ftc hard earned money gone  .
bast             updated  .
on may 13 , 2010  .
device never quite worked , then completely failed within about 2 yrs  .
tomtom support  the nail in the coffin for my device  .
now i have a $300 paperweight .
i bought the tomtom go 910 alittle over two years ago the connection between the gps and the charger came loose and stopped taking a charge  .
i called the company thinking the could help only to find that the really didn't care  .
thinking this is wrong in someway i called again and asked to speak to a supervisor and again is told in different words that company does not care and you should buy a new one cause the 2 year old unit i have is outdated  .
so i bought a garmin  .
this thing has gotten us lost way too many times  .
is not it suppose to help with direction  .
on a major trip to florida , using the fastest route option it took us through the backwoods region of alabama mississippi with lots of light signals , turns and small towns  .
