would highly recommend to anyone  .
the 4g wimax sprint 4g  .
data rates of 128 mbit/s downlink and 56 mbit/s uplink 8x50a    .
3 ghz ; 45 nanometer technology ; hdmi for video watching or testing ur new hd tv at the store  .
the data plan is better then any ones next to tmobile  .
the best phone on the market .
i just wrapped my iphone 3g in a box and sent it to my mom  .
goodbye iphone  .
i am so glad i stepped out of the flock and looked into other devices  .
what a refreshing change  .
the device's flexibility and tailorability for me is huge  .
camera is amazing  .
i also appreciate the social network integration and how seamless the htc sense/android experience truly is  .
a great device on what appears so far to be a great network .
i've owned and tried many phones but this is by far the best smart    phone i've ever experienced .
the best phone you will love this phone  .
amazing  .
this is by far the best phone yet to be made i do not imagine myself looking again into the iphone this phone has broken the limits of what a phone is supposed to do and being that true i cant wait to see in the future an evo ii or something like that  .
(only later my wife realized that it rhymes but it is not my intention lol)  .
the phone is great all around  .
the only negative is the battery life  .
you can get good battery life if you use it for texting and calling , but if you are constantly surfing the web , downloading stuff , etc it will drain quickly  .
expect 6    8 hours of battery life if you are constantly using browsing the internet or streaming music  .
the phone itself has everything and i mean everything i could wish for in a phone and more  .
this phone is incredibly fast  .
i have actually almost ceased to use my laptop because i can simply use the phone for just about everything besides research papers  .
overall , i'm extremely happy with the phone and could not ask for much more in a cell phone updated  .
on jul 15 , 2010  .
best smart phone out there and is just as good as the iphone if not better the only thing the iphone has on the evo is the number of apps which android is doing a good job of releasing more .
overall best phone on the market  .
totally pocketable and not as large as some blogs make it to be  .
i live in portland that has 4g and it works great  .
however , this would still be one of the best phones if you only use 3g  .
i highly recommend the evo 4g .
this phone is really a great device , its actually a lot more than a phone  .
i is starting to think that no    one would ever be able to beat the apple i phone , we'll htc and sprint finally did  .
for years i is stuck with lousy att service (and i live in nyc) just to have the i phone  .
now i have a much better product on the carrier of my choice , sprint  .
great phone , awesome plan , looking forward to the next version of the evo in a year or 2  .
the evo is great  .
i am glad smart phones are becoming more like mini computers so that i do not have to carry my laptop everywhere this phone is large enough to use as a computer and small enough to be convenient  .
great job htc  .
my wife and i switched from att to sprint and got evos  .
we're both so glad we did  .
the phone does everything we want , sprint's network has been a night    day improvement over att for us , and the value and savings on our plan from sprint cannot be matched  .
if you don't think having unlimited data matters , you're wrong  .
with a phone like the evo , you can easily surpass 5gb  .
in fact , the phone almost encourages it we do not live in a 4g area , but that's just a bonus we expect to try out when we travel  .
this phone excels on sprint's 3g and is more than enough in 3g to be worth the purchase we've read about others' quality complaints , but we have two evos that have had none of the issues reported  .
htc's construction and material quality more than surpassed our expectation the evo , as it stands , is a great phone  .
if sprint releases froyo this summer , the evo will be the best smartphone available without question now .
the phone does what i need it to do and it does it well  .
while some people get hung up on this feature or that feature of other phones , i know coming from an iphone 3g , i'm very happy with my purchase  .
the phone is different , yet still easy to use  .
the widgets are a very nice feature    i have one whole screen devoted to my calendar  .
there is a bit of transition learning to use the android/sense system but it is fairly intuitive and does not take long at all to get used to .
2 weeks ago i accidentally ran over my phone w/ my motorized wheelchair and cracked the screen , i had tape placed on the glass to hold it down  .
my touch screen and all features on the phone completely work to this day  .
when i ordered the replacement the service is excellent  .
i'm currently waiting for it  .
it's a great phone .
this is my first smart phone  .
it is easy to learn and is everything i need for phone calls , turn by turn navigation and surfing the net while waiting at the dr's office  .
and , i is able to drop internet service by free tethering  .
very cool phone .
i would not be happy with any other phone after having this one  .
this phone is great  .
it has everything and keeps coming out with more  .
i love it .
best phone out there hands down  .
no one can honestly argue otherwise based on the spec's  .
sprint haters and those iphone loyals (or isheeple) will argue that there are better phones out there  .
but let's face it , people don't like change  .
sprint and android are bringing change and people are scared stiff  .
pushing that much data drains the battery no matter if you're on a phone or laptop  .
all 4g phones will have this problem  .
iphone users will have this same issue in a year or two when they finally get 4g  .
but when steve jobs says just like wifi , i turn 4g off when i do not need it to preserve battery life , everyone will bow and say that's brilliant  .
but please remember this post  .
i said it first  .
kudos to htc and sprint coming in 1st in the race to 4g and doing it with the best phone on the market .
overall , i seriously couldn't ask for anything better in a phone  .
the size is perfect , os is perfect , android market is incredible , phone speed is phenomenal (doesn't slow down with over 30 apps running  .
) 4g is faster on my phone than my laptop , lol  .
screen quality , color , resolution , and responsiveness is stunning (i still cannot believe how amazing looking this phone is , even after a month of usage)  .
7 screens and an unlimited number of app squares is a really cool feature  .
there are some really innovative apps and widgets (my wallpaper is super mario playing through the entire game , classic)  .
i love not having a data limit (at t) and love not having to worry about that  .
htc has done a great job at syncing up all your phone contacts with facebook , myspace , gmail , hotmail , twitter , etc  .
the evo is by far the very best social networking phone on the market (friend stream , automatic twitter , email , and wall post alerts)  .
kick stand on back is genius and perfect for watching movies or showing youtube videos to friends  .
the hdmi out port is a great idea (i show my videos and youtube videos to friends and family just by connecting one cable)  .
i do wish it had a longer battery life , but i just have to charge it every night and everything is fine  .
i also have a car charger so when im using 4g , bluetooth , gps , youtube , and playing games , i won't have anything to worry about  .
the mobile hotspot sounds really awesome , especially if you travel alot , but i dont need it and have not tried it yet  .
honestly i cannot say enough about this incredibly powerful device  .
sometimes , i even forget its a phone updated  .
on jul 2 , 2010  .
awesomeness .
this phone is simply awesome  .
it's not perfect , of course , but after experience with blackberries , webos , iphone , and other android devices , i can say this phone is truly a marvel  .
just holding it is an eerie , awe evoking experience  .
love at first sight  .
do not expect this phone to completely replace your dedicated digital camera or voice recording device , it's not designed to do that (there's a reason why dedicated compact digital cameras cost $300+)  .
but it can adequately replace almost any other smartphone , and probably your internet service provider to boot  .
if you are considering this phone , just ask yourself , does this phone adequately meet your needs  .
will its features give you the usage you need  .
hey , you can get unlimited mobile to mobile to any provider and unlimited internet usage  .
if you have good sprint reception (typically great in the los angeles area , from my years of experience) , then this phone is simply a steal (saves tons over other providers) no phone or network is perfect (my cousin who lives in los angeles yearns to get verizon wireless reception where she lives , instead of the words searching for service') the mobile hotspot is hot  .
i think this phone is simply bliss , an electronic jewel  .
the screen is big , but that is also part of its awe  .
and despite it not being perfect in all areas , i still think there are few phone who even come close to offering what it does  .
(android is infinitely fun , and the apps will hopefully keep coming  .
i've never owned a smart phone so i might not be the best person to describe what to like or not to like about the htv evo 4g except that in just a few weeks i've adapted to this brand new world and cannot imagine ever being without it again  .
we're thoroughly enjoying the ability to access information and data wherever we are (nyc is 4g) , take pics and share them easily and generally use the tech to make our lives easier and better  .
the battery drain is an issue so recharging the phone periodically during the day seems to be the solution  .
at least for now  .
overall the experience is excellent and we look forward to learning more so that we can do more  .
nice to know it's all there  .
iphone 4 users eat your hearts out  .
;    )  .
i absolutely love this phone  .
i had a palm 650 , 700 and 755  .
i had to get a blackbery for work and absolutely hated my bb 9630 tour  .
wanted to throw it at a wall a lot of times  .
now that i have this evo i could not be any more happy .
go out and purchase this device  .
wimax service in portland is great there's nothing like having web pages appear so instantly  .
turn by turn is flawless even with many hills running street view live  .
the camera although showing compression artifacts in videos in fast movement , is not bad for a phone  .
at least it's hd and can be easily uploaded direct to youtube  .
used as a camera the pictures are sharp and color is excellent as well as being every bit as good as my point n shoot  .
so that's another device retired to my drawer along with my iphone 3g on that other call dropping network  .
it seems to know when you're leaving 4g coverage and down switches w/o losing a call when on the move in a car  .
whereas my iphone had trouble switching to edge and this may be the reason iphones drop more calls on at t than it being their fault it fits my left hand perfect and then i'm able to navigate the interface with my right easily  .
i've read some reviews of coverage problems , but when a phone is designed right , it should not be a problem going in and out of coverage areas or how you hold it  .
it should all work seamlessly and that's how this phone is working for me  .
although i only have a few friends with front facing cameras for video conferencing , i now have several friends that have found an excellent solution using fring or qik to not only other users with evo's but anyone with skype , google talk , etc on desktop pc's too  .
but my buddy is using the old mirror trick to video conference via fring on his nexus one and we're having fun with it  .
he uses his visor mirror in the car (while stopped of course) and it's hilarious what he's finding to use w/o a front facing camera  .
but i'll still take my evo over his nexus one any day  .
this phone is big and fast , yes its not perfect , but i dont think we will ever have a phone that is , the keyboard is great both portrait and landscape  .
the the camera with dual flash and 8mp is amazing , with the battery , it will drain quickly but if u download a task killer its fine  .
i think if u want a reliable smarphone give the evo a try you wont be disappointed  .
all said and done this phone rocks  .
even with the battery cons once you tweak it  .
it's rock solid  .
i is close to being a lemming and buy an iphone  .
glad i had my own mind to seek out other options on the android platform  .
sprint's pricing is still the best out there even with the extra fee  .
i checked and check and realized that the phone is only as good as the carrier behind it  .
the evo is fantastic  .
and bought two for my wife and i best decision and very happy .
i is very weary about purchasing this device not because of bad reviews or negative criticisms , rather , because of living on the bleeding edge of technology has once or twice proved a bad choice  .
last year i ran out and purchased the palm pre a few days after the launch , upgrading from my motorazr and taking my first steps into the world of intelligent phones and mobile web devices  .
pre is a nice idea , fortunately for me the evo came along just in time for my contract renewal date  .
compared to previous devices i've owned , what quite simply and totally blows me away is the evo functions exactly like it is supposed to  .
tv , car , phone , computer , whatever it is , i read a lot of product reviews before and after i make most purchases  .
the thing i find interesting about the world of product reviews are folks who seem to strive in finding everything that might be construed as 'wrong' or 'not up to expectations'  .
htc and sprint never claimed the evo would last days and days without needing a charge  .
the $10 additional cost for service is really no big deal  .
if you compare plans , even with the extra ten    spot , sprint's everyting data plan is still below the monthly cost from other carriers  .
the evos video quality is amazing , the data speeds are fast , the sync    everything technology is awesome  .
also , i can actually make phone calls  .
i know , right  .
my previous device had issues making a simple telephone call  .
after all , is not that the most basic function we ask of these devices  .
my real 'road test' of the evo is last week  .
i spent a week in a sparsely populated area of minnesota at an annual convention for a client  .
i travel a lot and have been looking for that all in one device of phone , music player , email and web acess  .
after reading the reviews my main concern is battery life  .
(especially becase i've got to have something to play with during those long , drawn out board meetings   )) coming from a full charge , listened to about 2  .
5 hours of music (one hour is in ariplane mode) , sent email , made several phone calls , and reached the convention site with just over 50% battery remaining  .
that evening during cocktail hour i had to show off the evo to all the other gadget freaks in the room , especially the video capabilities and everyone loved the kickstand  .
long story short , ended the night with a call home and although the battery meter is in the yellow zone before turning in for the night , the thing still had plenty of juice people compare this to the iphone  .
i do have to say the iphone is an incredible device  .
personally , aside from itunes , i've never been a fan of apple products , especially hardware , and have never been able to comprehend how an apple product is in any way shape or form superior to the alternative product  .
and yes i have looked at purchasing many of their prodcts in the past  .
if you are a user who can understand and actually take the time to know what your device is capable of and adjusting settings to meet your needs , the only advantage to the apple product is the pretty packaging  .
the htc evo is no different  .
if you take the time to learn how to use the evo , how to manage battery consumption by setting longer auto    sync update frequencies and activating 4g only when you need it , you will find this device to provide an all around five star experience  .
one thing i can agree the evo has in common with the iphone is , simply , that it is an amazing device .
i had a treo 800w before , and is actually thinking about upgrading to a blackberry  .
i'm glad i did not  .
although this is a phone review i just don't like how sprint has that $10 premium data fee  .
like many of you i do not believe should have this fee for all their markets , but android 2  .
2 makes it worth it .
i absolutely love this phone , previously had the g1 which is also pretty solid , but left a lot to desire  .
the evo fulfilled all of the voids and then some the 8m pixel takes great pictures and easy to use with some built in features such as iso control , geo    tagging , autofocus and face detection  .
it also has a grid setting that places little plus signs on the screen to break the image up into a 3 x 3 grid , which if you know photography that helps with composition of your pictures  .
oh and it has a flash too  .
the video recording and playback is by far some of the best i have seen for a cell phone the ability to set up different scenes allows me to have a setting for work , home , play , and traveling  .
these are settings that are related to each scene , for example my work setting could have my work email and calendar settings readily available  .
then have the play one set up to have my music play on the main screen and have the friend stream set up on another and it is actually a great phone  .
i have had no issues with drop calls at all  .
the voice on the other end sounds clear and crisp with no crackling etc  .
and even if i pick the phone up in my hand , it will not drop calls like some other smart phone does no names mentioned all in all , my opinion is this is the best phone out there right now , and if you are lucky to be in a 4g market you have to get this phone and at least give it a try  .
i am anxiously waiting for phoenix to get 4g  .
but even at only 3g i am extremely happy with the phones performance  .
amazing phone  .
you might as well forget the iphone 4 with all of the problems and even though the evo does not have as many pixels 800x480 in a 4  .
3 is still very crisp  .
heck i cant see a single pixle on the screen anyways  .
no need for retina  .
android customization is still ahead of iphone  .
and downloading apps even not in the market is awesome  .
android ftw  .
i do find myself downloading far more content with this phone than i did with my palm pre , possibly because of the bigger screen  .
i've owned iphones , bb , the palm pre before the evo , and i can say without reservation that android shows the most promise , going forward  .
there are many things i like about palm's webos , and i hope hp puts webos on a device similar to the evo  .
but for now , i'm very pleased with the experience i've had so far with my evo if you're hesitant to get the evo because of it being available only through sprint ; don't be  .
in my experience they've been just plain awesome  .
their plans are far less expensive than at t's or verizon's , and their customer service is far better , too remember that your mobile phone experience hinges on your carrier  .
the new iphone 4 is the perfect example of a carrier insulting your intelligence  .
($25 for 2 gigs of data would last most people about a day and a half  .
) my pre , and now my evo , have been on sprint , and i couldn't be happier if you don't care for the phone , you can return it after 30 days at no cost  .
i'd suggest you at least give the phone a try  .
you wo not be disappointed .
i have been waiting for the phone for months and wouldn't you know the day it comes out i am on vacation and my wife vehemently says no to buying one out of town  .
when i get back home i realized i should have pre    ordered one because they are sold out everywhere  .
well , two and a half weeks later i finally get mine at first look you realize how huge it is but don't worry , it fits nicely in your hand (though if you have smallish hands it may not)  .
it obviously comes with everything good that is android with its thousands of apps  .
the camera is quite good , front and back mind you , with the main camera having a flash  .
it's not as quick as i'd like it to be with pictures and the camera sticks out on the back but the 720p video sure makes up for it  .
call quality is great on both ends of the phone although my voicemail echoes on my phone but callers tell me my voice is crystal clear the list goes on and on  .
did i mention how fast this thing is  .
i'm sure you won't be experiancing any phone lag any time soon  .
granted the battery life is not too long but it is comparable to other phones in its class  .
i would think though that since it is larger than most phones that they could have installed a larger battery , or , like my old instinct , they could have packaged 2 batteries to have one ready at all times i am moving to marietta , ga at the end of july (no , not just for 4g , but it did help the decision   ) so i won't be able to rate the 4g experience until then  .
i can live with an extra $10/mo with or without 4g since it is still cheaper with comparable plans to my friends iphone or t    mobile hd2 and another's moto droid on verizon  .
i cannot understand why they wo not come to the light  .
sprint is now in the lead with 4g , the evo and unlimited to every cell in america  .
why settle for a 10 free numbers when you can have thousands  .
one last thing  .
how in the world did cnet not make the greatest phone an editor's choice  .
it is unbelievable  .
and at least give it 4  .
5 stars  .
the evo is my first android phone and i fell in love with it immediately after the sales rep unboxed it for me  .
the market store is full of wonderful and popular free apps  .
i love the video chat features of fring because you can talk to people on their desktop through skype , ability to use it as a hotspot and connect up to 8 devices  .
i can search the web and talk on the phone using 4g or wifi at the same time  .
the screen is large enough to enjoy movies , photo slideshows and view the internet without squeezing my eyes together  .
the phone has a sleek and smooth feel that i adore  .
you will get use to the size day one and wonder how you ever used anything smaller  .
there is no phone on the market now or in the near future that will put this phone to shame  .
at $199 , the htc evo is the best value in smart phones  .
the sprint plans are at least a third cheaper than at t  .
if you can find one , buy the evo .
i love this phone  .
i can watch all the web with flash video fast .
best phone ever with all of the bells and whistles you could ever want on a phone one sweet ride .
best phone i've ever used by far including the iphone  .
this is by far the best android phone out in the market  .
sprint has a definite winner on its hands  .
lets hope they do the right thing and update the evo to froyo asap  .
having owned several smart phones including 2 iphones i love the thoughtful features that htc incorportated into this unit , luv the kickstand , 4  .
3 inch screen makes typing a breeze , beautiful hd display , front facing and rear 8mp camera which takes beautiful pictures for a mobile phone  .
not enslaved to apples world freedom to download any program i want and customize at my discretion  .
call quality has been impressively clear on both ends , data connections speeds in 3g are very fast , have not even tried 4g as of yet  .
hdmi output , , able to use the phone as a wifi hotspot  .
unlike the new iphone video conferencing does not depend on both callers having a wifi connection no phone is perfect and has it quirks by far the positives for this phone far outweigh the negative  .
i phone 4g may be a work of art , still drops calls and is still on the network that cant hold a call , att  .
hi ,  .
this is a fantastic phone  .
i have an apple itouch and they both work well  .
sprints unlimited data plan with 4g is far less expensive than at t and and sprint has great customer service  .
4g and 3g speeds are extreamly fast  .
buy an extra $6 battery via ebay and you have the best phone  .
i've added 6 screens of apps and they work great  .
i bought a $6 battery and a $15 16gb memory card new on ebay  .
i also bought a $12 radio cassett 3  .
5 mm adapter , i now can stream pandora and pod casts over my car stereo and hear phone calls on my cars raidio  .
also if you have itunes install a free app called double x it will copy all your itunes songs and play lists to the evo  .
this phone rocks  .
its complex learn to install and use the apps when you first buy it the sprint people will teach you some tricks  .
also upgrade the system firmware it takes 30 seconds  .
also the camera and video are fantastic take care  .
dave  .
updated  .
on jul 22 , 2010  .
bottom line , this phone is an astounding bit of technology and i highly recommend it  .
htc made a responsive , beautiful piece of hardware  .
couple that together with the openness of android and you get a phone that you can make your own  .
video chat works very well too  .
i have only used fring to call my friend's skype account on her laptop , and it is okay sound quality and there is no issue with the video  .
mind you , i is doing this on sprint's 3g network , not wifi or 4g  .
and that's important , you can use video chat over the mobile 3g or 4g network ; you aren't restricted to wifi like on other devices  .
the battery is not gonna last days at a time , you'll have to recharge nightly , but that charge should be more than enough to last the day , and i'm a heavy user myself  .
lastly , the device is larger , but once you see the screen you wo not care because its totally worth it  .
besides , even for its size its very thin and very pocketable  .
i have never had an issue with sprint's service , and they offer plans significantly more affordable than comparable plans with verizon or at t (hello no smartphone mandated data rate)  .
the phone preforms outstandingly on all accounts and to find its faults takes some effort , perhaps even some bias  .
, and for that i say this phone is one of the top on the market  .
its 3g/4g compatibility means its built to keep up in the future , which seems to take leaps and bounds forward every month  .
is it the best now  .
i think so , but you'll have to decide for yourself  .
easy smoth movement big screen easy to view contracts and documents and i do it all day well worth the 199  .
a phone that does it all sprint you got my intrest whats next thankyou and for the people that want one and cant find one go to best buy no mail in rebate or extra fees  .
root complete nand root complete fresh0  .
3 installed using dxtop rather than sense  .
since the root i have been 10+ hours off charge texting , downloading , uploading , gaming , streaming , and calling  .
this is not straight 10+ hours of usage of course  .
i used 300    400mbs , ran the cpu upto 998mhz for a period of ~45 mins twice in the 10 hours , on youtube i wathced two episodes of topgear and the bp oilspill spoof , and tethered for wifi for around 25 mins  .
all of that brought me down to a critcal 7% life remaining under the stock setup battery life suffers greatly  .
you will need to disable background updates as well as turn off wifi when not around any ap's  .
the wifi constantly scans for open or protected ap's which in turn drains battery life  .
watching youtube longer than 2 hours will shorrten your day with the evo 4g running 4g is obviously going to reduce the battery charge greatly due to higher data transfer rates i feel very comfortable paying an additional 10$ fee to sprint for the premium data package , it is still less than the unlimited plans available at verizon , at t , and t    mobile keep in mind this is a computer complete with a disk drive , wifi , bluetooth , 8mp camera and a 1  .
3mp front facing camera , vibrating motor , 4 point 3 inch 800x480 wvga lcd screen and a phone to round everything out  .
in short dont expect miracles with a measly 1500mah battery , i recommend the 1700mah option available elsewhere  .
i havent made that jump yet but given my current setup i will most likely increase my usage time to 12    13 hours under moderate data use updated  .
on jun 22 , 2010  .
effectively  .
this is like having an iphone in your pocket  .
i shop , watch movies , surf net , check email its endless  .
when android froyo 2  .
2 uploads , the future is here .
all the negative reviews of this phone have come from people that don't own it  .
see a trend  .
people are saying you cannot talk and use the data at the same time  .
you can  .
as long as you're on wifi , 4g or 3g  .
don't listen to the negative reviews  .
i've owned 2 different iphones and a g1  .
this is by far the best phone i've ever owned  .
it's not even close to the competition  .
if you were thinking about getting a iphone 4g or a droid incredible do more research on this phone  .
it has more features than both  .
do your research and buy this phone  .
you won't be disappointed  .
do not listen to the naysayers .
the evo is an amazing phone  .
it's fast , feature    packed , gorgeous to look at , and the world's only 4g smartphone  .
if someone told me a month ago that i is going to give up my iphone , leave at t , and buy a smartphone from sprint , i would have thought them to be crazy  .
but after getting my hands on an evo at my local best buy , there is no way i could limit myself to another 2 years with at t and its underwhelming new iphone .
i literally spent half a day playing around with my phone seeing all i could do with it  .
what really sold me is the browser since i'm always on line and need it for my research  .
i've also got friends around the globe this phone's features helps me stay in touch regularly with them all  .
i've yet to use the video chat feature , but look forward to doing so very soon  .
two last great things   the external speaker can get loud (with the hearing impaired setting on) , without compromising the device's superb sound quality  .
also , the speech to text feature is a wonderful bonus especially for my my internet research to extend the phone's battery life    .
it will take you about 30 minutes or so to properly set up your phone for maximizing the battery life , but you'll be very happy you did  .
if you like to play a lot , are often online and multi    task like me you really must change some settings on you phone , and do a lot more than is suggested on sprint's site  .
call sprint's tech support and be sure to pick the reps brains for tips and tricks  .
as with any tech team , some tech reps are more tech savvy than others (so if you need to call back to get the right one , by all means , do so)  .
it's obviously best to get someone who actually owns the evo or other htc android phone .
i really wanted the iphone 4 but i look at this phone and i think it's a lot better than the iphone 4 .
i'd recommend this phone to anyone  .
i've tried a lot of smart phones , and this one has the best combination of features and performance i've seen so far  .
i won't deny the iphone 4g has (as usual) a slick design , but it lacks 4g , and i really do not appreciate big brother steve telling me what internet content i should view  .
long live android as i mention above , you can get good battery life out of the phone by tweaking some settings , particularly by disabling enable always    on mobile under the settings for wireless networks , mobile networks  .
4g is awful on battery life , so it's most useful when you can externally power the phone , as is likely when you're doing something more bandwidth intensive , such as tethering  .
i leave 4g off most of the time , and the performance has been fine for my needs very cool .
i second most of the positive reviews here  .
i actually decided to write this review to clarify a couple things i read in one of the previous reviews first , i have been able to receive phone calls even while i have my phone on hotspot  .
because i'm trying to get rid of my home internet (so i can save money) , i is a bit concerned about it  .
i don't get that many phone calls , so i didn't think it is going to be a big deal  .
one day , though , i is surfing the internet on my computer , using the phone as a hotspot , and the phone rang  .
someone mentioned this was not possible , and i just wanted to offer another experience second , the speeds on 4g are not 9mps where i am  .
i am constantly speed testing it (using an android app from speedtest  .
net) , and i consistently get 2mps and 2  .
5mps down  .
7    1mps up  .
which is fine  .
my suspicion is that these speeds are going to get better as time goes on  .
yeah , yeah , i know that people say wimax is going to clog up its network , and lte is going to be the more advanced technology  .
but these are the same things people said about cable internet , when it is competing against dsl  .
and , from what i can see , cable is still fastest third , if you use google for things (i use it religiously for calendar , gmail , picasa , and maps) , you are immediately signed in to your whole internet world  .
i had all my contacts and phone numbers entered in google contacts , and i had to enter no phone numbers into my phone  .
the experience is amazing  .
it took one sign in , and i is done  .
i have an ipod touch , and i had to enter my signin for whatever i is using last thing , the battery situation  .
yeah , it's kind of annoying  .
the main plus is that android lets you customize so much on the phone , and the home screens  .
i have the switch widgets for all the services on this phone (gps , 4g , wifi , 3g , hot spot) on my home screen , and when i'm not using them , i make a point of switching them off  .
one thing to keep in mind , though , when the battery on this phone goes dead , i can buy a new one and replace the old one myself  .
you have to send an iphone back to apple for the same thing  .
really , that's not good design in the end , this phone can do so many more things than an iphone (like 4g , customization , multi    notification , etc  .
) , but all the iphone people can hit it on is the battery life .
i left an iphone 3g for this phone and do not regret it one bit .
worth every penny  .
sprint service is no better or worse than any other service  .
they all use the same towers  .
sprint family shared plans are reasonable with anytime any mobile calling  .
when 4g gets here , i'll be in my glory  .
just switched to the evo from my palm pre  .
this phone is so much more advanced than any other phone out there right now  .
screen is incredible to watch videos and 4g is so fast  .
it's faster than my internet at home , averaging about 3mbps on speed tests for downloads (i'm in kansas city area)  .
love that i can customize everything on the home screens unlike the palm pre where i could move stuff but not nearly the amount of flexibility as the evo  .
also the battery lasts me a full day with about 1/2 left at night and that is moderate use and using 4g most of the time  .
zero complaints so far after about 1 week of use .
i've used many features on this phone and still find myself glued to it after hours and hours of browsing its ability  .
i love the fact that you can do some much with it not to mention its screen size knocks the competition out of the box  .
the iphone does have higher res but the only difference in noticing this is if you had both phones side by side  .
with sprint service , it makes it even better  .
sprint customer service is the best service overall i have ever had  .
they fix the issues i need fixed immediately  .
but that's a sprint review  .
as for the phone i is using the hotspot watching netflix on my laptop , on the phone having a conversation , and text messaging all together on the 4g network  .
i'm love this phone  .
bottom    line when i had the pre i is so happy with something compact and sexy  .
but the evo 4g is such a better build quality and overall specs are amazing  .
it's big , very big , but that is something that well makes it stand out  .
both cameras front and rear facing are pretty good  .
video is very clear and its not like i'm going to film a movie with it so it does what it needs to do  .
coming from the pre i miss the dedicated ringer/vibrate switch but i've gotten use to that  .
kick stand comes in handy when you just want to rest it somewhere since if you lay it flat on its back you could possible scratch the lens on the rear camera  .
so if there is anyone wondering if they should get this phone the answer should be yes  .
its very well built and quite frankly awesome overall .
i have never written a review on cnet , but i felt impelled to write one after my personal experience with this phone stands in sharp contrast to most of the reviews online  .
i had major reserves about purchasing this phone after reading about the abysmal battery life and sd card issues  .
without going into too much detail , people in a similar position can rest assured that the battery life is more than adequate  .
i regularly get a full day of battery life and i like to think i use the phone moderately to heavily throughout the day  .
additionally , it is compatible with micro usb chargers so you should find no issues charging it at the office or topping up in the car without spending an arm and a leg on the charging unit  .
that being said , i do recommend the igo car charger  .
in a 15 min drive i gained 20 percent on my battery , not bad in my book  .
i really cannot figure out why my experience with the battery life is so positive compared to the reviews , but i just felt it is important to provide another pov  .
also , regarding the sd card issues , it seems the htc firmware update solved the issue because i have not experienced any problems  .
i highly recommend this phone  .
the features are every bit as impressive as they sound on paper and i have spent over a week marveling at the refined quality of this phone  .
it definitely sets a benchmark for all future smartphones  .
i wrote this review on my evo  .
i wouldn't have had it any other way  .
this phone is lightning fast and super efficient  .
i would recommend to those i am closest with and i already have  .
two friends have left their iphones shortly after test driving my evo great job htc and awesome job sprint  .
i finally have a phone that i am proud to own  .
oh the kickstand    while you would not think would be too useful    comes in very handy  .
this phone literally does everything and at seamless speeds provided you have access to 4g  .
i live in houston , so i am privy to 4g access , and yes there is a huge difference between 3g and 4g  .
the only times i cannot access 4g is if i'm buried in a building with multiple floors , which for me is rare if your area doesn't offer 4g , you might want to hold off , because the 4g is what ties all the features of this phone together  .
i got rid of my land line high speed internet provider (roadrunner) in lieu of the 3g/4g sprint wireless aircard a few months ago , so this is not my first rodeo with 4g  .
i is skeptical that tethering the phone would work as well as the aircard , but i can assure you it does the cons being written are ridiculous  .
the two that i keep reading are battery life and the mandatory $10 premium  .
the battery life gripe is somewhat legitimate , but you've got to factor in practical limitations here  .
batteries this small and light simply do not exist that can power all of these functions for extended periods  .
it's just a fact  .
any phone manufacture packing all this features into a portable phone this small (relatively speaking) will have the same issue anyways , on a fully charged battery , i ran practically every function on the phone for 10 hours straight before the low battery warning came on  .
the next day , i toggled off functions when i was not using them and i still had half a charge after 10 hours  .
if you get this phone , i'd recommend getting a car charger and get used to plugging it in every time you get in the car as well as tethering it to your computer whenever your using it  .
if you do that , you'll easily be able to get through the day without the batter dying no matter how much you use it $10 data premium    look , sprint is hands down the cheapest service provider for smart phones  .
for 98% of the public , the 69  .
99 plan (450 anytime minutes with unlimited mobile to mobile (regardless of the provider  .
) and unlimited data will be more than sufficient  .
the extra $10 brings it to 79  .
99 and still much cheaper than it's competitors  .
if you want the hotspot feature , it's an extra 29  .
yes , that's starting to get expensive , but if your like me , i can justify that cost because 4g allowed me to get rid of roadrunner , which costs the exact same , yet i now have the extra benefit of being completely mobile  .
it's a win    win situation for me bottom line is this service fits all of my internet and mobile service needs  .
if you download movies or use internet gaming functions (x    box live , etc  .
) you cannot do what i've done  .
but if you just need basic surfing and emailing capabilities you should do what i have done as for the phone itself , there's really nothing that is not great about it  .
the one thing i love is that i finally don't have to deal with itunes  .
you can just drag and drop mp3 files onto the 8gb micro sd card  .
the touchscreen and intuitiveness of the software is better than the iphone in my opinion  .
i really like the extra home row buttons  .
it will take you a few hours to get used to it all though , but once you figure it out , you'll really enjoy it the camera and video are better than anything i've ever seen on a smartphone  .
it's not perfect and depending on the lighting , it has a hard time staying in focus , but overall , it's a big step up from the blackberry curve 8330 camera i've been used to  .
basically , it'll get the job done for the everyday amatuer photo/video taking needs , but you might have to take 2 or 3 pictures until you get one in focus google maps navigation is a great tool  .
it's easy to search , and you do not have to have the address  .
i've searched the names for some mom and pop type businesses , and the software is able to find them  .
i is very impressed  .
the turn by turn voice prompt is not sounds like a computer is talking to you , but at least you can understand it , and it is extremely accurate and timely bottom    line is this phone does everything well  .
i've yet to run into any glitches or have the phone freeze up on me  .
i'm confident this phone will not be overshadowed by any other phone on the market anytime soon including the new iphone  .
therefore , it's a good investment and an essential one if you live in a 4g area  .
apples to apples , sprint is more affordable for all the services you get and has a very reliable network infrastructure .
bottom line is that it might take apple a few years to come out with a phone that compares and even then it seems like htc , google and android have become great competitors in this market  .
