one low price and no add on fees or taxes  .
i live within two blocks of a tower (hard not to do in the city) and the quality is as good as a landline  .
likewise , the voice features such as the voicemail system and conference calling system are quite solid and of course unlimited the customer service is very good relative to other carriers i have used  .
when you need tech support , you are usually on hold for a maximum of 5 minutes , if at all  .
it is refreshing to get an agent after two rings instead of two hours  .
overall , metropcs offers the consumer an excellent service with no strings attached  .
you pay for unlimited calling , texting , and metroweb  .
this is exactly what you will get , it is delivered competently , consistently , and at an excellent value  .
just don  .
t expect to see an iphone or blackberry on metro anytime soon updated  .
on mar 14 , 2009  .
overall , if you dont travel very much (which most people really dont) its the best plan you can get for the money  .
besides the expensive phones (due to the no contracts) the phone service isnt as bad as it used to be in the begining , meaning you get as many dropped calls as you do on any other provider  .
if you do travel , you can put some money on travel talk which is like 25cents a minute or something , which is pretty dicey but it works  .
if you live in the metro pcs area , this is a great beginer phone , being that you wont rack up like $300 in overages , and they do have some resonably priced phones .
why buy a contract that limits you to so many minutes then get nailed for exceeding your minutes  .
then if you are inclined to give up the service they screw you with early termination fees  .
teenagers are always on the phone  .
metro pcs is unlimited talk time without a contract  .
this makes up for their lousy customer service .
the phone purchased is a samsung caliber  .
the plan is for $40  .
00 which is a good price  .
the cost is good in comparison to companies such as sprint , verizon and at t  .
not sure why they wo not deilver plans that may be a little higher but offer all the same features (txt , internet and email)  .
the phone other than dropping calls is a beautiful phone that works without problems the downside to the service and representative of the company , is how customers are treated once they require assistance with a phone  .
the phone is purchased at an authorized dealer , not a corporate store , 1805 mott avenue , far rockaway new york 11691  .
it is suggested that you stay away from this location  .
the employees and the sort of managers give misinformation and appear clueless in many areas  .
upon purchasing a phone i is informed of a store special that entitled me to a rebate over 150 dollars  .
the phone is more than 350 dollars  .
the phones are expensive by the way so keep that in mind when determining whether you'll become a customer and try it out  .
after about ten return visits to finally speak with a manager , the manager told me the employee who sold me the phone no longer worked there  .
he called the employee a known liar  .
he could not stand behind the lie i is told  .
i is told by the manager i could receive a rebate that is about 80 percent less  .
i refused based on the grounds of ethics and standing behind a contract agreement that is on my receipt  .
please in all cases get everything written down  .
i am moving on to the next step other than my situation i love the phone and the price  .
it's a shame that in order to cut overhead costs , customer service is inadequate and not helpful  .
good luck if you purchase a phone and pay for a specific no    contract plan  .
there are advantages and disadvantages  .
one may outweigh the other depending on your needs at that specific moment  .
at t , sprint and verizon please start offering comparable packages  .
we deserve value and quality  .
metropcs please renovate your internal workings and upgrade the network .
overall , i love it but it could way better .
disclaimer   i worked for a metropcs dealer in the philadelphia market  .
if you are a frequent traveler the service isnt for you , but if it works in your area and you want a simple service for a reasonable price this is for you  .
the unlimited talk and text plan costs $40 a month  .
after taxes you'll pay $50 or so  .
this is comparable to the entry level services from verizon , sprint , tmobile or at t  .
sure , with metropcs you are sacrificing coverage area however you're usage isnt metered no one from the big 4 companies will let you try their product for a free month  .
you pay for the cost of the phone , but that can be a nominal fee as cheap as $20 metropcs even has a policy that allows its customers try a phone for an hour without penalty  .
you are allowed to use the phone for 59 minutes  .
if the service doesnt work or there is an issue with the phone you can return it to the place of purchase for a full refund i've had customers replace their home phone line with this carrier  .
sure , that may not work for you , but it is possible  .
again i must say if it works it works  .
as far as the phone hardware is concerned , metropcs focuses on no frills phones so they can keep the customer's overall cost down  .
the phones are cheap , but they're enough to use talk and text features  .
in my opinion samsung brand models are the most reliable phones sold at metropcs stores you dont sign a contract with metropcs , so the company doesnt subsidize your phone  .
you must pay retail value  .
the bad news  .
the phones can be pricey  .
the good news though , is that you dont pay any cancellation fees to cover the cost from the other companies subsidizing your phone  .
metropcs always has some sort of sale happening to lower the cost of their phones sure , you may never see an apple iphone or a rim blackberry in their lineup but that saves you money  .
would you really pay $600 for a phone up front  .
i wouldnt  .
metropcs supports the basic functions of a phone network ; talk , text and primitive web browsing  .
you dont need an iphone to enjoy that the bottom line its cheap , its simple and it may work for you  .
give it a chance to shine .
40 bucks , unlimited everything including the slowest limited web .
metro pcs is great if you're not that picky about what kind of phone you use and really need to watch your money  .
it's only $40 to $55 a month  .
the voice and text service in their major cities is as good or better than at t or verizon  .
i've had them all  .
i'll still take metro pcs the metro navigator gps feature is surprisingly useful for something you don't have to pay extra for , excellent turn by turn turn directions  .
goodbye mapquest  .
the internet  .
it's so slow do not even bother but hang in there  .
that's about the change in a big way if you can wait till the end of the year there's only one or two phones you might call smart the rest is just low end crap from five years ago whatever you do ,  .
do not set foot in a metro pcs company store  .
you'll want to hurt somebody  .
mother teresa would cuss them out  .
insanely horrible  .
better to go to best buy or even some strip mall independent dealer  .
i love the unlimited talking , service is affordable compared to other carriers , the company is in expansion  .
the service is very limited t specific areas  .
the service is spotty (lots of drop calls) , internet browsing is very slow , and very unpractical  .
, internet and data both going/coming are slow  .
their cellphones are very basic and expensive plus do not have lots of applications  .
as long as you do not travel outside the services states , metropcs provides a good service at a competitive price the customer service is not bad , it is simply inexistent  .
it's almost impossible to talk with an agent and the system is clearly designed to discourage the customers to call (useless automated voice mail , dropping calls etc  .
bottom line   good as long as everything works , good luck if you have any problem .
bottom    line metropcs is a cheap service with a small coverage area and the phones are expensive the texting can takes hours instead of the 30 some seconds i think it should  .
the only thing i like about metropcs is that it is cheap and the phones are nice .
sadly , i can not see myself using this product even for one month  .
i would also not recommend it to anyone else it seems i'll just hang on to my favorite prepaid plan   straight talk  .
at $30 for 1000minutes/1000texts and 30mb data it is still the best deal , especially when considering it's backed up by the great verizon network .
bottom line is this  .
i personally cannot affort to try and save 10 to 15 dollars for poor unreliable coverage  .
its very risky to use metropcs for any important phone calls like a job interview or communicating for business or dealing with the irs because you will get disconnected  .
the internet is very slow and there are several blocked websites  .
you cannot stream music  .
if you want to travel on business or simply take a trip you more than likely will only have text messaging capabilities  .
the call quality is very poor cutting in and out and if the other person has any issues themselves you can forget about having a conversation  .
i personally recieved 1 text message a day late and several were just never recieved  .
metropcs advertises unlimited web but blocks certain sites like slacker radio , pandora , flycast , because they are music streaming sites  .
so in reality your web (free speech issues aside) is not really unlimited even though you pay specifically for a data plan  .
also even though the service is supposed to be 3g , the coverage is so poor and slow it is almost irrelavent  .
even in areas advertised as the prime coverage areas my phone would fluctuate between 3 and 0 bars out of 5 bars possible  .
i called customer service to find out why i is not recieving unlimited web service when i is unable to use slacker radio and is told that site is blocked  .
a second customer service told me it is metroweb and not real internet and that there is nothing he could do for me  .
i asked him to hold on one second because he is very short with me as if i is wasting his time  .
i wanted to get a pen and paper to get his name and csr id  .
instead of transferiing me to a supervisor , he put me on hold so i experience metropcs elevator music for over 30 minutes  .
i called back on another phone while i left the original phone on speaker blasting the elevator music  .
i explained what happened to the new csr who acknowleged hearing the metropcs elevator music and he said he would get a superviser  .
after 45 minutes he is unable to get me a superviser  .
he kept apologizing and eventually both lines were simply disconnected  .
needless to say i had my phone number ported to sprint and now pay an extra 13 dollars per month and have everything unlimited for real except voice calls during peak hours to land lines  .
however i mostly call mobile phones anyway and text so the the limited minutes will not affect me too much and my new sprint blackberry is no longer crippled  .
sprint happens to have unlimited mobile to mobile on any network and i rarely call a landline anymore , it seems everybody does business on thier cell phones or you are probably calling an 800 series number  .
there is no comparison between the customer service , call service or data service between metropcs and sprint  .
my experience with metropcs is a huge disappointment  .
i need professional cell service and metropcs is not professional grade  .
its good for your kids if you have any who dont really need realiability and who do not travel on business and will never call customer service and you dont want to worry about them exceeding usage allowances since voice and sms and email are unlimited  .
basically as a percentage of the service and quality you get metropcs is half or less as any other major carrier for about the 10 percent percent less money  .
its not worth subscribing to metropcs to save 13 dollars per month updated  .
on oct 14 , 2009  .
after i get the phone , i is really happy i play every thing on the phone  .
first thing my friend told me he hear my voice on the phone is same as fefore , but on my ear is something difference , one of my friend leave me a message (he don't say his name)i is thinging he is other people ( quality)  .
the screen of my samaung phone is too small , the internet is so slow and hard to see , just like a joke , i try to ask to exchange other phone at next day , but she told me , i cannot do it ( i us it more than 60 minutes) ,  .
i get the bill show on my phone when i go home , i is call the customer service , to ask about what is first month free , but they cannot get me the answer , and told transer me to correct dept  .
but my line is cut off after it , i call them again , the people is answer my phone , but the voice quality is really bad , she cannot hear me i cannot hear me too , i told it is the first trouble i get now  .
but we cannot talk any more about the non worth connection i is ask about the store about the bill , she told i do not meed pay for it  .
other main trouble is come yesterday  .
i is go to the house of my friend at orangeburg ny ( 9w at exit 6w ) , just 45 minutes from nyc , the phone is not working , on there , when i call my wife next to me , i hear the message told , my line will transfer to verizon network operator , and tell me will charge my credit card , that is so great for me , i is get back the normal signal , when i go home on exit # 5 , i find out on the web , thet told it is name moderate , my friend told all of the cell phone is work in his house , except metro pcs , ha ha , so funny  .
i finf out it is a lot of hidden charge will took out on your pocket , a lot of area is out of their network , think about it before you join the metro pcs if you stay at nyc forever  .
( never travel out or take vacation) , it may be good for you  .
less money , but less service , ha ha .
if you live in one of the few coverage areas , don't plan to travel with your phone , and have no reason to call customer service , then metropcs is probably a good choice for you  .
i must admit , they mean it when they say unlimited  .
unlimited calling and messaging (whether text , picture , etc  .
) is always standard and for a great price  .
the true downfall of this service (which is otherwise a great idea) is how limited it can be if you constantly travel or go out of town , there's a huge chance that your phone will be useless  .
a year and a half ago i lived near tampa , fl where service is available  .
i took a trip to a students of german convention which is held in daytona  .
the last place i is able to use my phone is orlando  .
for three days , i is unable to call back home or receive calls from my teacher who is leading the trip  .
i believe that daytona has now been added to the coverage area , but at the time i is very disappointed  .
when i did get service , the call quality had a tendency to be very poor also , good luck trying to get cool stuff for your phone  .
i tried continuously to buy a ringtone for my phone , but they made it nearly impossible for me  .
the customer service is outstandingly bad this service has an opportunity to be a great carrier , but until they can do some housecleaning , this may not be the company for you  .
however , if you plan to stay in the same area (assuming it's available) and do not mind paying a bit extra for a phone , this could very well be what you're looking for .
this is a great service and i hope they will work on their customer support , it is very , very bad  .
i have been a metro pcs customer for 2 years and every time i've had to call them i get a headache first , you have to figure out how to get past the irritating voice computer , once you've done that , it's hit and miss to get someone that actually knows what they are doing i plan on keeping the service for now , but as my business grows i may be forced to change providers because i just cannot deal with the lack of support metro , get your act together  .
ok i say metropcs is a poor company , i really enjoy texting but everytime i text there is always a connection error and it turns off by it self and the internet is slow  .
i always want to go to facebook but its hecka slow it takes like 3 mins to load a freaken page  .
i just wish metropcs is just like verizon and at t but still no contracts i have metropcs my self i have the samsung messenger it broke 2 times  .
the first time , it fell the 1st time and the screen went all white , then the 2nd time , it broke in half  .
so now i still have a different phone  .
my first phone is red but they gave me a black phone but with the same cover to cover the battery  .
you see  .
metropcs or should i say metro piece of s  .
@$ is a poor company  .
i rather get boost mobile  .
i hate the fact that my boyfriend went to the metro in newnan ga 30263 got a phone  .
tried to take it back to day less thatn 7 days and less than 1 hour worth of talk time when in the contract it says we could bring it back within 7 days no more than a hour talk time and in new condition i just got the phone yesterday  .
all i wanted to do is get another phone thats all but the rude employee say sorry i cant help you  .
when the manager gets there and im not satisfied they will be seeing me in court im tired of dealing with the sorry ass company if you dont have to please dont go to metro because they give you the run around , how can you   off a pregnant lady who needs a good working phone with no problems because she is due in less than a month i tell you metro in kroger parking lot located in newnan ga 30263 he is tall hairy spanish and rude need no job but i will be back up there when the manager gets in .
its not the product its the horrible customer ser  .
after u get some one u are more upset then before u started  .
to bad it is a good concept that just went bad  .
their customer service is very frustrating  .
people we just need to stop using them maybe they will then change their ways .
the phone service in the sf bay area went down supposedly and so there is no service for 6 hours 2 days before thanksgiving when everyone is trying to make arrangements to go somewhere  .
you could not access their customer service or emergency lines  .
finally after 6 hours you were able to contact customer service and they say that there is a problem in the sf bay area and it would be an additional 2    3 hours before it is repaired  .
when asked what kind of compensation they will give me for my inconvenience they offer a $2 credit for 2 phones  .
then try and tell me it is only a 1 time courtesy          i explained to the rep that i understand it is not his company but please do not refer to this as a courtesy that a multi    billion dollar company is making by giving me a lousy $2 credit  .
top it all off they thank me for being a loyal customer          loyal my butt this is the last straw and now if i have to take it to the airwaves and post up flyers i will          god forbid i would have had an emergency and no way of calling out  .
i had the $50 plan  .
i is told i could talk and text when i moved to another state for college  .
false  .
the misinformed me about changing the network and now im stuck in a diff  .
state without a working cellphone  .
i have no choice now but to switch to a different service  .
several sales reps failed to tell me i needed to program my phone in a certain way before leaving and if i did not the phone would not work at all anywhere  .
if i do move back to my home state after college i'll probably not use metro pcs  .
the customer service is awful , the people in the store are not trained , i do not know how you can run a business without training your people the service over the phone is the same way its like they opened the stores and then asked people off the street to run them  .
im changing to another unlimited service soon .
bluetooth limitations   most if not all of metropcs bluetooth enabled phones restricted to serial , audio and stereo profiles  .
no direct way to connect to your phone with your pc via bluetooth , except for slow serial connection  .
must use usb alternative metroweb limitations   cannot download website content from metroweb to your phone , will give you an evil 'content type not supported' message  .
even with broadband speed capable connections , cannot stream video because severe limitations of metroweb  .
unlimited data package is useless most if not all phones do not support java applications  .
they use brew technology , all games and applications must be digitally signed to work on your phone  .
you must pay for all of your games and applications just want to talk all day  .
use metropcs a hobbyist  .
find something else .
this is a horrible misteak to get metro pcs they always lie to you i asked them before i bought the phone how much will it be with taxes and everything and they said 50 bucks a month for that 45 plan i said ok signed uped and then when i had it a few day i called 611 and it said my bill will be 56 dollars due on the 11th i is like that guy told me 50 and i told customer service that and they hung up on me  warning do not get metro pcs they lie and rip you off they also have very bad signal in daytona beach florida stay away from this company .
i'm in oakland , ca  .
i have been ambivalent about which cell phone to switch to from gophone for awhile i finally decided to still maintain my contractual freedom by going with metropcs  .
this is day three and already i'm irritated  .
voicemail is not activated correctly , had to go back to the store where i bought the phone to get that fixed  .
it's fixed  .
but call quality is only okay , and downright poor using the phone's loudspeaker (and this particular phone gets really hot quickly against my skin) this sounds like the phone's issue , not the carrier's , but i had to buy the phone and the cheapest is 90 bucks  .
plus , though it's nokia , the only accessory from my previous nokias that work with this one is the charger  .
so , i'll have to shell out more bucks for an earphone and usb cord (to connect with my pc) since i've gotten the service , i have not been able to speak to a live agent other than those available for new service activation  .
warning bell  .
consider this   calls originating outside of the local calling area begin at $  .
49/minute  .
that means a measly 10    minute call will cost a minimum of $4  .
i asked them how they consider that competitive and , of course , the representative is clueless it's getting expensive folks , making me look again at the 2    year marriage offers from the big 3 or 4 (i never know if sprint is still in love with nextel or if they are about to split up) .
metropcs is supposed to port my phone # over  .
metropcs sent an incorrect account number to the national carrier so my phone # is not ported over  .
i assumed that the delay is caused by my national carrier's reluctance to transfer the account until the end of my billing cycle , so i did not contact metropcs or the national carrier right away    big mistake  .
when i called my national carrier after almost two weeks , i is told that metropcs had submitted an incorrect account number to the carrier i called metropcs customer service and is informed that the representative could not discuss my problem on the phone because i had a high security restriction on my phone (bull             ) and in order to address my problem , i had to go to a metropcs corporate store  .
that is enough for me to hear  .
i is through with metropcs after that news i went into the metropcs store and is told that i they could correct the problem by submitting the correct account number to my national carrier  .
that is not good enough for me because i had joined metropcs in order to save money , and during the two weeks that metropcs did not port over my old phone number , i had to pay my national carrier $60 and pay for metropcs service also  .
metropcs is also not willing to refund any portion of my service charge or accept return of the metropcs phone  .
i is told that i could not return the phone because i had the metropcs phone for over 7 days  .
even though metropcs breached whatever contract i had with them by not porting over my phone number in a timely manner , and i am not able to receive calls on my metropcs phone  .
as far as metropcs is concerned , i should have gone into a corporate store as soon as i noticed my phone number is not ported over anyway , i cancelled my metropcs today  .
i guess i will have an extra phone to call out on for the next two weeks    until the end of my metropcs payment cycle  .
i am out about $150  .
the cost of the phone , calling service , and protective cover for the phone  .
all in all , this is a small price to pay for realizing that i cannot live with a phone service that refuses to address my phone problems over the phone and requires me to address all concerns at a corporate store  .
what would have happened if i were in a city that did not have a metropcs corporate store , had no other phone , and had a problem with my metropcs phone  .
quite frankly , i would probably have stayed with metropcs and allowed them to correct the error if they had allowed me to address the problem with a representative on the phone , but the fact that the metropcs representative gave me a nonsensical reason for not addressing my phone problems over the phone is too much for me  .
if you are considering joining metropcs , i advise you to think long and hard about it    think really hard about it  .
i had myself and a lot of people convinced that paying less with metropcs is the way to go  .
but found out really early that metropcs is not for me  .
metropcs customer service sucks  .
cheap isn  .
t always better .
very limited coverage area , spotty quality , and a horrible customer service the store never answer your call i got a phone and is i not happy , so i went back the next day to return the phone but keeping the service , the customer service attendent told that i could not return the phone and start to argue with me they also do not have sam    card so you cannot use an unlocked phone , and you are not able to copy your numbers to your new phone .
i will be replacing my service  .
whatever you do do not use this service  .
for a teenager or college student who needs something cheap , it is a good service  .
for someone who needs to conduct business , go get yourself a different service  .
the frequent dropped calls , lost signal , collection agencies and calls from random people (b/c of constant recycling of phone numbers) are a nightmare for anyone else also , it is false advertising that the rate plan is only $40  .
it is only $40 online and if you go to the store it is $45  .
you can change it after the first month , but you have to do it yourself .
every call i makes drops sooner or later  .
if it is a short call it will drop at least once  .
a long call will drop several times  .
it does not matter where i am  .
also , when i am on the call people say they cannot hear me or i am breaking up when i went to the store several people were complaining their call are dropping and not being able to be heard  .
metro pcs just replace a phone of a woman  .
when she made a call in the store and walked into the parking lot the call dropped twice  .
she had a different type of phone than me , so it is not the phone , its metro pcs it can take voice mails 3 days to become available  .
a text message can take 13 to 15 hours the customer service person at the metro pcs store said metro pcs is not for everyone  .
this is the way metro pcs is  .
she said her calls drop all the time , too .
bad support  .
alright i bought my motrola hint had to get it replaced twice i did some research and the phone had a major defect lady at store said i had to go to the corpate store to trade it in for a phone equal or less value i went there they said sorry you cant do that but i can pay $10 for another replacement that is defected  .
now i had to make a complaint with the bbb and they did what i wanted  .
but argueing with them did no good the lady said if you want to talk you have to come to the store hung up on me , then they gave fake names , then they did not let me talk to the manajor   also i forgot my voicemail password they said i had to go a hours drive to the corparte store when all i needed to do is dial 611 bad coverage  .
i tried to send a picture message to my firend it froze at 50% , tried again froze at 99% , tried again did not connect , then after 12 minutes i is able to succesfully send a picture message with 4 bars    .
my moms 2 year old nokia got 6 bars at the park , 4 at my school , and can send picture messages when she has 1 bar on metro  .
you need to have like atleast 4 bars to send one  .
at my school 1 bar or 0 and my moms phone full bars , also the internet is slow as hell no youtube , music  .
never get metro  .
you wanna save money and have a good phone  .
well do not get metropcs from the network  .
i would get it from best buy becuz best buy's got good service and some of their phones are at best buy such as the samsung caliber  .
the caliber is good  .
boo metropcs  .
if you are looking for a fixed plan with no hidden fees then metropcs will be good for you , however they have very poor customer service and the initial services you can use on your phone will be taken away with not so much as a warning like metro navigator , at first you will be able to access those services and then after a while they take that service away which is so deceiving and then they will ask you to pay extra money if you want to continue to use that service .
the coverage is spotty , the customer service is miserable , the support is non existant  .
everything else is optional at extra cost do yourself a big favor , and look to a different cellular company .
initial set up difficult  .
poor customer service  .
cannot register number to pay bill online  .
are forced to pay by phone  .
extra charge for this convenience  .
phone reception poor  .
metropcs sucks  .
sorry i joined .
metropcs is a company that makes money out of people that let them get away with charging them extra for services that are of really bad quality  .
if you contact their costumer service 888    8metro8 you will be lucky if you can communicate with them  .
i have talked to multiple of them and they contradict themselves regarding any issue that you may have  .
when you ask for a supervisor or anybody that can make decisions (a more knowledgeable person) they will tell you to hold and they will end up saying that there is nobody available  .
the only way you will get somebody to really help you is if you are trying open a new account  .
i myself have purchased and know individuals that have purchased their phones and accessories in the past and found multiple defects and when you try for them to help you they will give you a hard time about it  .
even if you have purchase insurance on the cell phones that you purchase from them , they will give you a hard time about it  .
they don't honor what they advertise and what their representatives tell you when you contract their services  .
the offer internet which is of the worst quality and a lot of the phones won't even work with the network they use  .
recently i purchased a phone and accessories for the phone online and i only got the accessories , no phone whatsoever  .
i immediately called the number listed on the e    mail confirmation of my order  .
their costumer service representatives couldn't tell me what i needed to do , they actually told me that the number i called was not concerned with online orders (well that is the number provided on their e    mail)  .
it is obvious that they were just trying to make their job easier  .
after arguing with them for a while they finally got a supervisor who just told me to fill out a form online which i did  .
i asked him if he could help me so i could get my phone in a prompt manner and he said he had no contact with their shipping department  .
the next day i got an email from metropcsweb , all the message said is a replacement will be shipping out tomorrow , thanks  .
that is it , nothing else  .
i thought that i would get the phone within a couple of days but i didn't get anything  .
i called them again at the number provided and after discussing my issue with them i is told they couldn't do anything and they went as far as to give me number to call which was not even a working number  .
i finally got the phone a week after i should of had gotten it and about 13 days after i had placed my order and about seven phone calls later  .
i paid for three day service but the replacement is sent via fedex ground  .
i is still happy i had finally gotten my phone  .
i tried to activate it through their system as it is specified through their instructions  .
their system said that the phone couldn't be activated and that it would transfer me to a costumer service representative who would be able to help me  .
i then got a message that said that i had dialed the number incorrectly (me  .
dialed the number incorrectly  .
) well it is their system that transferred me so how could their system be so wrong  .
i attempted a couple of more times because i didn't want to deal with their costumer service again but i got the same message and again got transfered to a number that is dialed incorrectly  .
i finally got enough of their automated system and prayed that i would get my phone activated through one of their service representatives without much trouble  .
well it seems that not even prayers work with this so called metropcs costumer service because i is told that they couldn't activate my phone and that i had to go to a an actual metropcs store  .
i asked the reason why they couldn't activate a phone i had already paid for and they said that they couldn't do it and that i had to go to one of their offices , no explanation whatsoever i asked to speak to a supervisor and they said that there was not any available and that if i wanted i could call back but that they would be able to help me at their store  .
well i went to the store because i really needed to get my phone working , they had already charged my card and yet i didn't have a working phone  .
next day when i had waited in line at their metropcs office i finally got to talk to their representative who told me to wait that he would be right back  .
he came back about 15 minutes later and said that he couldn't activate the phone because he had to fill out a form and that i needed to go back in 24 hours to have my phone activated  .
i told him that i had already paid for the phone and showed him the packing slips , he said that the phone is on a white list ( which he did not know what it meant ) and that all i could do is go back the next day to see if their headquarters had gotten the form i had it with them , i cancelled their services and returned the phone and the accessories expecting to get a full refund as it is specified in the forms they sent me with my order  .
i hope they honor their metro promise horrible service , the worst .
all longs   metro reviews on cnet 8    dec    09 08  03 pm if you're a shareholder of pcs or a metro user or both , support metro by writing positive reviews on cnet  .
com  .
there appear to be a lot of negative reviews on cnet from the the beginning of the year and especially during the the summer months just before the rapid drop in the share price of pcs  .
i cannot say that there is a direct correlation between these events , but hedge funds and the like have come up with more complex ways of beating down a stock when thousands of people look to cnet each day to read reviews just before making their purchase of a phone , reviews in many ways are the deciding factor it is not difficult at all for a hedge fund to enlist a small group of interns to make a concerted effort to bad mouth a company on product review sites  .
from a hedge funds point of view , bashing a customer review site is probably the easiest and least expensive way to have a direct impact on customer growth , revenue , etc  .
for them it equals one less thing they have to worry about when holding a massive short position http  //reviews  .
cnet  .
com/cell    phones/metr .
every call drops even when i have a strong signal  .
customer service reps are clueless to there own service  .
rep in store advised me after i already purchased to use a different service (nice of her to wait to tell me huh)  .
biggest rip off of any cell company .
my opnion is mertopcs is the worst provider of any cell phone service  .
i called to attempt a gps location of my lost cell phone  .
it took 30 minutes to get to talk to an agent  .
their computer acknowledged that i wanted to talk to an agent but would not connect me to an agent  .
their answering program is set up to prevent contact with a human if at all possible  .
after i finally got an agent and requested a gps location of my phone , it had gps  .
i is told we don't do that  .
i ask why and got the same answer  .
i is my only option is to kill the number and then buy a new phone and pay for a completely new set up as they did not do anything to assist customers on this  .
why have gps if the company supplying it refuses to gps your phones location  .
why have customer service when all customer service is able to do is say we don t do that  .
needless to say i dropped metropcs and have no plans to return  .
if you want virtually no customaer service at all then metropcs is the place to go  .
i'd like to review    hell i'd like to buy    metro pcs but i cannot call metro pcs to ask questions  .
the 888    8metro8 phone doesn't work from pay phones at subscriber's request  .
so i do not have a cell phone or even a landline since i'm now homeless but i'd like to have communication    other then two cans and a string    for job interviews seems like i'd be a target customer for metropcs but how do i call them  .
i foolishly purchased a samsung slider phone for $179 plus tax because i is upset with how high my bill is with t    mobile and refused to pay it  .
the phone worked fine for the first 4 days except for constantly receiving calls and text msgs for the gal who had that same phone # that i is assigned before me  .
that is annoying  .
then after day 4 , suddenly i'm unable to make outgoing calls/texts or receive incoming as well , because my phone is stuck on searching service mode  .
i had absolutlely no signal  .
so when my car died on me on the way to work and couldn't call anyone , i is not happy  .
so that same day after work , i rushed over to the metro pcs store where i purchased the phone and he sent me to another metro store b/c apparently he could not help me  .
i went to their corp store location and is told that it is a defective phone , i would have to pay $30 to exchange the phone , and they were back    ordered on that particular phone and that they would call me in 3 days when it arrives  .
well , it's been 8 days and i had to call them myself  .
they said the phones will arrive today  .
i asked them if i decided to not keep the new phone would i be able to get a refund and they said no , and they do not take any phones back because they cannot sell them , and i would have to try and sell it on craig's list bottomline , at i decided to get smart , i swallowed my pride , called t    mobile , and decided to make payment arrangments to pay off my balance and just stick with them whom i've been a customer with for 4 years  .
at least with t    mobile i am always provided with outstanding customer service , i never have to worry about dropped calls or not getting a signal , and the reliabilty they provide is worth paying a little extra  .
so like the saying goes you really do get what you pay for  .
had metropcs before and never had a problem  .
loved the service and the phone  .
then i got a free company phone i is also allowed to use for personal use  .
i hated that service , though , so after a couple of years , decided to get metropcs again  .
from day one , there were issues  .
first , they recycle numbers that have just been disconnected  .
morning , noon and all times of the night , i is getting collection agency calls for some guy named victor who never paid his bills , apparently  .
then , even when i explained , the idiots would ask me , well , do you know victor's new number  .
how the heck would i know that  .
idiots  .
anyway , metropcs changed my number and then i'm getting collection calls for some guy named luigi because , again , the number had only just been put back into circulation in addition to that , the service this time around is lousy  .
dropped calls , bad connections , etc the final straw came when , as usual , i get a text message with my monthly bill of $47  .
92 , which i paid before the due date , but the next day , i get a message i owe 25 cents  .
25 cents  .
there is no email address on their website to contact them , you have to call their stupid customer service number which will not put you through to a live person , but rather a recorded voice goes on and on about , i understand you want to talk to a representative , but maybe i can help you  .
say 'technical difficulties' or 'account balance' or absolutely anything but what i need  .
finally , i just kept pressing buttons till i got a live person who informed me that since i didn't know my secret code which i only pressed into the phone 3 years ago to activate the service and have never used the stupid secret code since , that i had to go to the nearest metropcs store  .
idiot  .
so , i waste my time and gas money going to the stupid nearest store to be told by the moron behind the counter there that a lot of people were getting the same message and that my phone wouldn't be disconnected , they would just add the 25 cents to my next bill  .
i said , but that's stupid , i do not owe 25 cents  .
then the brain    stemmed troll says that i need to call customer service  .
i explained that they told me to come to the nearest store  .
oh , the sniveling druid said , they probably meant you have to go to the corporate office  .
i said , tell you what , sunshine , just cancel my account and refund my money or credit my credit card , okay  .
to which the pathetically iq    challenged dolt says , oh , then you'll need to call customer service  .
so then , i stabbed her to death  .
well , no , not really , but the thought is tempting why is customer service a lost art these days  .
so , i guess i'll be checking out some of the prepaid options of some of the other cell phone companies  .
i am not signing a stupid contract , that's for sure .
just got 2 phones and decided to terminate the horrible service , but unfortunately have exceeded the 1 hour call time and could not return the phones  .
they in turn upgrade the signal , but just the same could not receive signals especially when you inside a building  .
that reminds me for just a few days of trial calling hoping that the signal will improve that i suddenly exceeded the 1 hour limit for me to return the phones  .
o yea , everything works to the advantage of the company and not for the poor unsuspecting client/subscriber like me even with the upgraded signal , there are still the squeaking mice sounds who sing in the background whenever i call or receive a call it is like going back to way past then of the dark ages .
doesnt work 95% of the places  .
i tried to use it in edsion , rahway , jersey city it doesnt do what a phone is suppose to do  .
waste of money  .
i got the $40 plan and pay $47  .
07 every month including the taxes , rather pay $10 more and go for a verizon or iphone  .
atleast i will get to talk wherever i sit or travel had a horrible experience , would never recommend anyone to buy this phone  .
a disappointed customer  .
my wife , daughter and son had , metro    unlimiteted family type plan  .
since i am on a fixed income ran out of money before payment is due and is disconnected (exected no ay no service)  .
month before candcelled insurance on hone , since we were lied to about insurance but that is a while nother issue  .
for 4 days their system is down when trying to ay bill  .
tried to talk to store person , she said system problems and she is on hold for 45 minutes  .
came back later that day and she said come back tomorrow  .
i did , what i needed to do is cancel one phone , pay bill and make sure the insurance is cancelled  .
she told me i would have to pay , even for the phone i needed to cancel and would be billed again in 10 days  .
she said they will probably credit my account for the cancelled phone , probably  .
i told her metro is not crediting me i want it off now and they never removed the insurance  .
she said she would have to call them , i said ok  .
i thought she called and is put on hold , she proceded to help another customer with a new phone and i is standing there patiently waiting  .
after 30 minutes i asked if this is going to take a long time again  .
