bottom line  .
the higher bit rates of the amazon store reveal subtle sounds that are not present in lower quality itunes aac downloads  .

while mp3 is by no means a great audio codec it is widely used and available and of acceptable quality at higher bit rates  .

the ability to use wma , wma pro or lossless formats is a big deal for me  .

my car changer will recognize mp3 but not wma the wma capability of my zune gives me the opportunity to use the wma format on my zune and then plug my zune into the line in , in the car  .

i paired my zune with a pretty good set of collapsible phillips headphones that use an over the head form factor with 40mm magnets  .

the sound quality is impressive even on a $40  .

00 headset on to video  .

the video performance on this is great with the large hard drive  .

i have batman the dark knight , ironman , incredible hulk , stepbrothers , star wars (clone wars) , speed racer , tropic thunder , hellboy2 i am legend on my device with all of my music and several video and audio podcasts and i still have 90gb free  .

it is also very cool to have an fm radio  .

i didn't think i would use it but i have caught myself listening to some local news and weather over the air  .

this could be very important in the event of an emergency and you have it if you need it  .

being able to tag songs to purchase later is also very cool a good friend of mine and i also both have xbox 360's so we were able to use our current gamer tags when setting up our accounts and were recognized as friends as soon as our set up is complete  .

in the social portion i can see what he has been listening too as he can see what i have been listening to which is quite cool  .

we also were impressed to know that we could beam songs from device to device without a wifi connection which we thought we needed  .

my zune now recognizes my home wifi network which is password protected whenever i need to do something like sync it or want to look at the marketplace from the device in summation after only a few days of usage i cannot put this thing down it is truly addictive  .

i am now signed up for my trial of zune pass and will add my thoughts on that later but for right now believe me this is much better than my previous ipods  .

the classic ipod is easily trumped by this device  .

the ipod touch is a better competitor but it still loses out imo based on the much smaller capacity the touch's have and the inferior sound capability  .

friends do not let friends buy ipods  .

updated  .

on jan 2 , 2009  .

love the player software is the down fall , but it has improved allot  .

zune pass and channels are what i love , and now adding the 10 song credits a month with the pass make the service better  .

its hard to explain the appeal of zune until you actually have one  .

its the beautiful simplicity and ease of use  .

i didn't really come to this realization till my 80g zune is stolen from my car a couple weeks ago i decided to replace it with an archos 5  .

which broke my heart when it died for no reason shortly after  .

so today i bough my second zune , this time the 120g  .

it's syncing right now as i type this and i could not be happier .

actually bought ipod touch , thought it would be a lot better than my brother's zune80 , but started hating it because ipod touch just sucks without any wifi connection  .

hated how it lacked actual buttons because i would have to take it out and flip through songs since touchscreen buttons just suck when u r not looking at the screen  .

i returned it because new ipod lines were coming out and thought i should just get new ipod , but instead ended up getting zune120  .

love all the features , i liked how it didn't come with earphone because i have creative aurvana earbuds , kinda sucks if i am paying for earphones that i will end up not using one thing that i love the most about zune is the zunepass  .

15 dollars a month is not too bad considering it costs bout 99 cents per song these days  .

love the zune software's picks and channels because i can just plug in my zune before i go to sleep and i will have fresh batch of songs  .

i am constantly listening to new music and i like how i do not have to sit on comp browsing and picking songs one by one  .

( esp when i have classes from 6am    noon , work from 1pm    10pm everyday) plus when i am driving , i know what buttons i am pressing so i can skip songs that i do not like without trying to focus on ipodtouch's touchscreen while driving i wished it had that same matte buttons that zune80 had  .

and there has been several errors when downloading songs on zune software since 3  .

0 update  .

something with drm corruption  .

had to look through zune forum and fix which i did not know about for 2 wks of not being able to update  .

even though i blame zune for it , i am glad that there are a lot of people on forum who are willing to help each other out i wish that there would be a lot more people with zune so i can social more since i see lot of ppl w/ ipod these days  .

i officially hate ipod now ever since i grabbed my own zune   p  .

if you want more details i wrote a detailed review on my blog http  //bloguedegeek  .

net/2008/10/14/microsoft    zune    3g    120go    et    la    mise    a    jour    30    evaluation/  .

as a person who has owned a half dozen ipod and bought well over a thousand protected aac songs on itunes it is quite a investment for me to switch to the zune  .

after two weeks , i can honestly say i do not see myself going back to the ipod again  .

the zune is a quality music player with much better sound than the ipod , a bit ironic because the zune doesn't even come with a built    in equalizer  .

the zune pass is cool , but many songs are not available so $14 could be kind of a rip    off if you cannot listen to many songs you want to listen to  .

i also think they should have developed their music purchase tagging system around a wifi radio solution instead of regular radio  .

to me if they included wifi radio capability , specifically with windows media type channels    this application could have truly given ipod a run for its money  .

i live in a urban area where i get zero radio reception and would love to use the music tagging system to purchase songs but i cannot  .

if bill gates ever reads my review i want to ask him what is up with the stupid microsoft points system to buy my music online  .

bam this thing is killer  .

120gb of music goodness with autoupdate capabilities  .

this is the one .

the 3rd gen zune is great for watching videos and playing mp3s wirelessly synced from your comp , but still does not have all the features of a psp  .

great mp3 player , better than the ipod classic  .

also there is an equalizer in settings    music    equalizer .

someone help  .

pleaseee  .

i dont know how to set up the games and the clock and the marketplace  .

i have not connected it to my computer yet  .

is that why  .

like i said earlier , the device and software ecosystem as i see alot of reviewers calling it is really coming together and fast  .

now all you apple fan boys out there do not jump all over me for what i'm about to say  .

i thought the zune is a better product than the ipod (not including the touch)after the 2  .

5 firmware update  .

coupling the features of the 2  .

5 update with the all you can eat subscription service for a mere $14  .

95 a month (the cost of a cd) is just pinacle  .

now with this latest update the player has become this sort of mp3 player on steriods  .

wireless purchases and streaming of music , buy from fm , a clock which might not seem like a big deal but its something zune users have been asking for for a while so i see this as msft listening to their current base of zune owners , and the list goes on  .

for a full list of features see www  .

zune  .

net  .

there are loads of features and i am expecting more to come  .

what does microsoft and the zune team over there at redmond have up there sleeves  .

here are my predictions   more compatibility with the xbox 360 , mediacenter and dare i say it , cell phones , which have been rumored all over the kloud  .

either a straight up zunephone or incorporating the software into windows mobile devices  .

only the future and those guys in redmond no the future of zune at the moment , but i expect in 2009 the zune will be on steroids , ecstasy , and maybe ephedrine  .

my2cents  .

updated  .

on oct 6 , 2008  .

i cannot believe i got another zune even when i already had my 4gb  .

but i thought it is worth a try so i got it and the first thing i noticed is how shiny and glossy it was  .

i really don't like things when they get smudged but thank god i learned how to get past that the audio quality is great and the earphones that come with it are decent of course the screen is excellent  .

pictures and videos look beautiful on this but it's sad that videos couldn't be watched too much i liked that they added games into the menu  .

i used to have to manually add the games feature but now it even comes with two games  .

i found myself killing the battery with this , too the thing i really liked is the clock since i used to have to use game applications as a clock  .

for me , the clock used to be the real setback honestly , i will say that not much changed with the zune software  .

it still looks pretty and i love it  .

it just shows your account in the right hand corner and i believe there are some other minor changes but i did not really pay attention to that  .

other than that , i'd say this is one of the greatest players out there  .

i always say anything but an ipod xd  .

i love my zune more then ever now with more things to do and more ways to show it off  .

as for the ipod , sick'em zune  .

i consider the zune the little mp3 player that could  .

while the improvements over the 80gb were small they are very significant in terms of how people are going to be using this device  .

without a zune pass and some decent headphones i would give it 3 and a half to 4 stars but you need to be able to access marketplace and channels to understand why microsoft is providing good value for money  .

i know the ipod comparisons will be made but i think that is unfair bottom line   if like me you love getting and purchasing new music , love watching videos on a portable device and have a windows computer , and willing to be different from the crowd , try out the zune apple makes great products that is why they dominate the mp3 player market , but i think right now the zune is a great candidate for trying something new and i expect the 4th generation to change the game .

bash ms if you must , but they seem to get it  .

i'm a professional musician and have waited patiently on the sidelines for a player/interface/program that allows you to discover music legally and without going into bankruptcy  .

apple take note  .

no they wo not slay the idragon anytime soon , but if you like elegant design and outstanding functionality , go with the zune .

it kicks ipoooed's butt with the screen and wireless capabilities .

when you get up to the mass storage class of mp3 players , there is not much to choose from    you're basically looking at either a zune or an ipod  .

i'm not crazy about the functionality of the ipod , so that coupled with the zune's much larger screen is the deciding factor  .

also , for $250 , i got the 120gb zune and car kit , whereas the car kit for the ipod is an extra $80  .

i'm really disappointed that there's no equalizer on this device    that is microsoft's biggest mistake with this product  .

fortunately , you can generally adjust the eq on whatever you plug the zune into (car , stereo , etc  .

) , but it just does not make sense to have a product like this and not be able to adjust the eq .

a look at a rumored device concept of 256gb zune hd touch at    .

source   http  // zuneph  .

blogspot  .

com  .

http  // zuneph  .

blogspot  .

com/2009/01/zune    surface    touch    screen    device  .

html  .

i like the interface of the zune and i is amazed how easy it is to use  .

they need to give more colour options like i    pods .

so it is boxing day and i had some money and i is looking for a high capacity player  .

i suppose if you're in the same boat the zune 120 and the ipod classic are your only choices i went into futureshop to check them both out , and let me say i liked them both , but the zunes' screen is just too beautiful and although i have not tested this myself , the sound quality is supposedly better also the zune pad is amazing  .

it's responsive and completely intuitive , much like the click wheel but better the build quality is really good , it feels solid in the hand and nice to hold , the glass screen is a really nice touch , i do wish the resolution is as high as the touch though the zune software , sigh , is ok  .

it's slow and buggy but it's logical and well laid out , everything seems to be ok on that front  .

i miss being able to just drag and drop my music like on my old walkman speaking of walkman , the sound quality is not nearly as good , but it is still good nonetheless , if only sony made a high capacity player oh and one thing people should be aware of , contrary to cnets' review and the spec sheet for this player , the zune does not support wma lossless  .

my entire cd collection is ripped into wma lossless and upon syncing , it converts to wma , just like my old walkman did  .

this really shocked me , it's your own product microsoft  .

duh  .

well on that negative note , the screen , supposedly better sound quality , and the zune pad drew me away from the classic  .

it's overall a better package  .

but you really cannot go wrong with either  .

i hope this helps , have fun  .

overall , a good buy for a nice mp3 unit  .

great sound if you get a good set of buds  .

easy to use and operate  .

music downloads can ber tricky with the zune software platform  .

if you want to download a few songs as opposed to a whole file , it can be most difficult  .

cool graphics , nice features and good sound  .

still beats the ipod  .

what i love about the zune are the dedicated people working on the social  .

zune hired rob greenlee who is a respected figure in the podcasting community to build up podcast content in the marketplace  .

the zune social is where it is at though  .

microsoft has hired professional djs , musicologists , and creative marketing types to build up the music social  .

the zune pass allows me to learn about different and new music i would not normally know if i had to go out and buy an album  .

i love how i can learn what cool music other zune users are listening to and download the songs into my own zune player  .

this aspect will get better as the zune community grows  .

the new wifi feature works great  .

if i'm thinking of a song that is not in my collection i can walk into mcdonalds or any wifi hotspot and download the song instantly the zune is an awesome podcatcher  .

i listen to all my podcasts on my zune , and the zune software helps me to manage this perfectly  .

i also like the zuneinsider podcast which really helps me to feel connected with the product being a zune user , i actually feel as if i am part of a community  .

i actually get a lump in my throat when i see another zune user  .

do ipod users inspire such loyalty  .

i love my zune but it drives me crazy that i cannot delete the songs and videos that i do not want anymore without hunting for them back home on the desktop application  .

i have a cheap insignia and a nexus 50 that are both cabable of this simple task  .

why cannot microsoft include it  .

cannot be that hard  .

it would also be great if they would include basic web browsing and an e    mail reader like sony psp , the wifi is already there  .

on the next models a sd card slot would be a great feature , especially if it could be used to load and off load vids and music and load games .

while not perfect , still the best harddrive based mp3/video player on the market .

this is a player focused almost entirely on being a music player and it does this very very well  .

eventually i expect ms to come out with an all in one device but focusing on the music is a great place for them to build their reputation in this market  .

one of the things i like most about it is the 'simplistic' zune software  .

it does exactly what i want it to do and then it gets the hell out of my way  .

there is a lot to be said in favor of that .

good mp3 player overall , my primary motivation to buy it is that i is tired of the ipod , which exists in numerous concentration amongst my friends and family overall i also liked it for memory capacity , which is not unique to this product but still cool the whole look about it is cool too , i feel sad putting a case on it sometimes  .

i switched over to the zune for one main reason  .

i is tired of buying ipods  .

after my 5th ipod in the past 6 years suddenly died on me , i is done  .

the zune has a lot going for it and overall i am happy with my purchase  .

the wi    fi capability is awesome and having an fm tuner is definitely an added bonus  .

you also cannot go wrong with the zune pass , which at 14  .

99 a month (unlimited song downloads , yes , the songs do get deleted from your zune at the end of the month , however , you get to keep 10 songs permanently each month) essentially pays for itself  .

all the hardcore zuners claim it has better sound quality than the ipod  .

i guess i have been to too many live shows , i cannot really pick up a significant difference so , why 3  .

5 stars  .

this bad boy does not have an equalizer  .

this is a travesty  .

i thought an eq is pretty much standard on any device that plays music  .

i read from a few online sources that microsoft reported it did not include one in order to save battery life , ok , i guess  .

i also read a source that said microsoft polled consumers and the results were that they felt an eq is not necessary  .

i am not sure who they polled , but they need to poll people who listen to music next time the battery life is not the greatest , although certainly not a deal breaker one final note  .

it would be very nice if microsoft made the zune software mac compatible  .

i know this would never happen , but apple made a lot of pc owners very happy by making the ipod , pc compatible (a move that also saved their company by the way)  .

come microsoft , return the favor .

microsof needs to do better in terms of tech support  .

i love my zune  .

i is one of the first to get the first gen and also one of the first to gen the second gen too  .

i think these are really great products  .

i'm even a mac user  .

(thank you parallels    i know both apple and m    soft fanboys are out there dying right now)  .

i thought the squircle would be weird when it first came out , but it's really cool  .

it's so easy to navigate between stuff , and if you want to scroll a long list , just hold it down  .

if you don't like the touch pad , you can turn it off too and use it like a regular 4    way button  .

one of my other favorite things is the customizable background , most players (ehm    ipod) wo not let you do that  .

that is a must for me , i have to be able to customize  .

also the bundled headphones were a surprise  .

my favorite pair i've ever owned  .

i absolutely love the cloth    covered wire , no tangles , no scratchy noises , and it fits in my ear rather comfortably (i even use them on my iphone    shhh) .

the zune 120 is a good alternative to the ipod classic , it feels nice in your hand , the user interface is great and it sounds really great  .

the screen , although physically larger than the ipod classic , is still the same resolution making the display appear not as sharp as the ipod  .

make sure and view them side by side before you purchase if the screen is important to you  .

if you like subscriptions , it's hard to beat zune pass for what you get and itunes does not even offer this  .

on the other hand , the amount of stuff crammed into the itunes store cannot be beat and if you have a thick wallet you'll be happier there  .

one huge thing that's missing from the zune player itself is a playlist maker , similar to the genius playlist maker on the ipod classic , for a high capacity player it's a really nice feature .

step in the good direction , much better than itunes but still expensive  .

if you buy 180 songs per year from itunes it will cost the same as zune subscription  .

if they have thousands songs this is much better deal  .

i still do not see many people rushing to subscribe for something that they can still get for free  .

i figured i could move around large files as well as my music and videos with this thing but for whatever reason , reasons yet to be explained they have disabled using this device as a portable storage device  .

if i could i would go back and get a smaller sized model or a different brand one that allows me to store what i want on my own device  .

don't get me wrong this is a great piece of hardware and good quality sound despite not having the option for an equalizer , however having the choice could only do the device good  .

the program sync is nice but sometimes i want to create my own folders and customize where i want the songs to be ordered rather it splits one album collection into 12 parts on my zune and i't wo not let me recombine them so im stuck scrolling through all 12 seperate folders to find a track  .

it's the inability to do what i want to do with my own device that earns it the rating it has .

am disappointed that the headphones that come with it is not really premium as listed on the box and of course the fact that microsoft has not fixed the skipping problem  .

just wondering how long my zune will conk out  .

please take note that my zune that broke down has been used under normal conditions .

first of all , i don't like to have my music sorted by albums because i have hundreds of songs under the same artists and i do not remember which song is under which album  .

the only way to pick a song is to go my songs tab and pick them out from there alphabetically  .

i wish i could go to my artists tab and have all my songs listed from that artist there alphabetically second , my clicking sticks  .

when i press the left button , instead i go up  .

when i press back , it's like pressing ok i'm not too happy with it  .

it's okay , definitely like it better than the ipod , but maybe i should've gone with the archos for the price i paid for it .

what is it with lack of eq features in high end players  .

the eq on the ipod is pathetic and now the zune no longer has one  .

it's unbelievable to me that a small cheap player like the sansa clip has excellent sound and an eq that even makes it sound better , whereas the big boys of apple and microsoft decided that we are not allowed to tweak our sound correctly  .

i'm just saying what gives  .

the screen is big , i like that , but at the end , it's actually not good  .

the picture/video quality sucks  .

it looks very pixeled out and my picture that i transferred in there looks distorted  .

the only picture that looks good are the ones already in there  .

wifi is alright not all that impressive  .

there's not alot of zune users i know of so i cannot really swich songs with anyone   (  .

i really don't like how it takes forever (couple seconds to turn on or off) you have to wait for it to load when you turn it off or on , plus you have to hold two buttons down , which gets annoying  .

if you have it on for too long , it starts to vibrate like a pc would when you have it on for too long (i don't know the correct term)  .

that also gets annoying , it's big and bulky , the case is so darn slippery  .

i dropped it over 10 ten , pretty high , and the earphones that came with it hurts alot  .

volume is not all that good  .

only goes up to 20  .

i like my music very loud , and it cannot really drown out the sound even when im using a pretty expensive earphone  .

during the time i had bought an ipod 120gb along with my black zune 120gb also  .

lets just say i wished didn't return my ipod  .

also , accessories for ipods are so much cheaper than for zunes  .

i have to keep the backlight for only 2 second , or else it drains my battery , on top of that everytime i go to change a song it drains my battery even faster  .

but if you keep the zune on the whole night , without touching the light and stuff , the batter will last 25 hours , only if you don't touch the pad , keeping it on hold the whole 25 hours  .

when you charge it , don't forget to turn it on , or else it won't charge  .

the end   unsatisfy with the product  .

reviews were not all that helpful .

the player software is awful  .

there is a real problem when it comes to reading the meta tags in any consistent manner  .

depending on the mode you are in  .

album , song , genre etc  .

there is no consistency  .

if you are in album mode it will read the album title , but when you highlight the title sometimes it will read the artist name and sometimes it wo not  .

(believe me nothing wrong with my taggs) you find the same thing in different in different modes  .

and it goes on and on  .

sometimes have to remove files from the player and collection and add them back in to fool the software the desktop software could be a lot better  .

i would have bought and i    pod except i needed a large capacity player that played wma's overall a big disappointment  .

hvae to be careful on how you sync the files  .

basically the desktop software is counter intutitive  .

no drag and drop you are at the mercy of the zune software  .

just go and buy this sexy product guys  .

you can get songs download from the site i mentioned above   )  .

overall , the zune player is good  .

it provides everything you could want in a high capacity mp3 player  .

its main problems stem from the software used to sync up your music library with the zune  .

i have not used the marketplace so i cannot comment on its performance or functionality .

i'm not impressed at all for a so called heavy hitter mp3 player  .

it does get the job done but is a bit on the frustrating part for every aspect available  .

my 120gig unit is out of date right out of the box boo it only finds about half of my music upon sync fudges the genera a lot boo also syncing music fails a lot again boo all i can say is i'm getting by but dj my own music and only got half of it on my zune boo i'm pretty tech savvy and a co    worker said that's just the way it is boo i feel let down majorly especially since my unit is blatantly old as of purchase march 27th boo i'm trendy but not the alternative trendy hmmm i'm seriously second guessing my purchase .

for me , if not for the hard drive audio noise experienced with sensitve shure e530's this would be an excellent mp3 player .

any company that builds an mp3 player without an equalizer really has not a clue  .

that would be microsoft .

i purchased the zune 120 recently due to a failing battery on my ipod classic , and immediately regretted it  .

i is looking forward to the inbuilt radio and wireless sync , and while these features are nice , they cannot begin to compensate for the zune's failings ergonomically , the zune seems okay at first glance , but its 'navigation square' and its implementation are hopelessly inferior to the ipod's wheel  .

clicking or touching the exact centre of the square so that it interprets it as a selection and not a directional click is a matter of luck as much as practice  .

simply searching your library is aggravating , with mouse acceleration    style simulated momentum causing you to hurtle straight past anything you're looking for  .

considering the use of simulated momentum , it's ironic that navigation in the zune is very slow       far slower than that of the ipod classic  .

much worse than the comparative sluggishness and difficulty of navigation , however , is the list display  .

the zune arguably has one minor advantage over the ipod classic , in that it allows sorting and playing music by genre (this can be approximated with the use of smart playlists on the ipod , but requires some pre    planning) ; this very minor boon is no subsitute for the frankly unbelievable inability to see the names of artists while browsing the 'songs' list  .

do you possess any cover versions of any song in your playlist  .

have any of the artists in your list released a song with the same title as another song on your list  .

if so , you're going to have to individually edit all these song titles to reflect who the artist is , or else you're going to have to    .

(a) click onto the individual subscreen of every track which has the name you're after , until you find the correct one ,  .

(b) actually play every one of these tracks until you find the correct one , or  .

(c) change over to the album list , navigate to the album of the particular track you're after , and identify and play it from there       this is particularly aggravating if you've already spent time scrolling slowly through the alphabet to locate a song which you forgot had many duplicates for example , i have nine tracks on my zune song list named 'intro' , and absolutely no way to differentiate them       i must click on them one by one until i find the one i'm after , or go trekking through the albums or artist list to re    find the relevant track  .

compare this to the ipod classic , which simply displays the track's artist alongside its title       incredibly easy to implement , and it allows users to better identify duplicate titles at a glance  .

unfortunately , neither the ipod classic nor the zune list the album title by the song list entries (which would be useful for , say , live albums) , but at least the ipod provides some means of quick differentiation in its most obviously useful list       the zune provides none  .

this is absolutely inexcusable in a player with the capacity of a zune 120  .

the zune website boasts its ability to hold up to 30 000 songs       do they seriously think that someone in possession of anything close to 30 000 songs will not have any song titles which appear more than once  .

amazingly thoughtless design okay , so you have to rename all your duplicate titles       an unpleasant task for we neat    freaks who like our mp3s to have their correct names , but bearable , right  .

unfortunately , although the zune effectively forces you to do this , it throws up obstacles to doing so at the same time       namely , the zune's abysmal pc library software  .

you cannot simply download artwork for an album       rather , you must adopt their online database's entire id record for those tracks , including album title , album artist , composer , year , etc       if any of its broad swathe of changes are not to your liking (which is very likely , since it frequently provides incorrect or undesirable guesses) you will have to individually edit these tags back to whatever you preferred  .

even this can mean trouble       if you attempt to edit information about a song which doesn't have , say , a year tag , the zune software will (seemingly at random) not allow you to close the editing box until you have typed in a year  .

in the course of its mutilations , it has inexplicably rendered some of my songs unplayable in itunes ; its cavalier renaming of tracks has also led to completely wrong or inscrutable song titles , which i'm still in the process of relocating and repairing the zune makes simple things complex , makes easy things difficult , makes right things wrong  .

in every way except its fm and wireless capability , it has been a step down for me  .

i've not owned any other comparable hard drive    based mp3 players , so i do not know if there are other options out there which beat both the ipod classic and the zune 120 , but i'll tell you this       should a man ever come up to you in the street and offer you the choice of a double    priced ipod classic and a half    priced zune 120 you should take the ipod .

you'll never get around with this at hand well maybe if you like the sluggish interface but other than that i'm out .

i have a zune and 2 ipods    a gen 3 and a 5th generation video  .

i find that the units compare in many ways but i do not like the software interface of the zune as much  .

from what i understand you have to have the service to benefit  .

what i notice is that when i search for music on itunes i get a warehouse of choices at my fingertips  .

on the zuneware i see an artist or a choice at a time  .

the experience to me seems limiting  .

i understand that in the reviews they speak of a better experience with a subscription but to me , part of the comparison is the software and working with the device out of the box  .

why should i pay for a subscription ahead of time to view items  .

even if i can use the subscription towards purchase , i do not want to pay for services that lock me into something i may not benefit from  .

itunes still gets my vote  .

i got the zune as a gift .

if you cannot connect to both macs and pc's then this is pretty much useless for every single person i know  .

finding reliable definitive information on the internet about compatibility is not easy  .

i cannot even find the information here on cnet  .

cnet does have this article    http  //reviews  .

cnet  .

com/8301    12519_7    10354727    49  .

html  .

however , this does not make universal connectivity in any way  .

i can plug an ipod into virtually any computer and it works , zune does not .

i got my zune in december , by march it had roken  .

not through anything i had done , but because of a manufactuers flaw  .

i sent it in to be fixed and didn't get it back until june  .

all they d done is give me a new one  .

2 months later it is broken again , again their fault  .

when i called about it they told me they could not refund my money because i is only the second time it had broken  .

it's been broken more than i ve played it and their ccustomer service people are rude and incapable of helping and it takes months to get your player back  .

it's still not back and they were just supposed to send a new one .

i wanted this to work so bad because i hate apple and did not want to use i tunes  .

once i purchased my zune every time i used it the battery died  .

i finally had to go back to my ipod  .

im going to try the creative next updated  .

on feb 15 , 2010  .

microsoft is just trying too hard and fumbling all the way  .

zune will one day be a distant memory of what is just like the atari  .

you know it existed but you've never seen one  .

music managing software sucks compare to itunes  .

over all just stick with what works just get an ipod  .

no software bugs like zunes big 08 crash .

if i could keep it working i would rate it a 5 .

i bought the zune 80g march 2008 ($249) and since then have had to get it serviced four times  .

the main customer service issue is their tech support offers no resolution to problems other than having it sent back to their tech support and replaced  .

it takes almost 3 weeks to get your zune back  .

they used to ground ship you an empty box (about a week to received the box) , then ground ship it to texas (another week) and then they ground ship it back to you (almost another week)  .

that is the issue with the first three replacements i needed and the last is the worst and final time i put myself through the drama and stress of dealing with them  .

they revised their process by emailing me a ups label which saved a lot of time from their previous method  .

but when i sent them my zune to a ups center in texas it took them over a week to pick it up  .

yes , they wait until a certain number of repairs are received at the ups service center to pick up the entire batch  .

i kept checking this status page and it showed as being received in tx for over a week and zune support did absolutely nothing to pick up player  .

so they could not give me any estimated time when i could receive my zune back  .

this final repair is beyond my warranty so they were charging me $195 for an upgrade  .

this process is beyond delayed for just a replace , not even a repair  .

that is when i decided i will not continue to be pushed around my microsoft zune and i wanted a total refund for my $190 and i will never buy another zune product for the rest of my life  .

this is the worst customer service i have ever experienced and microsoft should be absolutely ashamed for treating a customer like this  .

save yourselves the grief and just buy an ipod .

i had the misfortune of buying a zune over the holidays and , after going through 2 of them , returned the second one for a 120 gb ipod classic  .

the biggest issue for me is the battery life  .

microsoft claims 20 hours of battery life on a single charge , but i is getting only 5 hours on a single charge and i'm a fairly light user    just at the gym (3    4 hours a week) and during lunch breaks at work  .

yes    i disabled the wireless feature , had the backlight set for only 15 seconds and used the button lock  .

when you go to the zune support page , there is a complicated , multi    step procedure for recalibrating the battery  .

electronics should work perfectly right out of the box  .

i actually returned the first one after owning it for 3 weeks because i thought it had a bad battery  .

when the second one performed in exactly the same manner , it went back after only a week  .

unless you want to be tethered to an extension cord , don't plan on using a zune for any extended period of time  .

in doing research on the battery issue , i found out that the recommended way of powering down the device causes a major power drain by actually placing it in a standby mode  .

a post in the user forum talked about a secret way of powering the zune all of the way down to prevent further power loss  .

secret methods for using and manipulating a device  .

no , thanks i never could get the wireless sync to work , either , and i consider myself to be pretty smart  .

the zune never could interface with my wireless laptop , despite changing all of my security settings to allow it to do so  .

don't plan on transferring any digital copies of movies to the zune , either  .

despite being transferred using microsoft software , a microsoft zune doesn't recognize the format  .

oh , sure    you can buy content through the marketplace , but any digital copies of dvd's you already might have on your computer won't transfer to the zune  .

in my opinion , content within a microsoft program should interface seamlessly with a microsoft product the zune software is counterintuitive and cumbersome to use  .

this one is hard to explain    you just have to play with it to see what i'm talking about  .

it's never really clear how to do certain things , like deleting content from the player , without going to the zune homepage and digging through either microsoft's instructions or user    posted forum content  .

no thanks    if it's not obvious from the software how to do certain things , this is probably the wrong product to buy the lack of a graphic equalizer is a major annoyance  .

i'm pretty picky when it comes to sound quality and i thought the standard settings were so    so  .

i did not even open the package for the reportedly sub    par earphones that came with it , so i cannot comment on those  .

i is using some headphones i already had and liked in terms of the good stuff , the hard drive is giant for the price  .

pictures look great on the huge glass screen and the zune pad works pretty well  .

but , given all of the negative stuff associated with my experience with the zune , there's no way i'd ever own another one or recommend one to a friend  .

i knew that there had to be a reason why there are so many ipods out there  .

now , i know why .

not my thing  .

i prefer the ipod much better product  .

microscam sucks  .

updated  .

on oct 30 , 2008  .

