perfect for taking photos on vacation  .
the camera feels solid in your hand and the large grip is great  .

i wish it came with a hood for those bright outdoor shots (otherwise buying a hood for it from canon costs 50cdn bucks  .

way too much for a screw on piece of plastic  .

) i am pleased with the startup time  .

if you see somethign to take a photo of its on in seconds and ready instantly  .

the burst mode is decent and if you see photos you need to take there is no lag to upload to the memory card , even a slower one which i used while waiting for my 2gb high speed 133x card  .

although using a highspeed card like that there is a noticeable difference in how quick the camera saves photos  .

i am pleased with the quality of the movies  .

i took a few shot shots and found them to be excellent  .

i also tested the flash and it lit up most medium sized rooms well and if your subjects aren't moving too much just turn down the shutter speed to about 1/50 indoors and you don't need the flash (this can be really helpful if you do not want that glare of the flash or are taking pictures that involve glass , or reflectants)  .

last off , the zoom can be quick to zoom in just pull on the toggle all the way and it zooms in instantly  .

the focus can have problems if there is not enough light at 12x zoom but otherwise is great  .

the ois (optical image stabilizer) works excellent  .

i can take hand held shots using both optical and digital and get a clear image for anyone who is an amateur but really into photography or wants a good camera that has plenty of features to appease for under $550cdn this is the route to go  .

all i have to say is that i loved how you wrote the intro  .

i purchased this camera one week ago today  .

i have taken nearly 500 photos this week  .

over 99% of the photos were successful and brilliant  .

some of the photos were taken indoors and some outdoors  .

the image stabilizer is on for all of the photos  .

i also experimented with an optional wide    angle lense  .

the wide    angle lense worked great on the s3  .

however , i would not advise anybody to use uv filters with the s3 , as it causes a decrease in photo quality , especially when using one of the built    in scene modes or one of the preset white balance options file transfers were very fast  .

battery life is great when using rechargeable batteries  .

i am using gp 2700mah ni    mh aa batteries and have not received any low battery warnings this week this camera has one of the highest shutter speeds in its class at 1/3200 sec  .

most other cameras in this class get around 1/2000 sec  .

, including the sony models  .

also , the s3 uses the industry standard sd card , instead of expensive proprietary cards like memory stick or xd i recommend this camera to anyone who wants a point and shoot camera with an slr feel and look .

this is my first digital camera  .

i is doing research for about 6 month already until i settled for s3 is  .

i is comparing many of them and canon is able to offer more than its competitors were  .

i have been using camera a couple of days now and i am very pleased with the results  .

i am in the process of experimenting and i think every new user should do that  .

i is reading many reviews with comments on poor picture quality in low light settings and similar , but i think it is just matter of practice and knowledge  .

camera like canon s3 is requires you to go through the manual and make yourself familiar with many of its options personally , i would like for the flash to open itself automatically , rather than manual  .

another thing that i would like is for the pictures to be dated  .

since i have baby girl i would like my pictures to have the date on them , this way you only have date in the picture info i would recommend this camera to anyone who wants better than average , quality , and stylish product .

i bought the canon s3 is today  .

i upgraded from a kodak easyshare ls443 that i purchased back in 2003  .

i is not planning on replacing my camera anytime soon  .

it sounded as ridiculous as replacing a three year old refrigerator  .

but when i saw the s3 is , i couldn't help myself  .

it's a drastic improvement over my previous camera  .

the electronic viewfinder is amazing , and i have no idea how i got by without a super macro mode  .

the movie quality is outstanding  .

i have not been able to put it down since i bought it  .

(i would recommend getting a larger memory card , movies take up a lot of space  .

) easy to use and overall great camera .

i bought this right before a trip to eastern europe because i had been eyeing the s2 for over a year  .

when the s3 came out (at an incredibly decent price) , i bought it same day  .

i think i hesitated to buy the s2 becuase i is unsure whether i should upgrade to a slr or stay in the powershot series , but i am a lot more satisfied with myself that i got the s3  .

it still has all the manual functions for more creative shots , 12x zoom (no additional lenses required means not missing any good shots when on the go) , super macro (once again , no need for additional lens with you can focus at 0 centimeters)  .

i just got back from a month    long trip and had no major issues with the camera  .

printed out about 100 pictures the other day at a lab , and had phenomenal image quality the only downside of this camera is the viewfinder  .

i do not know if the other s    models had this , but the viewfinder is just a smaller lcd screen displaying a digital image (you can also review your other photos in the viewfinder)  .

meaning , when taking a picture and the sun is too bright , you cannot see anything through the lcd becuase it is equivalent to using the larger lcd on the back ; everything looks white  .

the data displays on the mini lcd are great , as found in slrs , but the image itself is also digital as opposed to real  .

the photo    quality result is the same , of course , but it makes it rather difficult to know if the composure of your shot is good or not becuase of the lighting conditions however , the majority of the time , the digital viewfinder is amazing becuase it is exactly 100% to size of what the real photo will be like (as opposed to some real viewfinders that show less area)  .

but for those sunny days , youll wish there is a way to switch it off .

i have been researching digital cameras for a while  .

i owned a nikon coolpix 990  .

it took great pictures  .

i loaned it to a friend and he damaged the camera this canon is amazing  .

i don't need any more mega pixels  .

the size is good , and the fact that is uses aa batteries is a plus  .

you never know when you may not be able to charge rechargeable the zoom is great , sd memory is so inexpensive , i is able to buy 1g for $35 at best buy the features , color swap , stereo sound for movies i cannot say more i have taken noisy pictures and non    noisy pictures  .

it all depends on the conditions i know the camera cannot be a 10 , nothing is perfect , but this is about a close as i have seen for a non    dslr camera  .

if you get the chance , buy it  .

do not let the buttons and features overwhelm you  .

you and the camera will become one after a couple of pictures in different settings .

just got my s3 is and am very happy  .

i have finally upgraded fom my fuji 6800z  .

having read all the reviews it seems that if you only include the reviews from people who actually own this model the rating would be over 9 , but i suppose everone is entitled to their 2 cents worth  .

i had an s1 for 2 years and liked it  .

the s3 is a big step up with the macro/supermacro modes  .

also i think the ergonomics have improved and the resolution bump is nice  .

the camera also seems faster and performs much better in low light than the s1  .

the flip out lcd is now 2 inches which is a lot more useful  .

the fact that it rotates is massive when taking shots at odd angles .

this is an impressive package  .

i upgraded from the pro 90 is (three generations of long zooms back       and it cost more than twice as much as i paid for the s3 is on friday and got a free hp printer to boot  .

) , so this is a massive improvement in capabilities  .

i've been playing with it in spare moments and am very satisfied .

the camera offers me good to great quality videos , with sound that is very good  .

i have the shakes yet i still get a lot of good photos  .

the image stabilization is as promised  .

it is a nice upgrade from the s2is  .

i wish i could afford a nice mark iii dslr with image stabilizing lenses but i cannot  .

this really gives me all the zoom and fun of a dslr at a reasonable price .

great camera  .

not perfect , but none are  .

for what it is , though , it's excellent once again , cnet does a quick review and does not get all thier facts right  .

this bad boy has two speeds of burst , 1  .

5 fps with live preview in between , and 2  .

3 fps showing the most recent shot  .

both work great  .

one allows more pictures , the other better following of the subject  .

the best part is , you have both modes and can choose rather than most cameras that only have one mode available try dpreview for a more detailed and accurate review .

i manage a cord camera store in the indianapolis area  .

customers who are looking for this type of camera have no idea what raw is and could care less  .

they chose this type of camera because of the price point , the traditional style , and the zoom capability  .

raw is a foreign concept to these buyers  .

the reviewers comments on this are totally unrealistic .

people will be disappointed , such as myself , that canon would make such a mediocre upgrade  .

it's obviously an s2 on steroids and nothing more  .

that's great , but at least throw in 8mp , an oled display , manual focus    by    wire ring , 720x480 video , proper video compression  .

something that makes the sx is followers want to upgrade  .

what does it have  .

an extra 200px in each direction and a live histogram (compared to the excellent s2)  .

it's essentially an s2  .

still a 9 out of 10  .

(the 1 being for disappointment)  .

come on canon , is this how you're going to let the sx is line end  .

or are you leaving leg    room for an s4  .

i am looking forward to the actual release of the canon s3 is and will most likely buy it when it becomes available  .

as part of the decision process i search for objective information about a product , not statements like ; anything for more sales revenue , marketing is so boring or not a worthy upgrade  .

granted , at this time objective information about the s3 is a little tuff to come by since the camera has not actually been released  .

i do understand the s3 is an upgrade from the s2 , so i can see making some correlation between the two cameras , but to write a review based on the old model doesn't seem to help the c/net user opinion process  .

for those interest in this camera , check it out elsewhere on the internet and don't make your decision based on the average rating from c/net    at least not yet  .

i cannot tell you the s3 is is a great camera , since i do not have one but i am counting on it being one as i will be buying one as soon as it is available  .

on the positive side , i did enjoy the user opinion titled foolish reviews , of which this is another one and i do appreciate the c/net review process in general .

overall a great camera for the price .

i had strong allegiance to nikon    but i really like this canon  .

shop it around    i got it for less than 500 , and that is 2 years ago  .

i love being able to take video too    i got a 2 gig card so i can just take and take w/o worrying about having to switch out .

it is by no stretch of the imagination the best of breed in any single category , but the canon s3 tries to make up for that for doing virtually everything fairly well the button placements make shifting iso , recording a movie and other functions extremely easy rather than burying functionality deep in menus where nobody will find them photos are decent , but somewhat disappointing at the high end  .

if you are going to stick to 8 x 10 or smaller then you are fine , but details and fringing hurt the output in fine details while easy to set up for low light shooting , 800 (and even a bit at 400) iso is noisy and graining and requires a lot of post processing work to get a good image out of it  .

now that is better than many point and shoot cameras where you cannot get the shot at all , but sort of sets you up for disappointment later  .

the image looks decent on the rather small 2 lcd , but as soon as you copy them up to the computer you see just how grainy the picture is the articulating lcd as mentioned is small by today's standards at 2 but first of all , i don't edit my images on my lcd , so that does not bother me , but being able to turn the lcd so i can get pictures at odd angles without having to guess that i am pointing at the subject is a nice bonus to have i selected the s3 over the newer s5 because despite the advertising , the s5 does not have a true intervalometer for time lapse photography  .

i expected to use this feature more than i have , and this is not as important a feature as i originally thought (which i guess is why canon basically cut it out of the newer model) the camera is getting a little long in the tooth at this point  .

though 6 mp is enough for most point and shoot people to get a good 4 x 6 out of it , it is a bit light by today's standards of 8 and 10 mp cameras it is still a solid model camera , the image stabilization works well , and will be enough for most people , but it lacks the pizazz , mp count , and some of the new features such as face detection that is now common i would still take this model over the newer 8mp s5 which does not have enough different about it to justify the premium in price over the s3 model , but it would now be a tough choice between the s3 and for example some of the new lumix models with 18x zooms .

this is my first digital camera and i think that it is a great firs point and shoot camera  .

it has a really fast startup time great image quality and a very bright lcd here are the cons   poor video quality when viewed on a computer , takes a long time to focus sometimes and sometimes does not find anything to focus on , very small lcd so if you don't have very good vision (which i luckily do) this is not the right camera for you , the electronic viewfinder really is not that great but if you like that type of viewfinder (which i do not) then maybe you will like it , also it has a lot of shutter lag i myself am going to upgrade to a nikon d40 dslr which i think is better for what i need but i will still use my s3 .

this is a great camera that balances slr    like image quality , good video , and ease of use  .

you'll obviously get better images from a true slr , but having the added convenience of video sold me to this camera  .

i use it regularly and it's been great  .

i love the fact that it uses aa batteries  .

i don't think i'll ever buy a camera that uses proprietary li    on batteries  .

just does not make sense if you do a lot of traveling or outdoor/backcountry use .

a excellent camera  .

just keep in mind that it is a picture camera first , the video ability is just a bonus feature basically .

i have shot approximately 4000 pictures with my canon powershot s3 is  .

i have been using mode setting program (p) for indoors with iso 80 and the large superfine compression setting  .

for outdoors , i have been using shutter speed priority (tv) with iso 80 and the large superfine compression setting indoor pictures have been shot with and without flash , depending on the available indoor light sources  .

the flash seems a bit weak beyond ten feet , and a bit slow to recharge if you are trying to shoot quick successive shots  .

also , beyond ten feet i start picking up a lot of red eyes in my pictures using the flash  .

knowing these limitations , i have had very nice success with my indoor pictures outdoor pictures in bright sun and no shade have been shot from 1/1000 shutter speed with some clouds in the sky , to 1/1600 shutter speed with hardly any clouds in the sky outdoor pictures in bright sun , but in shaded areas have been shot from 1/250 shutter speed to 1/800 shutter speed pictures at an early morning outdoor sports activity with bright sun and long shadows from trees have been shot with a shutter speed of 1/500 at the early morning outdoor sports activity with the bright sun and long shadows from trees , there is no problem viewing the subjects with the viewfinder  .

also , continuous shooting mode worked very well  .

it perhaps , works a bit too well , because you start running out of card space quickly there have been no problems using the lcd monitor or viewfinder with the indoor shooting however , outdoor shooting is a different story altogether , except with the outdoor sports activity as mentioned above  .

the lcd monitor is extremely hard to see in bright sunlight  .

also , the viewfinder is extremely hard to see in bright sunlight  .

you point at your subject as best as you can make it out , and if there is enough time take a second shot , hoping for the best to obtain a good composition  .

here is where a computer photo program with cropping comes in quite handy i have had very nice success with my outdoor shooting battery life has been over 300 pictures with alkaline batteries about the strap  .

it seems to be holding up well , except that the lettering is starting to come off , and i have not had the camera four months , yet  .

the side of the strap that had powershot , now reads powersno  .

not a big deal , but if you are going to put your company name on the camera strap , do it well , or not at all  .

it just looks tacky .

for a beginner in photography and a very busy mom as well , this is the best  .

so , i'd like to thank ms  .

lori grunin for her consistent positive reviews because as of this moment , with all the new models coming in and all things being equal i believe , nothing could beat the s3is yet .

i love the feel of this camera and it has so many features i have only begun to scratch the surface  .

speaking of scratched surfaces , with the handy flip around and over viewer , mine will no longer get scratched  .

nice camera for a good price .

excellently priced camera (i paid $315 at park row's j r computerworld in new york  .

included is a panasonic 1gb sd memory , a lamborghini carrying bag , 4 power2000 2700mï¿½ batteries plus charger    thanks again , andrï¿½) a step up the ladder (for me) is the change in color frfom silver (s2) to black , plus the fact that the lens    cap fits properly and doesn't fall off any longer i only have good things to say regarding speed and photo quality , with these exceptions   the camera is not at all suited to make decent pictures at night/in the dark without flash or other artificial lightning  .

at rock    concerts , best choice is the sports mode , but even then pictures are shaky and way too grainy like stated elsewhere , once you go above iso200 , the pictures deteriorate into cheap old newspaper shots , where you can actually count the grains , giving the expression a shot in the dark new meaning  .

another annoying feature is the beam to autofocus  .

does not work on too brightly lit objects , so you cannot properly focus on them  .

which is very inconvenient when shooting , for example , a speedboat race on the river on a bright sunny afternoon but as a camera for day    to    day use , it is pretty decent , sporting 6  .

0 megapixels and a nice 12x optical zoom  .

and all that for just $300 cannot go wrong jj  .

this is a great camera for the price  .

slightly smaller than a dslr  .

well if you consider what a dslr 12x zoom lense would look like it is much smaller  .

and the quality is decent  .

enough manual controls to satisfy most  .

image stabilization great for long/dim shots overall a great value , but some things i pine for in a dslr    .

super tack sharp shots are hard to come by with this unless you have bright light , although 90% of that is the photographer , not the camera  .

no flash shoe , so no way to trigger an off camera flash unless you use optical slave  .

on cam flash is just ok  .

max shutter is 15 secs (i would love to play with night time open shutter shots of longer times)  .

if these things don't bug you , buy it  .

if they do you probably want a dslr anyway and wo not mind it being bigger/heavier/more expensive .

this is an impressive camera by canon , and in my opinion , perhaps the best non    dslr released by canon to date even better than it's newer model , the s5is let's start with canon's class    leading photo quality  .

the quality of outdoor shots at around iso 100 knocks my socks off  .

the color , sharpness , contrast , and detail really is nothing short of perfect  .

the s3is , in good lighting , pretty much captures the moment more accurately than most thousand    dollar slr cameras can hundreds of photos on one set of batteries  .

also , aa batteries are always a plus  .

they're easy to find in case your rechargeables poop out  .

i suggest some high nimh rechargeables  .

you'll do fine with those i'd ignore all the hype about the evf (electronic viewfinder) not being so great  .

the sad fact of life is that evfs are not great on any camera of any brand  .

these are tiny electric monitors and economic technology can only make these evfs so good  .

the evf on the s3is is no worse or better than the average on other brands , so don't look through the viewfinder with great expectations  .

i wouldn't consider this a con , more a fact of life and technology when you buy this camera , be aware that you're also buying a high quality camcorder  .

the videos the s3 can produce are amazing  .

unlike most movie    mode features of other cameras , the ois (optical image stabilization) can be enabled in movies allowing crisper , jitter free frame movement  .

also , since the camera is so quiet , you can zoom in and out with you 12x optical zoom while filming and not hear the buzzzzzzzzz that you'll hear on most other movie cameras  .

oh , and stereo sound thanks to dual microphones  .

hook up your videos to a nice sound system , and you'll hear a good stereo effect  .

i would honestly use this camera if i is making a student film project  .

i know the end result would be something of more    than    decent quality  .

one limitation , however , is the 1 gb file size limit , so on the highest quality and resolution , you can get about 8 minutes  .

if you have a 2 or 4 gb sd card , you can throw more than one video on the card , but the 1 gb limit stands so many fun options  .

from the novice to the advanced , this would be a fun camera to work with  .

try the color swap feature  .

i've praised this camera a bit , but like all cameras , it's not perfect  .

the indoor shots i've taken are pretty crummy  .

you can tweak the settings a bit to get improvement , but you won't get results that won't demand a noise removal tool  .

iso 800 is unusable most of the time , but you might get lucky in certain situations  .

for better indoor pictures with the s3is   increase the lighting if possible and use a flash  .

they wo not be artistic portrait shots , but they'll be clear , identifiable , and usable  .

speaking of the flash , you're going to have to learn to mind the manual pop up flash  .

that might not seem like much until you actually have the camera in your hands and you have to physically prop open the flash i would strongly advise you to seriously consider this over the newer s5is  .

unless if you need a hotshoe (external flash capability) and a few other ridiculous , insignificant features , the s3 comes $100 cheaper , and in the opinion of many , packs more of a punch when it comes to photo quality  .

the s5 is , as c|net states , losing ground to the competitors  .

the s3is , however , is perfectly capable , high quality , and a great value  .

dslrs are expensive  .

this is the next best thing for your money .

if i had to do it over again , i would buy the canon s3 is again , the powerful zoom x12 gives you excellent clear shots from far away , it is user friendly , although you have to get used to the is function , pressing too fast will give you an unfocused picture , reading the manual that it comes with is a advantage of learning all the powers that this camera holds .

i have been using a cheap hp camera for about two years when i finally saved up enough money for a better camera that will expand my photographic skills without spending loads of cash  .

i have been eyeing up this model for about a year when i took the plunge and bought it  .

and boy i is not disappointed  .

this camera has loads of features that will take a average person years to figure out  .

me on the other hand , a couple of months of experimenting and such to learn its limits  .

i do recommend to buy a monopod because even though it has a stabilization feature you will still get blurry pictures in less than ideal situations  .

overall a great camera for photographic enthusiasts that need more than a average camera to get the job done .

this is my 5th digital camera  .

i have a inexpensive sony pocket camera and a high end rebel xti  .

this is the happy medium if you can still get an s3is that is being replaced by the s5 is it is a steal at $300  .

00 great for beginners not ready to leap to the slr realm  .

takes great photos and has may nice features if you take the time to educate yourself on how to use them  .

love the lcd swivel screen and the digital viewfinder  .

you receive all available information the lcd provides yet you conserve battery life its kinda large by no means a pocket camera but those sacrifice quality and features  .

the lense cover and included 16 mb memory card are keeping this from being a nine .

before reading   if i could have given this camera an 8  .

5 i would have  .

now that i've gotten that out of my system i got this camera as a birthday present and i is extremely excited  .

i had asked for the panasonic lumix dmc    fz7k but i received this one because canon has a better record and the specs that i is mostly focused on (zoom and megapixels) were identical  .

more into the details   i love macro mode or flower mode as some people call it  .

taking pictures of plants up close is one of my favorite things , but sometimes the powershot focuses on things in the background  .

with practice , however , it is easier to trick the camera into focusing on what you want it to  .

my second complaint has to do with the manual focus because i can never tell whether or not it is on  .

with all the other modes a little graphic pops up and then stylishly zooms into the upper corner , but manual focus does nothing of the sort so i cannot tell if it's working  .

lastly , the zoom causes a little noise , but i don't really care much about that  .

as for the software , i've never actually used it because i just use iphoto and i don't usually do that much editing       so i have no comments on the software , only the hardware as for the pros , i love the large zoom because i often see small animals , such as lizards by my house , and i don't want to scare them away so i simply zoom up right next to them       and even the digital zoom is great  .

the features (especially the color replacement) are really fun and exciting to play with , i do not ever use them as a necessity but they are fun to play with , anyway  .

the last thing about pros i will talk about is the quality   absolutely beautiful  .

i love using pictures as my desktop , and even on my high    resolution imac , the pictures come out crystal    clear       really and honestly  .

oh , one more thing   the feel of the camera is perfect , nice and sturdy and the grip is a nice addition this camera is a great buy for both beginners (auto mode is wonderful) and pros (many features) and the price is right  .

good luck with your decision  .

an amazing camera  .

the zoom is unreal and the sports shots are perfect  .

my daughter does synchronized swimming so a great zoom and action shots are a must    what an awesome camera for these types of applications  .

and the video even on full zoom is crystal clear  .

i do not love the fold out lcd display because it gets in the way , takes longer to get set up and takes time to get used to when you line up your shots  .

but it's a small price to pay for amazing photos and video and a great price  .

i upgraded from a trusty s40 to this camera , and i am very pleased with the zoom capabilities and the feel of the camera  .

since i had experience with canon cameras before the switch is painless and quick , and the quality is wonderful for my uses (home enthusiast)  .

a nice camera for those who are looking for more features without having to go up to the slrs .

all around it seems like a great camera , but i have only had it for two weeks  .

one big dissappointment is that you cannot put a date stamp on the pictures except when printing using the supplied software as far as i have been able to tell  .

big no no for me esecially now that i have twins whom are constantly changing  .

the date stamp on my first camera helped with my wifes scrapbooking  .

cannon needs to make the date stamp option availabe on the camera because you are not always downloading onto your own computer .

after looking on this and other websites , reading the reviews and comparing to the sony cyber shot , i chose the canon  .

so far , i am very happy with my decision  .

for an amateur , it is a great camera regarding price for those who want to have the zoom capability  .

i took the camera recently to spain  .

i is able to get many great shots of flowers , scenery and landscapes  .

the colors are crisp and the movable lcd screen came in handy many times when taking a picture is not so easy there are a few things though that disappoint me  .

there is a very slim plastic label on the mode dial on top of the camera that shows you the options  .

this appears to be glued to the mode dial  .

at one point , the piece came off which is a draw back because you then need to rely on the lcd monitor to determine which shooting mode you want after the trip , i called canon customer service  .

i is bounced around to many different individuals  .

the end result   if i want them to fix it for free under the warranty , i need to send the camera in  .

i thought this is crazy  .

i tried to explain that the mode dial is working  .

i need only the mode dial label and glue it on myself  .

they could not accommodate me and if i choose to repair it myself , it would cost me $40 for a mode dial  .

they need to do a better job in their customer service department  .

it does not make sense to send in a whole camera when the issue is not mechanical another thing that needs mentioning is that i found myself dependent upon the lcd monitor to take pictures  .

whenever i tried to use the view finder , i found it to be blurry i am very happy with my camera overall  .

i recommend it to anyone who does not want to spend a fortune but still wants a quality camera .

the lens cover is awful  .

i have a stickey mess  .

i probably need to take it back  .

a piece of tape or whatever it is , wrapped in the lens cover has come unglued  .

you need to make sure the cheesey plastic cover is off before you turn on the camera  .

it has scratched the camera  .

i am not impressed with this high dollar camera  .

why would they make this feature so cheesy that has to be used everytime you turn on the camera  .

i like it , but i wish it had raw  .

it is a good in the middle camera , i wanted the eos rebel , but that is too costly , this is a great compromise .

as with many others this is a really tough call against the sony h5  .

as a matter of fact , after looking at many pictures on pbase , i is ready to buy the h5 because i felt sony's color rendition is slightly better  .

but the canon has a lot of ways to manage color with an extensive variety of advanced shooting functions  .

i also like the video feature , something i didn't think would matter much at first  .

i would have been happy with either camera and anyone who bought the h5 has an excellent camera that said i'll just go into what i like and don't like after taking a few hundred images with the canon i is suprised that my favorite feature turned out to be the swivel screen especially in conjunction with the super    macro feature  .

it's terrific  .

i can get the camera right on the ground to get fantastic mushroom shots , or just anything that is low to the ground  .

also , taking spider shots without getting my face too close to the spider is greatly appreciated  .

with a hi    speed memory card the images load in a blink of the eye  .

i also like the layout of the 'function' menu around the left side and bottom  .

it lets you quickly make a veriety of lighting/color changes while the image is still in your viewer  .

the stitch mode is neat , keeping part of the shot just taken to the left 1/3 of screen , while the new shot is to the right side what i don't like is the viewfinder , which i prefer to use over the monitor screen because i and hold the camera steadier  .

despite a menu setting to brighten it , it's still too dark compared to my old olympus uz 2100  .

and i cannot get good focus on it , no matter where i set it  .

also , i felt the recorded color tends to make leaves and grass verdent green , too green for me , unnaturally so  .

however , it is correctable with the many options in the function menu  .

(i turned the red up full , and the green down full  .

) now the trees and grass are truer to their original color as i see it i also don't like the lens barrel automatically extending and retracting when the camera is turned on and off  .

this seems to be common to a lot of cameras , including the sony  .

i think this will probably shorten the useable life of the camera by half  .

it's too bad manufacturers wouldn't make a menu option whereby the lens would stay extended when you turn the camera off  .

also the motor noise , though slight , alerts any wildlife you might be shooting one last thing  .

i bought a 2x tele    converter  .

it's terrible  .

the image is fuzzy at best  .

not to mention you have to make a change in the camera's menu to compensate for this attachment  .

even that didn't help  .

i do not know if canon's own teleconverter is any better , but i suspect it probably is  .

whether it's worth it or not is a personal choice by the user  .

i'm sorry i bought mine and i'll probably see if i can return it  .

just to be aware of the problem with 'after market' converters i do recommend purchasing the hood  .

it's great for holding down sun spots and necessary for adding any filters  .

i always use a uv when carrying it around in the woods , just to protect the camera lens  .

and i do like using a polarizer  .

look around the web  .

hood prices are all over the place overall , i'm very happy with the s3  .

i probably would have been as happy with the sony h5  .

canon's swivel screen , however , made the difference to me for the type of photography i enjoy .

i had the s1 and really liked the ability to take video along with still shots with the same piece of equipment  .

the better videos are edited down anyway  .

no one wants to sit and watch 15 mins of straight video  .

it needs to be edited down to get the full ability of this camera i would recommend a 2gb card  .

i actually bought a faster speed 2gb card  .

can take video and pics all day long i wanted to upgrade to the s3 to get more megapixels  .

it is worth it to me for the price , this camera is a good purchase  .

feels good in the hand  .

i is looking at the sony cybershot h5 but since i really liked my s1 and the learning curve wouldn't be much for me , and the biggest point for me , the h5's screen doesn't swivel so i stayed with canon  .

i've taken several shots that i wouldn't have been able to get if i had not been able to swivel the display screen i plan on purchasing the additional lenses for zoom and macro shots .

i just got this camera a couple days a ago and well i love it  .

i can really see what i have been missing not having a digital camera  .

i personally like canon  .

there cameras are good , really good , clean easy to use and take really good pictures  .

but i have found some areas that canon need to address  .

include a rechargable battery pack with a camera like this , a larger memory card (at least 1gb) and provide better online support for trouble shooting  .

other then that this is a awsome camera .

very pleased with this camera  .

it feels good in my hand the menu button can easily be activated by mistake , bit of a nuisance at times the is feature gives me crisp , clear shots at 12x or 48x , impressive  .

i have found it awkward to get into macro/super macro  .

it wo not go into super macro all the time , must be something i'm doing or not doing i like being able to bump the iso with a single push of a button , excellent in low light conditions .

this camera is very good  .

the stills are crisp , clear , and colourful  .

the video comes very close to camcorder quality  .

i do not know if one can add the vga (640x480 , 16 bit stereo sound) to your video that you extract from mini dv tape or other forms of storage (add to make a movie dvd)  .

does an expert know the answer to the video question  .

there's 20 or 21 shooting modes and 5 or so different exposure modes  .

there's in    camera red eye removal and stitch assist for making panoramas .

i am in korea , and this camera is readily available  .

i picked it up last week , and am enjoying it so far  .

i almost went for the s2 , but wanted the extra 320x240 movie mode at 60fps , which the s2 doesn't have  .

i like that the movies are recorded as quicktime , but my adobe premiere pro 1  .

5 software does not import them (a big disappointment)  .

i can import them into windows media encoder , though  .

i also is pleased to find it has a wide photo mode , as is mentioned in the review  .

yeah , it is just a crop , but that's fine by me  .

i am disappointed in the rendition of the green objects in the photos , but honestly , that seems to be a canon thing (my older s30 had the same issues)  .

grass and bright    green objects glow a bit unnaturally (especially when no flash is used)  .

you can adjust the colors a bit in    camera  .

i am experimenting with that , but so far it looks like photoshop is the best route for fixing this issue  .

i keep buying canon , though , because they usually offer a lot of bang for the buck  .

if you are pining over buying this model or the s2 , you can save a lot of money and get the s2  .

the difference in viewfinder size on the s3 really is not that much , and going to 6 megapixels over 5 is not a big deal for the average user  .

although the viewfinder is adjustable , i'd honestly rather have a big 2  .

5 viewfinder , like the competition does  .

canon needs to rethink this point , imho .

i do not own a digital slr , but i wanted a camera with features that are similar to an slr , without the cost or complexity  .

lets face it , unless you plan on changing lenses to suit specific applications , a digital slr can be a bit of a waste , given the capabilities of cameras like the s3  .

a reasonably trained photographer can produce some really good photos with this camera  .

if you reach it's limits , then maybe an slr is in your future , however , you will have a tough time pushing this camera to it's limits another thing i really like about this camera is the video mode , something you will not find in a dslr  .

the quality is really good and it allows you to take a full resolution still anytime you want during a video sequence  .

the audio is actually stereo ; another big bonus which get's it rather close to a low end video camera overall , i think my choice is good  .

i just got the camera last week and i have taken over 300 photos to push it's limits  .

the only thing that i am not happy with is the faux wide mode  .

it's simply a croped image on the same sensor  .

you make it a wide shot by adjusting the zoom of the cropped frame  .

a bit strange and a tacky way to say it's got a wide shooting mode  .

not a show stopper , but definitely false advertising .

i own the s2 is it is not the perfect camera out there as most seem to believe its the best it has one glaring defect    poor focus in low light conditions (others who are intermediate    advanced users have also pointed this out)  .

when you autofocus , the object must be inside the focus box which encompasses only a small portion of the picture although you can move the box around a little bit , you cannot quite move it to the edge to get some difficult angle shots the s3 seems to address this problem with their new 9    point aiaf which is not on the s2 and is supposed to provide excellent focus even when the object is not in the center  .

even lower end models have a multifocus option that the s2 lacks if you have not bought the s2 yet and are deciding b/w s2 and s3 , spending the extra bucks is worth it if u are more than just a novice photographer  .

dasdasdad  .

canon does it again  .

awesome picture quality .

had an epson photopc3000z for 6 yrs and it finally died from too many drops  .

spent months to look for a replacement and found the s3is  .

had been actively using this camera for 2 months  .

it's a great camera price/performance  .

quick from start to click  .

great on battery if you do not use the lcd  .

i never like the idea of recording movie with a digital camera but this one changed my mind  .

the video quality is amazing and it is very easy to use  .

my whole reason for picking the s3 is for the intervalometer but that the only function on the camera that is not worth spending time on  .

still it's a great camera for mom or dad with young kids .

i purchased this camera as a supplement to my point and shoot , mainly for high speed sports work  .

the images at high iso were unusable  .

alas , i will have to go for a true slr .

i purchased this unit approximately three months ago to replace the canon s2 is which i gave to my daughter  .

