i knew a few people with this camera before i got mine , and they were very happy  .
creates quality video and photos but the lens has a history of jamming (lens error , please restart) and the lens cap is designed to fall off excellent optical zoom , but that is marred by the lens error occurring at maximum zoom poor battery life meant i had to carry a lot of spare aa love the adjustable lcd (one of the reasons i went with the s5is) , chdk support and ease of use i'm torn on this camera  .

i like the results and usability but have concerns over durability and reliability .

get yourself the canon sx100  .

way better camera  .

smaller and cheaper too  .

bought it in oct 07  .

took about 1 , 600 pictures on it and then it froze , turned itself off and has been in b  b y's repair place for now the 3rd time  .

i guess if it is not fixed this time i get a new camera  .

no one else on any forum has had the problems i have had  .

evidently , fate has chosen me to have a lemon camera  .

i still think it is a fantastic camera       just wished it worked  .

had to buy a little kodak z885 because i have to shoot a relative's wedding next week  .

it works .

originally owned the s2 is (5 mp) which is excellent  .

along came the s3 is (6 mp) which is great , but i noticed that problems began to arise with the s3 is at the long end of the lens  .

although this is an issue , i managed to work through the gripes  .

now , here we sit chatting about the s5 is (8 mp) version of the same camera with a bit more beef (not choice grade either)  .

the bottom line here folks is that you had better not expect a grand leap if you already own the s3 is  .

rather , be prepared to be very dismayed with the results  .

the s3 is produces much sharper and color    accurate images than the s5 is  .

additionally , the s5 is has a problem with lens creep (for those of you who have not used it extensively and found this out as of yet)  .

in reference to the batteries being placed with the sd slot , i feel that it is not even a relevant issue given that its so trivial compared to the poor image quality  .

i did not return the s5 is , but i did give it to my nephew given that i knew i would take a 25% restocking fee hit which wasnt acceptable  .

hell have plenty of fun with the camera and enjoy it for what its worth (not much of anything imho)  .

the bottom line , if youre going to spend this much money on the s5 is , then youre making a mistake  .

buy the nikon d40x or the sony alpha (or other comparable dslr) which would be money well spent on quality  .

in conclusion , on a scale of 1 to 10 , i would rate this unit as a 5 to be fair given the problems with the images  .

as a side note , i would like to add that i am a professional photographer who likes to carry around spur    of    the    moment cameras that take good pictures , and i argue that the s5 is is one that should be avoided  .

thanks for listening .

this is a good camera but like another poster stated it is not leaps and bounds better than the s3  .

maybe it is just a sign that i am ready for a dslr  .

i don't know what i is expecting but i is hoping for something better than the s3 when it comes to noise on higher iso settings  .

i do take quite a few lower light shots the video does not not look good enough to compete with a camcorder so it is a wasted feature imho  .

i am going to keep it but i am going to start shopping for a dslr  .

if you have a s3 then keep it .

once again canon rests on its laurels  .

rather than come out with a camera that could blow away their competition (which they could do easily)they make modest changes that keep them with the rest of the pack  .

they do not give enough features or improvements to justify an upgrade  .

maybe they do not want to cut into their slr product line  .

i upgraded from a s3 and i wish i listened to the other review  .

i am not that impressed with the s5  .

it is a slight improvement over the s3 with some added features but not what i expected  .

it is still a good camera but nothing groundbreaking .

canon has a significant design flaw with the lens mechanism  .

in earlier canon series this is known as the e18 error , now it's renamed the lens error  .

the lens will not fully extend into position for use and the camera lcd goes black with lens error in white across the bottom  .

this is a widespread issue , simply google e18 error for yourself in my case , canon claims that the camera had been subjected to moisture , which is not true  .

i bought it at christmas time and the failure happened in april , i had done almost zero outdoor shooting since it is winter  .

i will escalate my complaint within canon to see where that leads , but i fully believe that canon has denied my claim to prevent a repeat of the class    action lawsuit that they saw last year on this very issue the camera is fast and ok to use while we had it  .

the controls baffled my techno    challenged wife , so be warned that novice technologists will not know how to use it .

