better for powerful machines  .
vista comes with a diagnostic tool that rates your computer components on scale of 1 (lowest) to 5 (highest)  .

the fx card received a score of 1 which is quite a surprise to me and mentioned that the aero features may not work optimally as a result , in fact aero performs flawlessly , so if you have this fx card or something similar , not to worry  .

all my other system components came in between 4    5  .

if anything i feel i need to add more ram and upgrade to 2 gb , as i am experiencing a very slight lag in performance , and regardless , more ram is always a good thing conclusion  .

in a nutshell windows vista is the most stable , functional , use friendly , and prettiest os i have ever used , it is close to perfection and in my view is the mac os x killer , those who deny this are just speaking out of their hatred for microsoft are in contempt that the company is capable of making such a fine product notes  .

i would like it make it clear neither am i a microsoft employee nor did the company pay me to write this  .

i am computer user who did his homework  .

i read a lot of reviews on vista and the comments to them on cnet  .

com and on amazon  .

com , before actually buying and using the product myself .

i think vista is amazing  .

it is a great effot from microsoft to create a more user friendly system that is very funtional , and very attactive .

i like vista  .

however , many third party vendors are either forcing me to buy new software , or are basically telling me to go take a hike  .

i blame the third parties , and not microsoft .

i purchased windows vista home premium because i is building a new pc and didnt want to spend the money on xp if i would only want to upgrade to vista within the next year anyways  .

i is a little worried about driver issues but now that i've used vista for awhile , i no longer have those same worries if you're making/buying a new computer , you might as well choose vista over xp  .

i wont even mention os x since i'm a gamer and dont plan on ever going near that operating system only reason i gave this a 9 instead of a 10 is because of the fact that some minor driver issues do still exist ; but that's not really a fault with microsoft (if youre a student , get the student upgrade instead of normal purchase , it costs about half the price)  .

i love vista home premium  .

all my equipment is compatible with vista  .

only my rosetta stone software wasn out of date  .

rosetta stone is happy to replace my 2 year old cd's for a very small fee .

windows vista is all you need from osx and xp in one , user fun and compatible  .

i would easily recommend that everyone who owns or is going to buy a computer get windows vista  .

i would also like to tell everyone at cnet that they should stop looing for stuff to complain about with vista  .

there are a perfect number of different versions of vista , one for someone who just barly can use or afford vista , for the more caring home user , one for buisness users and one for the user who wants it all  .

and with the search function all you have to do is push the button in the bottom left hand corner to get to it .

we are less than a month into the vista era and the reviews have been a mixed bag  .

i have now set up home basic on one computer and home premium on another while still running xp on a third  .

here's what i know    .

home basic may be the most boring release of an os since well , ever  .

not all that flashy and not as appealing as home premium , but for basic or new computer users , home basic is great home premium adds the aero interface and many functions that xp users have been waiting for  .

as long as your pc has the hardware , home premium is just flat awesome  .

setting up a cable modem is a snap , allowing access to the microsoft site ad its rapidly growing knowledge base for small fixes and compatability work    arounds very few programs , hardware or periphials have drivers or updates for vista  .

but the list that does is growing daily  .

i've seen several reviews on here that stated a need to buy a new printer or scanner or whatever becuase of vista  .

that is not necessarily the case  .

a quick look on hewlett packard's site about my printers yielded info that new software is coming soon that is vista compatible  .

i installed the sims 2 on a brand new machine with vista and vista recognized it has issues with that game  .

maxis' website clearly sows how to painlessly fix that issue it seems that many of the poor reviews of vista are from the uninformed or mac loyalists just throwing crap at the wall hoping to see what sticks  .

its sour grapes , plain and simple if your system can handle it (2gb of ram and a 256mb video card) home premium is great .

vista home premium is a great os it allows the user complete control of the system with ease of use in mind  .

i have been playing with it for about a week now and will never go back to xp  .

the only bad part is since it's new a lot of companies who produce software and hardware do not have their products set up to be compatible but the companies i have talked to say they will release the updates to resolve this very soon  .

all in all i would highly recommend vista as long as you have the hardware to run it properly  .

there is a lot of absolute nonsense circulating about vista  .

vista will not spy on your , prevent you from accessing files , or cost $300    $500 the mentally    challenged c    net reviewer complains that the search box is in the start menu , where it is always accessible with one keystroke or sling of the mouse to the corner of the screen  .

the blinking cursor is active without requiring another click , and even functions as a command line , since it automatically searches the start menu  .

you wo not have to hunt or even aim for it , but some people apparently like that sort of thing  .

microsoft has apparently hired a few people who know what they're doing , unlike this reviewer frankly , many people are jumping on the bash    vista bandwagon without stopping to think for half a second .

after reading all the negative and luke    warm reviews about upgrading an older pc to vista i was not sure i wanted to install it , but last weekend i went ahead and i'm glad i did  .

my pc is over 3 years old  .

i have an intel p4 2  .

6mhz , ht processor , with 1mb of ram , asus mb , ati radeon 9800 video card with 128mb of video ram  .

i decided to set up vista as a dual boot on my pc so i did a clean install of visa home premium on a second hard drive  .

the installation went very smoothly and vista installed in about 30 minutes  .

all my hardware is recognized including my haupage tv tuner card  .

i soon as i connected vista to my home network , vista went to windows updates and did some driver and security updates automatically so far (only 2 days) everything is working very well  .

i'm getting the full vista aero glass experience and the system is very responsive  .

windows media center which comes with home premium works with no problems to sum up , i'm surprised how well vista is performing on my pc  .

the reviews on cnet and other sources are not entirely accurate concerning upgrades  .

my pc is not that new and my on board mb ram and video card only meet the minimum specs for vista home premium  .

i'm happy that i did the dual boot installation so i can go back and forth between xp and vista when i need to highly recommended .

i got vista on my new laptop computer while the new interface is not quite as spectacular as i is led to believe it is functional and attractive there is no learning curve for me i is up an running as soon as my computer is set up microsoft may have made a tactical error by raising prices for upgrades because there are costly hardware issues that may make upgrades unattractive to many custumers but vista is a great reason to by a new computer it's different definitely an upgrade over xp but it's not different in a way that's disorienting i felt comfortable using my new computer and very pleased with the new features that come with vista i'd like to upgrade my old computers too but microsoft will have give me a break on the upgrade price before i can justify the cost of the additional hardware that is needed to make vista the true upgrade it is on my new laptop .

i love windows vista  .

the new search feature on the start menu alone is worth the transition  .

it is also just way nicer looking , smoother moving , etc  .

i highly recommend it  .

first of all lets get this clear  .

you mac people are saying that it is not worth upgrating to vista because is a hastle and you should just buy a mac  .

alright , so why if you gonna buy a new computer you should buy the mac  .

why do not you just buy a new pc with vista alrady on it  .

ok done now saying that the operating systems look alike  .

you have a point there but again , if they are the same then why should you go for the mac  .

im not saying they are the same but im taking the opinion of the mac (jobs) fan boys  .

talking about microsoft copying the macs i mean are you serious  .

they were the firts ones to create the whole thing so mac copied microsoft when it decided to make an operating system dont you think  .

take a windows tap for instance and check what it says  .

edit , view , tools etc  .

who first came out with that ahhhhhh  .

so you see there is no argument here stop talking so much garbage  .

go and blow jobs and be happy your way but dont' be saying things that are misleading to people who might not be aware  .

another thing , macs can run windows , true , true  .

a vista pc can run windows to so basically , its the same thing i am not a mac hatter , i dont' like them at all i have 0 fellings for them  .

they might be great products but i hate how jobs makes people be so foolish and diehards like this through all those aps commercials a a bounch of media attacks now if you have something to counter in this opinion it is very , very welcome , thanks live in jobs world , die in ours .

recently switched from the mac  .

used xp media center until vista  .

so far , i think vista is great  .

the interface is smooth and consistent through out the os , something i wish osx got right media center simply is the best thing out  .

on my hp is seems to fit like a glove  .

great features and performance .

overall it's a very good upgrade from xp .

vamosi , if you want to put review on vista , please clean your mind from any bias  .

i'd like you to make a review on mac os or even latest release of linux    if any    i just cannot wait to get my vista shipped top me .

forget what everybody says about microsoft copying ideas from apple  .

did you know that steve jobs orginally copied xerox graphical user interface  .

(the first interface by the way) what about the new ipod  .

you can only download from itunes  .

my point is both apple and microsoft both copies ideas and both want your money  .

ignore the apple commercial it is way exaturating now i got that out of the way  .

i have had vista for three days now  .

while i haven't gone through all of it i have enjoyed it so far  .

the os looks great  .

i like the gadgets and vista is fast once you get to the desktop  .

i is skeptical at first of ie7 because on xp i did not think it ran that great  .

but with vista it runs smooth  .

while not the greatest the windows media 11 is a nice change  .

plays music and videos solid  .

i really like the media center where you can view videos photos and even record tv if you have a tuner  .

the speech recognition is a great plus  .

not only can you do documents you can use the entire windows just with your voice  .

once other companies are par with vista we will see more driver releases and new hardware  .

yes windows will always be able to cracked or get a virus , but remember 90 percent of computers have windows on them  .

so why would you want to waste time in cracking apple  .

if you do not care about all the little technical stuff and just want to be entertained and a change of scenery and have a stable systen vista is good to go  .

if you have a previous computer then wait til all drivers come out for vista  .

if you are going to by a computer with vista go ahead and make the change  .

windows vista home premium has almost everything an everyday user needs  .

networking has been improved greatly , in my experience , which has made connecting wireless a pleasure to actually do , as opposed to a headache  .

windows vista has been changed in the way it behaves and performs certain tasks , it will take a bit of time to get used to how things have been positioned and located but it is very easy to learn  .

integrated search has been made available within explorer windows to ensure that even if you cannot find what you're looking for , you can search for any file , feature or option and let windows return the results there are several features such as superfetch and the improved search results that will take prolonged use before comments can be accurately made about how well they perform  .

the sidebar is an interesting idea , one of which i constantly flirt with , wondering whether i should use it or not  .

at the moment i have my sidebar closed with no gadgets enabled , but this may change over time  .

vista provides several gadgets from the moment you install and also allows for the option to download gadgets online that are more tailored to your preference i have yet to experience a software , hardware or driver incompatibility  .

when a program fails to respond or crashes , microsoft makes an attempt to find out who caused the fault and what solutions are available  .

if the manufacturer has no available solutions yet , microsoft will inform you and also let you know if there is a new version of a product and suggest that using the current version may rectify any problems one may be experiencing  .

my system is fast at start up and shut down , and i have yet to experience poor performance within my system thus far , i am highly impressed with windows vista and believe it is actually a decent operating system to take into consideration  .

however , before you choose to purchase and install windows vista on your system , i highly recommend using microsoft's windows vista upgrade adviser to ensure that your system , drivers and programs are compatible and meet system requirements  .

the upgrade adviser will also provide you with results that suggest which version of vista will perform best on your system .

i'm begining to wonder what some of the reviewers on this site are looking at  .

vista is a great upgrade from xp  .

it looks great is more organized than any past windows os  .

it is so much more secure and reliable  .

all i ever hear is how its all buggy and has problems  .

i currently have setup over 30 vista computers and have found zero problems with vista  .

there have been problems with other software conforming but thats not microsofts fault  .

they have had vista out for almost a year now for companies and buggers  .

yet they are late to conform to the technology  .

vistas aero and bit locker tech is amazing  .

there is no way i would ever go back to xp after using vista  .

great job microsoft  .

like it or not , vista has released their long awaited operating system to replace windows xp  .

i personally , with the rest of the tech world , have put vista under microscope with scrutiny  .

now , after fully experiencing it on laptops , desktops , and the new touchsmart from hp , i'm utterly impressed  .

the stability is unbelievable    at least in the 64 bit version    i refuse to run the 32 bit version (since almost all processors now support the awesome 64 bit capabilities)  .

i will say some of the new features are a little gui ish    that i as an it professional would care not to see    but microsoft must compete with mac os x  .

overall i do recommend upgrading from xp within the year because there will be many advantages for not only personal family use but also small business on    the    go employees  .

there will be many people saying how it's the worst os ever , but realize if you use a pc (and now that it works on a mac) , there is not much choice as to what you upgrade to in the future .

i have had vista for a year on the new laptop i got to replace my 5 year old xp laptop  .

i couldnt ever shelve that computer , because none of my burning software , work software , and games are compatible with vista  .

i used my 2000 dollar vista laptop as a very expensive portable dvd player mostly becuase i found myself still needing xp for everything i did well a week ago i figured out how to say goodbye to vista and figured out how to slipstream drivers onto the xp driver disk and got xp on my new laptop on the same computer i can now run all my games at ultra graphics , without any choppyness on xp , when on vista it is horrible even on low graphics settings , the same slow computer is now lightning fast , windows seriously takes 15 seconds to load while vista took 5 plus minutes i would have to say that vista is the worst memory and resource hog made thumbs down bigtime .

now days 2009  .

vista is unfairly thought of as being the operating sytem from hell  .

but it has came a long way it does make me a little angry knowing that microsoft is rolling out a new os so soon though , instead of focusing on this one installation   easy to install on newer machines  .

upgrade can get hectic but for the most part is easy uninstallation   not easy to downgrade but very easy to upgrade and reformat interface   clean cut same as basic version and ultimate version  .

easibility   just as easy as it gets features   better than basic almost the same as ultimate  .

support   we all know microsoft support is a nightmare my computer specs    .

windows vista ultimate sp1 64bit  .

gateway lx6810  .

intelï¿½ core  .

2 quad  .

33ghz  .

640gb hard drive  .

8gb ram  .

i enjoy this version of vista but it can to late when windows 7 will be coming out soon .

windows vista home premium is a nice addition to the windows family , worthy of its predecessors  .

while xp may be more stable , vista offers more features than xp could do with 10 service packs  .

the aero interface is sleek and offers a different take on easy switching with windows , but sometimes text can be hard to read while using aero  .

the windows media center is a great improvement over windows xp media center's edition of it , adding much more tasks to make it a swiss army knife for media  .

the gadgets may seem to have a small library , but there are actually tons more online in an online gallery  .

also , the start menu doesn't have a blocky , rectangle feel to it anymore  .

instead , the start menu can be opened from an orb on the desktop  .

also , the small applications make quite a difference as well  .

one such tool is the snipping tool , which is overlooked by many  .

the snipping tool is a built    in snag it , with scissors as your guidelines  .

dvd recognition is not easy in xp , but in vista , with a good drive , dvd's are a breeze to read  .

the start menu has another neato keeno feature    it allows you to search your whole computer from one area  .

however , with all these pros , there are also some cons  .

two in particular can be annoying  .

for one , burning stinks in vista , for the fact that it rarely works  .

also , a lot of programs and peripherals are not compatible  .

that makes old computers a dinosaur for vista to tame  .

do not try running vista home premium without 2gb of memory  .

(for those of you who don't know what gb means , it means gigabyte , a technical term meaning 1 , 000 megabytes  .

) vista is not for everybody , as it site contradicts to  .

so , if you do not mind the negatives of vista , and you have the requirements , buy vista  .

you will be pleasently surprised .

i purchased vista home premium to run alongside my current windows xp professional , sp 3  .

my hardware is an desktop box with an intel core 2 duo , 2  .

4 ghz , 2 gb ram , 700 gb sata , 7000 rpm hd , creative labs xfi soundcard , nvidia geforce 8000 card with 512 mb onboard after the install , vista automatically detected my integrated network card and pointed me to drivers for my usb printer , video card , sound card , but had no drivers for my usb scanner  .

this is a huge improvement from xp which leaves you to figure out who makes the card and their website after running it for a week , using flight simulator x , spore , office 2003 , java 1  .

6 , firefox 3  .

0 , i've had one crash (bluescreen from coming back from waking up out of sleep mode) , and burned one bad cd (i've created several cds perfectly since , so it might have been the media) i find the new aero interface to be very nice , and like the built    in media center which can turn my pc into a dvr (if i had a video capture board)  .

overall , the system has been pretty stable so it seems a slam dunk , right  .

not exactly  .

when just idling , running no tasks , vista uses a whopping 400 mb more ram than xp  .

also , it feels somewhat slower than xp  .

however , the games i used ran perfectly smoothly on vista  .

so i cannot say the minor slowdown is a problem for newer hardware  .

on older hardware (say more than 2 years old) , vista will probably be a dog in addition , if you have peripherals more than 2 years old , stay away from vista  .

hardware manufacturers aren't likely to pay their in house developers to create drivers for their older hardware so , as it stands today , with service pack 1 , i recommend vista if your pc and peripherals are new  .

otherwise , stay with xp the other question is   if i have a reasonably pc running xp , is it worth upgrading to vista  .

i do not see any real reason to upgrade to vista  .

there are a lot of little tweaks , but no real killer app for vista .

some tasks are hard to find and its takes a bit getting used to , not a bad os  .

could use a lot of improvment however .

i think overall , it's worth your money , and remember at some point you will have to buy it , you cannot stay stuck in the past .

if you have a gaming or a top of the line pc then this operating system should run just fine other than bugs that usually interfere with certain computer vendors such as hp  .

however for slower pcs such as laptops and 2gb and non dedicated video card machines stay with windows xp sp2  .

windows vista could have been better and does not seem to have reached its full potential .

i'm very happy with vista  .

it looks gorgeous  .

very pleasing to the eye compared to the 2d    ness of xp and endless greyness of mac os it is a bit twitchy to start with but as time goes on it has become mostly stable  .

i think it well designed and thought out and i enjoy using it as my os  .

note   i admit your system should preferably be hugely powerful to run it and do not bother unless you have 2gb of ram .

over all i think it's pretty good  .

most people just do not like change  .

the only problems i have had were caused by myself fiddling with the registry .

after 14 months of use , vista has been rock solid stable and secure for me  .

had one glitch with an upgrade of some scanning software that put molasses in the machine , but that is due to an error on the part of the isv  .

cleared that up with a system restore and a workaround on the installation process  .

vista's plenty fast when configured right , and speed has improved with sp1  .

if you have only 1gb ram , it is adequate for basic use  .

i monitor resources regularly  .

with shovelware uninstalled and a lean startup configuration , it uses about 600 mb at startup  .

typical ram use running common non resource    intensive applications is about 1 gb  .

readyboost with a thumb drive is a good workaround if you don't want to spring for an extra gb of installed ram  .

it still won't be quite as fast as a full 2gb in some situations  .

a lot of vista processes run for features you're never likely to use , such as tablet pc features  .

it's worthwhile to drill deep into the task manager , take a hard look , and figure out what you don't need  .

the system gives good guidance and precautions if you're thinking about shutting down something with unintended consequences the uninstall feature has long been a weak point in windows , as it often doesn't do a very complete job and some files remain hidden from it  .

use a third    party uninstaller such as revo uninstaller (free) to do the job right  .

it will save your system from getting clogged with leftovers  .

caution    the extra power gives you the ability to screw things up (it can access high permission files in obscure places) the new interface and control features are nice , but they take some adjustment if you're used to xp  .

the same functionalities are there , you just have to find them in a slightly different , but equally accessible , place  .

if that doesn't work for you , the control settings can be set up to be very xp    like   menu bars , default power off button , slab startup menu , run and such  .

it seems kind of silly that microsoft didn't put the option to set up a default xp    like interface in the welcome center  .

that said , i don't mind doing some things completely differently in vista than i do in xp  .

the lack of an up navigation button is disconcerting at first , but the link buttons in the navigation bar are more than an adequate substitute the linked help feature is way more powerful than the old help menu  .

topics have links to where you need to go in the system  .

you can navigate in help quite easily , eliminating the need for multiple iterations of help to complete a task  .

if you're in a curious mood , you can surf the help menu and learn more than you really need to know about your system the kernel , driver model , and graphics engine are changed markedly from those used in xp  .

that is the blessing and the curse  .

that is the source of the compatibility issues that are so famous , but fundamental changes were needed in the kernel structure and codebase for improved security , stability , and (eventual) scalability  .

stick with xp if you are heavily invested in back    compatibility , but future evolution of windows will be along the path started on with vista  .

the old nt kernel has had a good 15 year run , but it's on a dead end  .

as more software is developed optimized for vista , obsolescence will supplant back    compatibility as the main issue  .

accepting and planning for migration is the key to avoiding heartache i have one major beef with the vista release that causes me to lower the rating of home premium a notch  .

it should not be necessary to purchase ultimate to get some of the the most useful features such as encryption , complete system backup , or fax and scan  .

do not do what ms wants you to do (buy ultimate for an arm and a leg) to get features such as encryption  .

stick it to the man and get third party equivalents for the ultimate feature you really want  .

also , it's ridiculous that a really effective disk and registry cleaning utility still is not included in windows recommendations    .

new equipment    vista  .

happily using xp    stick with it , but prepare for eventuality of migrating to vista/windows 7 and plan for forward    compatibility in software and peripherals third party registry utility (ccleaner) and uninstaller (revo) , both free  .

third party encryption , backup , and scan/fax software as an alternative to buying ultimate  .

minimum 1gb ram , more depending on use  .

dual core processor , minmum 1  .

7 ghz  .

vista is considerably slower than xp , but this can be expect after all xp has dominated the world for the last six years and vista has only been out for a year  .

there is still much to be done before vista can be considered as fast as xp  .

one feature that you will not be able to find in xp that is very handy is readyboost  .

readyboost allows your pc to use you flash drive as virtual memory , which is much faster than accessing the hard drive  .

give vista a service pack and a several more optimizations and it will be blazing just like xp if not faster .

well , goodbye blue screen of death  .

im very pleased with windows vista  .

i agree that it couldve been better and much more appealing , but i'm one of the few who have been lucky enough to give both windows vista and osx leopard a try simultaneously  .

leopard impressed me to an extent , but apple's new os had nothing really special , and still lacked competant office tools  .

vista is much more stable than it's predecessors and also had more self    reliant features to repair errors and close security holes  .

if you have any questions , i also bought the zune80 out of respect for microsoft's come back  .

e    mail me at wmyinzer@aim  .

com  .

thanks  .

i installed vista on a separate hd , leaving my xp installation intact  .

i can boot to either os , but now mainly use vista  .

true , it does need good hardware  .

i'm running a core 2 duo , 2gb of ram , 512mb video card and have no performance issues  .

it's definitely faster than xp  .

programs start up faster , installations are faster , etc after hearing all the stories about hardware and software compatability , i is surprised when i found that i is able to install and use my printers , flatbed scanner , and konica    minolta negative and slide scanner without any problems  .

i should note that konica    minolta has abandoned the scanner business and no longer supports those products , so there is no vista driver available  .

somehow vista handled it  .

i did have to get the vista drivers for the two printers  .

it was not totally painless , but it was not an ordeal either  .

also , adobe photoshop cs2 installed with no issues , as did all my other software  .

i suspect that my lack of issues has a lot do with doing a clean install and then installing peripherals and software  .

btw , i did this install using the home premium upgrade disk that i got from the computer manufacturer (vista not available when i purchsed the computer)  .

there is a well    know way to do this , just google it  .

it works the interface is beautiful and slick , a big impromvement over xp  .

it's a much nicer experience  .

apple is still the best , but this is getting close however , i still feel that there is no reason for anyone to feel compelled to upgrade  .

i did it because i had the disk (for almost a year) , and had a spare hard drive and some free time  .

i would not have done it if i had to upgrade my xp installation    the risk to benefit ratio is not there .

vista is actually not that bad when it comes down to it  .

personally i still prefer xp , but vista is not as bad as most people make it out to be  .

vista is stable , and seems less sensitive than xp (fewer registry issues , etc  .

) and vista is also very smooth , locking up is not a very big issue  .

although i will point out that vista's most annoying issue is the endless shutdown and welcome screens  .

i'm trying to keep this short though  .

so all in all , it's not bad , but not the best windows edition .

i am using vist home premium , and really say , i think its a good upgrade compared to xpsp2  .

it's feature rich to make things easier , and it seems to handle pretty well people complaining about it not support hardware should be more directed at the companies not supporting vista  .

xp wouldn't use win98 drivers , and i would say the same goes for vista not support xp drivers  .

the hardware markers should make new drivers for vista  .

i'd say most everything works with xp now because for two reason , xp has been the dominating os for a long time , and also hardware before did not require complicated drivers to work (look at some drivers for xp , some are like 20mb to ranging to over 100mb , where as before drivers just took up like a couple megabytes)  .

i is one of those people before saying , vista is just xp with a flashy interface , but some of the features are really helpful  .

for instance , the search built into the start menu makes things faster for me  .

i just type in disk cleanup , finds it there , and i just hit enter , oppose to navigating through folders to find it  .

same applies to documents you need , just type in the document/image/video/song you're looking for on your computer and hit enter , instead of going through folders (if you organized it in folders)  .

this to me saves a lot of time as for vista needing better hardware  .

do we still live in the times when computers had a standard of 256 mb or sd    ram  .

i don't think so  .

most computers now come with at least 1 gb of ram , and for comparable prices to prices before you can get computers with 2 gb of ram (i think this is more than enough , i use a few art type of programs myself , and stil find my computer operating pretty smoothly)  .

if you're still using a computer with xp's bare minimum requirements , or something close to that , i'd say your computer is old , and invest in a new one to save on time saving those precious documents , viewing those pictures that your relatives send (that are sometimes not compressed) , and/or just opening the internet and loading modern day webpages that are heavy on graphics , javascript , or flash  .

it's true vista requires more resources than we are used to seeing , thats just because technology kinda sped up , and look at computers now , the norm is about 1 gb of ram , not 512mb anymore performance wise , vista runs smoothly for me (2 gb ram and a 1  .

6 intel c2d)  .

i run a few graphing programs , and a couple games  .

i couldn't say how vista handles graphic intesnse games , i don't play those  .

but from using programs like paint  .

net to even photoshop cs3 , it works pretty smoothly  .

i've never ran vm's before , they seem to run well in vista as well vista , however is not all frills for me , i do have complaints about it  .

for one , i hate uac , its a great concept , but it gets annoying  .

moving and copying files brings it up a lot  .

but if something were to just happen , such as spyware installing itself while you're on the internet , it would prove useful  .

i have it disabled , and you can disable it  .

the sidebar is not that great  .

i think if they made it autohide it would prove to be more useful  .

vista lags in some cases in terms of performance  .

it takes eons to copy larges files , to me this is the biggest annoyance  .

i'll be copying 3 gb of data from a disc , and it will say 9 hours to complete , but it takes like actually 20 minutes , usually that is  .

also if you have it to highlight new programs in the start menu , it lags loading the start menu  .

the biggest drag in my opinion , is the price  .

the price is ridiculously huge  .

in terms of being a new os , its just a humungous update (like 5 service packs , and i think the same can be said for how xp operates compared to win98 , but the coding for both is different so thats not really fair to use , probably better to compare xp to the previous nt build)  .

another problem with vista are the number of versions there are , it's confusing , and the differences in the versions aren't even worht having different versions  .

one more thing i don't like about vista are hardware requirements  .

it's so strick on your graphic adapter if it supports this and that just to have a flash interface  .

i'd like to install vista on a 3 year old computer that runs just about everything you can throw at xp , but because the laptop doesn't have direct x 9 built into the hardware , it wo not run in a decent resolution  .

i can understand trying to run it on computers really outdated , but some computers from just a couple years back meet all the requirements of vista except that direct x requirements overall , as they say in the cnet review , if you're getting a new computer , and can choose between xp and vista , i would go with vista  .

it certainly is not another m  .

, it's stable , makes using a computer a lot more easier , since that's the whole point of a gui , to make using a computer easier for anyone  .

compared to xp , this os does make things easier , and thats the point  .

so good to buy with a new computer , bad to buy by itself .

i adapt well to change , and with vista the change is a nice adaptation  .

bit anoying security level stuff but it can be switched off  .

bought basic for my wifes pc and she is very happy and is a basic user , i got home premium for my pc and would load lots of media stuff on my pc and home premium has no problems if you are having woes with an oldish pc i wouldnt upgrade but buy a new pc  .

i'm a mac die    hard and i have to admit vista is really nice to use  .

everything works well and os is stable  .

i bought a computer that came with vista so there is no upgrade involved .

i just got my laptop with vista pre installed on it  .

i expected it to be slow because of the reviews but it was not , even though i only have 1  .

5 gb of ram i think vista is only good if u buy it pre    installed in your computer  .

this is what happened to a friend of mine  .

he had installed vista himself onto his pc and it is very slow  .

but when he saw mine he admitted that it was not slow even though he is cursing vista from then on so all i have to say is it is not as bad as everyone is saying , just give it a try  .

i just got my laptop with vista pre installed on it  .

i expected it to be slow because of the reviews but it was not , even though i only have 1  .

5 gb of ram i think vista is only good if u buy it pre    installed in your computer  .

this is what happened to a friend of mine  .

he had installed vista himself onto his pc and it is very slow  .

but when he saw mine he admitted that it was not slow even though he is cursing vista from then on so all i have to say is it is not as bad as everyone is saying , just give it a try  .

i bought my computer with windows xp home edition service pack 2 installed on it  .

i originally added a gigabyte of ram to this computer , and it ran very well for me  .

i tried out one of microsoft's windows vista release candidates originally , and i remember that i is not that impressed with it  .

however , i have already encountered several software packages that will not run everything they have unless they are under windows vista (direct x 10 , the latest windows media player , are not even available for windows xp for example) so i decided to add another gigabyte of ram to my computer , and upgrade it from windows xp home edition service pack 2 to windows vista home premium  .

the windows vista home premium upgrade that i bought took 2 and a half hours to finish , but it did so without any hitches to my surprise , i actually like the windows vista home premium  .

the graphics are heads above the old windows 95 type graphics that is still so prevalent in even windows xp  .

windows vista is indeed more stable and efficient  .

so far , i have encountered no crashes , and none of the infamous windows has to close screens  .

the updates are smooth and non    disruptive , and once i got used to the reorganization of the files , commands , and folders , using windows vista became very pleasant and enjoyable to use  .

the aero graphics are also quite restful to my eyes compared to the rougher graphics inherent with windows 95 to windows xp  .

drivers were not a problem  .

the windows vista upgrades now have a lot of drivers that are available , and it will automatically browse the web for any driver it needs but does not have on board  .

also , i like windows vista having so many watchdogs that protect the user  .

that is a must these days  .

i also like how windows vista automatically activates via the web  .

that activation will not even be noticed , it is so discreet i did feel that the upgrade or installation of windows vista is rather pokey (it lasted 2 and 1/2 hours on my computer) , but that does not discourage its positive side  .

and i did not like having to spend so much money to upgrade my computer so that it would run well with windows vista i also did not like all the reorganization and renaming of so many of the files , commands , and folders by windows vista ; at least until i got used to these changes on the other hand , i felt that windows vista is the smoothest running operating system ever  .

with 2 gigabytes or more of ram it really flies , but it is so smooth that all this speed is very pleasant , rather than being sort of slamming or blurry  .

screens come up and leave very smoothly , and not in a flash as earlier operating systems did i think the real strength and the best selling point of windows vista is it stability and silky smooth operation , rather than its outward appearance , which is indeed nice thanks to that aero  .

although most programs will run as fast on windows xp as they do on windows vista , the advantage of windows vista is , again , its stability and smooth as silk operation , yet with speed  .

this is so much more relaxing and enjoyable  .

i is glad to upgrade to windows vista for these reasons alone  .

i do have weak eyesight , and any help i can get to avoid eye strain is a plus for me as windows vista continues , it will be more and more updated as new files and drivers are added  .

no one needs to worry about upgrading to windows vista only to be without the right drivers  .

a lot of the hardwared manufacturers have alreday made available for download drivers for their hardware that are for windows vusta that one can go to and download ; and windows vista will scan microsoft or the web for nany of these drivers itself i hate to admit it , but i have changed sides , and i am now a windows vista fan and supporter i did not think i would like windows vista home premium , but i do , to my own surprise  .

although looking good is no reason to upgrade , as far as i am concerned , stability and reliability of operation , along with speed that is nevertheless smooth as silk is  .

when you look at windows vista from this angle , you may want to upgrade  .

i am now glad that i did .

thumbs    up from an industry professional with a 25 years of experience solving end    user problems  .

drivers for much of the relatively new hardware like printers are available or will be available from vendors soon  .

for the real older stuff microsoft just cannot keep making the current operating system support all the old stuff .

as i got this new operating system coming with my new laptop (sony vaio vgn    n320e) , there is no need to upgrade or to buy it  .

as far as my needs   i could do as well with windows xp which always worked fine for me  .

i wouldn't upgrade or buy it however , even if my old computer would have been capable to work with vista  .

it is much too expensive and does not give enough value for this amount of money  .

a big number of computers are equipped with windows , in one way or another  .

microsoft gets enough return and i do not see any reason why anybody would be happy to make bill gates more rich then he already is  .

on the other hand , the folks at microsoft did a good job and they are contributing improving and developing the daily use of a computer  .

windows vista looks very beautiful  .

if you want to combine this beauty with workability , make sure to add enough memory (at least 2gb)  .

