best mp3 player i have ever gotten .

the main thing that made me get this is the stereo bluetooth  .
overall excellent player , highly reccommended of you're looking for something that is not from apple .

not too shabby  .

i specifically bought this device because it had fm radio and said it supports mpeg4  .

however , you need their software to convert mpeg4 video into some samsung format to get the video to work  .

they really should make that clear so the consumer understands that i plan to return this player since i feel like i is deceived when i purchased it  .

the sound is terrific and the interface is cool  .

i heard others complain about the difficulty in getting around with the touch screen and yes thats a problem but not a huge problem  .

you can get used to that if it was not for the lack of mpeg4 support i would highly recommend this player .

first off , i don't see why people who haven't even had this player in their hand are rating this product already  .

i bought it then less than a week later sold it on amazon  .

this is a nice player , no doubt  .

bluetooth , sound quality , bright display , stylish , what more could you ask for  .

well , how about an accurate touchscreen  .

it seemed i had to keep repeating my strokes or touching an icon multiple times just to get it right  .

frustrating  .

when using the radio you cannot use your bluetooth headphones  .

when i put my images it had no feature to rotate them so i could not put a nice picture in the background because it is always the wrong way  .

i hated the samsung studio software (the application to sync your player)  .

it took up a lot of memory , is a bit slow on transferring files , and i couldn't figure out how to convert video files into the right type for the player  .

i thought it would do it automatically but when i opened up the player to see the video it would freeze on me  .

i wish windows media player , samsung , winamp , or any other application would do something like the itunes backwards delete mode  .

if i delete something off my library then it is automatically deleted when i sync my ipod  .

the player does not have the option to delete the file without the use of a cpu , so you can imagine having to hook it up then search through the over 1 , 000 songs i had loaded on there to delete a couple files i did not want anymore  .

so , overall it's an outsanding piece of device  .

however , it is definitely lacking some user    friendly features or at least some where people with only average computer knowledge can work at it without hacking or changing things  .

definitely not for those who have a large library good for working out though when i did it with my bluetooth headphones  .

looking , nice sound , not bad screen , it's ok interface , bad .

i wanted fm music on one bluetooth device because i wear bluetooth hearing aids  .

unfortunately , the fm on the yp    p2 is not bluetooth enabled and the reception is weak  .

the yp    cannot pick up signals that my portable radio gets well , even when placed side    by    side the music sound quality is just so    so , the samsung media studio interface for my pc is not very intuitive ; although i've only been using them for a few days  .

some songs i transferred from my ipod skip like crazy , even though they're in mp3 format so far i'm not that impressed and wonder if i should not have spent a little more for an iphone with bluetooth .

