i love that it has all that blackberry , apple , and win mobile don't have  .
as far as i know this is one of the best gsm quad band android phones with a keyboard out there at the moment updated  .
on aug 20 , 2010  .
i really hope that they fix these bugs with patches or the like  .
as it is , it's more trouble than it's worth  .
i might be going back to a crackberry as at least it never had these issues .
the phone is awesome but the battery life made it unpractical for anyone to have unless you want to sit by the charger all day .
useless to me , and probably a lot of other people looking to make the switch from a blackberry or windows mobile device to an android phone  .
the google logo should be taken off this device  .
i had to switch carriers to get a usable android phone with a physical keyboard .
this thing is the biggest piece of technological crap i have ever bought  .
it dropped at least 35% of calls , i got my text messages in batches of 7    10 , sometimes hours late  .
my emails were late  .
it would randomly call people  .
thing is just a piece of crap .
everytime i went to the camera the screened turned yellow and when i took the battery out of the phone it wouldnt turn on  .
the last straw is when i had to take the battery out 15 times before it started working  .
i returned it 3 times and none of them work  .
i do not recomend this phone to anyone who is looking for a smartphone  .
the best phone for tmobile and isnt the mytouch is the htc hd2  .
i have that phone now and it rarely freezes up  .
the mytouch is not worth the money  .
i swear  .
myFavs, 3.5 mm jack, Genius Button, Voice-Dialing with my Jawbone ICON; Battery life could be better...
HTC Sense Features make this phone more user friendly.. 3G Speeds were very fast.. Faves Gallery and Genius Button were very good.; Video Quality could've been better.
Long battery life, full keyboard, great service, loud speaker to play music; not enough internal memory
Android 2.1, Sense UI, Very snappy for only a 600mhz processor, great 3g speeds, great qwerty slider!; Battery, No android 2.2 yet!
to much to list really,excellent htc sense,browser is super fast,fast cpu,keyboard is excellent,call quality is excellent; battery is ok but not bad
l love everything about it. Light, fast, great battery, great features.; I haven't found any yet. Some people complain about the camera or the favs, but I don't really use those.
Excellent features, very fast browser, excellent call quality, htc sense espresso, qwerty is great; Battery is ok but not bad
easy to configure. many options as for typing.. led flash. loud and clear loudspeaker; BATTERY LIFE. sliding feature does no feels sturdy. 600mhz cpu. video camera quality. way too many bugs. text messages and multimedia works whenever it wants
Moving from a blackberry to an android OS was great; Dropped calls, didn't get texts, didn't get emails, didn't receive calls, couldn't make calls, randomly called people. Basically it just sucked in every fashion that a "smart" phone should be able to do.
Voice Command is fabulous- Gorgeous Display - 5 homepages- smooth, seamless, &#38; FAST with no cut-outs - Great qwerty keyboard-; Very short cable on wall charger - Car charger does not come with USB cable- G button is rather hokey and unnecessary
Snappy sense UI (regardless of processor being 600mhz). Internet is fast; Looks exactly like the desktop most of the time!. Andrioid 2.1 upgrading to froyo soon; Multitouch; Pinch to zoom; Solid build; Great feature set!. (Under the right conditions); Plastic feel (Mainly the Battery Door); Battery (?)
talk-to-text is great!!! 2.1 android,3g internet is faster!; battery life,i suggest you keep a backup battery and a car charger. i wish the speed dial holds more than 10 people.
great looking, great screen, easy to use, and learn, excellent touch interface.; haven't found anything I didn't really like about the phone yet.
awesome features,htc sense ui is awesome,broswer is excellent it has flashlite,multitouch very speedy,well built with greaty qwerty; not much really but battery wont last a whole day
It's all that and more than I expected!!! I love my phone.; Battery life which is suppose to improve
My ohone's battery lasts 12 hours with heavy used, the picture quality is amazing! The Flash works so well!! Very little bugs, and best yet is the crips quality of voice in both ends.; NONE SO FAR!!
Fast. Fun. Great camera - 5 MP. Talk Quality is nice. Lightweight. Not as big as you'd imagine.; The battery life is always an issue on smartphones. Also, I'm still a tad bit apprehensive about the plastic casing. Otherwise everything is peachy on this baby
Size, comfort and pocketability, speed overall despite not having a high end processor, tactile keyboard.; Snap on battery cover a bit flimsy. I feel like I'm going to break it when I remove it. Other than that it's pretty flawless.
Voice control is excelent. Navigation is nothing less than awesome. 7 homescreens WOW; Battery life extremely poor..Buttons too easy to hit while handeling the phone. Cannot use LED Light with video camera, only as flash for still camera.
Nice screen, generally fast, full keyboard, nice interface.; I don't know how cnet missed this little gem of a "feature": The MyTouch 3G Slide DOES NOT SUPPORT CONTACT GROUPS. Need to e-mail your team for a meeting? Hunt down their contacts one by one. Defeats the purpose of owning an Android phone.
Very Fast processor, Phenomenal Screen, Android 2.1; Battery Life, Customizing (Separate/Different) Notification Tones is a very BIG hassel, Genius Button doesn't always work, MyFaves, and the Price is way to HIGH.
So many useful and free apps. Widgets are the best on this phone. Light weight, slick design, easy function. Will spend hours and days setting your screens up with the look and feel for what you need. Enjoyable.; Not many. The Android Market and options make up for what is missing for anyone's needs
All of the features of this phone are great! I love the apps especially friend stream, the navigation app, tv.com, the news apps and the sports apps. The design, keyboard, call quality and speed of the phone are great too...just a whole lot of fun!; Still checking it out...none so far!
Android 2.1 OS! real physical keyboard, great mymodes feature,easy to use, fast, extreme customization, you won't see anyone with a phone exactly like yours; battery life could be better, drains very quickly if you're a heavy app user
Big, bright screen.; Due to the bad phone-answer UI, half the time when the phone would ring I would hang up on the caller or dismiss the alert while getting it out of my pocket. Also, it is missing some standard Android features such as Favorites in contacts.
Android 2.2 is beautiful and I can't wait for the next version.. I only paid $89 for it which is a great price from http://tmobilephones2010.com/2010/07/t-mobile-mytouch-3g-slide-official-android-2-1/; Screen resolution sucks. could be faster
Wonderfully crisp and colorful screen, snappy performance, modified version of Sense performs admirably with My Modes, good headset volume, Swype pre-installed, excellent web browsing experience, good battery life.; No live wallpapers, camera is sub-par, would really benefit from Apps2SD and access to more ROM, minor physical keyboard issues, weak speakerphone, Genius button is good but sluggish.
Dragon dictation (talk-to-text) is extremely accurate. Android 2.1 w/ an HTC sense UI that still makes it feel like an android. Great physical keyboard. Screen is just big enough &#38; can still fit comfortably in your pocket.; Battery could be better...a car-charger is a must. A 1ghz processor would've been ideal...but not a deal-breaker.
Keyboard options are nice, Swype, standard and slide out. Very responsive. Reception and call quality. Internet speeds. Phone is not as bulky as one might think when looking at the specs.; Not a real fan of the faves application, kind of a low res feature. Like HTC sense favorites widget better. The Genius button function is hit or miss.
Love the swype feature. The browser is pretty good coming from the htc shadow to this phone. It plays flash video . Love the keyboard i have big hands so texting is a breeze. Genius is cool too; Battery dies quickly, doesn't support live wallpaper, my faves gallery is a bit slow on updating
Fantastic customization with great features. What's not to like here.; After 5 days of use, the only real issue I have is syncing with T-Mobile (known issue) which isn't that big of a deal any way.
Slick, clean, beautiful design. Very nice screen. 2.1 Android that will be upgraded to 2.2 Froyo. The Genius button. Talk to text and other voice command controls. T-Mobile's best mobile device. Best keyboard on any Android phone.; No front facing camera. MyFavs but who cares if your on an unlimited plan. Sliding mechanism sucks. Plastic feel and sliding mechanism not on the same level as the Motorola Cliq.
keyboard is great.. love the design nice an sleek...fast 3g speed... great call and sound quality.... no glitching or freezing up, or needing to restart; not sure about the HTC scenc look... i prefer the original android look. the genius button is hhit or miss ... when it does work... its fantastic. faves notifications over lap with android notification...annoying so i dont use it
bright and clear large screen, snappy processor, super fast web browsing, spacious slide out keyboard, genius button works wonders, up to 7 screens, sharp pictures with a brightest flash ever experienced. Sense UI very convenient.; merging of contacts from e-mails and social networks into one can be overwhelming, swype is cool but frustrating to use.
HTC sense, android 2.1 OS can't wait to get 2.2 update. Social networking apps. Pre installed and linked to contacts! Battery life will do. Sleek design unlike the g1 ugly design.; Faves don't refresh on time, charger cord is short, genius button is horrible considering that was T-Mobile way of promoting the phone. Keyboard would have Been perfect if number rows where by them self.
there's nothing on the phone i hate. i really REALLY like the camera, dispite what the professionals opinion is(what do expect of a 5mp camera?!). easy to use and screen quality is fantastic. convinent 3.5mm jack. above dececent reception.; some useless apps i can't get rid of(isn't there always). the touch screen is a little of. you have to over shoot a little on the touch screen towards the edges.
It just works. A must for those who needs a physical keyboard!! Swype is awesome without the keyboard (one of the most important things for me.). Just the right size for me (EVO is huge!); Battery runs out fast (prob ave among competitors.). Runs out of memory quickly. Theres no way to install apps on SDcard.. No front-facing cam.. Cam quality blah. vs iPhone 4G).. (waiting for 2.2 upgrade. now it lacks foreign fonts which I need.)
Fast, bright, sharp screen, nice keyboard, good software call quality and interface. T-mobile has excellent service and great prices. Battery life is pretty decent of a smart phone, much better than my old G1.; T-mobile's cellular coverage is adequate but not as good as other carriers. The shiny plastic case seems chintzy. Limited memory for applications.
Excellent keyboard with raise keys. The addition of swype is a bonus.; Battery life does not take me through the day, but I do use it heavily for streaming movies, podcast, accessing the internet and navigation.
I'm a MyTouch fan and after upgrading to the MyTouch Slide, all I can say about the Slide is.. Wow! The new Android 2.1 OS is faster, has more options under the phone's settings, and the 2.1 OS can handle more operations than the 1.5 OS could.; The biggest let down is that all of the apps and games downloaded from the Android Market get installed into the phones internal memory (145mb) and almost never gives you the option of saving any of that data into it's HUGE 8Gb of SD memory.
Performance is fast and the onscreen keyboard works well and the screen is acceptable. The integration with gmail makes it a super business tool for me. I integrated my MS Exchange accounts with my personal online accounts with ease. Love it.; Battery Life. I would like to get another hour out of it
Very versatile and easy to use. My wife is rarely on the cutting edge of technology, but even she finds this phone easy to use. Big touch screen and physical keyboard to back up the virtual keyboard.; Does not fully sync with Outlook have to use another app to get notes and tasks. G-sensor only works in one CCW. Screen does not follow the rotation thru 360 deg. Screen doesn't rotate when keyboard isn't exposed. Micro-USB connector. Why?
It has pretty much all I could wan't. 3g speeds and the ability to use the net all I want as well as android 2.1 and sooooon 2.2!!! I love that It has the touch along with the slide out keypad too! Way easy to customize and great utility. Tether!; Not a super fast but still really great! really hard to think of anything I don't like about it! maybe a sharper and bigger screen but overall WOW GREAT PHONE!!
5MP camera with flash takes extremely good pictures. Phone is very fast does not freeze up at all since i've been using it for the past 2 weeks. 3 diff types of input methods, 5 screens to customize widgets. Phone is phenomenal; Battery Life is my only con. If you are using it non stop for about 5-6 hours your phone will die. Heard the Froyo update though will improve battery life.
The overall design is great, love the slide out keyboard. Some of the features of the Android system are fantastic like Google Goggles, and the voice command feature is great. The handset feels sturdy if a bit heavy.; First the battery life is terrible. This thing has to live on the charger. If you want it to last at least one day you have to turn off almost everything (bluetooth, Wi-Fi, etc.). The operating system has a problem with locking up.
The features on this phone are fun and easy to use, also it provided an easy links between services. The multitasking was nice too.; The camera is TERRIBLE....it only takes visible pictures from 2 inches away otherwise your not going to see a thing the pics are so blury. Also the battery life is so short i never got to use the phone except when it was actually on the charger.
easy to use, sufficient screen size, awesome keyboard, great call quality, and good looking, keeps up with most of my friends higher end android phones (evo 4, htc incredible); lack of front facing camera is really only drawback for me. the slower processor hasn't been an issue for me, though I wonder how much better this phone could have been.
Screen clarity better than expected even when comparing to the other eye candy phones coming out, performance is unwaivering, excellent call clarity, Android platform shines on this unit, perfect size for my pocket, I even like the auto brightness.; Battery a bit short on life at first but I have it toploaded with lots of ongoing functions at the moment...not a deal breaker, prefer a rubber coating on the exterior, Slide mechanism works fine but feels a bit light duty
Android &#38; it's marketplace, very responsive touchscreen, very fast OS, not sluggish at all, screen is beautiful and bright, multiple texting options including the swype keyboard &#38; physical keyboard, comes with 8GB SD card, GPS, great customization; Battery life sucks. apps can't be saved to the memory card, must be stored on phones internal memory. Internal memory is less than 1GB. Genius button isn't all that great or functional.
Being an Android phone opens up endless possibilities. In my opinion, anyone who believes this phone is simply a toy or is trumped by any other phone, hasn't explored the possibilities and options it opens up for you.; The only thing I could possibly consider a con would be short battery life. However I believe this would be the case with any phone of this caliber and by simply carrying a spare charged battery I never have to worry.
Everything about the Slide is a winner. WIde width qwerty keyboard, on screen keyboard with SWYPE(look it up people), Dragon Dictation and it is an Android. It has so many features I can't name them all here. Flash/focus; modes of pics; panoramic.; I haven't found anything I do not like about this phone. When every TMobile CSR has one after speaking about what I was looking for,I knew this was the one. It even helped my nephew decided to get an Android &#38; not an iPhone. Now THAT's marketability.
1. 2.1 will be replaced with2.2 soon 2. camera takes great shots not the best but still great 3. Genius Button is just awesome 4. My Favs is cool keeps everyone close 5. Battery lasts all the way through my 10 hour shift 6. and red one is sexy; 1. using it as a mp3 player runs the batteries down FAST 2. camera could have been better 3. still waiting on 2.2 4. should have put more internal storage because 2.1 doesn't support apps to sd 5. sometimes the favs takes forever to reload reset
fast processor, outstanding screen clarity and it does what i want. Could't think of a better way to build this phone. Super responsive and love the feel of the phone and keyboard. Waiting for the 2.2 update (Froyo) to see what could make it better.; Sure battery life is ok. lasts me one day which is expected with all the apps im constantly on, car charger is a must. A bit expensive for those not on a contract. Should have built in a front web cam..its the new in thing now.
This phone is sleek and very clean looking. Seems to be powerful enough (at least for me) running on 2.1 and has way better 3G connection than any other phone I have ever had. I switched to this from the Fender and I am so happy with it. I love it!!!; The battery life is not great.. Very delicate feel. Plastic that feels like it could break with just a little fall. Case is a MUST.. Seems to have low internal memory.. Doesn't get 3G inside all buildings.. Accessories are VERY expensive.
