i'm happier with this recorder than any i had in the past .
this is a great unit for us folks who want hdtv time shifting but dont have cable/sat company dvr  .
) after 3 years with my cable companies motorola dvr , i is annoyed enough that i thought i'd give the tivo hd a chance  .
the motorola is sluggish and unexpandable despite usb , esata etc    all of which are turned off  .
the tivo costs more per month and cannot get the schedule of several hd channels  .
tivo2go can be nice at times but not enough to justify the $$    it's back to the cable company dvr for me  .
i also get much better customer service from my cable company (armstrong)  .
for starters , i love tivo  .
i have three of them now , generation one , two , and now the hd tivo  .
so you've got someone who loves them , tivo is basically the macintosh of tv to the cable company's pc my tivo is slow as dirt  .
so unbelievably slow that i keep calling customer service because i cannot see what's wrong with it  .
it often does not respond to remote commands until you press it for the thousanth time  .
i rebooted , i change remotes , i got the latest software , and the thing is still slow  .
it seems like trying to run a modern game program on a 286 pc i just have no idea what is wrong with this thing  .
i am going to give tivo one more shot then i'm done with it  .
seems i'm a minority here but i had to say something .
why would you spend hundred of dollars on this thing , and spend a monthly fee on top of that and your regular cable bill for a device that can already do what your comcast or satellite box can do  .
ohh  .
the interface , with the stupid tv figure  .
and tivotogo  .
no hd  .
what is the point  .
just get a media center pc with a third party pvr software like sage or mediaportal even those can record hd local channels  .
plus you can view photos , videos , upconverted dvds  .
tivo is going down hill fast mo  .
not worth the headache to deal with unit replacement and required deposit to replace the unit  .
go with a tv serivce provider dvr (comcast , att , dish network) .
the tivo line of products has been great for us and i've been a user since 2003  .
however , tivo has fell behind and thier media capabilities are way below those of other dvr and media (tv , movies , music , photos) managers/players i'm on the phone right now , it has been 20 minutes , and i still have not talked to anyone to cancel my service  .
i called in 2 times and the system hung up on me evertime i went through the cancel my account prompts  .
(options 2 then 2)  .
i had to select technical support and then request the agent to forward me over to a group that would cancel my account  .
last time i went through this because i wanted to cancel service on an old dvr it took over a week and tivo constantly argued with me .
after several attempted calls and a no show appointment , i am without a cablecard for my tivo hd  .
though i had it set up and ready for the installer , he didnt even call to say that he wasnt showing up  .
after getting the run around , they admitted that they do not have cable cards i waited a week and they brought one to me , but it is defective  .
they have asked me to wait another 10 days , but they are unsure if they will have a working card for me at that time comcast doesnt care about my situation , because they discourage the use of cablecards  .
with this said , i think that this unit may be a very expensive tivo series ii , until i succeed in getting the cablecard installed be aware of the blockade .
my main gripe is that i just do not see the advantage to buying this versus using the free comcast box    by free i mean no initial fee  .
plus , i bought this thing and it went bad on day 91 , i is told that i would have to pay a $45 fee to get the box replaced , as you might imagine i is a little dismayed  .
i mean , i paid $300 for it , then is paying a monthly fee , plus renting the cable cards from comcast  .
so i packed it up and returned it to costco (they have a very liberal return policy) and i got the new comcast hd dvr    same hd , plus i get on demand and if it goes bad i swap it at my local comcast office .
i will not purchase any piece of hardware that requires me to pay a monthly utility bill to use it  .
i have used super vhs and digital vcrs for over 20 years and i have yet to pay a single bill to program them  .
i can move my tapes around to various machine and even bring them to my neighbors for viewing  .
i do not have to worry whether there is a copy flag on the program or other digital trash that is creeping into our fair use rights that even the reactionary supreme court agrees is ours  .
i want a dvr that lets me record 2 , 3 , or 4 channels at once and i can program at my leisure  .
dish tv has one that is not bad , but others do not seem to have that model and it is not available , to my knowledge , as a free standing unit .
i is all excited when i learned about the new hd tivo , but i refuse to buy the pretty interface for a monthly fee  .
a few months ago i purchase a media center pc to record hd ota , but would gladly buy this device if they would offer it with just basic features why cant i record hd over the air vcr style  .
no program guide , just ff , rw , pause i know whats on tv , and do not need this monthly tivo support  .
happy customer for years and recently upraged to an hd unit online  .
the unit shiped would re    boot sporadically and i had to return it  .
resolution took weeks  .
staring to question if the service is worth having .
after reading many positive reviews , and listening to cnet podcasts recommending the tivo systems , we purchased one with a lifetime subscription to replace our rca dvr  .
unfortunately the tivo is not as reliable  .
scheduled recording from television will frequently fail to record anything  .
technical support informed us that this is a 'known problem' with the analog tuner  .
the only way to fix the problem is to reboot the device  .
sometimes the tivo operating system hangs and wo not respond to anything until we pull the power plug .
i bought my first tivo box in 2002 and sang tivo's merits to all who would listen  .
i bought one for my dad as a father's day gift an another for the best man at my wedding  .
in 2005 the hard drive died and for $99  .
00 tivo transferred my life time warranty to another box  .
my late 2006 the tivo box lost its spot in the living room  .
tivo could not record hd and the cable company had a hd    dvr that could record hd    hbo  .
the user interface of tivo is nice but come on how hard is it to program a cable company dvr in late 2008 the hard drive in the replacement tivo dvr broke  .
with a tivo dvr hard drive its not a question of if it will break its a question of when  .
tivo's solution either buy a new standard def tivo for $200 and pay another $150 to transfer the lifetime subscription of get a small discount off an hd    tivo that brings the price down from tivo retail to a competitive on    line price  .
a discount worth essentially nothing before getting a tivo for the 2nd tv in the house , i may as well just get a 2nd hd    dvr from bright    house  .
my cable company will charge less per month to rent a box that i do not have to buy then tivo would charge me to use my own box  .
the dancing tivo and its chirp are cute but not that cute its time for apple or comcast to buy tivo  .
their intellectual property could help comcast compete with direct tv or apple/at t could make the box that apple tv could have been  .
tivo is 2 years to late to go hd , and its unreliable products make purchasing a product lifetime warranty risky  .
tivo is once the i    phone of its day it won an emmy award and had a south park episode dedicated to it but tivo seriously lost its way and is no longer relevant .
if you're offended by domino's advertising in your face whenever you change the channel , i suggest you consider an alternative dvr .
really slow hardware and clunky software (not to mention a really poorly designed remote) turned a pretty good dvr , with lots of features , into an edsel  .
i would rate this dvr as follows based on hands    on experience    .
dish network vip622  .
fios motorola  .
sony dhg    hdd500  .
tivo hd  .
comcast motorola  .
adelphia/comcast sa8300hd dvr  .
i love the functionality of the tivo hd , but unfortunately i'll be getting a dvr when my current tivo subscription expires thanks to the horrible customer service experience  .
essentially , i purchased a buggy tivo hd , then tivo sent the replacement to the wrong address and essentially held me responsible for their error  .
i finally received resolution of the issue after many phone calls and hours of lost time  .
i work as a developer of help desk applications so i'm very familiar with help desk business process  .
i understand that mistakes can happen , but i'm more disappointed with the complete lack of professionalism and caring on the part of the level 2 agents that i encountered  .
i'm trying to get the word out to as many folks as possible just so that everyone can understand the risk that is involved when buying a new tivo here's a timeline of the event that occurred oct 20    i purchased tivo hd from amazon  .
com  .
oct 25    the tivo hd is delivered oct 27    i set up the tivo hd in preparation for the cablecard installation  .
the process goes well and without problems  .
i notice some time later that night that there aren't any lights on on the tivo hd , but it doesn't strike me as odd at that point oct 28 8 am    i wake up and start preparing the area around my tv for the cablecard installation  .
i notice that the tivo hd doesn't have power  .
i change the power cords and the outlets , but the tivo still doesn't have any power  .
we cancel the cablecard installation  .
i call support and am told that the support system is down due to time change  .
the time change did not occur that weekend  .
total time with support   approx  .
10 minutes oct 28 1 pm    i call support back and speak with the same agent that i spoke with earlier in the day  .
he initially quotes a fee of $45 for the exchange , but after clarification , he realizes his mistake and sets up the advanced exchange (unknown to me at the time that he's setting it up to be sent to the wrong address)  .
i choose the advanced option so i have to authorize a charge of $323  .
the support agent does not give us a receipt for return shipment  .
total time with support   approx  .
30 minutes nov 1 11 am    i note that the exchange tivo hd sent is to texas instead of our address in california  .
my wife calls support to get the exchange tivo hd sent to correct account  .
the support agent tells her that the matter would be sent to an investigator and that we would be contacted sometime the same day  .
total time with support   approx  .
45 minutes nov 1 6 pm    we had not been called back so i call support  .
i am sent to level 2  .
the level 2 agent states that she can understand our frustration and that she's sorry for the poor support up to this point  .
she states that the agent that worked on the issue earlier in the day is known to not do a good job and that she had messed up the ticket  .
she said that she would send a new exchange tivo hd and that it would be sent next day delivery  .
she gives us a receipt for return shipment  .
she states that might take a couple of days to get the credit back from the first exchange , but that i would have to again authorize a charge of $323 for the advanced exchange  .
total time with support   approx  .
45 minutes nov 6    exchange tivo hd is delivered  .
not exactly next    day delivery nov 7    i send the broken tivo hd back to tivo nov 12    i get confirmation that tivo received the broken tivo hd nov 15    i call support in order to query on why the first exchange authorization has not been credited to my account  .
i am directly sent to level 2  .
the level 2 agent assures us that we would get our money back and that she would research the issue and call us back the next day  .
she never contacts us  .
total time with support   approx  .
45 minutes nov 20    i call support to query why we haven't received a credit to our account and to ask why we did not get a call back from the agent who said that she'd call us back  .
the agent says that she's sorry , but the issue is sent to billing and that there's nothing that can be done  .
she says that we must wait 14 days  .
i tell the agent that the support to this point has been lacking and that tivo has done nothing to keep me as a customer  .
at this point , i've very frustrated and finally loose my patience with the situation  .
after about 5 minutes of heated discussion the call is ended  .
total time with support   approx  .
35 minutes nov 23    received the first refund of deposit dec 2    finally received the second refund of deposit .
my dual    tuner high    def dvr that i get from my cable company costs me an extra $12  .
95/month  .
why in the world would i want to lay out hundreds of dollars for this thing and then pay $60 more per year in user fees that i'm already paying  .
if tivo wants any chance to succeed with cable customers , they're going to have to eliminate their monthly fee or reinstitute a reasonable (less than $200) lifetime subscription  .
this product offers no advantage to anyone but those who get only ota broadcasts , and what fraction of the market is that these days  .
if you have charter moxi , tivo is being left behind ubfortunately  .
i used to love my tivo , but now buh    bye tivo .
i is even willing to pay for the series 3 tivo , as high as it is , until i found out there's no tivo    to    go features available on the series 3  .
now we have a striped down series 3 called tivo hd and still no tivo    to    go i transfer a lot of my tivo recording the week prior to going on vacation and then transfer them (after tivo    to    go's long conversion times) to my ipod (and maybe soon to a zen vision w) so my wife i can watch them at the airport and on the the flight to our vacations  .
it's made a world of difference on our flights series 3 and tivo hd still do not offer tivo    to    go  .
no sale then  .
solve the problem with cable labs and be done with it , for pete's sake  .
pissed off that it died .
i is double billed for a year (prepaid for full year and my credit card is billed the monthly fee) and i is refused a refund  .
i is told the company policy is to only go back 90 days  .
it is really hard to get phone numbers to supervisors  .
phone calls were not returned  .
they never did agree to credit my charge account for the amount which i is billed twice for  .
i finally let it go because they just wore me down with their noncooperative , rude phone customer service people  .
they would not give out supervisors names , phone numbers , or e    mail address  .
when i did get a response to an e    mail i sent on my answering machine my return calls were not returned  .
tivo customer service is very user unfriendly .
my first tivo stopped working 16 months after i bought it but it is out of warranty and tivo offered no discount on the replacement so i had to shell out the full price on a replacement  .
next , when they came out with their netflicks interface , they announced that it would not work on my unit , so i'd have to upgrade to a new unit  .
only problem is that they offered no discount on the upgrade  .
in other words , i have to buy 3 units over a period of less than 2 years of service  .
this company seems not to care about keeping customers  .
what a shame  .
i have the motorola 6416 for my verizon fios service  .
the non    upgradable , dinky 160gb disk made me look at the series 3 carefully the fcc had mandated that cable boxes have a firewire connection but i guess tivo is not listening with my jvc d    vhs , i can record every channel onto d    vhs tape that i subscribe to but with the series 3 , once you hit that delete button , your recording is gone forever this thing would cost me the rental of cable card (s) , a significantly higher monthly fee and unlike my motorola dvr , it is not free add to that the fact that i can not record anything in high def and it leaves me wondering who in there right mind would buy this thing if all you want is a dvr for ota high def programming , go buy a cheap pc and stick a $50 hdtv card in it download one of the may ui's like sage or mediaportal and you have a superior dvr with limitless recording capacity .
i is very excited to see that i could finally replace my tivo series    2 dvr with a hd version for a reasonable cost or so i thought  .
but in reading the device's spec , there's no hdmi input and their product description specifically points out that it does not support for satellite tv  .
i have resisted buying a dish network hd dvr (i have dish hd receiver) because i prefer the tivo interface , hoping that tivo would one day provide such a device  .
but by not suporting satellite tv , it seems like tivo will lose customers who have no other choice but to drop them in favor of a satellite tv supplied hd dvr .
do not purchase the extended warranty  .
i purchased a 3 year extended warranty and my tivo broke after 8 months  .
we put up with the initial tivo even though it would not record voice on both turners at the same time like advertised , but when the network card went out , we thought we would get it serviced  .
the network card went bad , so they sent me another unit , which had a hard drive failure within one day  .
i got a second exchange and is told my extended warranty would not cover the replacement unit and is void after the 1st exchange .
the sensor that picks up the signal from the remote is defective , and the unit is replaced  .
it turned out that one of my remotes is also defective , and that had a very short warranty so they did not replace it  .
the dvr itself also has a very short warranty , only 90 days  .
the replacement dvr also failed , and this time it is rebooting itself over and over , all day  .
it is beyond the 90 days , so they wanted to charge a $50 fee to replace it  .
i will cancel my service as soon as i have time to shop for a similar product and service from some other company  .
tivo also has software that allows you to save shows onto a pc , but this software is buggy as well  .
when my tivo is shipped back for replacement , i lost a lot of my recorded shows because they would not transfer to my pc with the buggy software  .
if i record any shows in hd or high quality , those shows cannot be transferred to pc  .
those shows were lost when i shipped my dvr  .
no appliance should be made that cannot work for one year  .
a warranty tells you something about a manufacturer  .
it tells you how long you can expect the product to last  .
the fact that tivo does not provide a standard one    year warranty should tell you something  .
if you buy this product , be prepared to pay another $50 every three months to replace it , and that goes for the remote as well updated  .
on apr 10 , 2010  .
our first tivo started to freeze after about a year  .
spent $400 when this series came out 6 months ago and now this new tivo is freezing  .
we have to restart the tivo every day  .
when it freezes at night it does not record the shows it is supposed to  .
what a pain  .
called tivo support and had a horrible experience  .
is told i would need to pay to get a replacement for their product screwing up (for the second time  .
person i spoke with is rude  .
do not waste your money on tivo  .
go with your cable companies dvr box , they will replace it for you , and not charge you for a replacement  .
it's not compatible with your cable company's interactive and video    on    demand services , boooo tivo  .
billy amato (nyc)  .
Multi Room Viewing, Expandable Storage, Online Media, Online Games, Photo Viewing, Music Streaming; Not Free :)
Much cheaper than S3; None - really
Provides jobs for those that assemble this thing; No Firewire Interface
Tivo2go - online scheduling; Advertising, bugs in cable channel schedule
Cable Card support, HD, dual tuner, good looks, great interface; Cable Companies hate Cablecards, cost per month
I don't see any for cable subscribers; Why pay for this thing?
Nice features; Slow, slow, slow and the bells, beeps and cutsie stuff in annoying
Easy to use, intuitive, reliable; Subscription cost, dealing with cable company
Runs circles around other cable boxes!; Owner needs to install unit - cable company won't
dual channel recording, superb video playback, perfect interface; no video on demand, no TIVO to go
TiVo interface is so easy, it does what it's supposed to.; Haven't found any.
The Tivo interface, record two shows at once; cable card fees, cable card glitches
HD is a +++++; NO in-demand recording....
One remote, one box, one set of cables... clean and easy; None, if you like Tivo
Easier to use than cable box DVRs; Defective Cable cards
Low Cost HD DVR with Tivo interface; No TivoToGo or MRV
can record more than one program at a time; constant stream of fees
Multi-turner, so multiple shows to watch, record, play/pause at the same time, great quality.; none so far
Finally HD from TiVo at a reasonable price; Not enough storage space
It's a Tivo which makes it great; Slow as dirt, so slow I can't use it.
Finally a reasonable cost HD DVR; No support for satellite TV connection
Many great features and It's a TIVO. That says it all; Needed a bigger hard drive (but that's been fixed)
dual tuner, HD capability, none HD capacity; no Tivo-To-Go , no transfer from PC to Tivo HD
HD recordings, new software has all old features; hard disk space is small, monthly service fee
Great unit, when it works.; Poor customer service. The CS agents are unwilling or unable to react quickly.
Great User Interface, east to find the shows I want. I love the ability to use Amazon unbox and have shows dropped right onto my Tivo.; Blank screen when switching from 480 to 720 programs.
Full featured, versatile, and easy to use; Built-in program storage is too small, officially supported storage expansion options too limited
Looks cool in cabinet, great picture, Tivo software is pretty good.; Costs too much for what you get.
Finally an HD dvr that is "affordable"; Tivo service is a rip off
Best DVR interface and remote I've used.; Subpar manufacturing or components. Try to cancel service is next to impossible.
The Tivo functionality is far and away better than DVR.; The customer service is horrible.
Tivo interface is clean, intuitive, and infomative...; If you can get it set up
Records HD, great user interface; Upfront Fees, monthly fee for box you own exceeds charge for box from cable company that has no up front cost.
Much cheaper than it's big brother Series 3.. Has lots of HD Video format output options.. Over-the-Air tuner as well as cable tuners.; Small 160G drive only 20 hours of HD. Only one output other than HDMI. Latest SW version a little clunky.. Remote not as nice as TIVO 3's
Much cheaper than Series3, great Tivo interface; Have to bank on Tivo's promise to deliver external storage driver and media sharing upgrades
Performance is good when functioning properly.. Netflix streaming works well.; Units are unreliable and hang. May need to get a second or third unit.
The menu's and user interface are really good. Good set-up tech support and nice value added features with portals to Netflix and Amazon. We are setting up for digital images on my TV screen, etc.; The user interface and screen transitions are sluggish. The remote needs redesigning but works ok.
Powerful &#38; intuitive interface, ability to save recorded shows to computer, extra hard drive option, Season Pass, Wish Lists, Online scheduling, Amazon Unbox, monthly service fees can be less; Up front cost of box, getting cable co to correctly install CableCards, no cable on-demand (but there's Unbox)
Everything to love about Tivo; At 2 years and 7 months it totally died. To exchange, they want $149. Why did it up and die the same day it downloaded an update from Tivo... one wonders. Oh, and when it does work, it doesn't work with cable movies on demand.
Ability to download movies, TV shows &#38; independently produced programs; ability to access one's Rhapsody and/or Live365 Internet Radio accounts; and ability to access your home computer's photo and music libraries.EXCELLENT antenna/OTA HD support.; REQUIRES paid subscription. NO support for programmed recording of programs on cable company-provided "clear QAM" HD channels (
menus are very intuitive. pausing live tv is more useful than i thought. buttons on remote are well organized and makes sense.; i wish the remote had a flat bottom or a rubber bottom, so it won't roll of my bed or couch.
Streaming Netflix is nice when it works. Better video quality than our previous DVR.; Scheduled recording from television will frequently fail to record anything. Sometimes the Tivo operating system hangs and won't respond to anything until we pull the power plug.
Netflix, Amazon, Rhapsody, You Tube, Picasa, Bucket and more and more. Even order a pizza!; NETFLIX selection of TV shows &#38; movie downloads for a montly fee are minimal, poorly navigated and sound to video is never matched or close to matched. Sub-standard.
The Tivo user interface is excellent!; Very bad customer support. No discount on upgrades or replacement of defective products. Very difficult to reach technical support and not helpful
TiVo interface; easy to set up and use; great HD functionality; Lack of cable box option; CableCards can be a pain
best in class user interface; expandable;amazing customer support; youtube on your TV; two HD tuners; Amazon UnBox video rentals; Internet radio; podcasts; home movies; new features added all the time; box + service + cable card rental can be pricey; returns for defective hardware are annoying; HDMI glitches; doesn't work with sat.; no onDemand support
It's functionally good, reasonably easy to set up and operate. Netflix on demand is cool.; I'm floored by the in-menu advertising. Do you want to [a] watch this show, [b] delete this show, [c] order Domino's [R] Pizza. Yes it's that bad. Customer service says you can't disable the inline advertising, even though it's a paid service.
When it is working, it can record two shows at once. That is the only reason I bought this product.; Company does not stand behind product; warranty is only 90 days. Product failed within 90 days, and was replaced. Product failed again, this time just past 90 days, and it was out of warranty, so they wanted a $50 fee to replace it.
works pretty much flawlessly to record OTA shows. Wonderful interface. My wife thinks it is great also. Works to stream Netflix movies.; stock hard drive is too small. Requires a subscription to use. Ad's are annoying, but are easy to ignore. No way to tell how much of the disk you are using. Is an electricity hog since it is on at all times. Occasionaly the TV guide is wrong.
Easy to set up &#38; use. The controls are intuitive, the extras like you tube viewing and remote programing are seamless. Most of all - recording and watching TV shows (its core task) is the best!; No clock on the TIVO interface - a little cumbersome to bring up a list of what's currently on tv.
Easy to use ,great menus does what its supposed to time shift hdtv programs for us folks with a new hdtv but no cable/sat company dvr. BTW the instant cake hard drive upgrade works great I have 1tb wd hd for 131 hours of hdtv recording.; wish there was not subscription fee like old school vcrs, but a years tivo subscription still cheaper than any cable/sat services so I can live with it
Works well with Netflix when the network card works.. You can even record to the Hard drive, when they work.. You can hook up an extender, it can't be used for backing up. The tivo actual uses it as an extension not as a backup; You can't select shows to record while watching a show along with not being able to record the volume of two shows at the same time. The programming is more complex than other DVR. Support has limited hours if you need to get extended help.
- Nice User Interface. - Netflix Streaming. - HD quality. - Multistream Cablecard Capable &lt;-- decreases monthly rental charge from cable co.. - Record shows from the web. - Can pull shows off the Tivo HD and store or reencode for other devices (ipod, etc); - Stock HD is too small for HD content. - Difficult to type in search boxes using onscreen keyboard. I hope Tivo adopts a texting approach using the numpad on the remote in future versions of the software.
