it's like having blu ray player connected to a fully adjustable 7  .
around april of 2010 , i started to have problems with blu    ray playback  .
there is 1update in april of 2010 and the last one  .
after putting disc in , it would spin about 10 times and eject disc with the message to check disc  .
for the next 4 months , this player would only play about 15% of the newer disc that came out between april and september of this year  .
after back and forth with customer service , i is told it had to be repaired and i would be charged $70 dollars to repair and there is no more firmware or software upgrades  .
lg really has no answer on how to fix this player  .
i will never buy another lg product .
neither unit i purchased worked  .
the first (mfrd 10/2009) would not recognize blue    ray and the second (mfrd 9/2009) would not even power    up  .
lg customer support is worthless  .
tried every software update on their web    site for the first unit and did not fix  .
i ended up buying a sony bdp    s560 and it worked right out of the box  .
i would have liked the lg because of features , etc  .
but i cannot believe the lack of quality .
netflix worked great for the one night i set it up  .
i configured it to my wireless router (i'm no computer geek , but did it pretty quickly) and is able to watch movies seemlessly  .
this honestly a great feature , but the cons were just too big  .
music/photo interface is something out of the late 80's  .
it took gargantuan efforts in order to have the system sync with my computer in the first place  .
then to play a single song , i had to plow through multiple folders and sub    folders just to access the music file    and when finally there , the file would not play  .
the functionality is so poor , advertising that it is this function is just misleading  .
would never use it since it's so complicated there are plenty of things out there that are designed more intelligently and have an interface that is sensible for the things it professes to integrate .
i actually really loved the product while it worked  .
playback quality on both video and audio is great  .
both blu ray discs and standard dvd's  .
problem is that about 3 months ago it stopped playing regular dvd's  .
i purchased this product november 2009 so it didn't last even a year  .
if you just do a search query on the internet you will find that this is a widespread problem  .
for some people it won't play regular dvd's , others blu ray discs , for some their media files they have on their computers  .
also you will see that lg customer support is just terrible  .
first thing i did is go online to see if others had posted a solution  .
that's when i read how terrible lg support was  .
well , i called them up myself and i can attest that it was  .
after a 15 minute conversation in which he denied there is a problem he gave me instructions on how to do a hard reset  .
i forget exactly what it was , something like holding the power button and pause button simultaneously for 40 seconds  .
anyway , after the hard reset it still wouldn't play normal dvd's  .
this is my first lg product and i will not be buying another one  .
it's really too bad because i did a lot of research on the internet and the lg blu ray players had exactly the feature sets i is looking for    excellent playback , built in wireless , and netflix streaming  .
apparently sony and samsung players do not do a good , reliable job of streaming and panasonic lags behind in built in wireless and interface  .
the lg bd 390 did everything really well but their last firmware update messed up the player  .
now i'm looking for another blu ray player and it's annoying that the lg bd 570 and 590 again seems to have everything i'm looking for but i will not be spending my money on a lg blu ray player again .
awful remote function and play back freezes or skips  .
had mine for 9 months  .
use netflix bd service and had 1 out of every 3 disks fail on the lg  .
the same disk that fails on the lg works fine on our samsung .
out of the box , within a number of minutes , the unit would freeze and then shut itself down  .
this problem would happen periodically while watching movies , either blu    ray , standard definition dvd , or streaming netflix  .
i contacted support , and they had me send it in for service  .
the unit came back in about 1  .
5 weeks , and i set it up again  .
within a minute of watching a standard definition movie , it froze and shut down  .
i restart the machine , and 11 minutes and 26 seconds in , the unit freezes and shuts down  .
i contact support the following morning and they have the gall to tell me that nothing is wrong with the unit  .
in my mind , if the unit freezes and shuts itself down while watching a movie , there is something wrong with the unit then they tell me that if i were to directly connect the unit to my broadband modem , it would solve the problem  .
my question is this   why would lg build in a wireless connection if it has to be connected directly to the modem , and why would the internet connection have anything to do with the unit shutting down during dvd playback  .
according to lg support , this can happen if the internet connection is not fast enough or does not have a good enough signal strength  .
i have a wireless    n access point that is plenty fast , and streams just fine to an x    box 360 which sits about 12 inches from the lg bd390 unfortunately after going through all of this , i can no longer return the unit to retailer since the window to return the unit has passed .
i am attaching all my email communication with lg  .
(start from the bottom)  .
dear mr  .
thank you for contacting lg electronics  .
your e    mail regarding your concern has been received i sincerely apologize for the delay and inconveniences ; unfortunately some movies have more data than others and it will require more space , the player already have 1 gb , make sure to clean the memory and try to use the usb virginia q e    mail administrator  .
customer interactive center  .
lgeai  .
original message                 .
from    .
received   10/20/2009 4  06 pm  .
to   daniel customerservice@lge  .
com  .
subject   re   lg customer inquiry  .
thank you ,  .
i really feel i have been short changed , to have to buy additional hardware to get my player to work is not really acceptable  .
you are basically selling the public an incomplete item  .
why doesn't lg provide sufficient internal memory for this player  .
why make the customer pay additional money out of pocket to run the most basic feature  .
i have a few days before my 30 day return policy expires , i will test your fix  .
if it does not work , i will return the player  .
i may return it even if it does work i am disapointed because this player got a good review on cnet  .
com  .
i will be forwarding this whole email string to them so they will be aware from   daniel customerservice@lge  .
com  .
to    .
sent   tue , october 20 , 2009 6  58  33 am  .
subject   re   lg customer inquiry  .
dear ,  .
thank you for contacting lg electronics  .
we are always glad to assist you regretfully , although you may not be using the bd live features within the disc , this and other couple of movies will automatically download bd live content or try to save information to the receiver in order to achieve successful playback , which is the reason why an external usb memory key is needed to play such movies alfred q e    mail administrator  .
customer interactive center  .
lgeai  .
from    .
received   10/19/2009 6  23 pm  .
to   virginia customerservice@lge  .
com  .
subject   re   lg customer inquiry  .
thanks again ,  .
i think there is some miscommunication , i is not using any of the bd live features  .
my wireless is not even on at the time  .
the problem is just when the movie is played in the normal manner from   virginia customerservice@lge  .
com  .
to    .
sent   mon , october 19 , 2009 5  19  26 pm  .
subject   re   lg customer inquiry  .
dear mr  .
thank you for contacting lg electronics  .
your e    mail regarding your concern has been received i sincerely apologize for the inconveniences , use usb memory of at least 2 gb , unfortunately some of the bd live features are bigger than the internal memory of the player virginia q e    mail administrator  .
customer interactive center  .
lgeai  .
original message                 .
from    .
received   10/19/2009 3  47 pm  .
to   customerservice customerservice@lge  .
com  .
subject   re   lg customer inquiry  .
thank you for your response what size and type of usb memory drive do you recommend  .
why is lg telling me i need to add an additional component to their brand new blu    ray player  .
should not the player have the capacity to play blu    ray discs out of the box  .
should not lg be providing a product that works as advertised  .
thank you ,  .
from   customerservice customerservice@lge  .
com  .
to    .
sent   mon , october 19 , 2009 2  42  27 pm  .
subject   lg customer inquiry  .
reply to customer inquiry                                      .
dear ,  .
thank you for your email  .
we apologize for any inconvenience this may be causing we  .
ll be glad to assist you with this situation  .
in order to fix this problem insert a usb memory drive while playing the movie pablo c e    mail administrator  .
customer interactive center  .
lgeai  .
original customer inquiry                                      .
received date    10/17/2009 21  33  37  .
the type of inquiry    product operation  .
product/model no  .
dvd video set top/bd390  .
just played my first blu    ray disc watchmen  .
started great for the fist  .
30 to 45 minutes , then i had a problem with the audio and video sync    ing up  .
it seemed that when the disc changed  .
layers  .
the audio would lag by a good half second or more  .
this happened 3 or 4 times during the movie when the  .
layer  .
changed  .
(i could tell the layer is changing due to a slight skip in the picture , similar to dvd  .
s i have viewed in the past  .
) the strange part is when i paused the movie and rewound a few seconds , the audio and video would sync back up  .
do i have a defective player  .
updated  .
on oct 22 , 2009  .
one of the main promisses of the device not fulfilled ; lousy service .
false advertising to the mac community of airport users updated  .
on aug 26 , 2009  .
dont buy lg bd390 or lg new series as already lg stopped making bd390 , , now dont be fooled and buy ld bd 570 n bd590 lots of problem check amazon review and avs forum reviews from real users http  //www  .
amazon  .
com/wont    play    certain    blu    ray    discs/forum/fx50mzq0hgxrvh/tx1sr3giqbu80z5/1/ref  cm_cd_et_jump  .
_encoding  utf8 asin  b001uq6f5m#customerdiscussionslpit  .
also check avs forum  .
http  //www  .
avsforum  .
com/avs    vb/showthread  .
php  .
t  1124111 page  195  .
bought this expensive unit because of good cnet review  .
i have a good dvd player , so this unit only played less than 10 new blue ray discs  .
the unit will no longer play blue rays or dvds , tries to read and then says no disk  .
internet search yields numerous other similar complaints and otgher premature failures lg tech support/warranty worthless  .
parts and labor only 90 days , parts 1 year  .
my parts would be covered but i feel investing more money in shipping and labor for a bad product will likely be a bad investment i expect better reliability for a supposed higher end player avoid lg blue ray players  .
do not buy this product .
i recently purchased a lg bd390 blu    ray player not more then a month ago  .
i purchased it for all of the great added multimedia options the unit has  .
little did i know lg produced a faulty machine  .
when i first got the unit i immediately activated the netflix service which i love  .
unfortunately every couple of days , i would have to reactivate it because it would loose it's activation  .
not knowing this is a sign of a much bigger problem i tried activating the vudu service about two weeks ago and that's where the problem begins  .
when i went to use it for the first time , i received an error that the hardware id is in use  .
i thought maybe the unit i received is a repacked return  .
i found out today that it was not  .
here is where it gets interesting  .
i contacted vudu support immediately  .
they told me lg is known to issue duplicate mac addresses on there units  .
i had to provide them with the serial# , lan mac , and wireless mac  .
i is provided this long procedure to get all of that info , because lg doesn't put the mac addresses on there boxes or equipment  .
and to make matters worse , they could not even do anything with me until they contacted the customer with the same mac address as me to have that customer verify all of the same information using the same long procedure  .
to me , if i'm already a customer and you asked me to verify all of that info , i would tell you to jump in a lake  .
vudu verified i is issued a duplicate mac address this is a manufacturing design defect  .
after 2 weeks of phone calls and emails going back and forth , vudu contacted lg , who in turn contacted me today  .
here is what lg is offering to do for me  .
the unit needs to be repaired/replaced  .
keep in mind my unit is not even a month old 1  .
lg is willing to pay for 2nd day air shipping to there factory and 2nd day air shipping back  .
i asked for overnight shipping since it's there design defect , i is clearly told no  .
the manager told me , i just have to deal with it  .
when i got my label to ship it back , it is for fedex ground shipping  .
is that  .
when i asked the turn around time  .
i is told 10 business days  .
mostly due to shipping  .
10 business days because of there design defect  .
that's why i asked for overnight shipping  .
why should i do without because of there manufacturing design defect  .
when the unit is received they will swap it out for a refurbished unit  .
i purchased my unit brand new not refurbished  .
so , not only do i get slapped in the face with the shipping , i get a refurbed unit  .
i spoke to another manager in customer service tonight , he tells me they repair your unit  .
i tell him you think i'm a fool  .
the shipping label i got clearly says refurbswap  .
when i told him that he had no response  .
he said there is nothing he could do i've own/owned multiple lg products , lcd tvs , cell phones , etc through out the years  .
this experience has put a sour taste in my mouth and i will never purchase another lg product ever again  .
i have not sent the unit back yet .
it would not connect to my wireless network so after spending 5 hours talking to lg on the phone they told me to go and try a other one so i went to best buy and the guy said it is a bad model and had a lot of problems  .
and told me to get the samsung bd    p3600 and it works wounderfully .
the ps3 is a game console and a blu ray player and it also costs 300 bucks  .
this player is 300 bucks and it does not play games  .
so if u want a blu ray player then get the ps3 not this .
quality control must be terrible at lg  .
i tried two players at bestbuy that both had terrible lipsynch issues on all media  .
if you want truly videophile quality , get a pioneer 320 and a roku for netflix for the same price .
Easy set up. Superfast load times. Wireless connectivity. Superbly detailed 1080p image. Incredibly detailed sound; I've got no complaints so far.
Very easy setup, wireless hooked up with minimal effort, very quick, nice remote; no Pandora?? otherwise very pleased
Excellent picture/audio quality, execution speed, user interface.; Manual not always clear, remote hard to open to access secondary interface.
Wireless is great, but spotty. Lots of internet based services.; Wifi cuts out. UI is awful. Price is too high
Great Picture. No compatibility problems yet. Good Connectivity. Analog Audio Outputs; Price. Button Locations (Tray Open should be over the tray). Configuration of outputs
- Superb picture and sound quality. - Fast (for a blu-ray player). - Netflix. - You Tube. - PC streaming; So far, none.....seriously.
Easy setup, Wireless network feature works well.; Can't playback all blu-ray discs without purchasing a seperate, additional USB flashdrive.
Does play Bluray discs; THis unit does not work with Apple routers. LG says they do not have any plans to help Mac users.
Good bluray movie quality; its a bad value considering that this bluray player costs 300 bucks, cough cough the PS3 is now only 300 bucks.
Nothing! Piece of garbage. Poor reliability. Poor remote. AVOID; Virtually new unit will not play blue ray discs. LG won't do anything to correct.
On paper, should be a great player; Lipsynch issues on all media. Mediocre deinterlacing - cannot resolve 2:2 and numerous film cadences without heavy moire
Wireless N, fast load time, can view pictures from home network, nice user interface, lots of extra features; Can't disable autoplay when you power on
Picture quality is great.. Wired or Wireless access to watch Netflix movies is great.; NOT 5 GHZ capable.
Blu-Ray capabilities, boot time, streaming Netflix, built in wireless networking, and media center capabilities are all great.; The unit doesn't work...it periodically freezes and shuts down.
great picture,fast loading,nice online apps easy to use; wont play current crop of movies that have come out since may of this year...
EZ setup, connectivity with home WiFi "N" net.; Not functioning as per description out of the box; slow, not well informed customer service
Starts up fast. Excellent streaming video from Netflix. Works great with my Pioneer receiver and my Sony LCD TV.; Wish they would install Hulu option with firmware upgrade.
Built in Wi-Fi for Netflix, YouTube, good menus, sound format decoding; Soft picture, color and depth not as strong as others, average sound quality, first unit was defective, cheap remote, Wi-Fi didn't recognize my VPN enabled router.
Blu Ray looks great. no problems with memory or with sync of audio.; Falsely advertises Netflix streaming and wifi connectivity.
Fast load time, plays older DVDs, fast firmware download, only one battery required in the remote, better up-converting than the Samsung 3600.; Blockbuster online and Pandora not available yet.
Quick loading, DVDs look great, Blu-ray looks awesome, love the connectivity.; Price is pretty high however, I scored this for less than what I paid for the BD370 through a special sale at my local retailer, a pro within a con.
Picture quality, fast load time on BD discs, easy wireless setup; Some of the audio output options were not clear in the manual
intuitive user interface. easy setup. good video. good audio. does a good job of upgrading DVDs. Wireless setup was easy. fast loading. I injoy the YouTube feature; None so far
it is expensive, top of the line series; after 6 mths no disc will play... only check disc message will appear... and lg support sucks..they are useless
Easy setup, connected to my wireless g network in minutes, 24 fps; Like to see more choices for streaming video and music.
attractive design; awesome picture, fast loading, nice menu, need not go to menu to switch subtitles on/off. remembers where you stopped movie, pause holds for a very long time w/o shutting off, very utilitarian and functional remote.; 10101010101010
Intuitive connectivity. Took only a few minutes to connect with my router without reading instructions. Fast loading. Easy media.; Remote is slow when using Netflix.
Wireless connectivity; easy to set-up; simple firmware updates; netflix, youtube and cinemanow; remote control is laid-out well; nice picture quality; fast load times.; None so far
Wonderful picture, both Blu-Ray and DVDs.. It's black (okay, maybe a hint of blue in the too-glossy faceplate, but it really appears black except in many photos).; Foget the Internet connectivity features; they are extremely unreliable.
Netflix &#38; Vudu streaming. Easy set up - including wireless. Excellent picture &#38; sound quality. Quick load time; Weak wifi signal, even using wireless N. No Pandora. Sometimes need two remotes instead of just 1 universal to navigate online features
Picture quality and audio was great. Loved the built in wireless and Netflix streaming.; Stopped playing standard DVD's after 7 months. LG will only fix it if you pay $69.
Set up was quite simple. The Quick Setup &#38; Internet Connectivity Guide worked well and I was connected to the home network in less than 10 minuites.; For now, none whatsoever. Additional reviews possible depending on continued performance
It has netflix and youtube.; It doesn't read the disc sometimes .It has been only 9 months and i am experiencing the problem for the last 2 month.. I tried cleaning it with disc cleaner but it shows "NO DISC ".Sometimes it shows "ERROR".. The labour charge is high .
bought 6 months ago, first time in years a new device knocked the ball out of the park.. much faster loading than my Sony.. It tracks where you are in watching Netflix on demand; none found yet
Loved the Wi-Fi capability. Purchased specifically for Wi-Fi feature. Used Netflix regularly during first three months.; Wi-Fi failed at 3 month mark. Unit cannot locate signal from wireless router approximate 13 feet away with zero signal interference. Multiple attempts to revive via LG Tech Support were huge waste of time.
Net streaming is the king of future BluRay players! Combo between all known formats for playback with a simple interface will prove the winner for my future purchases; It's expensive! Oh wells.
Image quality is great.. Very responsive interface.. Netflix capable.. Built-in memory.. Network-able with Mac; File setup for My Media awkward.. Haven't found way to play all folders within a folder in one click.
- Up and running within 5 minutes out of the box.. - Instant access to Netflix, CinemaNow, YouTube, and more. - Wifi connection means no wires running from the office to the living room. - This thing rocks!; We haven't found one thing yet that we don't like about it.
Hook-up: My wife would have enjoyed complaining about it being difficult to hook up. Instead literally gasped as our Netflix queue popped up.. Video Quality: I'm stunned. Slobbering. Suppressing giggles.; It surely wasn't cheap. And i've only had it for a few days. If anything goes south, I'll come back and report.
Quick, Streams Netflix and Youtube and other services, High quality streaming, networks with your computer, easy to use, ethernet and wifi onboard; **(ONLY MINOR CONS)**Does not yet stream from any music services, remote control would be better with qwerty keyboard for youtube searching. Not Ipod ready.
Fast load of bd disc, excellent streaming including mkv's. Outstanding blu ray performance and DVD upscaling.; doesn't support xvid format, which is odd. Ocassional quirks in how it displays pc servers, Remote control seems a bit weak power wise. No pandora.
Average guy here, never posted before. PLEASE SEE MY AUDIO QUESTION IN SUMMARY THANKS.. 1. Streams Netfilix faster than the Samsung 3600.. 2. Recognized my computer, the Sams would not let me view items.. 3. Internal wi fi, Sam3600 has an external.; None really discovered, but nitpicks:. 1. The remote works fine, just looks cheap...I liked the Sams3600 remote more, classier, no big deal.. 2. I liked the look of the Sams 3600 more, but LG looks great, not a real issue anyway.. 2. No Pandora.
Great on screen menu. This thing is a beast, very well built. My wife smash this player on the ground twice and it still works.; Nothing to not like.
Built in wifi, netflix streaming, home media interface (easy setup on Windows 7), VUDU, YouTube, good controller button layout, USB port in front, design, supports all current and next gen Highdef Audio, Graphical user interface; Lack of streaming video support for WMV (have to convert to avi), no Amazon onDemand
Speed, quality of audio and picture, streaming of Netflix and YouTube.; Doesn't stream Pandora. I'm hoping this can be added via firmware update. This is the only thing keeping the BD390 from getting 5 stars.
Quick Power-on. Superfast load times of standard and Blu Ray discs. Beautiful, easy to use interface. You Tube interface is fantastic and much more usable than you would think.. Built-in Wireless N! Works Great! Look Ma...no wires!; No Amazon streaming
User interface; - First unit I purchased would not recognize blu-ray disk (check disc error) but would play DVD. - Customer service said to load updated software which I did and it had no effect at all. - Purchased a second unit and it wouldn't even power up
When it does work, (and that seems to be when it wants to) it works great.; Can not find my WiFi connection that is 15 ft. away 50% of the time. Get a "No Signal" about 25% of the time
Picture quality is great. Netflix integration is nice...streaming looks "Good" to "Fair". YouTube feature is as expected. WiFi is Awesome Feature.; Slower access times (on BD) then I was expecting. No ability to add Netflix movies to queue (Why???). YouTube interface clunky; hard to search (w/ on-screen keyboard). Issues with Mac's a bit of a heartbreaker. USB drive support fickle.
DO NOT BUY THIS PRODUCT. Since mine broke, hard to see a pro. Perhaps it is a nice paper weight. DO NOT BUY THIS PRODUCT.; DO NOT BUY THIS PRODUCT. Hardware unreliable; prone to burning out with minor use. Customer service had long delays &#38; no ability to fix the problem. The only solution they offered was $100; unacceptable for nearly new product. DON'T BUY THIS PRODUCT
Now has Vudu. Easy to set up. Firmware easily updates over the internet. Used update to add VUDU. Wireless network a great feature since most people don't have a wired network connection behind their TV.; No rear USB port. Media player interface could have more features. No Pandora as of yet. Remote design could be better. Remote needs to be pointed right at the player.
Easy set up and excellent picture. I used digital audio out to old amplifier to 5.1 DTS and HDMI and wireless network. I get a very good signal with the Netgear N router.; netflix audio not optimzed for sourround as far as I can tell
The setup is super easy. After owning this system for almost a year, it continues to be trouble free, easy to use, and provides superior quality video.; For the price, nothing! I've more than paid for it just not having to pay for cable TV for almost a year now.
Integrated streaming Netflix. Integrated WiFi for access to PC based media. Adequate remote control layout and clean, simple, sharp user interface; HDMI does not work with Vizio GV47L LCD flat panel TV, rainbow static only. Slow responsiveness, I can't believe this is considered fast by Blu-Ray standards. Connected to wireless network with ease but won't access PC media (Vista issue)
Love the quality. All sources play superb, even internet streaming from netflix subscription (already had) with the WIFI connected to cable speeds. Also simple setup and use.; Price is "so so" being $250-300. I would love to pay $100 less and drop off the blue ray and get same features with DVD and WIFI. Remote is not the greatest, mostly due to annoying "door" covering the TV buttons which I will probably just remove.
When it connects, it works great.. I love the streaming content.. Works pretty well with my v1 HDTV (i.e., component connections to 1080i). Fairly good DVD player.; When the connection fails its abysmal. And it drops of its own accord.. I get a little bit of left/right overscan in 1080i.. The WPS function seems to work but doesn't take.. It has 1GB of memory, why can't it buffer ahead when streaming content?
Great picture and makes all my DVD's look like HD movies; Loved to stream movies from netflix...but after the first download update my wireless crashed and no matter what we do we can't get the player to reconnect. Very frustrating. It is not the router as we have many wireless devices with no problems.
Built-in wi-fi (no dongles or add-ons) blows the competition away. Picture quality is excellent on my Vizio 1080p TV - don't know why the other reviewer couldn't get it to work on his with HDMI. Netflix, Cinema Now, Vudu, plus home media server...; Needs Amazon VOD capability, backlit remote would be nice (but definitely not a show-stopper.
Easy to set up, took about a half hour including Netflix activation. Menu is easy to use. Picture quality is great. Unit is wireless but I hard wired the internet connection and it works great.; A little pricey. Spent another $100 for decent cabling. Seems like manufacturers could provide quality cabling.
The ease of setup for Wi-Fi and Streaming ssetup over Netflix, You Tube, Cinema Now and Vudu.; When streaming from Netflix, you should be able to setup the queue with this unit as opposed to just read only access. Perhaps a future Software Update would address this pet peeve.
Good on screen menus that are easy to use.. Excellent DLNA client, it even plays MKV files.. Addition of wireless N is a big plus.. Extremely easy to connect player to my network attached hard drive.. Nero is adequate for streaming media.; BluRay discs start from the beginning after unit os powered down. Don't know if this common for all BD players.. Would have preferred Amazon on Demand to CinemaNow.
Fast loading of all Blus and DVDs. Image quality is great. Firmware upgrades seem routine and flawless. The wifi works very well for me, although I don't like the quality/look of streaming films and chose not to use it for that.; The remote is finicky and needs to be aimed just right.. Also a couple of times the loading tray has pinched a disc and jams. It may be an adjustment tolerance issue where the door-closer spring pushes up too soon.
This product has it all for me. The features that stick out are the VuDu service (Via firmware upgrade), Netflix, CinimaNow and YouTube. This player has all the connections you need. I was also able to play media from almost anything over the network; This player has Wireless N, but it only seems to connect in wireless G mode and drops the connection around 30-45 minutes into a movie which then forces me to use an ethernet cable. A USB in the back would be great to add to the 1gig internal memory.
Netflix is one of the main reasons I bought it along with being wifi. The wifi is very good with the DSL elite I have with AT&#38;T. Great picture and sound.; 1.The setup of the audio to my receiver. I'm not real sure what the manual is saying here. I'm in the middle of doing a "trial and error" with different setups for the audio.. 2. Cinema just doesn't work even after to talking with them.
The load time was fast, the wifi was a breeze to set up. The picture quality was impressive. We really got into streaming the Netflix queue and browsing YouTube. DVDs worked fine. Firmware upgrades were easy.; The Blu-ray discs froze or skipped. It was not the discs. I tried duplicates. Then, they stopped working altogether. After about 30 days of use, the disc player broke. No disc, blu ray or DVD would register in the machine. Returned for refund.
Much more than a BD player. Watching home movies and pictures from my PC over wi-fi without getting out of my chair. Watching movie trailers on Vudu (for free). YouTube is cool too and works great though the picture is low quality.; User manual tells you how but not why. Had to do some research to figure out which audio settings to use. My Wi-Fi is too slow to stream HD content. Can't read video files with camcorder codec so you need to convert home video.
