once this machine is set up and running , it requires almost no attention  .
the computer reports the device is working correctly , although it also thinks it has 0 disk space , and no files to display western digital should be ashamed that they allowed a crappy product like this on the market with their name on it .
oh , i is trying so hard to be conscientious by backing everything up onto mybook  .
then the computer crashed  .
that's ok , i thought , the backup is only 2 hours old  .
the old computer may be dead , but there's plenty of room on the new one  .
hah  .
there may be room , but just try restoring any data  .
guess what  .
you cannot  .
both systems were running windows xp sp2 , yet computer b couldn't work with computer a's backup files    the software (which is extremely unfriendly and uninformative in failure mode) kept either throwing bad memory reference errors , or telling me that the backup is in an invalid format , depending on which way i tried to restore i finally made the call to tech support who couldn't open a proper case for me , sorry , because they couldn't open a case or authorize my credit card because their computer is down  .
i finally got to a manager (after being on hold for 15 minutes) who is compassionate enough to help  .
he talked me through a couple of things that weren't very obvious (i've been a software engineer for 30 years    believe me , they're way beyond non    obvious) and we got off the phone 45 minutes ago , and just now (as i'm writing this) the restore software (from a backup on the current machine which we were trying just to eliminate problems) tells me that it's ready to proceed with a restore of 20 gb worth of backup , which it has taken just shy of an hour to get ready to do  .
speedy , it ain't  .
and it takes about the same amount of time to get ready to start a backup    you cannot just select the files or drives you want to backup , click go and walk away    noooo , it's got to build a detailed file list first , and then you click and walk away  .
so if i start the backup at midnight , i cannot go to bed until 1  00 , because i've got to wait for the stupid file list to build the real show stopper , however , is this inability to restore files off another computer to a new computer  .
the support manager's take on this is well , sounds like you should have done a copy and paste , ha ha ha lucky for him i could not reach through the telephone  .
what do you purchase a backup system for  .
restore after catastrophe , do you think  .
unbelieveable do not purchase this product when attempting to preview this rating , i received a warning from cnet that i should be pretty sure what i'm doing by giving a rating of abysmal  .
i do not choose this rating lightly  .
i reviewed the definition standards  .
abysmal is merited when the product has no redeeming qualities and worse , may actually harm you or your productivity  .
well , it certainly has harmed my productivity in this instance  .
i thought my data is safely backed up and restorable  .
it may have been backed up , but if i cannot restore that work (and i have now invested over three hours in attempting to do so) , i am    how do you say it  .
ah , yes   hosed .
the power supply/usb interface module is junk  .
the drive failed and didn't say why  .
i took the actual drive out of the enclosure and it worked fine in a pc with a sata controller and power supply , so you know it's the tinker    toy module in the external enclosure  .
i called wd to tell them about it and they told me i voided the warranty by opening the case  .
if you want your data , take the disk out because it seems like the problems are caused by the interface  .
even a junk company like wd can usually get a hard drive to work , but don't buy this toy  .
if you have one that wo not respond , you can recover the data by connecting the sata drive with a real interface , but wd will void your warranty  .
wd seems to not realize that people actually value the data that is put onto their hard drives .
i had all my pictures from a summer in europe on this drive , and now the drive no longer works  .
i took it into computer hardware repair experts and they were unable to recover the data  .
do not ever buy anything that this company has made if you want to keep your data safe .
i bought one wd mybook 500gb drive for backing up my digital photos in june 2007  .
i had the photos backed up on two different macbook pro laptops as well  .
in october 2007 , i got another wd mybook drive to backup/mirror the first drive as i needed more drive space on my macbook pro  .
unfortunately , as i is beginning the backup/mirror process , my primary mybook drive (just under 300gb of data) failed  .
i should have known it is failing as the firewire port is no longer working and only the usb port worked  .
the drive failed    my macbook pro no longer recognized it and a friend's macbook didn't recognize it  .
i took it to we fix macs and thankfully they were able to recover most of the data    there is a subset of data that is only backed up on that drive  .
the store had 3 other mybooks in for recovery  .
mine is the only one that had its data recovered  .
if your firewire port fails    get your data off the drive while the usb port still works  .
if both ports have failed , do not try recovering the data yourself , take it to a professional  .
the drive cost me just under $200 ; recovery cost just over $250 .
i bought the 320 gig version , because ive bought drives from wd before , but this one is a flop  .
it died in 4 months and i lost 60 gigs of data , not as much as some but significant to me  .
i sent there support team an email and all they can say is we are sorry , then they sent me links to all there downloadable software for my dead drive and said try this and if we dont hear back from you in 96 hours then we consider the problem solved  .
thanx so much for the customer support  .
even if they sent me 10 free ones i wouldnt put a single file on them .
i spent the entire day trying to copy 190gb of data on to this device to backup my company's server data  .
first , i got an error that it couldn't support a file name that is too long    the name is fine for microsoft file explorer  .
then i got some write delay errors , after that i could not access the drive anymore as when windows recognized it , it registered as unformatted  .
so i did a quick format  .
now i have a regular functioning drive  .
then i start copying , after a couple of hours , i get a file name issue again  .
i correct the issue and validate that all 62 , 000 files are in the directory  .
i move on and get to the very last folder (after a total of 7 hours of copying) and start getting write delay errors again  .
i go back to validate the files that already existed and the 62 , 000 files that were in that last directory has been dropped to 2 (that's right two  .
i will never buy a western digital product again  .
i had a two year old wd external drive , which , when it failed me , i figured it is just an unfortunate event and i went out to replace it with this bad boy  .
little did i know that it would spiral into a series of unfortunate events i had this drive for exactly 4 weeks , just enough time to load the only copy of thousands of media files from various computers in my house in order to clear space  .
today , it died the exact same way as the last one no trauma , not even plugged into the wall , but when i went to turn it on , i got a light and nothing else  .
just a random death without warning , much like a s  .
except for a hard drive not a baby  .
scary stuff , i know i took the drive to computer builder's warehouse , who confirmed it is completely dead in every way , and i called every data recovery service approved by western digital  .
it's okay , they assured me , no matter what the problem is the cost would never exceed $3 , 750  .
unbelievable  .
so unless you're planning on keeping two hard drives with identical information , or unless you bankroll enough loot to put away a few grand for hard drive data insurance , i would stay away from the wd r  .
to my peace of mind and to my half    terabyte of media .
bought at costco  .
wd support sucks  .
do not rely on these drives for backup unless you make multiple copies  .
or , be ready to pay for data recovery services .
i bought the 1000 gb version of the my book pro edition ii and it died within 3 days western digital customer service said they would only replace it with a refurbished model i bought it new and 3 days later i only get a refurbished replacement  .
buy maxtor  .
very slow , terrible phone suport , have to buy third party software for security , that is also a risk of compatibilty with this hdd ,  .
powers off , even while computer is on and on idle , cannot power up unless unpluging the hard drive and rebooting computer my old maxtor onetouch iii did not have this problem  .
plus maxtor has security software .
i bought 2 of these at costco (as did my 2 of my friends)  .
we all found out the hard way that you can not daisy chain these premium drives via firewire  .
western digital tech support is an absolute joke  .
they corresponded with me via email , i responded and told them what the problem was , and then no email in return  .
i called them and they said they never heard of the problem and did not know what to tell me not wanting to throw in the towel , i googled and googled until i found i found this thread    .
http  //www  .
macfixitforums  .
com/showflat  .
php  .
cat   board  periphs number  800344 page  0 view  collapsed sb  5 o  31 fpart  1  .
apparently it has something to do with the firewire id's not being unique , or something to that effect do not buy these drives  .
good looks , but useless  .
External hard drive; Died after one year,
Cheap, fast, good build quality; Large, extra chords, some versions are loud
It's pretty.; Serial number defaced, loud, slow, heavy, vibrates a ton, board failed
Lots of capacity.; Sudden death in13 months.
Size and appearance; Reliability
Simple, easy, quiet, just works.; Speed not fantastic.
Design is good; Speed was average
Price, looks; FireWire does not daisy chain well
looks nice; quality of disk poor
Best looking HD, alot of storage space; A bit Slow :\
Very basic operations are easy; Anything but basic operations is extremely cumbersome
nice design; firewire port fails within couple of weeks; usb port fails next
Good storage, good price, stylick; Slow writing, not super-portable
Looks cooll; It dies in a flies lifetime!!!!!!!
Geat when it's working (IF it's working); Disaster when it dies (and it probably will)
The device looks nice; Reports that files are there, then magically they disappear
none literally none; too many to describe, read other neghative reviews all accurate
Cool blue light thingy; Died after a few months.
Worked well while it lasted; Did not last long
Looks good sitting on a shelf; Customer Service
Nice looking; But don't bother trying to restore anything
Both Firewire and USB connections; Comes formatted for FAT32
Very fast when reformatted to NTFS; Slow as standard.
It looks cool; Unreliable. No daisy-chaining of firewire possible!
Cheap to purchase.; Data loss, powers down on it's own, slow.
Good when it worked.; Barely lasted longer than its warranty.
Small and Fairly Light for 500GB; Western Digital Confirms Power Off Problems
Good Price/Size ratio; Unreliable, I had to return it.
for sale everywhere, competitively priced; lacks functionality of other firewire drives
Nothing that other external drives dont also have.; Short lifespan and shorter warranty period.
Distinctive book-like design; disks are reliable so far.; Often they do not connect with the computer.
None, its not dependable Therefore not worth anything; It's not dependable; cannot trust it will remain 'on' for an entire backup cycle
Ease of use.; You never know when it will work or when it will not.
Large capacity; Slow, CPU hog, Backup software impossible to remove. Support is awful.
the light on the front looks pretty...; WD is dangerous
There are no pros.; The drive is fried, I lost everything.
Nice Design; Failed after a few months, didn't like the software
Cheap method of backing up information; just lasted over the warranty time
The capacity when it works.; It is undependable.
iPodesque Design, Capaity and Usage Lights, Easy "Plug and Play" Use, Firewire and USB Connectivity; Expensive for an ExHDD, First Uses are Choppy, Power Down Problems
the footprint is nice and small; why use fatfat32
Good concept; It doesn't work and they won't fix it
cost and Firewire/USB 2.0; have to install with USB to install firewire driver
Fast, easy to use and quiet; Setting up takes time
Easy to setup, good transfer rate; It just died for no reason
aesthetics and storage capacity; Stopped working after less than 2 years. Customer support is abysmal.
easy to use &#38; install; dead. only lasted for just over a year
Can't think of any.; Tech support. We've had nothing but problems with this unit and tech support has been less than helpful.
Stylish and quiet; Speed (it's slow), lack of true Vista Support, WD Support is non-existant
Small, stylish, very quiet operation, easy to use; WDBackup software does not have system backup and recovery
Looks cool, turns off when computer turns off, durable, pretty quiet, led in middle is pretty sweet (inner tells capacity, outer tells activity), stackable; Pricey, tries to tell you that you need to install some software
Easy to install, doesn't take up much space on my computer desk, maintenance free.; I really haven't found anything I don't like about it yet.
Easy to set up and use; Not very fast, crashed on me after 6 months
Nothing good to say about WD.; DOES WORK when you need it to. Only used one time!!!!!!!!!!!!!!!!!!!!!!!!!!! WD doesn't care. They are no help.
In view of failing in its main task I consider it a complete failure as a hard drive. Imagine your car is going into hybernation during driving.... So zero pro; Same as above: In view of failing in its main task I consider it a complete failure as a hard drive. Imagine your car is going into hybernation during driving.... So zero pro
I really can't think of anything positive to say.; The drive failed shortly after my one-year warranty was up.
Cheap, easy to use; Slow, sudden malfunction, TOTAL FAILURE in just little over a YEAR [1-yr is the factory warrenty provided]
For the first year it was great. After that, not so much.; The drive dies after NORMAL use any other drive would handle with flying colors.
Nothing is good about this product. It will die and make you loose all your data.; Everything; piece of garbage
It works- its an external HDD that stores stuff- I put videos, photos and music on it. It's CHEAP too.; It writes slow and according to plex has some power issue- he must've bought from some refurb co.
I didn't find anything useful other than it was on sale.; Power supply gave up on me only after two months of use.
Good price at Costco; I bought two MyBook external drives at Costco, one 500MB and one 1TB. They both died within a year. Before they died, they both repeatedly became unviewable in Windows. Worst garbage I've encountered in many years of buying computers and peripherals.
when this hard drive is working properly it is great. However, it does not work for long; Stops working without a valid reason
Powers off automaticly when computer is turned off; No security to protect the contents if lost or stolen , other makes of external hard drives has
Price was good and appearance looks like book sitting on shelf.; Bought to copy hard drive from old desktop to laptop. When I connected to laptop nothing worked. Customer service said because I already loaded onto one PC I can't load to another. Returned old unit bought new "revised" unit still doesn't work.
It's cheap and easy. And the heat it gives off helps heat my house in the winter.; It's slow and hot--get it an external fan or it'll burn. It takes a while to transfer data--sssslllloooowwww.
Price. Easy to hook up.; Worked for about 1.5 years, started buzzing, then clicking, then no longer recognized by the OS. I've got another WD (pre-my-book) 250GB and it's still going strong. Seems like the quality took a dive with the MyBook series.
Easy to set up; Fails - multiple reports on the web of external My Book failures (unlike WD internal hard drives which are fairly reliable). Usually with clicking but not showing up on desktop.
Well, it's 500GB.. has dual interface... and had 2 FW ports to allow a chain. Good for computers with limited ports.; The blue light on the front won't turn off.. Ever..
The only thing I am looking for from a hard drive is reliability. I did not get it with this one.; The drive died after less than 2 years.
...what pros?; This device failed after little more than a month. I lost 400GB of professional photography work. Paid hundreds trying to get data off this piece of garbage, and no one was able to.
nothing at all; worked for just over a year, maybe used 10 times...look at the other reviews, this is a common theme...bought at costco, crashed and no support. DON'T WASTE YOUR MONEY OR TIME...look for another company that is willing to stand behind their drives
Haven't been able to load software hence unable to comment; I run a very stable HP XP system for my business and bought the above external hard drive. In the installation the software has repeatedly caused a mega lock up of my system requiring a power off restarts
Fast and light unit; Seems like the connections don't last. The drives were on did not show any connections and repeatedly did not connect after initial problems. I see the unit is on and does not connect to any connection.
They're relatively inexpensive (but not the cheapest by any means); Mine lasted a couple of months past the lousy 1 yr warranty. Western Digital's customer service wasn't helpful at all since they said it was out of warranty. They say there's no way for me to open the case to try to recover data off the drive either.
I thought it was good until it died.; I am so angry on this one. I bought this machine as an external storage drive so I wouldn't clog my hard drive, then it completely failed. They say the recovery charge will be a minimum of $100 -- which is more than the drive cost. I am furious.
Small footprint; I have three of these drives and had two die. One was not under warranty so I cracked the case and replaced with a different manufactures drive. The other is being replaced under warranty so am locked into them. I am holding my breath on the third.
500gb cheap price at the time.; after a few month, it started happening what happened to all, running too damn hot, then not being recognized by the pc, it is pretty damn slow also.. those 4 or 5 clicks and then nothing on the drive, then when magically start working again..2 min.
Nothing this is a terrible piece of equipment; Its slow, it does not always load to your computer unless you restart and a couple of months after the warranty was up it stopped loading completely and i lost all of my information on it.
